,num_docks_available,station_id,is_installed,last_reported,num_bikes_disabled,station_status,num_ebikes_available,legacy_id,is_returning,num_docks_disabled,eightd_has_available_keys,num_bikes_available,is_renting,timestamp_of_data_read_request,year_station_last_reported
0,6,3,True,2020-08-12 19:01:54+00:00,1,active,0,3,True,0,False,8,True,2020-08-12 19:35:50,2020
1,10,4,True,2020-08-12 19:35:40+00:00,0,active,0,4,True,0,False,9,True,2020-08-12 19:35:50,2020
2,5,5,True,2020-08-12 18:58:58+00:00,0,active,0,5,True,0,False,10,True,2020-08-12 19:35:50,2020
3,3,6,True,2020-08-12 19:35:30+00:00,2,active,0,6,True,0,False,10,True,2020-08-12 19:35:50,2020
4,4,7,True,2020-08-12 19:12:44+00:00,1,active,0,7,True,0,False,10,True,2020-08-12 19:35:50,2020
5,10,8,True,2020-08-12 19:10:52+00:00,0,active,0,8,True,0,False,9,True,2020-08-12 19:35:50,2020
6,7,9,True,2020-08-12 19:34:09+00:00,1,active,0,9,True,0,False,7,True,2020-08-12 19:35:50,2020
7,6,10,True,2020-08-12 19:33:20+00:00,0,active,0,10,True,0,False,5,True,2020-08-12 19:35:50,2020
8,2,11,True,2020-08-12 19:31:59+00:00,1,active,0,11,True,0,False,12,True,2020-08-12 19:35:50,2020
9,4,12,True,2020-08-12 19:20:54+00:00,0,active,0,12,True,0,True,14,True,2020-08-12 19:35:50,2020
10,16,13,True,2020-08-12 19:21:56+00:00,0,active,0,13,True,0,False,3,True,2020-08-12 19:35:50,2020
11,10,14,True,2020-08-12 19:16:56+00:00,0,active,0,14,True,0,False,15,True,2020-08-12 19:35:50,2020
12,5,15,True,2020-08-12 19:22:54+00:00,0,active,0,15,True,0,False,10,True,2020-08-12 19:35:50,2020
13,15,16,True,2020-08-12 19:27:59+00:00,0,active,0,16,True,0,True,4,True,2020-08-12 19:35:50,2020
14,12,17,True,2020-08-12 19:16:35+00:00,1,active,0,17,True,0,False,2,True,2020-08-12 19:35:50,2020
15,12,19,True,2020-08-12 19:15:03+00:00,0,active,0,19,True,0,False,3,True,2020-08-12 19:35:50,2020
16,12,20,True,2020-08-12 19:14:27+00:00,0,active,0,20,True,0,True,11,True,2020-08-12 19:35:50,2020
17,4,21,True,2020-08-12 19:22:19+00:00,0,active,0,21,True,0,True,14,True,2020-08-12 19:35:50,2020
18,37,22,True,2020-08-12 19:32:11+00:00,0,active,0,22,True,0,True,10,True,2020-08-12 19:35:50,2020
19,7,23,True,2020-08-12 19:31:54+00:00,0,active,0,23,True,0,False,14,True,2020-08-12 19:35:50,2020
20,8,24,True,2020-08-12 19:18:47+00:00,1,active,0,24,True,0,False,10,True,2020-08-12 19:35:50,2020
21,13,25,True,2020-08-12 19:15:56+00:00,1,active,0,25,True,0,False,1,True,2020-08-12 19:35:50,2020
22,1,26,True,2020-08-12 19:31:01+00:00,0,active,0,26,True,0,False,14,True,2020-08-12 19:35:50,2020
23,9,27,True,2020-08-12 18:51:01+00:00,1,active,0,27,True,0,False,13,True,2020-08-12 19:35:50,2020
24,4,29,True,2020-08-12 17:50:54+00:00,0,active,0,29,True,0,False,11,True,2020-08-12 19:35:50,2020
25,4,30,True,2020-08-12 19:30:41+00:00,0,active,0,30,True,0,False,11,True,2020-08-12 19:35:50,2020
26,13,31,True,2020-08-12 18:41:47+00:00,0,active,0,31,True,0,True,6,True,2020-08-12 19:35:50,2020
27,1,32,True,2020-08-12 19:28:56+00:00,0,active,0,32,True,0,False,14,True,2020-08-12 19:35:50,2020
28,21,33,True,2020-08-12 19:35:18+00:00,0,active,0,33,True,0,False,6,True,2020-08-12 19:35:50,2020
29,4,35,True,2020-08-12 19:07:54+00:00,0,active,0,35,True,0,False,19,True,2020-08-12 19:35:50,2020
30,24,36,True,2020-08-12 19:35:34+00:00,0,active,0,36,True,0,True,9,True,2020-08-12 19:35:50,2020
31,15,37,True,2020-08-12 18:30:37+00:00,0,active,0,37,True,0,True,0,True,2020-08-12 19:35:50,2020
32,11,39,True,2020-08-12 19:16:35+00:00,2,active,0,39,True,0,False,10,True,2020-08-12 19:35:50,2020
33,13,40,True,2020-08-12 19:35:24+00:00,1,active,0,40,True,0,False,5,True,2020-08-12 19:35:50,2020
34,20,41,True,2020-08-12 19:22:51+00:00,0,active,0,41,True,0,True,7,True,2020-08-12 19:35:50,2020
35,6,42,True,2020-08-12 19:29:30+00:00,0,active,0,42,True,0,False,17,True,2020-08-12 19:35:50,2020
36,4,43,True,2020-08-12 19:29:56+00:00,0,active,0,43,True,0,True,11,True,2020-08-12 19:35:50,2020
37,17,44,True,2020-08-12 19:35:22+00:00,0,active,0,44,True,0,False,6,True,2020-08-12 19:35:50,2020
38,10,46,True,2020-08-12 19:32:20+00:00,2,active,0,46,True,0,False,7,True,2020-08-12 19:35:50,2020
39,14,47,True,2020-08-12 19:29:08+00:00,0,active,0,47,True,0,True,5,True,2020-08-12 19:35:50,2020
40,12,48,True,2020-08-12 19:18:48+00:00,0,active,0,48,True,0,False,7,True,2020-08-12 19:35:50,2020
41,1,49,True,2020-08-12 18:55:24+00:00,0,active,0,49,True,0,False,17,True,2020-08-12 19:35:50,2020
42,1,50,True,2020-08-12 19:25:49+00:00,0,active,0,50,True,0,True,14,True,2020-08-12 19:35:50,2020
43,9,51,True,2020-08-12 19:31:29+00:00,0,active,0,51,True,0,False,6,True,2020-08-12 19:35:50,2020
44,10,52,True,2020-08-12 19:22:28+00:00,0,active,0,52,True,0,True,13,True,2020-08-12 19:35:50,2020
45,9,53,True,2020-08-12 19:27:15+00:00,0,active,0,53,True,0,False,10,True,2020-08-12 19:35:50,2020
46,8,54,True,2020-08-12 19:23:29+00:00,0,active,0,54,True,0,False,7,True,2020-08-12 19:35:50,2020
47,11,55,True,2020-08-12 19:07:25+00:00,0,active,0,55,True,0,False,4,True,2020-08-12 19:35:50,2020
48,9,56,True,2020-08-12 19:14:54+00:00,1,active,0,56,True,0,True,8,True,2020-08-12 19:35:50,2020
49,3,57,True,2020-08-12 19:24:00+00:00,0,active,0,57,True,0,True,11,True,2020-08-12 19:35:50,2020
50,6,58,True,2020-08-12 19:21:07+00:00,4,active,0,58,True,0,True,9,True,2020-08-12 19:35:50,2020
51,14,59,True,2020-08-12 19:16:16+00:00,0,active,0,59,True,0,True,5,True,2020-08-12 19:35:50,2020
52,15,60,True,2020-08-12 19:30:53+00:00,0,active,0,60,True,0,False,4,True,2020-08-12 19:35:50,2020
53,5,61,True,2020-08-12 19:34:10+00:00,2,active,0,61,True,0,False,12,True,2020-08-12 19:35:50,2020
54,13,63,True,2020-08-12 18:31:36+00:00,0,active,0,63,True,0,False,2,True,2020-08-12 19:35:50,2020
55,15,64,True,2020-08-12 19:20:59+00:00,0,active,0,64,True,0,False,4,True,2020-08-12 19:35:50,2020
56,22,65,True,2020-08-12 18:57:19+00:00,0,active,0,65,True,0,False,1,True,2020-08-12 19:35:50,2020
57,14,66,True,2020-08-12 19:33:35+00:00,0,active,0,66,True,0,False,1,True,2020-08-12 19:35:50,2020
58,16,67,True,2020-08-12 19:31:52+00:00,0,active,0,67,True,0,True,11,True,2020-08-12 19:35:50,2020
59,5,68,True,2020-08-12 19:27:11+00:00,0,active,0,68,True,0,True,14,True,2020-08-12 19:35:50,2020
60,17,69,True,2020-08-12 19:28:34+00:00,0,active,0,69,True,0,True,2,True,2020-08-12 19:35:50,2020
61,5,70,True,2020-08-12 19:25:57+00:00,1,active,0,70,True,0,False,17,True,2020-08-12 19:35:50,2020
62,5,71,True,2020-08-12 18:58:38+00:00,0,active,0,71,True,0,False,18,True,2020-08-12 19:35:50,2020
63,10,72,True,2020-08-12 19:23:15+00:00,0,active,0,72,True,0,False,13,True,2020-08-12 19:35:50,2020
64,6,73,True,2020-08-12 19:35:01+00:00,1,active,0,73,True,0,False,8,True,2020-08-12 19:35:50,2020
65,7,74,True,2020-08-12 19:26:06+00:00,1,active,0,74,True,0,True,11,True,2020-08-12 19:35:50,2020
66,14,75,True,2020-08-12 19:29:24+00:00,0,active,0,75,True,0,False,1,True,2020-08-12 19:35:50,2020
67,2,76,True,2020-08-12 19:32:02+00:00,0,active,0,76,True,0,False,15,True,2020-08-12 19:35:50,2020
68,5,77,True,2020-08-12 18:57:51+00:00,1,active,0,77,True,0,False,9,True,2020-08-12 19:35:50,2020
69,7,78,True,2020-08-12 19:17:48+00:00,0,active,0,78,True,0,False,12,True,2020-08-12 19:35:50,2020
70,15,79,True,2020-08-12 19:16:40+00:00,1,active,0,79,True,0,False,3,True,2020-08-12 19:35:50,2020
71,3,80,True,2020-08-12 19:34:44+00:00,0,active,0,80,True,0,False,32,True,2020-08-12 19:35:50,2020
