,num_bikes_available,num_docks_disabled,legacy_id,eightd_has_available_keys,num_docks_available,is_installed,num_bikes_disabled,last_reported,num_ebikes_available,is_renting,is_returning,station_id,station_status,timestamp_of_data_read_request,year_station_last_reported
0,3,0,3,False,11,True,1,2020-08-12 21:36:48+00:00,0,True,True,3,active,2020-08-12 21:38:20,2020
1,9,0,4,False,10,True,0,2020-08-12 21:28:32+00:00,0,True,True,4,active,2020-08-12 21:38:20,2020
2,9,0,5,False,6,True,0,2020-08-12 21:27:38+00:00,0,True,True,5,active,2020-08-12 21:38:20,2020
3,1,0,6,False,12,True,2,2020-08-12 21:34:06+00:00,0,True,True,6,active,2020-08-12 21:38:20,2020
4,9,0,7,False,5,True,1,2020-08-12 20:54:15+00:00,0,True,True,7,active,2020-08-12 21:38:20,2020
5,11,0,8,False,8,True,0,2020-08-12 21:22:23+00:00,0,True,True,8,active,2020-08-12 21:38:20,2020
6,8,0,9,False,6,True,1,2020-08-12 21:16:56+00:00,0,True,True,9,active,2020-08-12 21:38:20,2020
7,3,0,10,False,8,True,0,2020-08-12 21:34:21+00:00,0,True,True,10,active,2020-08-12 21:38:20,2020
8,12,0,11,False,2,True,1,2020-08-12 21:33:24+00:00,0,True,True,11,active,2020-08-12 21:38:20,2020
9,16,0,12,True,2,True,0,2020-08-12 21:34:19+00:00,0,True,True,12,active,2020-08-12 21:38:20,2020
10,2,0,13,False,16,True,1,2020-08-12 21:35:07+00:00,0,True,True,13,active,2020-08-12 21:38:20,2020
11,6,0,14,False,18,True,1,2020-08-12 21:38:13+00:00,0,True,True,14,active,2020-08-12 21:38:20,2020
12,13,0,15,False,1,True,1,2020-08-12 21:34:59+00:00,0,True,True,15,active,2020-08-12 21:38:20,2020
13,7,0,16,True,12,True,0,2020-08-12 21:35:57+00:00,0,True,True,16,active,2020-08-12 21:38:20,2020
14,2,0,17,False,12,True,1,2020-08-12 21:35:04+00:00,0,True,True,17,active,2020-08-12 21:38:20,2020
15,7,0,19,False,8,True,0,2020-08-12 21:37:44+00:00,0,True,True,19,active,2020-08-12 21:38:20,2020
16,19,0,20,True,4,True,0,2020-08-12 21:22:08+00:00,0,True,True,20,active,2020-08-12 21:38:20,2020
17,11,0,21,True,7,True,0,2020-08-12 21:36:14+00:00,0,True,True,21,active,2020-08-12 21:38:20,2020
18,13,0,22,True,34,True,0,2020-08-12 21:38:17+00:00,0,True,True,22,active,2020-08-12 21:38:20,2020
19,11,0,23,False,10,True,0,2020-08-12 21:38:02+00:00,0,True,True,23,active,2020-08-12 21:38:20,2020
20,8,0,24,False,10,True,1,2020-08-12 21:22:53+00:00,0,True,True,24,active,2020-08-12 21:38:20,2020
21,8,0,25,False,6,True,1,2020-08-12 21:33:39+00:00,0,True,True,25,active,2020-08-12 21:38:20,2020
22,10,0,26,False,5,True,0,2020-08-12 21:34:31+00:00,0,True,True,26,active,2020-08-12 21:38:20,2020
23,16,0,27,False,6,True,1,2020-08-12 21:36:32+00:00,0,True,True,27,active,2020-08-12 21:38:20,2020
24,10,0,29,False,5,True,0,2020-08-12 20:26:37+00:00,0,True,True,29,active,2020-08-12 21:38:20,2020
25,10,0,30,False,5,True,0,2020-08-12 21:38:07+00:00,0,True,True,30,active,2020-08-12 21:38:20,2020
26,5,0,31,True,14,True,0,2020-08-12 20:49:13+00:00,0,True,True,31,active,2020-08-12 21:38:20,2020
27,15,0,32,False,0,True,0,2020-08-12 21:38:12+00:00,0,True,True,32,active,2020-08-12 21:38:20,2020
28,7,0,33,False,19,True,1,2020-08-12 21:26:05+00:00,0,True,True,33,active,2020-08-12 21:38:20,2020
29,14,0,35,False,9,True,0,2020-08-12 21:31:20+00:00,0,True,True,35,active,2020-08-12 21:38:20,2020
30,11,0,36,True,22,True,0,2020-08-12 21:24:58+00:00,0,True,True,36,active,2020-08-12 21:38:20,2020
31,1,0,37,True,14,True,0,2020-08-12 20:57:30+00:00,0,True,True,37,active,2020-08-12 21:38:20,2020
32,4,0,39,False,17,True,2,2020-08-12 21:31:02+00:00,0,True,True,39,active,2020-08-12 21:38:20,2020
33,3,0,40,False,15,True,1,2020-08-12 21:35:35+00:00,0,True,True,40,active,2020-08-12 21:38:20,2020
34,4,0,41,True,23,True,0,2020-08-12 21:35:17+00:00,0,True,True,41,active,2020-08-12 21:38:20,2020
