,num_docks_available,num_ebikes_available,num_docks_disabled,num_bikes_available,eightd_has_available_keys,num_bikes_disabled,is_renting,is_returning,station_status,legacy_id,station_id,is_installed,last_reported,timestamp_of_data_read_request,year_station_last_reported
0,11,0,0,3,False,1,True,True,active,3,3,True,2020-08-12 22:17:12+00:00,2020-08-12 22:19:05,2020
1,11,0,0,8,False,0,True,True,active,4,4,True,2020-08-12 22:18:22+00:00,2020-08-12 22:19:05,2020
2,14,0,0,1,False,0,True,True,active,5,5,True,2020-08-12 22:14:57+00:00,2020-08-12 22:19:05,2020
3,14,0,0,0,False,1,True,True,active,6,6,True,2020-08-12 22:01:17+00:00,2020-08-12 22:19:05,2020
4,3,0,0,11,False,1,True,True,active,7,7,True,2020-08-12 22:13:11+00:00,2020-08-12 22:19:05,2020
5,12,0,0,7,False,0,True,True,active,8,8,True,2020-08-12 22:12:55+00:00,2020-08-12 22:19:05,2020
6,8,0,0,6,False,1,True,True,active,9,9,True,2020-08-12 22:17:12+00:00,2020-08-12 22:19:05,2020
7,10,0,0,1,False,0,True,True,active,10,10,True,2020-08-12 22:03:17+00:00,2020-08-12 22:19:05,2020
8,1,0,0,13,False,1,True,True,active,11,11,True,2020-08-12 22:18:46+00:00,2020-08-12 22:19:05,2020
9,2,0,0,16,True,0,True,True,active,12,12,True,2020-08-12 22:17:51+00:00,2020-08-12 22:19:05,2020
10,17,0,0,1,False,1,True,True,active,13,13,True,2020-08-12 22:16:04+00:00,2020-08-12 22:19:05,2020
11,20,0,0,5,False,0,True,True,active,14,14,True,2020-08-12 22:14:48+00:00,2020-08-12 22:19:05,2020
12,2,0,0,13,False,0,True,True,active,15,15,True,2020-08-12 21:49:41+00:00,2020-08-12 22:19:05,2020
13,11,0,0,8,True,0,True,True,active,16,16,True,2020-08-12 22:17:25+00:00,2020-08-12 22:19:05,2020
14,14,0,0,0,False,1,True,True,active,17,17,True,2020-08-12 22:17:32+00:00,2020-08-12 22:19:05,2020
15,5,0,0,10,False,0,True,True,active,19,19,True,2020-08-12 22:18:25+00:00,2020-08-12 22:19:05,2020
16,5,0,0,18,True,0,True,True,active,20,20,True,2020-08-12 22:02:42+00:00,2020-08-12 22:19:05,2020
17,0,0,0,18,True,0,True,True,active,21,21,True,2020-08-12 22:12:59+00:00,2020-08-12 22:19:05,2020
18,36,0,0,11,True,0,True,True,active,22,22,True,2020-08-12 22:18:56+00:00,2020-08-12 22:19:05,2020
19,11,0,0,10,False,0,True,True,active,23,23,True,2020-08-12 22:08:47+00:00,2020-08-12 22:19:05,2020
20,8,0,0,10,False,1,True,True,active,24,24,True,2020-08-12 22:14:10+00:00,2020-08-12 22:19:05,2020
21,7,0,0,7,False,1,True,True,active,25,25,True,2020-08-12 22:03:01+00:00,2020-08-12 22:19:05,2020
22,4,0,0,11,False,0,True,True,active,26,26,True,2020-08-12 22:17:14+00:00,2020-08-12 22:19:05,2020
23,6,0,0,16,False,1,True,True,active,27,27,True,2020-08-12 21:57:18+00:00,2020-08-12 22:19:05,2020
24,6,0,0,9,False,0,True,True,active,29,29,True,2020-08-12 21:40:24+00:00,2020-08-12 22:19:05,2020
25,13,0,0,2,False,0,True,True,active,30,30,True,2020-08-12 22:16:25+00:00,2020-08-12 22:19:05,2020
26,15,0,0,4,True,0,True,True,active,31,31,True,2020-08-12 21:43:33+00:00,2020-08-12 22:19:05,2020
27,0,0,0,14,False,1,True,True,active,32,32,True,2020-08-12 22:12:04+00:00,2020-08-12 22:19:05,2020
28,20,0,0,5,False,2,True,True,active,33,33,True,2020-08-12 22:08:44+00:00,2020-08-12 22:19:05,2020
29,13,0,0,10,False,0,True,True,active,35,35,True,2020-08-12 22:12:25+00:00,2020-08-12 22:19:05,2020
30,24,0,0,9,True,0,True,True,active,36,36,True,2020-08-12 22:09:02+00:00,2020-08-12 22:19:05,2020
31,14,0,0,1,True,0,True,True,active,37,37,True,2020-08-12 22:02:58+00:00,2020-08-12 22:19:05,2020
32,21,0,0,0,False,2,True,True,active,39,39,True,2020-08-12 21:59:26+00:00,2020-08-12 22:19:05,2020
