,is_renting,num_bikes_disabled,station_id,last_reported,num_ebikes_available,num_docks_disabled,is_returning,legacy_id,num_docks_available,station_status,eightd_has_available_keys,num_bikes_available,is_installed,timestamp_of_data_read_request,year_station_last_reported
0,True,1,3,2020-08-12 23:14:11+00:00,0,0,True,3,14,active,False,0,True,2020-08-12 23:20:25,2020
1,True,0,4,2020-08-12 23:00:45+00:00,0,0,True,4,6,active,False,13,True,2020-08-12 23:20:25,2020
2,True,0,5,2020-08-12 23:10:16+00:00,0,0,True,5,13,active,False,2,True,2020-08-12 23:20:25,2020
3,True,1,6,2020-08-12 22:55:30+00:00,0,0,True,6,14,active,False,0,True,2020-08-12 23:20:25,2020
4,True,0,7,2020-08-12 23:19:33+00:00,0,0,True,7,3,active,False,12,True,2020-08-12 23:20:25,2020
5,True,0,8,2020-08-12 23:08:36+00:00,0,0,True,8,19,active,False,0,True,2020-08-12 23:20:25,2020
6,True,1,9,2020-08-12 23:03:23+00:00,0,0,True,9,7,active,False,7,True,2020-08-12 23:20:25,2020
7,True,0,10,2020-08-12 23:03:57+00:00,0,0,True,10,7,active,False,4,True,2020-08-12 23:20:25,2020
8,True,1,11,2020-08-12 22:55:25+00:00,0,0,True,11,14,active,False,0,True,2020-08-12 23:20:25,2020
9,True,0,12,2020-08-12 23:14:36+00:00,0,0,True,12,5,active,True,13,True,2020-08-12 23:20:25,2020
10,True,1,13,2020-08-12 22:55:49+00:00,0,0,True,13,18,active,False,0,True,2020-08-12 23:20:25,2020
11,True,0,14,2020-08-12 22:37:17+00:00,0,0,True,14,25,active,False,0,True,2020-08-12 23:20:25,2020
12,True,0,15,2020-08-12 22:59:12+00:00,0,0,True,15,5,active,False,10,True,2020-08-12 23:20:25,2020
13,True,0,16,2020-08-12 22:48:07+00:00,0,0,True,16,6,active,True,13,True,2020-08-12 23:20:25,2020
14,True,1,17,2020-08-12 23:10:12+00:00,0,0,True,17,11,active,False,3,True,2020-08-12 23:20:25,2020
15,True,0,19,2020-08-12 23:19:44+00:00,0,0,True,19,6,active,False,9,True,2020-08-12 23:20:25,2020
16,True,0,20,2020-08-12 23:14:46+00:00,0,0,True,20,3,active,True,20,True,2020-08-12 23:20:25,2020
