,num_docks_available,is_returning,is_renting,last_reported,eightd_has_available_keys,num_docks_disabled,legacy_id,num_bikes_available,num_ebikes_available,is_installed,station_status,station_id,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
0,14,True,True,2020-08-12 23:14:11+00:00,False,0,3,0,0,True,active,3,1,2020-08-13 00:01:30,2020
1,6,True,True,2020-08-12 23:57:55+00:00,False,0,4,13,0,True,active,4,0,2020-08-13 00:01:30,2020
2,13,True,True,2020-08-12 23:59:10+00:00,False,0,5,2,0,True,active,5,0,2020-08-13 00:01:30,2020
3,13,True,True,2020-08-13 00:01:18+00:00,False,0,6,1,0,True,active,6,1,2020-08-13 00:01:30,2020
4,9,True,True,2020-08-12 23:47:50+00:00,False,0,7,6,0,True,active,7,0,2020-08-13 00:01:30,2020
5,13,True,True,2020-08-12 23:58:31+00:00,False,0,8,6,0,True,active,8,0,2020-08-13 00:01:30,2020
6,4,True,True,2020-08-12 23:54:30+00:00,False,0,9,10,0,True,active,9,1,2020-08-13 00:01:30,2020
7,5,True,True,2020-08-12 23:51:02+00:00,False,0,10,6,0,True,active,10,0,2020-08-13 00:01:30,2020
8,14,True,True,2020-08-12 23:42:51+00:00,False,0,11,0,0,True,active,11,1,2020-08-13 00:01:30,2020
9,1,True,True,2020-08-12 23:59:36+00:00,True,0,12,17,0,True,active,12,0,2020-08-13 00:01:30,2020
10,15,True,True,2020-08-12 23:57:27+00:00,False,0,13,3,0,True,active,13,1,2020-08-13 00:01:30,2020
11,25,True,True,2020-08-12 22:37:17+00:00,False,0,14,0,0,True,active,14,0,2020-08-13 00:01:30,2020
12,4,True,True,2020-08-12 23:59:31+00:00,False,0,15,11,0,True,active,15,0,2020-08-13 00:01:30,2020
13,5,True,True,2020-08-12 23:54:10+00:00,True,0,16,13,0,True,active,16,1,2020-08-13 00:01:30,2020
14,10,True,True,2020-08-12 23:53:39+00:00,False,0,17,4,0,True,active,17,1,2020-08-13 00:01:30,2020
15,8,True,True,2020-08-12 23:59:44+00:00,False,0,19,7,0,True,active,19,0,2020-08-13 00:01:30,2020
16,5,True,True,2020-08-13 00:01:08+00:00,True,0,20,18,0,True,active,20,0,2020-08-13 00:01:30,2020
17,5,True,True,2020-08-12 23:33:33+00:00,True,0,21,13,0,True,active,21,0,2020-08-13 00:01:30,2020
18,41,True,True,2020-08-12 23:40:38+00:00,True,0,22,5,0,True,active,22,1,2020-08-13 00:01:30,2020
19,17,True,True,2020-08-12 22:59:12+00:00,False,0,23,4,0,True,active,23,0,2020-08-13 00:01:30,2020
20,4,True,True,2020-08-12 23:44:07+00:00,False,0,24,13,0,True,active,24,2,2020-08-13 00:01:30,2020
21,5,True,True,2020-08-13 00:01:13+00:00,False,0,25,9,0,True,active,25,1,2020-08-13 00:01:30,2020
22,3,True,True,2020-08-12 23:36:30+00:00,False,0,26,12,0,True,active,26,0,2020-08-13 00:01:30,2020
23,19,True,True,2020-08-12 23:57:58+00:00,False,0,27,2,0,True,active,27,2,2020-08-13 00:01:30,2020
24,8,True,True,2020-08-12 23:26:05+00:00,False,0,29,7,0,True,active,29,0,2020-08-13 00:01:30,2020
25,15,True,True,2020-08-12 23:50:55+00:00,False,0,30,0,0,True,active,30,0,2020-08-13 00:01:30,2020
26,15,True,True,2020-08-12 21:43:33+00:00,True,0,31,4,0,True,active,31,0,2020-08-13 00:01:30,2020
27,15,True,True,2020-08-12 23:53:03+00:00,False,0,32,0,0,True,active,32,0,2020-08-13 00:01:30,2020
28,16,True,True,2020-08-13 00:00:26+00:00,False,0,33,9,0,True,active,33,2,2020-08-13 00:01:30,2020
29,15,True,True,2020-08-12 23:44:46+00:00,False,0,35,8,0,True,active,35,0,2020-08-13 00:01:30,2020
30,27,True,True,2020-08-12 23:46:48+00:00,True,0,36,5,0,True,active,36,1,2020-08-13 00:01:30,2020
31,14,True,True,2020-08-12 22:02:58+00:00,True,0,37,1,0,True,active,37,0,2020-08-13 00:01:30,2020
32,21,True,True,2020-08-12 23:50:07+00:00,False,0,39,0,0,True,active,39,2,2020-08-13 00:01:30,2020
33,8,True,True,2020-08-13 00:01:06+00:00,False,0,40,10,0,True,active,40,1,2020-08-13 00:01:30,2020
34,20,True,True,2020-08-13 00:00:43+00:00,True,0,41,7,0,True,active,41,0,2020-08-13 00:01:30,2020
35,15,True,True,2020-08-12 23:50:35+00:00,False,0,42,8,0,True,active,42,0,2020-08-13 00:01:30,2020
36,4,True,True,2020-08-12 23:58:02+00:00,True,0,43,11,0,True,active,43,0,2020-08-13 00:01:30,2020
37,13,True,True,2020-08-13 00:00:34+00:00,False,0,44,10,0,True,active,44,0,2020-08-13 00:01:30,2020
38,5,True,True,2020-08-12 23:59:02+00:00,False,0,46,12,0,True,active,46,2,2020-08-13 00:01:30,2020
39,11,True,True,2020-08-12 23:58:32+00:00,True,0,47,8,0,True,active,47,0,2020-08-13 00:01:30,2020
40,19,True,True,2020-08-12 23:26:29+00:00,False,0,48,0,0,True,active,48,0,2020-08-13 00:01:30,2020
41,8,True,True,2020-08-12 23:19:14+00:00,False,0,49,10,0,True,active,49,0,2020-08-13 00:01:30,2020
42,13,True,True,2020-08-13 00:00:12+00:00,True,0,50,2,0,True,active,50,0,2020-08-13 00:01:30,2020
43,12,True,True,2020-08-12 23:36:37+00:00,False,0,51,3,0,True,active,51,0,2020-08-13 00:01:30,2020
44,12,True,True,2020-08-13 00:01:02+00:00,True,0,52,11,0,True,active,52,0,2020-08-13 00:01:30,2020
45,0,True,True,2020-08-12 23:47:04+00:00,False,0,53,18,0,True,active,53,1,2020-08-13 00:01:30,2020
46,9,True,True,2020-08-12 23:57:51+00:00,False,0,54,6,0,True,active,54,0,2020-08-13 00:01:30,2020
47,3,True,True,2020-08-12 23:59:13+00:00,False,0,55,12,0,True,active,55,0,2020-08-13 00:01:30,2020
48,13,True,True,2020-08-12 23:39:12+00:00,True,0,56,4,0,True,active,56,1,2020-08-13 00:01:30,2020
49,2,True,True,2020-08-12 23:43:07+00:00,True,0,57,11,0,True,active,57,1,2020-08-13 00:01:30,2020
50,4,True,True,2020-08-13 00:00:15+00:00,True,0,58,14,0,True,active,58,1,2020-08-13 00:01:30,2020
51,18,True,True,2020-08-12 23:56:20+00:00,True,0,59,1,0,True,active,59,0,2020-08-13 00:01:30,2020
