,num_docks_available,legacy_id,num_bikes_available,is_installed,is_returning,station_status,num_docks_disabled,is_renting,eightd_has_available_keys,last_reported,station_id,num_bikes_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
0,14,3,0,True,True,active,0,True,False,2020-08-13 03:17:02+00:00,3,1,0,2020-08-13 05:28:25,2020
1,0,4,19,True,True,active,0,True,False,2020-08-13 03:53:52+00:00,4,0,0,2020-08-13 05:28:25,2020
2,10,5,5,True,True,active,0,True,False,2020-08-13 04:57:56+00:00,5,0,0,2020-08-13 05:28:25,2020
3,12,6,2,True,True,active,0,True,False,2020-08-13 04:51:58+00:00,6,1,0,2020-08-13 05:28:25,2020
4,15,7,0,True,True,active,0,True,False,2020-08-13 04:04:59+00:00,7,0,0,2020-08-13 05:28:25,2020
5,4,8,15,True,True,active,0,True,False,2020-08-13 04:56:07+00:00,8,0,0,2020-08-13 05:28:25,2020
6,0,9,14,True,True,active,0,True,False,2020-08-13 03:58:51+00:00,9,1,0,2020-08-13 05:28:25,2020
7,8,10,3,True,True,active,0,True,False,2020-08-13 03:15:42+00:00,10,0,0,2020-08-13 05:28:25,2020
8,13,11,0,True,True,active,0,True,False,2020-08-13 04:41:00+00:00,11,2,0,2020-08-13 05:28:25,2020
9,5,12,13,True,True,active,0,True,True,2020-08-13 05:00:35+00:00,12,0,0,2020-08-13 05:28:25,2020
10,16,13,3,True,True,active,0,True,False,2020-08-13 04:34:37+00:00,13,0,0,2020-08-13 05:28:25,2020
11,25,14,0,True,True,active,0,True,False,2020-08-13 04:17:08+00:00,14,0,0,2020-08-13 05:28:25,2020
12,2,15,13,True,True,active,0,True,False,2020-08-13 03:58:02+00:00,15,0,0,2020-08-13 05:28:25,2020
13,8,16,11,True,True,active,0,True,True,2020-08-13 03:16:22+00:00,16,0,0,2020-08-13 05:28:25,2020
14,12,17,2,True,True,active,0,True,False,2020-08-13 03:59:04+00:00,17,1,0,2020-08-13 05:28:25,2020
15,6,19,8,True,True,active,0,True,False,2020-08-13 04:46:24+00:00,19,1,0,2020-08-13 05:28:25,2020
16,9,20,14,True,True,active,0,True,True,2020-08-13 04:18:40+00:00,20,0,0,2020-08-13 05:28:25,2020
17,9,21,9,True,True,active,0,True,True,2020-08-13 03:15:22+00:00,21,0,0,2020-08-13 05:28:25,2020
18,44,22,3,True,True,active,0,True,True,2020-08-13 04:25:17+00:00,22,0,0,2020-08-13 05:28:25,2020
19,21,23,0,True,True,active,0,True,False,2020-08-13 03:17:16+00:00,23,0,0,2020-08-13 05:28:25,2020
20,8,24,10,True,True,active,0,True,False,2020-08-13 04:47:46+00:00,24,1,0,2020-08-13 05:28:25,2020
21,0,25,14,True,True,active,0,True,False,2020-08-13 03:21:54+00:00,25,1,0,2020-08-13 05:28:25,2020
22,3,26,12,True,True,active,0,True,False,2020-08-13 04:47:31+00:00,26,0,0,2020-08-13 05:28:25,2020
23,1,27,21,True,True,active,0,True,False,2020-08-13 05:15:08+00:00,27,1,0,2020-08-13 05:28:25,2020
24,8,29,7,True,True,active,0,True,False,2020-08-13 03:16:26+00:00,29,0,0,2020-08-13 05:28:25,2020
25,9,30,5,True,True,active,0,True,False,2020-08-13 05:09:44+00:00,30,1,0,2020-08-13 05:28:25,2020
26,17,31,2,True,True,active,0,True,True,2020-08-13 03:16:23+00:00,31,0,0,2020-08-13 05:28:25,2020
27,12,32,3,True,True,active,0,True,False,2020-08-13 05:03:59+00:00,32,0,0,2020-08-13 05:28:25,2020
28,17,33,10,True,True,active,0,True,False,2020-08-13 04:27:11+00:00,33,0,0,2020-08-13 05:28:25,2020
29,15,35,8,True,True,active,0,True,False,2020-08-13 05:19:01+00:00,35,0,0,2020-08-13 05:28:25,2020
30,31,36,2,True,True,active,0,True,True,2020-08-13 04:56:59+00:00,36,0,0,2020-08-13 05:28:25,2020
31,10,37,5,True,True,active,0,True,True,2020-08-13 03:39:24+00:00,37,0,0,2020-08-13 05:28:25,2020
32,3,39,20,True,True,active,0,True,False,2020-08-13 04:53:24+00:00,39,0,0,2020-08-13 05:28:25,2020
33,5,40,12,True,True,active,0,True,False,2020-08-13 03:16:48+00:00,40,2,0,2020-08-13 05:28:25,2020
34,0,41,27,True,True,active,0,True,True,2020-08-13 05:05:51+00:00,41,0,0,2020-08-13 05:28:25,2020
