,is_installed,station_status,last_reported,legacy_id,num_ebikes_available,num_bikes_disabled,is_returning,num_docks_disabled,num_docks_available,num_bikes_available,eightd_has_available_keys,station_id,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,active,2020-08-13 13:22:04+00:00,3,0,0,True,0,5,10,False,3,True,,,2020-08-13 13:27:55,2020
1,True,active,2020-08-13 12:59:00+00:00,4,0,0,True,0,5,14,False,4,True,,,2020-08-13 13:27:55,2020
2,True,active,2020-08-13 13:19:12+00:00,5,0,0,True,0,10,5,False,5,True,,,2020-08-13 13:27:55,2020
3,True,active,2020-08-13 13:15:26+00:00,6,0,1,True,0,13,1,False,6,True,,,2020-08-13 13:27:55,2020
4,True,active,2020-08-13 13:14:17+00:00,7,0,0,True,0,14,1,False,7,True,,,2020-08-13 13:27:55,2020
5,True,active,2020-08-13 13:20:44+00:00,8,0,0,True,0,8,11,False,8,True,,,2020-08-13 13:27:55,2020
6,True,active,2020-08-13 13:17:21+00:00,9,0,1,True,0,2,12,False,9,True,,,2020-08-13 13:27:55,2020
7,True,active,2020-08-13 13:24:43+00:00,10,0,0,True,0,7,4,False,10,True,,,2020-08-13 13:27:55,2020
8,True,active,2020-08-13 13:25:27+00:00,11,0,1,True,0,8,6,False,11,True,,,2020-08-13 13:27:55,2020
9,True,active,2020-08-13 13:07:49+00:00,12,0,0,True,0,1,17,True,12,True,,,2020-08-13 13:27:55,2020
10,True,active,2020-08-13 13:26:48+00:00,13,0,0,True,0,1,18,False,13,True,,,2020-08-13 13:27:55,2020
11,True,active,2020-08-13 13:23:43+00:00,14,0,0,True,0,12,13,False,14,True,,,2020-08-13 13:27:55,2020
12,True,active,2020-08-13 13:20:32+00:00,15,0,0,True,0,8,7,False,15,True,,,2020-08-13 13:27:55,2020
13,True,active,2020-08-13 13:25:01+00:00,16,0,0,True,0,9,10,True,16,True,,,2020-08-13 13:27:55,2020
14,True,active,2020-08-13 13:19:22+00:00,17,0,1,True,0,11,3,False,17,True,,,2020-08-13 13:27:55,2020
15,True,active,2020-08-13 12:48:35+00:00,19,0,1,True,0,11,3,False,19,True,,,2020-08-13 13:27:55,2020
16,True,active,2020-08-13 13:23:25+00:00,20,0,0,True,0,12,11,True,20,True,,,2020-08-13 13:27:55,2020
17,True,active,2020-08-13 12:39:14+00:00,21,0,0,True,0,18,0,True,21,True,,,2020-08-13 13:27:55,2020
18,True,active,2020-08-13 13:25:34+00:00,22,0,1,True,0,38,8,True,22,True,,,2020-08-13 13:27:55,2020
19,True,active,2020-08-13 13:15:49+00:00,23,0,0,True,0,10,11,False,23,True,,,2020-08-13 13:27:55,2020
20,True,active,2020-08-13 13:21:46+00:00,24,0,1,True,0,5,13,False,24,True,,,2020-08-13 13:27:55,2020
21,True,active,2020-08-13 13:23:09+00:00,25,0,1,True,0,8,6,False,25,True,,,2020-08-13 13:27:55,2020
22,True,active,2020-08-13 12:56:30+00:00,26,0,0,True,0,4,11,False,26,True,,,2020-08-13 13:27:55,2020
23,True,active,2020-08-13 13:24:21+00:00,27,0,0,True,0,10,13,False,27,True,,,2020-08-13 13:27:55,2020
24,True,active,2020-08-13 12:43:37+00:00,29,0,0,True,0,6,9,False,29,True,,,2020-08-13 13:27:55,2020
25,True,active,2020-08-13 11:59:37+00:00,30,0,1,True,0,0,14,False,30,True,,,2020-08-13 13:27:55,2020
26,True,active,2020-08-13 13:25:53+00:00,31,0,0,True,0,12,7,True,31,True,,,2020-08-13 13:27:55,2020
27,True,active,2020-08-13 13:13:47+00:00,32,0,1,True,0,2,12,False,32,True,,,2020-08-13 13:27:55,2020
28,True,active,2020-08-13 13:16:33+00:00,33,0,0,True,0,21,6,False,33,True,,,2020-08-13 13:27:55,2020
29,True,active,2020-08-13 13:24:00+00:00,35,0,1,True,0,9,13,False,35,True,,,2020-08-13 13:27:55,2020
30,True,active,2020-08-13 13:06:14+00:00,36,0,0,True,0,26,7,True,36,True,,,2020-08-13 13:27:55,2020
31,True,active,2020-08-13 12:30:54+00:00,37,0,0,True,0,11,4,True,37,True,,,2020-08-13 13:27:55,2020
32,True,active,2020-08-13 13:27:30+00:00,39,0,1,True,0,2,20,False,39,True,,,2020-08-13 13:27:55,2020
33,True,active,2020-08-13 13:26:25+00:00,40,0,1,True,0,12,6,False,40,True,,,2020-08-13 13:27:55,2020
34,True,active,2020-08-13 13:27:46+00:00,41,0,0,True,0,16,11,True,41,True,,,2020-08-13 13:27:55,2020
35,True,active,2020-08-13 13:27:02+00:00,42,0,0,True,0,10,13,False,42,True,,,2020-08-13 13:27:55,2020
36,True,active,2020-08-13 12:57:00+00:00,43,0,0,True,0,3,12,True,43,True,,,2020-08-13 13:27:55,2020
37,True,active,2020-08-13 12:49:59+00:00,44,0,0,True,0,18,5,False,44,True,,,2020-08-13 13:27:55,2020
38,True,active,2020-08-13 13:26:39+00:00,46,0,0,True,0,16,3,False,46,True,,,2020-08-13 13:27:55,2020
39,True,active,2020-08-13 13:22:45+00:00,47,0,0,True,0,16,3,True,47,True,,,2020-08-13 13:27:55,2020
40,True,active,2020-08-13 13:26:27+00:00,48,0,0,True,0,9,10,False,48,True,,,2020-08-13 13:27:55,2020
41,True,active,2020-08-13 13:20:29+00:00,49,0,0,True,0,7,11,False,49,True,,,2020-08-13 13:27:55,2020
42,True,active,2020-08-13 13:02:21+00:00,50,0,0,True,0,9,6,True,50,True,,,2020-08-13 13:27:55,2020
43,True,active,2020-08-13 13:27:30+00:00,51,0,0,True,0,12,3,False,51,True,,,2020-08-13 13:27:55,2020
44,True,active,2020-08-13 13:24:02+00:00,52,0,0,True,0,6,17,True,52,True,,,2020-08-13 13:27:55,2020
