,is_installed,num_docks_disabled,is_renting,num_docks_available,station_status,last_reported,num_bikes_available,legacy_id,is_returning,eightd_has_available_keys,num_ebikes_available,station_id,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,0,True,4,active,2020-08-13 19:59:16+00:00,11,3,True,False,0,3,0,,,2020-08-13 20:27:05,2020
1,True,0,True,12,active,2020-08-13 20:24:20+00:00,7,4,True,False,0,4,0,,,2020-08-13 20:27:05,2020
2,True,0,True,9,active,2020-08-13 20:23:24+00:00,6,5,True,False,0,5,0,,,2020-08-13 20:27:05,2020
3,True,0,True,3,active,2020-08-13 20:23:13+00:00,11,6,True,False,0,6,1,,,2020-08-13 20:27:05,2020
4,True,0,True,12,active,2020-08-13 20:20:16+00:00,3,7,True,False,0,7,0,,,2020-08-13 20:27:05,2020
5,True,0,True,6,active,2020-08-13 20:25:50+00:00,13,8,True,False,0,8,0,,,2020-08-13 20:27:05,2020
6,True,0,True,2,active,2020-08-13 20:16:37+00:00,12,9,True,False,0,9,1,,,2020-08-13 20:27:05,2020
7,True,0,True,0,active,2020-08-13 20:25:13+00:00,10,10,True,False,0,10,1,,,2020-08-13 20:27:05,2020
8,True,0,True,13,active,2020-08-13 20:23:03+00:00,2,11,True,False,0,11,0,"{'off_dock_capacity': 50, 'active': True, 'dock_blocked_count': 0, 'region': 'BOS', 'off_dock_count': 1, 'valet_revision': 87, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-13 20:27:05,2020
9,True,0,True,17,active,2020-08-13 20:17:31+00:00,0,12,True,True,0,12,1,,,2020-08-13 20:27:05,2020
10,True,0,True,15,active,2020-08-13 20:16:39+00:00,4,13,True,False,0,13,0,,,2020-08-13 20:27:05,2020
11,True,0,True,14,active,2020-08-13 20:26:06+00:00,11,14,True,False,0,14,0,,,2020-08-13 20:27:05,2020
12,True,0,True,6,active,2020-08-13 20:06:03+00:00,9,15,True,False,0,15,0,,,2020-08-13 20:27:05,2020
13,True,0,True,10,active,2020-08-13 20:15:44+00:00,9,16,True,True,0,16,0,,,2020-08-13 20:27:05,2020
14,True,0,True,10,active,2020-08-13 20:15:43+00:00,4,17,True,False,0,17,1,,,2020-08-13 20:27:05,2020
15,True,0,True,13,active,2020-08-13 20:26:20+00:00,1,19,True,False,0,19,1,,,2020-08-13 20:27:05,2020
16,True,0,True,14,active,2020-08-13 20:24:59+00:00,9,20,True,True,0,20,0,,,2020-08-13 20:27:05,2020
17,True,0,True,14,active,2020-08-13 20:15:16+00:00,3,21,True,True,0,21,1,,,2020-08-13 20:27:05,2020
18,True,0,True,37,active,2020-08-13 20:25:58+00:00,10,22,True,True,0,22,0,,,2020-08-13 20:27:05,2020
19,True,0,True,15,active,2020-08-13 20:23:56+00:00,6,23,True,False,0,23,0,,,2020-08-13 20:27:05,2020
20,True,0,True,5,active,2020-08-13 19:41:34+00:00,13,24,True,False,0,24,1,,,2020-08-13 20:27:05,2020
21,True,0,True,5,active,2020-08-13 20:10:02+00:00,9,25,True,False,0,25,1,,,2020-08-13 20:27:05,2020
22,True,0,True,1,active,2020-08-13 20:17:03+00:00,14,26,True,False,0,26,0,,,2020-08-13 20:27:05,2020
23,True,0,True,15,active,2020-08-13 20:22:26+00:00,8,27,True,False,0,27,0,,,2020-08-13 20:27:05,2020
24,True,0,True,8,active,2020-08-13 19:15:47+00:00,7,29,True,False,0,29,0,,,2020-08-13 20:27:05,2020
25,True,0,True,11,active,2020-08-13 20:26:24+00:00,3,30,True,False,0,30,1,,,2020-08-13 20:27:05,2020
26,True,0,True,17,active,2020-08-13 20:21:26+00:00,2,31,True,True,0,31,0,,,2020-08-13 20:27:05,2020
27,True,0,True,6,active,2020-08-13 20:26:20+00:00,9,32,True,False,0,32,0,,,2020-08-13 20:27:05,2020
28,True,0,True,20,active,2020-08-13 20:20:36+00:00,7,33,True,False,0,33,0,,,2020-08-13 20:27:05,2020
29,True,0,True,8,active,2020-08-13 20:26:41+00:00,15,35,True,False,0,35,0,,,2020-08-13 20:27:05,2020
30,True,0,True,27,active,2020-08-13 20:21:21+00:00,6,36,True,True,0,36,0,,,2020-08-13 20:27:05,2020
31,True,0,True,14,active,2020-08-13 19:22:21+00:00,1,37,True,True,0,37,0,,,2020-08-13 20:27:05,2020
32,True,0,True,4,active,2020-08-13 20:13:15+00:00,19,39,True,False,0,39,0,,,2020-08-13 20:27:05,2020
33,True,0,True,8,active,2020-08-13 20:17:28+00:00,11,40,True,False,0,40,0,,,2020-08-13 20:27:05,2020
34,True,0,True,19,active,2020-08-13 20:14:16+00:00,8,41,True,True,0,41,0,,,2020-08-13 20:27:05,2020
35,True,0,True,11,active,2020-08-13 20:12:01+00:00,11,42,True,False,0,42,1,,,2020-08-13 20:27:05,2020
36,True,0,True,2,active,2020-08-13 20:18:41+00:00,13,43,True,True,0,43,0,,,2020-08-13 20:27:05,2020
37,True,0,True,23,active,2020-08-13 19:05:34+00:00,0,44,True,False,0,44,0,,,2020-08-13 20:27:05,2020
38,True,0,True,13,active,2020-08-13 20:21:57+00:00,6,46,True,False,0,46,0,,,2020-08-13 20:27:05,2020
39,True,0,True,6,active,2020-08-13 20:23:51+00:00,12,47,True,True,0,47,1,,,2020-08-13 20:27:05,2020
40,True,0,True,5,active,2020-08-13 19:37:32+00:00,13,48,True,False,0,48,1,,,2020-08-13 20:27:05,2020
41,True,0,True,10,active,2020-08-13 20:16:46+00:00,8,49,True,False,0,49,0,,,2020-08-13 20:27:05,2020
42,True,0,True,5,active,2020-08-13 20:00:32+00:00,10,50,True,True,0,50,0,,,2020-08-13 20:27:05,2020
43,True,0,True,13,active,2020-08-13 20:14:33+00:00,2,51,True,False,0,51,0,,,2020-08-13 20:27:05,2020
44,True,0,True,8,active,2020-08-13 20:25:42+00:00,15,52,True,True,0,52,0,,,2020-08-13 20:27:05,2020
45,True,0,True,9,active,2020-08-13 20:12:46+00:00,9,53,True,False,0,53,1,,,2020-08-13 20:27:05,2020
46,True,0,True,1,active,2020-08-13 19:58:49+00:00,14,54,True,False,0,54,0,,,2020-08-13 20:27:05,2020
47,True,0,True,3,active,2020-08-13 20:06:31+00:00,11,55,True,False,0,55,1,,,2020-08-13 20:27:05,2020
48,True,0,True,13,active,2020-08-13 20:17:44+00:00,4,56,True,True,0,56,1,,,2020-08-13 20:27:05,2020
49,True,0,True,9,active,2020-08-13 20:22:39+00:00,4,57,True,True,0,57,1,,,2020-08-13 20:27:05,2020
50,True,0,True,10,active,2020-08-13 20:05:54+00:00,8,58,True,True,0,58,1,,,2020-08-13 20:27:05,2020
51,True,0,True,12,active,2020-08-13 19:59:49+00:00,7,59,True,True,0,59,0,,,2020-08-13 20:27:05,2020
52,True,0,True,6,active,2020-08-13 20:24:43+00:00,13,60,True,False,0,60,0,,,2020-08-13 20:27:05,2020
53,True,0,True,6,active,2020-08-13 20:24:49+00:00,11,61,True,False,0,61,2,,,2020-08-13 20:27:05,2020
54,True,0,True,11,active,2020-08-13 18:06:42+00:00,4,63,True,False,0,63,0,,,2020-08-13 20:27:05,2020
55,True,0,True,11,active,2020-08-13 20:22:24+00:00,7,64,True,False,0,64,1,,,2020-08-13 20:27:05,2020
56,True,0,True,18,active,2020-08-13 17:39:01+00:00,5,65,True,False,0,65,0,,,2020-08-13 20:27:05,2020
57,True,0,True,9,active,2020-08-13 20:07:42+00:00,5,66,True,False,0,66,1,,,2020-08-13 20:27:05,2020
58,True,0,True,10,active,2020-08-13 20:09:11+00:00,15,67,True,True,0,67,2,,,2020-08-13 20:27:05,2020
59,True,0,True,6,active,2020-08-13 20:23:28+00:00,12,68,True,True,0,68,1,,,2020-08-13 20:27:05,2020
60,True,0,True,12,active,2020-08-13 20:21:08+00:00,6,69,True,True,0,69,1,,,2020-08-13 20:27:05,2020
61,True,0,True,8,active,2020-08-13 20:15:45+00:00,15,70,True,False,0,70,0,,,2020-08-13 20:27:05,2020
62,True,0,True,7,active,2020-08-13 20:15:30+00:00,16,71,True,False,0,71,0,,,2020-08-13 20:27:05,2020
63,True,0,True,5,active,2020-08-13 20:10:27+00:00,18,72,True,False,0,72,0,,,2020-08-13 20:27:05,2020
64,True,0,True,11,active,2020-08-13 20:22:34+00:00,3,73,True,False,0,73,1,,,2020-08-13 20:27:05,2020
65,True,0,True,5,active,2020-08-13 20:17:11+00:00,13,74,True,True,0,74,1,,,2020-08-13 20:27:05,2020
66,True,0,True,8,active,2020-08-13 20:06:43+00:00,7,75,True,False,0,75,0,,,2020-08-13 20:27:05,2020
67,True,0,True,13,active,2020-08-13 20:26:33+00:00,3,76,True,False,0,76,1,,,2020-08-13 20:27:05,2020
68,True,0,True,12,active,2020-08-13 19:24:05+00:00,2,77,True,False,0,77,1,,,2020-08-13 20:27:05,2020
69,True,0,True,10,active,2020-08-13 20:16:05+00:00,9,78,True,False,0,78,0,,,2020-08-13 20:27:05,2020
70,True,0,True,8,active,2020-08-13 20:26:31+00:00,9,79,True,False,0,79,2,,,2020-08-13 20:27:05,2020
71,True,0,True,2,active,2020-08-13 20:26:16+00:00,30,80,True,False,0,80,3,,,2020-08-13 20:27:05,2020
72,True,0,True,1,active,2020-08-13 20:27:01+00:00,15,81,True,False,0,81,3,,,2020-08-13 20:27:05,2020
73,True,0,True,14,active,2020-08-13 20:25:25+00:00,1,82,True,False,0,82,0,,,2020-08-13 20:27:05,2020
74,True,0,True,4,active,2020-08-13 20:22:52+00:00,10,84,True,False,0,84,1,,,2020-08-13 20:27:05,2020
75,True,0,True,8,active,2020-08-13 20:22:23+00:00,11,85,True,False,0,85,0,,,2020-08-13 20:27:05,2020
76,True,0,True,6,active,2020-08-13 20:20:53+00:00,13,86,True,False,0,86,0,,,2020-08-13 20:27:05,2020
77,True,0,True,9,active,2020-08-13 20:24:50+00:00,6,87,True,False,0,87,0,,,2020-08-13 20:27:05,2020
78,True,0,True,11,active,2020-08-13 20:23:03+00:00,8,89,True,False,0,89,0,,,2020-08-13 20:27:05,2020
79,True,0,True,10,active,2020-08-13 20:24:25+00:00,9,90,True,False,0,90,0,,,2020-08-13 20:27:05,2020
80,True,0,True,4,active,2020-08-13 20:20:15+00:00,15,91,True,False,0,91,0,,,2020-08-13 20:27:05,2020
81,True,0,True,9,active,2020-08-13 16:36:00+00:00,10,92,True,False,0,92,0,,,2020-08-13 20:27:05,2020
82,True,0,True,7,active,2020-08-13 19:37:02+00:00,8,93,True,False,0,93,0,,,2020-08-13 20:27:05,2020
83,True,0,True,9,active,2020-08-13 20:26:50+00:00,2,94,True,False,0,94,0,,,2020-08-13 20:27:05,2020
84,True,0,True,10,active,2020-08-13 20:06:58+00:00,4,95,True,False,0,95,1,,,2020-08-13 20:27:05,2020
85,True,0,True,11,active,2020-08-13 20:16:38+00:00,8,96,True,False,0,96,0,,,2020-08-13 20:27:05,2020
86,True,0,True,11,active,2020-08-13 20:03:01+00:00,7,97,True,False,0,97,1,,,2020-08-13 20:27:05,2020
87,True,0,True,14,active,2020-08-13 20:19:08+00:00,9,98,True,False,0,98,0,,,2020-08-13 20:27:05,2020
88,True,0,True,6,active,2020-08-13 19:41:33+00:00,8,99,True,False,0,99,1,,,2020-08-13 20:27:05,2020
89,True,0,True,10,active,2020-08-13 19:34:44+00:00,14,100,True,True,0,100,1,,,2020-08-13 20:27:05,2020
90,True,0,True,4,active,2020-08-13 19:20:42+00:00,11,101,True,False,0,101,0,,,2020-08-13 20:27:05,2020
91,True,0,True,6,active,2020-08-13 20:19:42+00:00,9,102,True,False,0,102,0,,,2020-08-13 20:27:05,2020
92,True,0,True,8,active,2020-08-13 20:23:05+00:00,7,103,True,False,0,103,0,,,2020-08-13 20:27:05,2020
93,True,0,True,14,active,2020-08-13 20:09:23+00:00,5,104,True,False,0,104,0,,,2020-08-13 20:27:05,2020
94,True,0,True,15,active,2020-08-13 20:24:16+00:00,4,105,True,False,0,105,0,,,2020-08-13 20:27:05,2020
95,True,0,True,14,active,2020-08-13 18:54:26+00:00,0,106,True,False,0,106,1,,,2020-08-13 20:27:05,2020
96,True,0,True,4,active,2020-08-13 20:22:38+00:00,15,107,True,False,0,107,0,,,2020-08-13 20:27:05,2020
97,True,0,True,15,active,2020-08-13 19:42:58+00:00,2,108,True,False,0,108,0,,,2020-08-13 20:27:05,2020
98,True,0,True,33,active,2020-08-13 20:05:57+00:00,2,109,True,False,0,109,0,,,2020-08-13 20:27:05,2020
99,True,0,True,14,active,2020-08-13 20:21:12+00:00,1,110,True,False,0,110,0,,,2020-08-13 20:27:05,2020
100,True,0,True,9,active,2020-08-13 20:06:29+00:00,6,111,True,False,0,111,0,,,2020-08-13 20:27:05,2020
101,True,0,True,4,active,2020-08-13 18:44:09+00:00,11,112,True,False,0,112,0,,,2020-08-13 20:27:05,2020
102,True,0,True,6,active,2020-08-13 20:24:29+00:00,9,113,True,False,0,113,0,,,2020-08-13 20:27:05,2020
103,True,0,True,12,active,2020-08-13 19:12:28+00:00,2,114,True,False,0,114,1,,,2020-08-13 20:27:05,2020
