,is_returning,num_bikes_available,station_status,eightd_has_available_keys,num_docks_disabled,station_id,num_bikes_disabled,num_docks_available,is_renting,legacy_id,num_ebikes_available,last_reported,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,4,active,False,0,3,1,10,True,3,0,2020-08-13 22:16:58+00:00,True,,,2020-08-13 22:19:30,2020
1,True,10,active,False,0,4,0,9,True,4,0,2020-08-13 22:05:24+00:00,True,,,2020-08-13 22:19:30,2020
2,True,2,active,False,0,5,0,13,True,5,0,2020-08-13 22:13:32+00:00,True,,,2020-08-13 22:19:30,2020
3,True,0,active,False,0,6,1,14,True,6,0,2020-08-13 22:00:12+00:00,True,,,2020-08-13 22:19:30,2020
4,True,2,active,False,0,7,0,13,True,7,0,2020-08-13 22:11:34+00:00,True,,,2020-08-13 22:19:30,2020
5,True,5,active,False,0,8,0,14,True,8,0,2020-08-13 22:17:15+00:00,True,,,2020-08-13 22:19:30,2020
6,True,4,active,False,0,9,1,10,True,9,0,2020-08-13 22:14:53+00:00,True,,,2020-08-13 22:19:30,2020
7,True,9,active,False,0,10,1,1,True,10,0,2020-08-13 22:18:48+00:00,True,,,2020-08-13 22:19:30,2020
8,True,0,active,False,0,11,0,15,True,11,0,2020-08-13 22:03:29+00:00,True,"{'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 0, 'active': True, 'dock_blocked_count': 0, 'region': 'BOS', 'valet_revision': 87}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-13 22:19:30,2020
9,True,11,active,True,0,12,1,6,True,12,0,2020-08-13 22:18:40+00:00,True,,,2020-08-13 22:19:30,2020
10,True,1,active,False,0,13,0,18,True,13,0,2020-08-13 22:18:18+00:00,True,,,2020-08-13 22:19:30,2020
11,True,0,active,False,0,14,0,25,True,14,0,2020-08-13 22:11:19+00:00,True,,,2020-08-13 22:19:30,2020
12,True,9,active,False,0,15,0,6,True,15,0,2020-08-13 22:08:23+00:00,True,,,2020-08-13 22:19:30,2020
13,True,18,active,True,0,16,0,1,True,16,0,2020-08-13 22:18:09+00:00,True,,,2020-08-13 22:19:30,2020
14,True,5,active,False,0,17,1,9,True,17,0,2020-08-13 22:18:49+00:00,True,,,2020-08-13 22:19:30,2020
15,True,4,active,False,0,19,1,10,True,19,0,2020-08-13 22:18:22+00:00,True,,,2020-08-13 22:19:30,2020
16,True,13,active,True,0,20,0,10,True,20,0,2020-08-13 22:16:37+00:00,True,,,2020-08-13 22:19:30,2020
17,True,4,active,True,0,21,0,14,True,21,0,2020-08-13 22:19:23+00:00,True,,,2020-08-13 22:19:30,2020
18,True,12,active,True,0,22,0,35,True,22,0,2020-08-13 22:03:58+00:00,True,,,2020-08-13 22:19:30,2020
19,True,1,active,False,0,23,0,20,True,23,0,2020-08-13 22:18:12+00:00,True,,,2020-08-13 22:19:30,2020
20,True,18,active,False,0,24,1,0,True,24,0,2020-08-13 21:53:50+00:00,True,,,2020-08-13 22:19:30,2020
21,True,8,active,False,0,25,1,6,True,25,0,2020-08-13 22:15:53+00:00,True,,,2020-08-13 22:19:30,2020
22,True,8,active,False,0,26,0,7,True,26,0,2020-08-13 22:19:04+00:00,True,,,2020-08-13 22:19:30,2020
23,True,17,active,False,0,27,2,4,True,27,0,2020-08-13 22:18:26+00:00,True,,,2020-08-13 22:19:30,2020
24,True,6,active,False,0,29,0,9,True,29,0,2020-08-13 21:56:11+00:00,True,,,2020-08-13 22:19:30,2020
25,True,0,active,False,0,30,1,14,True,30,0,2020-08-13 22:14:49+00:00,True,,,2020-08-13 22:19:30,2020
26,True,2,active,True,0,31,0,17,True,31,0,2020-08-13 20:21:26+00:00,True,,,2020-08-13 22:19:30,2020
27,True,12,active,False,0,32,0,3,True,32,0,2020-08-13 22:17:29+00:00,True,,,2020-08-13 22:19:30,2020
28,True,9,active,False,0,33,0,18,True,33,0,2020-08-13 22:18:04+00:00,True,,,2020-08-13 22:19:30,2020
29,True,10,active,False,0,35,0,13,True,35,0,2020-08-13 22:10:22+00:00,True,,,2020-08-13 22:19:30,2020
30,True,4,active,True,0,36,0,29,True,36,0,2020-08-13 22:14:52+00:00,True,,,2020-08-13 22:19:30,2020
31,True,2,active,True,0,37,0,13,True,37,0,2020-08-13 21:53:32+00:00,True,,,2020-08-13 22:19:30,2020
32,True,12,active,False,0,39,0,11,True,39,0,2020-08-13 22:14:59+00:00,True,,,2020-08-13 22:19:30,2020
33,True,18,active,False,0,40,0,1,True,40,0,2020-08-13 22:16:27+00:00,True,,,2020-08-13 22:19:30,2020
34,True,6,active,True,0,41,0,21,True,41,0,2020-08-13 22:18:16+00:00,True,,,2020-08-13 22:19:30,2020
35,True,7,active,False,0,42,1,15,True,42,0,2020-08-13 21:58:16+00:00,True,,,2020-08-13 22:19:30,2020
36,True,8,active,True,0,43,0,7,True,43,0,2020-08-13 21:47:46+00:00,True,,,2020-08-13 22:19:30,2020
37,True,0,active,False,0,44,0,23,True,44,0,2020-08-13 19:05:34+00:00,True,,,2020-08-13 22:19:30,2020
38,True,3,active,False,0,46,0,16,True,46,0,2020-08-13 22:15:15+00:00,True,,,2020-08-13 22:19:30,2020
39,True,7,active,True,0,47,1,11,True,47,0,2020-08-13 22:15:04+00:00,True,,,2020-08-13 22:19:30,2020
40,True,10,active,False,0,48,0,9,True,48,0,2020-08-13 22:17:26+00:00,True,,,2020-08-13 22:19:30,2020
41,True,5,active,False,0,49,0,13,True,49,0,2020-08-13 22:12:19+00:00,True,,,2020-08-13 22:19:30,2020
42,True,3,active,True,0,50,0,12,True,50,0,2020-08-13 22:15:40+00:00,True,,,2020-08-13 22:19:30,2020
43,True,3,active,False,0,51,0,12,True,51,0,2020-08-13 21:59:14+00:00,True,,,2020-08-13 22:19:30,2020
44,True,14,active,True,0,52,0,9,True,52,0,2020-08-13 22:18:00+00:00,True,,,2020-08-13 22:19:30,2020
45,True,13,active,False,0,53,1,5,True,53,0,2020-08-13 22:14:52+00:00,True,,,2020-08-13 22:19:30,2020
46,True,13,active,False,0,54,0,2,True,54,0,2020-08-13 22:19:23+00:00,True,,,2020-08-13 22:19:30,2020
47,True,7,active,False,0,55,1,7,True,55,0,2020-08-13 22:10:22+00:00,True,,,2020-08-13 22:19:30,2020
48,True,2,active,True,0,56,1,15,True,56,0,2020-08-13 21:04:29+00:00,True,,,2020-08-13 22:19:30,2020
49,True,8,active,True,0,57,1,5,True,57,0,2020-08-13 22:18:14+00:00,True,,,2020-08-13 22:19:30,2020
50,True,9,active,True,0,58,1,9,True,58,0,2020-08-13 22:17:27+00:00,True,,,2020-08-13 22:19:30,2020
51,True,15,active,True,0,59,0,4,True,59,0,2020-08-13 22:06:02+00:00,True,,,2020-08-13 22:19:30,2020
52,True,13,active,False,0,60,0,6,True,60,0,2020-08-13 22:19:25+00:00,True,,,2020-08-13 22:19:30,2020
53,True,9,active,False,0,61,0,10,True,61,0,2020-08-13 22:18:59+00:00,True,,,2020-08-13 22:19:30,2020
54,True,5,active,False,0,63,0,10,True,63,0,2020-08-13 21:27:25+00:00,True,,,2020-08-13 22:19:30,2020
55,True,10,active,False,0,64,2,7,True,64,0,2020-08-13 22:09:13+00:00,True,,,2020-08-13 22:19:30,2020
56,True,4,active,False,0,65,0,19,True,65,0,2020-08-13 22:14:45+00:00,True,,,2020-08-13 22:19:30,2020
57,True,3,active,False,0,66,1,11,True,66,0,2020-08-13 22:15:27+00:00,True,,,2020-08-13 22:19:30,2020
58,True,11,active,True,0,67,6,10,True,67,0,2020-08-13 22:15:06+00:00,True,,,2020-08-13 22:19:30,2020
59,True,10,active,True,0,68,1,8,True,68,0,2020-08-13 22:14:28+00:00,True,,,2020-08-13 22:19:30,2020
60,True,10,active,True,0,69,0,9,True,69,0,2020-08-13 22:16:42+00:00,True,,,2020-08-13 22:19:30,2020
61,True,15,active,False,0,70,0,8,True,70,0,2020-08-13 22:15:40+00:00,True,,,2020-08-13 22:19:30,2020
62,True,16,active,False,0,71,1,6,True,71,0,2020-08-13 22:15:58+00:00,True,,,2020-08-13 22:19:30,2020
63,True,12,active,False,0,72,0,11,True,72,0,2020-08-13 22:10:22+00:00,True,,,2020-08-13 22:19:30,2020
64,True,7,active,False,0,73,1,7,True,73,0,2020-08-13 22:15:45+00:00,True,,,2020-08-13 22:19:30,2020
65,True,4,active,True,0,74,1,14,True,74,0,2020-08-13 22:08:21+00:00,True,,,2020-08-13 22:19:30,2020
66,True,4,active,False,0,75,0,11,True,75,0,2020-08-13 22:17:01+00:00,True,,,2020-08-13 22:19:30,2020
67,True,2,active,False,0,76,1,14,True,76,0,2020-08-13 22:17:29+00:00,True,,,2020-08-13 22:19:30,2020
68,True,10,active,False,0,77,1,4,True,77,0,2020-08-13 22:07:29+00:00,True,,,2020-08-13 22:19:30,2020
69,True,11,active,False,0,78,0,8,True,78,0,2020-08-13 22:17:29+00:00,True,,,2020-08-13 22:19:30,2020
70,True,5,active,False,0,79,3,11,True,79,0,2020-08-13 22:18:13+00:00,True,,,2020-08-13 22:19:30,2020
71,True,13,active,False,0,80,3,19,True,80,0,2020-08-13 22:17:48+00:00,True,,,2020-08-13 22:19:30,2020
72,True,16,active,False,0,81,2,1,True,81,0,2020-08-13 22:16:06+00:00,True,,,2020-08-13 22:19:30,2020
73,True,2,active,False,0,82,0,13,True,82,0,2020-08-13 22:10:20+00:00,True,,,2020-08-13 22:19:30,2020
74,True,10,active,False,0,84,0,5,True,84,0,2020-08-13 22:11:46+00:00,True,,,2020-08-13 22:19:30,2020
