,is_renting,is_returning,legacy_id,num_ebikes_available,station_status,num_docks_available,num_bikes_disabled,is_installed,last_reported,num_docks_disabled,station_id,num_bikes_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,True,3,0,active,12,1,True,2020-08-13 22:29:33+00:00,0,3,2,False,,,2020-08-13 22:29:40,2020
1,True,True,4,0,active,9,0,True,2020-08-13 22:27:33+00:00,0,4,10,False,,,2020-08-13 22:29:40,2020
2,True,True,5,0,active,13,0,True,2020-08-13 22:13:32+00:00,0,5,2,False,,,2020-08-13 22:29:40,2020
3,True,True,6,0,active,14,1,True,2020-08-13 22:26:05+00:00,0,6,0,False,,,2020-08-13 22:29:40,2020
4,True,True,7,0,active,13,0,True,2020-08-13 22:11:34+00:00,0,7,2,False,,,2020-08-13 22:29:40,2020
5,True,True,8,0,active,12,0,True,2020-08-13 22:21:20+00:00,0,8,7,False,,,2020-08-13 22:29:40,2020
6,True,True,9,0,active,11,1,True,2020-08-13 22:29:26+00:00,0,9,3,False,,,2020-08-13 22:29:40,2020
7,True,True,10,0,active,3,1,True,2020-08-13 22:27:32+00:00,0,10,7,False,,,2020-08-13 22:29:40,2020
8,True,True,11,0,active,15,0,True,2020-08-13 22:03:29+00:00,0,11,0,False,"{'valet_revision': 87, 'off_dock_capacity': 50, 'dock_blocked_count': 0, 'region': 'BOS', 'active': True, 'off_dock_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-13 22:29:40,2020
9,True,True,12,0,active,9,0,True,2020-08-13 22:29:26+00:00,0,12,9,True,,,2020-08-13 22:29:40,2020
10,True,True,13,0,active,19,0,True,2020-08-13 22:20:21+00:00,0,13,0,False,,,2020-08-13 22:29:40,2020
11,True,True,14,0,active,25,0,True,2020-08-13 22:11:19+00:00,0,14,0,False,,,2020-08-13 22:29:40,2020
12,True,True,15,0,active,6,0,True,2020-08-13 22:08:23+00:00,0,15,9,False,,,2020-08-13 22:29:40,2020
13,True,True,16,0,active,0,0,True,2020-08-13 22:27:03+00:00,0,16,19,True,,,2020-08-13 22:29:40,2020
14,True,True,17,0,active,9,1,True,2020-08-13 22:20:37+00:00,0,17,5,False,,,2020-08-13 22:29:40,2020
15,True,True,19,0,active,9,1,True,2020-08-13 22:25:24+00:00,0,19,5,False,,,2020-08-13 22:29:40,2020
16,True,True,20,0,active,8,0,True,2020-08-13 22:26:32+00:00,0,20,15,True,,,2020-08-13 22:29:40,2020
17,True,True,21,0,active,14,0,True,2020-08-13 22:19:23+00:00,0,21,4,True,,,2020-08-13 22:29:40,2020
18,True,True,22,0,active,34,0,True,2020-08-13 22:26:33+00:00,0,22,13,True,,,2020-08-13 22:29:40,2020
19,True,True,23,0,active,20,0,True,2020-08-13 22:18:12+00:00,0,23,1,False,,,2020-08-13 22:29:40,2020
20,True,True,24,0,active,3,1,True,2020-08-13 22:27:13+00:00,0,24,15,False,,,2020-08-13 22:29:40,2020
21,True,True,25,0,active,7,1,True,2020-08-13 22:23:33+00:00,0,25,7,False,,,2020-08-13 22:29:40,2020
22,True,True,26,0,active,7,0,True,2020-08-13 22:19:04+00:00,0,26,8,False,,,2020-08-13 22:29:40,2020
23,True,True,27,0,active,7,2,True,2020-08-13 22:29:15+00:00,0,27,14,False,,,2020-08-13 22:29:40,2020
24,True,True,29,0,active,10,0,True,2020-08-13 22:23:51+00:00,0,29,5,False,,,2020-08-13 22:29:40,2020
25,True,True,30,0,active,14,1,True,2020-08-13 22:26:52+00:00,0,30,0,False,,,2020-08-13 22:29:40,2020
26,True,True,31,0,active,17,0,True,2020-08-13 20:21:26+00:00,0,31,2,True,,,2020-08-13 22:29:40,2020
27,True,True,32,0,active,5,0,True,2020-08-13 22:27:37+00:00,0,32,10,False,,,2020-08-13 22:29:40,2020
28,True,True,33,0,active,18,0,True,2020-08-13 22:18:04+00:00,0,33,9,False,,,2020-08-13 22:29:40,2020
29,True,True,35,0,active,15,0,True,2020-08-13 22:23:48+00:00,0,35,8,False,,,2020-08-13 22:29:40,2020
30,True,True,36,0,active,29,0,True,2020-08-13 22:28:50+00:00,0,36,4,True,,,2020-08-13 22:29:40,2020
31,True,True,37,0,active,13,0,True,2020-08-13 21:53:32+00:00,0,37,2,True,,,2020-08-13 22:29:40,2020
32,True,True,39,0,active,14,0,True,2020-08-13 22:25:11+00:00,0,39,9,False,,,2020-08-13 22:29:40,2020
33,True,True,40,0,active,7,0,True,2020-08-13 22:26:58+00:00,0,40,12,False,,,2020-08-13 22:29:40,2020
34,True,True,41,0,active,21,0,True,2020-08-13 22:27:27+00:00,0,41,6,True,,,2020-08-13 22:29:40,2020
35,True,True,42,0,active,15,1,True,2020-08-13 21:58:16+00:00,0,42,7,False,,,2020-08-13 22:29:40,2020
36,True,True,43,0,active,6,1,True,2020-08-13 22:25:49+00:00,0,43,8,True,,,2020-08-13 22:29:40,2020
37,True,True,44,0,active,21,0,True,2020-08-13 22:25:32+00:00,0,44,2,False,,,2020-08-13 22:29:40,2020
38,True,True,46,0,active,19,0,True,2020-08-13 22:28:13+00:00,0,46,0,False,,,2020-08-13 22:29:40,2020
39,True,True,47,0,active,6,2,True,2020-08-13 22:29:19+00:00,0,47,11,True,,,2020-08-13 22:29:40,2020
40,True,True,48,0,active,9,0,True,2020-08-13 22:17:26+00:00,0,48,10,False,,,2020-08-13 22:29:40,2020
41,True,True,49,0,active,14,0,True,2020-08-13 22:26:36+00:00,0,49,4,False,,,2020-08-13 22:29:40,2020
42,True,True,50,0,active,15,0,True,2020-08-13 22:28:12+00:00,0,50,0,True,,,2020-08-13 22:29:40,2020
43,True,True,51,0,active,10,0,True,2020-08-13 22:27:28+00:00,0,51,5,False,,,2020-08-13 22:29:40,2020
44,True,True,52,0,active,10,0,True,2020-08-13 22:23:05+00:00,0,52,13,True,,,2020-08-13 22:29:40,2020
45,True,True,53,0,active,4,1,True,2020-08-13 22:25:55+00:00,0,53,14,False,,,2020-08-13 22:29:40,2020
46,True,True,54,0,active,3,0,True,2020-08-13 22:19:41+00:00,0,54,12,False,,,2020-08-13 22:29:40,2020
47,True,True,55,0,active,6,1,True,2020-08-13 22:23:37+00:00,0,55,8,False,,,2020-08-13 22:29:40,2020
48,True,True,56,0,active,16,1,True,2020-08-13 22:26:16+00:00,0,56,1,True,,,2020-08-13 22:29:40,2020
49,True,True,57,0,active,3,1,True,2020-08-13 22:29:36+00:00,0,57,10,True,,,2020-08-13 22:29:40,2020
50,True,True,58,0,active,8,1,True,2020-08-13 22:28:53+00:00,0,58,10,True,,,2020-08-13 22:29:40,2020
51,True,True,59,0,active,4,0,True,2020-08-13 22:06:02+00:00,0,59,15,True,,,2020-08-13 22:29:40,2020
52,True,True,60,0,active,9,0,True,2020-08-13 22:29:20+00:00,0,60,10,False,,,2020-08-13 22:29:40,2020
53,True,True,61,0,active,11,0,True,2020-08-13 22:28:34+00:00,0,61,8,False,,,2020-08-13 22:29:40,2020
54,True,True,63,0,active,10,0,True,2020-08-13 21:27:25+00:00,0,63,5,False,,,2020-08-13 22:29:40,2020
55,True,True,64,0,active,7,2,True,2020-08-13 22:09:13+00:00,0,64,10,False,,,2020-08-13 22:29:40,2020
56,True,True,65,0,active,20,0,True,2020-08-13 22:19:43+00:00,0,65,3,False,,,2020-08-13 22:29:40,2020
57,True,True,66,0,active,11,1,True,2020-08-13 22:24:41+00:00,0,66,3,False,,,2020-08-13 22:29:40,2020
58,True,True,67,0,active,12,5,True,2020-08-13 22:28:46+00:00,0,67,10,True,,,2020-08-13 22:29:40,2020
59,True,True,68,0,active,4,1,True,2020-08-13 22:29:06+00:00,0,68,14,True,,,2020-08-13 22:29:40,2020
60,True,True,69,0,active,7,0,True,2020-08-13 22:29:09+00:00,0,69,12,True,,,2020-08-13 22:29:40,2020
61,True,True,70,0,active,7,0,True,2020-08-13 22:20:36+00:00,0,70,16,False,,,2020-08-13 22:29:40,2020
