,is_returning,num_bikes_available,station_id,num_bikes_disabled,is_installed,num_docks_disabled,station_status,is_renting,num_docks_available,legacy_id,last_reported,eightd_has_available_keys,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,3,3,1,True,0,active,True,11,3,2020-08-14 00:44:29+00:00,False,0,,,2020-08-14 00:52:45,2020
1,True,13,4,0,True,0,active,True,6,4,2020-08-14 00:52:19+00:00,False,0,,,2020-08-14 00:52:45,2020
2,True,3,5,0,True,0,active,True,12,5,2020-08-14 00:41:42+00:00,False,0,,,2020-08-14 00:52:45,2020
3,True,0,6,1,True,0,active,True,14,6,2020-08-14 00:39:47+00:00,False,0,,,2020-08-14 00:52:45,2020
4,True,7,7,0,True,0,active,True,8,7,2020-08-14 00:29:16+00:00,False,0,,,2020-08-14 00:52:45,2020
5,True,10,8,0,True,0,active,True,9,8,2020-08-14 00:49:24+00:00,False,0,,,2020-08-14 00:52:45,2020
6,True,10,9,1,True,0,active,True,4,9,2020-08-14 00:20:49+00:00,False,0,,,2020-08-14 00:52:45,2020
7,True,1,10,1,True,0,active,True,9,10,2020-08-14 00:51:59+00:00,False,0,,,2020-08-14 00:52:45,2020
8,True,0,11,0,True,0,active,True,15,11,2020-08-14 00:23:39+00:00,False,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 0, 'active': True, 'dock_blocked_count': 0, 'off_dock_capacity': 50, 'region': 'BOS', 'valet_revision': 87}",2020-08-14 00:52:45,2020
9,True,13,12,0,True,0,active,True,5,12,2020-08-14 00:38:33+00:00,True,0,,,2020-08-14 00:52:45,2020
10,True,2,13,0,True,0,active,True,17,13,2020-08-14 00:30:18+00:00,False,0,,,2020-08-14 00:52:45,2020
11,True,0,14,0,True,0,active,True,25,14,2020-08-14 00:50:23+00:00,False,0,,,2020-08-14 00:52:45,2020
12,True,14,15,0,True,0,active,True,1,15,2020-08-14 00:31:17+00:00,False,0,,,2020-08-14 00:52:45,2020
13,True,17,16,0,True,0,active,True,2,16,2020-08-14 00:03:52+00:00,True,0,,,2020-08-14 00:52:45,2020
14,True,5,17,1,True,0,active,True,9,17,2020-08-14 00:37:05+00:00,False,0,,,2020-08-14 00:52:45,2020
15,True,0,19,0,True,0,active,True,15,19,2020-08-13 23:58:23+00:00,False,0,,,2020-08-14 00:52:45,2020
16,True,9,20,1,True,0,active,True,13,20,2020-08-14 00:52:30+00:00,True,0,,,2020-08-14 00:52:45,2020
17,True,6,21,0,True,0,active,True,12,21,2020-08-14 00:40:57+00:00,True,0,,,2020-08-14 00:52:45,2020
18,True,4,22,0,True,0,active,True,43,22,2020-08-14 00:44:48+00:00,True,0,,,2020-08-14 00:52:45,2020
19,True,3,23,0,True,0,active,True,18,23,2020-08-14 00:30:36+00:00,False,0,,,2020-08-14 00:52:45,2020
20,True,9,24,1,True,0,active,True,9,24,2020-08-14 00:33:06+00:00,False,0,,,2020-08-14 00:52:45,2020
21,True,15,25,0,True,0,active,True,0,25,2020-08-14 00:17:43+00:00,False,0,,,2020-08-14 00:52:45,2020
22,True,10,26,1,True,0,active,True,4,26,2020-08-14 00:17:31+00:00,False,0,,,2020-08-14 00:52:45,2020
23,True,15,27,0,True,0,active,True,8,27,2020-08-14 00:46:06+00:00,False,0,,,2020-08-14 00:52:45,2020
24,True,5,29,0,True,0,active,True,10,29,2020-08-13 22:23:51+00:00,False,0,,,2020-08-14 00:52:45,2020
25,True,6,30,1,True,0,active,True,8,30,2020-08-14 00:37:32+00:00,False,0,,,2020-08-14 00:52:45,2020
26,True,7,31,0,True,0,active,True,12,31,2020-08-14 00:27:04+00:00,True,0,,,2020-08-14 00:52:45,2020
27,True,10,32,0,True,0,active,True,5,32,2020-08-14 00:50:48+00:00,False,0,,,2020-08-14 00:52:45,2020
28,True,13,33,0,True,0,active,True,14,33,2020-08-14 00:48:40+00:00,False,0,,,2020-08-14 00:52:45,2020
29,True,6,35,0,True,0,active,True,17,35,2020-08-14 00:38:22+00:00,False,0,,,2020-08-14 00:52:45,2020
30,True,0,36,0,True,0,active,True,33,36,2020-08-14 00:26:02+00:00,True,0,,,2020-08-14 00:52:45,2020
31,True,2,37,0,True,0,active,True,13,37,2020-08-13 21:53:32+00:00,True,0,,,2020-08-14 00:52:45,2020
32,True,12,39,0,True,0,active,True,11,39,2020-08-14 00:46:08+00:00,False,0,,,2020-08-14 00:52:45,2020
33,True,11,40,0,True,0,active,True,8,40,2020-08-14 00:48:29+00:00,False,0,,,2020-08-14 00:52:45,2020
34,True,20,41,0,True,0,active,True,7,41,2020-08-14 00:43:16+00:00,True,0,,,2020-08-14 00:52:45,2020
35,True,5,42,2,True,0,active,True,16,42,2020-08-14 00:18:02+00:00,False,0,,,2020-08-14 00:52:45,2020
36,True,2,43,1,True,0,active,True,12,43,2020-08-14 00:36:07+00:00,True,0,,,2020-08-14 00:52:45,2020
37,True,1,44,0,True,0,active,True,22,44,2020-08-14 00:12:55+00:00,False,0,,,2020-08-14 00:52:45,2020
38,True,10,46,0,True,0,active,True,9,46,2020-08-14 00:44:03+00:00,False,0,,,2020-08-14 00:52:45,2020
39,True,7,47,3,True,0,active,True,9,47,2020-08-14 00:39:57+00:00,True,0,,,2020-08-14 00:52:45,2020
40,True,5,48,0,True,0,active,True,14,48,2020-08-14 00:52:15+00:00,False,0,,,2020-08-14 00:52:45,2020
41,True,5,49,0,True,0,active,True,13,49,2020-08-14 00:29:55+00:00,False,0,,,2020-08-14 00:52:45,2020
42,True,0,50,0,True,0,active,True,15,50,2020-08-13 22:28:12+00:00,True,0,,,2020-08-14 00:52:45,2020
43,True,8,51,0,True,0,active,True,7,51,2020-08-14 00:36:16+00:00,False,0,,,2020-08-14 00:52:45,2020
44,True,3,52,1,True,0,active,True,19,52,2020-08-14 00:52:26+00:00,True,0,,,2020-08-14 00:52:45,2020
45,True,10,53,1,True,0,active,True,8,53,2020-08-14 00:43:50+00:00,False,0,,,2020-08-14 00:52:45,2020
46,True,13,54,0,True,0,active,True,2,54,2020-08-14 00:48:20+00:00,False,0,,,2020-08-14 00:52:45,2020
47,True,5,55,0,True,0,active,True,10,55,2020-08-14 00:48:45+00:00,False,0,,,2020-08-14 00:52:45,2020
48,True,6,56,1,True,0,active,True,11,56,2020-08-14 00:39:04+00:00,True,0,,,2020-08-14 00:52:45,2020
49,True,11,57,1,True,0,active,True,2,57,2020-08-14 00:38:02+00:00,True,0,,,2020-08-14 00:52:45,2020
50,True,15,58,2,True,0,active,True,2,58,2020-08-14 00:45:39+00:00,True,0,,,2020-08-14 00:52:45,2020
51,True,12,59,0,True,0,active,True,7,59,2020-08-14 00:51:34+00:00,True,0,,,2020-08-14 00:52:45,2020
52,True,0,60,0,True,0,active,True,19,60,2020-08-14 00:35:56+00:00,False,0,,,2020-08-14 00:52:45,2020
53,True,4,61,0,True,0,active,True,15,61,2020-08-14 00:45:06+00:00,False,0,,,2020-08-14 00:52:45,2020
54,True,10,63,0,True,0,active,True,5,63,2020-08-13 23:49:06+00:00,False,0,,,2020-08-14 00:52:45,2020
55,True,15,64,2,True,0,active,True,2,64,2020-08-14 00:39:56+00:00,False,0,,,2020-08-14 00:52:45,2020
56,True,5,65,1,True,0,active,True,17,65,2020-08-13 23:45:46+00:00,False,0,,,2020-08-14 00:52:45,2020
57,True,7,66,2,True,0,active,True,6,66,2020-08-14 00:50:04+00:00,False,0,,,2020-08-14 00:52:45,2020
58,True,4,67,1,True,0,active,True,22,67,2020-08-14 00:51:32+00:00,True,0,,,2020-08-14 00:52:45,2020
59,True,12,68,1,True,0,active,True,6,68,2020-08-14 00:52:30+00:00,True,0,,,2020-08-14 00:52:45,2020
60,True,17,69,1,True,0,active,True,1,69,2020-08-14 00:44:46+00:00,True,0,,,2020-08-14 00:52:45,2020
61,True,19,70,0,True,0,active,True,4,70,2020-08-14 00:50:39+00:00,False,0,,,2020-08-14 00:52:45,2020
62,True,15,71,1,True,0,active,True,7,71,2020-08-14 00:50:40+00:00,False,0,,,2020-08-14 00:52:45,2020
63,True,9,72,0,True,0,active,True,14,72,2020-08-14 00:32:24+00:00,False,0,,,2020-08-14 00:52:45,2020
64,True,0,73,1,True,0,active,True,14,73,2020-08-14 00:46:04+00:00,False,0,,,2020-08-14 00:52:45,2020
65,True,16,74,1,True,0,active,True,2,74,2020-08-14 00:49:02+00:00,True,0,,,2020-08-14 00:52:45,2020
66,True,3,75,0,True,0,active,True,12,75,2020-08-14 00:48:13+00:00,False,0,,,2020-08-14 00:52:45,2020
67,True,6,76,1,True,0,active,True,10,76,2020-08-14 00:33:38+00:00,False,0,,,2020-08-14 00:52:45,2020
68,True,7,77,1,True,0,active,True,7,77,2020-08-13 23:43:49+00:00,False,0,,,2020-08-14 00:52:45,2020
69,True,16,78,0,True,0,active,True,3,78,2020-08-13 23:48:16+00:00,False,0,,,2020-08-14 00:52:45,2020
70,True,11,79,6,True,0,active,True,2,79,2020-08-14 00:38:17+00:00,False,0,,,2020-08-14 00:52:45,2020
71,True,4,80,1,True,0,active,True,30,80,2020-08-14 00:52:04+00:00,False,0,,,2020-08-14 00:52:45,2020
72,True,3,81,2,True,0,active,True,14,81,2020-08-14 00:48:11+00:00,False,0,,,2020-08-14 00:52:45,2020
73,True,1,82,0,True,0,active,True,14,82,2020-08-14 00:12:20+00:00,False,0,,,2020-08-14 00:52:45,2020
74,True,3,84,0,True,0,active,True,12,84,2020-08-14 00:51:23+00:00,False,0,,,2020-08-14 00:52:45,2020
75,True,1,85,0,True,0,active,True,18,85,2020-08-14 00:16:27+00:00,False,0,,,2020-08-14 00:52:45,2020
76,True,16,86,0,True,0,active,True,3,86,2020-08-14 00:47:46+00:00,False,0,,,2020-08-14 00:52:45,2020
77,True,15,87,0,True,0,active,True,0,87,2020-08-14 00:45:21+00:00,False,0,,,2020-08-14 00:52:45,2020
78,True,12,89,0,True,0,active,True,7,89,2020-08-14 00:00:38+00:00,False,0,,,2020-08-14 00:52:45,2020
79,True,15,90,1,True,0,active,True,3,90,2020-08-13 23:55:17+00:00,False,0,,,2020-08-14 00:52:45,2020
80,True,4,91,0,True,0,active,True,15,91,2020-08-14 00:51:09+00:00,False,0,,,2020-08-14 00:52:45,2020
81,True,10,92,0,True,0,active,True,9,92,2020-08-14 00:17:58+00:00,False,0,,,2020-08-14 00:52:45,2020
82,True,14,93,0,True,0,active,True,1,93,2020-08-14 00:45:30+00:00,False,0,,,2020-08-14 00:52:45,2020
83,True,1,94,0,True,0,active,True,10,94,2020-08-13 23:58:36+00:00,False,0,,,2020-08-14 00:52:45,2020
84,True,7,95,1,True,0,active,True,7,95,2020-08-14 00:50:41+00:00,False,0,,,2020-08-14 00:52:45,2020
85,True,13,96,1,True,0,active,True,5,96,2020-08-14 00:48:56+00:00,False,0,,,2020-08-14 00:52:45,2020
86,True,6,97,1,True,0,active,True,12,97,2020-08-14 00:52:17+00:00,False,0,,,2020-08-14 00:52:45,2020
87,True,9,98,0,True,0,active,True,14,98,2020-08-14 00:44:29+00:00,False,0,,,2020-08-14 00:52:45,2020
88,True,12,99,0,True,0,active,True,3,99,2020-08-13 23:04:12+00:00,False,0,,,2020-08-14 00:52:45,2020
89,True,23,100,2,True,0,active,True,0,100,2020-08-14 00:25:05+00:00,True,0,,,2020-08-14 00:52:45,2020
90,True,15,101,0,True,0,active,True,0,101,2020-08-14 00:15:33+00:00,False,0,,,2020-08-14 00:52:45,2020
91,True,11,102,1,True,0,active,True,3,102,2020-08-14 00:29:45+00:00,False,0,,,2020-08-14 00:52:45,2020
92,True,2,103,0,True,0,active,True,13,103,2020-08-14 00:35:17+00:00,False,0,,,2020-08-14 00:52:45,2020
93,True,9,104,0,True,0,active,True,10,104,2020-08-14 00:43:34+00:00,False,0,,,2020-08-14 00:52:45,2020
94,True,6,105,0,True,0,active,True,13,105,2020-08-14 00:41:21+00:00,False,0,,,2020-08-14 00:52:45,2020
