,is_returning,num_bikes_available,station_id,num_bikes_disabled,is_installed,num_docks_disabled,station_status,is_renting,num_docks_available,legacy_id,last_reported,eightd_has_available_keys,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
0,True,0,3,1,True,0,active,True,14,3,2020-08-14 01:01:58+00:00,False,0,2020-08-14 01:33:35,2020
1,True,7,4,0,True,0,active,True,12,4,2020-08-14 01:18:17+00:00,False,0,2020-08-14 01:33:35,2020
2,True,3,5,0,True,0,active,True,12,5,2020-08-14 01:24:15+00:00,False,0,2020-08-14 01:33:35,2020
3,True,0,6,1,True,0,active,True,14,6,2020-08-14 00:39:47+00:00,False,0,2020-08-14 01:33:35,2020
4,True,4,7,0,True,0,active,True,11,7,2020-08-14 01:16:42+00:00,False,0,2020-08-14 01:33:35,2020
5,True,11,8,0,True,0,active,True,8,8,2020-08-14 01:30:41+00:00,False,0,2020-08-14 01:33:35,2020
6,True,9,9,1,True,0,active,True,5,9,2020-08-14 01:24:20+00:00,False,0,2020-08-14 01:33:35,2020
7,True,1,10,1,True,0,active,True,9,10,2020-08-14 01:12:58+00:00,False,0,2020-08-14 01:33:35,2020
8,True,0,11,0,True,0,active,True,15,11,2020-08-14 01:32:18+00:00,False,0,2020-08-14 01:33:35,2020
9,True,7,12,0,True,0,active,True,11,12,2020-08-14 01:30:59+00:00,True,0,2020-08-14 01:33:35,2020
10,True,0,13,0,True,0,active,True,19,13,2020-08-14 01:22:01+00:00,False,0,2020-08-14 01:33:35,2020
11,True,0,14,0,True,0,active,True,25,14,2020-08-14 00:50:23+00:00,False,0,2020-08-14 01:33:35,2020
12,True,14,15,0,True,0,active,True,1,15,2020-08-14 01:31:46+00:00,False,0,2020-08-14 01:33:35,2020
13,True,18,16,0,True,0,active,True,1,16,2020-08-14 01:05:26+00:00,True,0,2020-08-14 01:33:35,2020
14,True,4,17,1,True,0,active,True,10,17,2020-08-14 01:28:00+00:00,False,0,2020-08-14 01:33:35,2020
15,True,1,19,0,True,0,active,True,14,19,2020-08-14 01:27:26+00:00,False,0,2020-08-14 01:33:35,2020
16,True,6,20,1,True,0,active,True,16,20,2020-08-14 01:28:34+00:00,True,0,2020-08-14 01:33:35,2020
17,True,7,21,0,True,0,active,True,11,21,2020-08-14 01:10:01+00:00,True,0,2020-08-14 01:33:35,2020
18,True,5,22,0,True,0,active,True,42,22,2020-08-14 01:27:14+00:00,True,0,2020-08-14 01:33:35,2020
19,True,2,23,0,True,0,active,True,19,23,2020-08-14 00:59:15+00:00,False,0,2020-08-14 01:33:35,2020
20,True,11,24,0,True,0,active,True,8,24,2020-08-14 01:26:55+00:00,False,0,2020-08-14 01:33:35,2020
21,True,15,25,0,True,0,active,True,0,25,2020-08-14 00:17:43+00:00,False,0,2020-08-14 01:33:35,2020
22,True,10,26,1,True,0,active,True,4,26,2020-08-14 01:26:15+00:00,False,0,2020-08-14 01:33:35,2020
