,num_bikes_available,num_bikes_disabled,is_installed,legacy_id,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,station_status,last_reported,is_returning,station_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
0,0,1,True,3,0,14,0,True,active,2020-08-14 01:01:58+00:00,True,3,False,2020-08-14 03:15:45,2020
1,8,0,True,4,0,11,0,True,active,2020-08-14 03:15:26+00:00,True,4,False,2020-08-14 03:15:45,2020
2,8,0,True,5,0,7,0,True,active,2020-08-14 03:00:59+00:00,True,5,False,2020-08-14 03:15:45,2020
3,2,1,True,6,0,12,0,True,active,2020-08-14 03:14:43+00:00,True,6,False,2020-08-14 03:15:45,2020
4,2,0,True,7,0,13,0,True,active,2020-08-14 03:02:50+00:00,True,7,False,2020-08-14 03:15:45,2020
5,12,0,True,8,0,7,0,True,active,2020-08-14 03:14:47+00:00,True,8,False,2020-08-14 03:15:45,2020
6,10,1,True,9,0,4,0,True,active,2020-08-14 02:54:32+00:00,True,9,False,2020-08-14 03:15:45,2020
7,1,1,True,10,0,9,0,True,active,2020-08-14 03:02:16+00:00,True,10,False,2020-08-14 03:15:45,2020
8,1,0,True,11,0,14,0,True,active,2020-08-14 02:49:46+00:00,True,11,False,2020-08-14 03:15:45,2020
9,9,0,True,12,0,9,0,True,active,2020-08-14 03:12:36+00:00,True,12,True,2020-08-14 03:15:45,2020
10,2,0,True,13,0,17,0,True,active,2020-08-14 02:55:13+00:00,True,13,False,2020-08-14 03:15:45,2020
11,0,0,True,14,0,25,0,True,active,2020-08-14 02:49:14+00:00,True,14,False,2020-08-14 03:15:45,2020
12,14,0,True,15,0,1,0,True,active,2020-08-14 03:05:08+00:00,True,15,False,2020-08-14 03:15:45,2020
13,16,0,True,16,0,3,0,True,active,2020-08-14 03:04:01+00:00,True,16,True,2020-08-14 03:15:45,2020
14,7,1,True,17,0,7,0,True,active,2020-08-14 02:52:36+00:00,True,17,False,2020-08-14 03:15:45,2020
15,2,0,True,19,0,13,0,True,active,2020-08-14 01:42:15+00:00,True,19,False,2020-08-14 03:15:45,2020
16,1,1,True,20,0,21,0,True,active,2020-08-14 02:46:09+00:00,True,20,True,2020-08-14 03:15:45,2020
17,5,1,True,21,0,12,0,True,active,2020-08-14 02:54:01+00:00,True,21,True,2020-08-14 03:15:45,2020
18,9,0,True,22,0,38,0,True,active,2020-08-14 02:45:34+00:00,True,22,True,2020-08-14 03:15:45,2020
19,1,0,True,23,0,20,0,True,active,2020-08-14 03:04:28+00:00,True,23,False,2020-08-14 03:15:45,2020
20,2,0,True,24,0,17,0,True,active,2020-08-14 03:09:57+00:00,True,24,False,2020-08-14 03:15:45,2020
21,15,0,True,25,0,0,0,True,active,2020-08-14 00:17:43+00:00,True,25,False,2020-08-14 03:15:45,2020
22,14,1,True,26,0,0,0,True,active,2020-08-14 02:21:15+00:00,True,26,False,2020-08-14 03:15:45,2020
23,23,0,True,27,0,0,0,True,active,2020-08-14 03:06:46+00:00,True,27,False,2020-08-14 03:15:45,2020
24,5,0,True,29,0,10,0,True,active,2020-08-13 22:23:51+00:00,True,29,False,2020-08-14 03:15:45,2020
25,10,1,True,30,0,4,0,True,active,2020-08-14 03:13:55+00:00,True,30,False,2020-08-14 03:15:45,2020
26,7,0,True,31,0,12,0,True,active,2020-08-14 02:07:06+00:00,True,31,True,2020-08-14 03:15:45,2020
27,11,0,True,32,0,4,0,True,active,2020-08-14 02:54:28+00:00,True,32,False,2020-08-14 03:15:45,2020
