,is_returning,legacy_id,is_renting,num_docks_available,is_installed,last_reported,num_bikes_disabled,eightd_has_available_keys,station_id,num_docks_disabled,station_status,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,3,True,13,True,2020-08-15 19:43:52+00:00,0,False,3,0,active,0,2,,,2020-08-15 19:47:05,2020
1,True,4,True,12,True,2020-08-15 19:34:14+00:00,1,False,4,0,active,0,6,,,2020-08-15 19:47:05,2020
2,True,5,True,13,True,2020-08-15 19:10:46+00:00,2,False,5,0,active,0,0,,,2020-08-15 19:47:05,2020
3,True,6,True,11,True,2020-08-15 19:46:05+00:00,2,False,6,0,active,0,2,,,2020-08-15 19:47:05,2020
4,True,7,True,8,True,2020-08-15 19:35:48+00:00,0,False,7,0,active,0,7,,,2020-08-15 19:47:05,2020
5,True,8,True,14,True,2020-08-15 19:40:59+00:00,1,False,8,0,active,0,4,,,2020-08-15 19:47:05,2020
6,True,9,True,1,True,2020-08-15 19:42:15+00:00,1,False,9,0,active,0,13,,,2020-08-15 19:47:05,2020
7,True,10,True,3,True,2020-08-15 18:56:20+00:00,0,False,10,0,active,0,8,,,2020-08-15 19:47:05,2020
8,True,11,True,4,True,2020-08-15 19:42:37+00:00,1,False,11,0,active,0,10,,,2020-08-15 19:47:05,2020
9,True,12,True,8,True,2020-08-15 19:40:46+00:00,1,True,12,0,active,0,9,,,2020-08-15 19:47:05,2020
10,True,13,True,11,True,2020-08-15 19:37:44+00:00,0,False,13,0,active,0,8,,,2020-08-15 19:47:05,2020
11,True,14,True,8,True,2020-08-15 19:44:14+00:00,1,False,14,0,active,0,16,,,2020-08-15 19:47:05,2020
12,True,15,True,8,True,2020-08-15 18:45:00+00:00,1,False,15,0,active,0,6,,,2020-08-15 19:47:05,2020
13,True,16,True,10,True,2020-08-15 19:44:00+00:00,0,True,16,0,active,0,9,,,2020-08-15 19:47:05,2020
14,True,17,True,14,True,2020-08-15 19:34:07+00:00,1,False,17,0,active,0,0,,,2020-08-15 19:47:05,2020
15,True,19,True,15,True,2020-08-15 19:40:51+00:00,0,False,19,0,active,0,0,,,2020-08-15 19:47:05,2020
16,True,20,True,11,True,2020-08-15 19:45:57+00:00,1,True,20,0,active,0,11,,,2020-08-15 19:47:05,2020
17,True,21,True,5,True,2020-08-15 19:42:57+00:00,0,True,21,0,active,0,13,,,2020-08-15 19:47:05,2020
