,num_docks_available,is_installed,num_bikes_disabled,num_bikes_available,num_ebikes_available,station_status,legacy_id,is_returning,eightd_has_available_keys,is_renting,last_reported,station_id,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,11,True,0,4,0,active,3,True,False,True,2020-08-15 19:51:41+00:00,3,0,,,2020-08-15 19:57:15,2020
1,12,True,1,6,0,active,4,True,False,True,2020-08-15 19:34:14+00:00,4,0,,,2020-08-15 19:57:15,2020
2,13,True,2,0,0,active,5,True,False,True,2020-08-15 19:10:46+00:00,5,0,,,2020-08-15 19:57:15,2020
3,13,True,2,0,0,active,6,True,False,True,2020-08-15 19:55:57+00:00,6,0,,,2020-08-15 19:57:15,2020
4,8,True,0,7,0,active,7,True,False,True,2020-08-15 19:56:25+00:00,7,0,,,2020-08-15 19:57:15,2020
5,13,True,1,5,0,active,8,True,False,True,2020-08-15 19:53:28+00:00,8,0,,,2020-08-15 19:57:15,2020
6,2,True,1,12,0,active,9,True,False,True,2020-08-15 19:57:06+00:00,9,0,,,2020-08-15 19:57:15,2020
7,3,True,0,8,0,active,10,True,False,True,2020-08-15 18:56:20+00:00,10,0,,,2020-08-15 19:57:15,2020
8,5,True,1,9,0,active,11,True,False,True,2020-08-15 19:53:41+00:00,11,0,,,2020-08-15 19:57:15,2020
9,5,True,1,12,0,active,12,True,True,True,2020-08-15 19:56:25+00:00,12,0,,,2020-08-15 19:57:15,2020
10,11,True,0,8,0,active,13,True,False,True,2020-08-15 19:37:44+00:00,13,0,,,2020-08-15 19:57:15,2020
11,9,True,1,15,0,active,14,True,False,True,2020-08-15 19:51:05+00:00,14,0,,,2020-08-15 19:57:15,2020
12,8,True,1,6,0,active,15,True,False,True,2020-08-15 18:45:00+00:00,15,0,,,2020-08-15 19:57:15,2020
13,13,True,0,6,0,active,16,True,True,True,2020-08-15 19:49:43+00:00,16,0,,,2020-08-15 19:57:15,2020
14,14,True,1,0,0,active,17,True,False,True,2020-08-15 19:34:07+00:00,17,0,,,2020-08-15 19:57:15,2020
15,15,True,0,0,0,active,19,True,False,True,2020-08-15 19:40:51+00:00,19,0,,,2020-08-15 19:57:15,2020
16,14,True,1,8,0,active,20,True,True,True,2020-08-15 19:50:47+00:00,20,0,,,2020-08-15 19:57:15,2020
