,num_docks_available,is_installed,num_bikes_disabled,num_bikes_available,num_ebikes_available,station_status,legacy_id,is_returning,eightd_has_available_keys,is_renting,last_reported,station_id,num_docks_disabled,timestamp_of_data_read_request,year_station_last_reported
0,11,True,1,3,0,active,3,True,False,True,2020-08-15 22:18:59+00:00,3,0,2020-08-15 22:30:35,2020
1,16,True,0,3,0,active,4,True,False,True,2020-08-15 22:21:07+00:00,4,0,2020-08-15 22:30:35,2020
2,6,True,1,8,0,active,5,True,False,True,2020-08-15 22:23:35+00:00,5,0,2020-08-15 22:30:35,2020
3,12,True,2,1,0,active,6,True,False,True,2020-08-15 22:24:44+00:00,6,0,2020-08-15 22:30:35,2020
4,1,True,0,14,0,active,7,True,False,True,2020-08-15 22:04:25+00:00,7,0,2020-08-15 22:30:35,2020
5,9,True,1,9,0,active,8,True,False,True,2020-08-15 22:23:59+00:00,8,0,2020-08-15 22:30:35,2020
6,6,True,2,7,0,active,9,True,False,True,2020-08-15 22:26:24+00:00,9,0,2020-08-15 22:30:35,2020
7,1,True,0,10,0,active,10,True,False,True,2020-08-15 22:29:38+00:00,10,0,2020-08-15 22:30:35,2020
8,8,True,0,7,0,active,11,True,False,True,2020-08-15 22:14:49+00:00,11,0,2020-08-15 22:30:35,2020
9,3,True,1,14,0,active,12,True,True,True,2020-08-15 22:27:06+00:00,12,0,2020-08-15 22:30:35,2020
10,14,True,0,5,0,active,13,True,False,True,2020-08-15 22:27:18+00:00,13,0,2020-08-15 22:30:35,2020
11,12,True,1,12,0,active,14,True,False,True,2020-08-15 22:28:36+00:00,14,0,2020-08-15 22:30:35,2020
12,11,True,0,4,0,active,15,True,False,True,2020-08-15 21:58:31+00:00,15,0,2020-08-15 22:30:35,2020
13,17,True,0,2,0,active,16,True,True,True,2020-08-15 22:23:07+00:00,16,0,2020-08-15 22:30:35,2020
14,11,True,0,4,0,active,17,True,False,True,2020-08-15 22:21:21+00:00,17,0,2020-08-15 22:30:35,2020
15,14,True,0,1,0,active,19,True,False,True,2020-08-15 22:26:18+00:00,19,0,2020-08-15 22:30:35,2020
16,18,True,0,5,0,active,20,True,True,True,2020-08-15 22:27:54+00:00,20,0,2020-08-15 22:30:35,2020
17,7,True,0,11,0,active,21,True,True,True,2020-08-15 22:30:12+00:00,21,0,2020-08-15 22:30:35,2020
18,22,True,0,25,0,active,22,True,True,True,2020-08-15 22:18:44+00:00,22,0,2020-08-15 22:30:35,2020
19,20,True,0,1,0,active,23,True,False,True,2020-08-15 21:22:50+00:00,23,0,2020-08-15 22:30:35,2020
20,13,True,1,5,0,active,24,True,False,True,2020-08-15 22:30:32+00:00,24,0,2020-08-15 22:30:35,2020
21,11,True,0,4,0,active,25,True,False,True,2020-08-15 21:34:14+00:00,25,0,2020-08-15 22:30:35,2020
22,12,True,0,3,0,active,26,True,False,True,2020-08-15 21:47:15+00:00,26,0,2020-08-15 22:30:35,2020
23,12,True,1,10,0,active,27,True,False,True,2020-08-15 22:26:04+00:00,27,0,2020-08-15 22:30:35,2020
24,12,True,1,2,0,active,29,True,False,True,2020-08-15 20:52:28+00:00,29,0,2020-08-15 22:30:35,2020
25,13,True,1,1,0,active,30,True,False,True,2020-08-15 22:27:49+00:00,30,0,2020-08-15 22:30:35,2020
26,9,True,1,9,0,active,31,True,True,True,2020-08-15 22:03:46+00:00,31,0,2020-08-15 22:30:35,2020
27,4,True,1,10,0,active,32,True,False,True,2020-08-15 22:30:20+00:00,32,0,2020-08-15 22:30:35,2020
28,14,True,0,13,0,active,33,True,False,True,2020-08-15 22:27:58+00:00,33,0,2020-08-15 22:30:35,2020
29,9,True,1,13,0,active,35,True,False,True,2020-08-15 21:59:54+00:00,35,0,2020-08-15 22:30:35,2020
30,12,True,1,20,0,active,36,True,False,True,2020-08-15 22:27:46+00:00,36,0,2020-08-15 22:30:35,2020
31,6,True,0,9,0,active,37,True,True,True,2020-08-15 20:55:02+00:00,37,0,2020-08-15 22:30:35,2020
32,9,True,1,13,0,active,39,True,False,True,2020-08-15 22:24:29+00:00,39,0,2020-08-15 22:30:35,2020
33,9,True,0,10,0,active,40,True,False,True,2020-08-15 22:30:07+00:00,40,0,2020-08-15 22:30:35,2020
34,10,True,0,17,0,active,41,True,True,True,2020-08-15 22:30:29+00:00,41,0,2020-08-15 22:30:35,2020
35,4,True,0,19,0,active,42,True,False,True,2020-08-15 22:26:34+00:00,42,0,2020-08-15 22:30:35,2020
36,14,True,0,1,0,active,43,True,True,True,2020-08-15 22:13:40+00:00,43,0,2020-08-15 22:30:35,2020
37,21,True,0,2,0,active,44,True,False,True,2020-08-15 22:23:37+00:00,44,0,2020-08-15 22:30:35,2020
38,14,True,3,2,0,active,46,True,False,True,2020-08-15 22:25:08+00:00,46,0,2020-08-15 22:30:35,2020
39,12,True,0,7,0,active,47,True,True,True,2020-08-15 22:29:38+00:00,47,0,2020-08-15 22:30:35,2020
40,18,True,0,1,0,active,48,True,False,True,2020-08-15 21:07:35+00:00,48,0,2020-08-15 22:30:35,2020
41,5,True,0,13,0,active,49,True,False,True,2020-08-15 22:22:46+00:00,49,0,2020-08-15 22:30:35,2020
42,15,True,0,0,0,active,50,True,True,True,2020-08-15 22:19:40+00:00,50,0,2020-08-15 22:30:35,2020
43,5,True,0,10,0,active,51,True,False,True,2020-08-15 22:06:59+00:00,51,0,2020-08-15 22:30:35,2020
44,8,True,0,15,0,active,52,True,True,True,2020-08-15 22:30:20+00:00,52,0,2020-08-15 22:30:35,2020
45,9,True,3,7,0,active,53,True,False,True,2020-08-15 22:27:57+00:00,53,0,2020-08-15 22:30:35,2020
46,11,True,1,3,0,active,54,True,False,True,2020-08-15 22:30:26+00:00,54,0,2020-08-15 22:30:35,2020
47,14,True,0,1,0,active,55,True,False,True,2020-08-15 22:22:39+00:00,55,0,2020-08-15 22:30:35,2020
48,1,True,0,17,0,active,56,True,False,True,2020-08-15 20:51:19+00:00,56,0,2020-08-15 22:30:35,2020
49,10,True,0,4,0,active,57,True,True,True,2020-08-15 22:07:16+00:00,57,0,2020-08-15 22:30:35,2020
50,11,True,4,4,0,active,58,True,True,True,2020-08-15 22:28:46+00:00,58,0,2020-08-15 22:30:35,2020
51,14,True,0,5,0,active,59,True,True,True,2020-08-15 21:59:04+00:00,59,0,2020-08-15 22:30:35,2020
52,6,True,2,11,0,active,60,True,False,True,2020-08-15 22:30:18+00:00,60,0,2020-08-15 22:30:35,2020
53,18,True,0,1,0,active,61,True,False,True,2020-08-15 22:28:23+00:00,61,0,2020-08-15 22:30:35,2020
54,6,True,0,9,0,active,63,True,False,True,2020-08-15 19:49:14+00:00,63,0,2020-08-15 22:30:35,2020
55,10,True,1,8,0,active,64,True,False,True,2020-08-15 22:10:54+00:00,64,0,2020-08-15 22:30:35,2020
56,20,True,1,2,0,active,65,True,False,True,2020-08-15 22:22:58+00:00,65,0,2020-08-15 22:30:35,2020
57,14,True,0,1,0,active,66,True,False,True,2020-08-15 22:19:21+00:00,66,0,2020-08-15 22:30:35,2020
58,25,True,0,2,0,active,67,True,True,True,2020-08-15 22:16:40+00:00,67,0,2020-08-15 22:30:35,2020
59,3,True,1,15,0,active,68,True,True,True,2020-08-15 22:28:19+00:00,68,0,2020-08-15 22:30:35,2020
60,8,True,1,10,0,active,69,True,True,True,2020-08-15 22:05:00+00:00,69,0,2020-08-15 22:30:35,2020
61,1,True,1,21,0,active,70,True,False,True,2020-08-15 22:27:11+00:00,70,0,2020-08-15 22:30:35,2020
62,17,True,0,6,0,active,71,True,False,True,2020-08-15 22:24:11+00:00,71,0,2020-08-15 22:30:35,2020
63,16,True,0,7,0,active,72,True,False,True,2020-08-15 22:27:47+00:00,72,0,2020-08-15 22:30:35,2020
64,9,True,0,6,0,active,73,True,False,True,2020-08-15 22:23:04+00:00,73,0,2020-08-15 22:30:35,2020
65,13,True,1,5,0,active,74,True,True,True,2020-08-15 22:29:13+00:00,74,0,2020-08-15 22:30:35,2020
66,8,True,1,6,0,active,75,True,False,True,2020-08-15 22:10:38+00:00,75,0,2020-08-15 22:30:35,2020
67,1,True,2,14,0,active,76,True,False,True,2020-08-15 22:27:06+00:00,76,0,2020-08-15 22:30:35,2020
68,10,True,1,4,0,active,77,True,False,True,2020-08-15 22:11:09+00:00,77,0,2020-08-15 22:30:35,2020
69,1,True,1,17,0,active,78,True,False,True,2020-08-15 22:24:31+00:00,78,0,2020-08-15 22:30:35,2020
70,6,True,0,13,0,active,79,True,False,True,2020-08-15 22:29:22+00:00,79,0,2020-08-15 22:30:35,2020
71,21,True,2,12,0,active,80,True,False,True,2020-08-15 22:20:27+00:00,80,0,2020-08-15 22:30:35,2020
72,12,True,1,6,0,active,81,True,False,True,2020-08-15 22:25:47+00:00,81,0,2020-08-15 22:30:35,2020
73,15,True,0,0,0,active,82,True,False,True,2020-08-15 22:13:56+00:00,82,0,2020-08-15 22:30:35,2020
74,13,True,1,1,0,active,84,True,False,True,2020-08-15 22:24:06+00:00,84,0,2020-08-15 22:30:35,2020
75,8,True,0,11,0,active,85,True,False,True,2020-08-15 22:01:11+00:00,85,0,2020-08-15 22:30:35,2020
76,4,True,1,14,0,active,86,True,False,True,2020-08-15 22:30:25+00:00,86,0,2020-08-15 22:30:35,2020
77,14,True,0,1,0,active,87,True,False,True,2020-08-15 22:14:31+00:00,87,0,2020-08-15 22:30:35,2020
78,5,True,0,14,0,active,89,True,False,True,2020-08-15 22:29:13+00:00,89,0,2020-08-15 22:30:35,2020
79,19,True,0,0,0,active,90,True,False,True,2020-08-15 22:09:07+00:00,90,0,2020-08-15 22:30:35,2020
80,18,True,1,0,0,active,91,True,False,True,2020-08-15 22:25:12+00:00,91,0,2020-08-15 22:30:35,2020
81,0,True,0,19,0,active,92,True,False,True,2020-08-15 19:43:28+00:00,92,0,2020-08-15 22:30:35,2020
82,8,True,0,7,0,active,93,True,False,True,2020-08-15 20:57:33+00:00,93,0,2020-08-15 22:30:35,2020
83,6,True,0,5,0,active,94,True,False,True,2020-08-15 22:26:16+00:00,94,0,2020-08-15 22:30:35,2020
84,6,True,2,7,0,active,95,True,False,True,2020-08-15 22:13:00+00:00,95,0,2020-08-15 22:30:35,2020
85,9,True,1,9,0,active,96,True,False,True,2020-08-15 22:12:40+00:00,96,0,2020-08-15 22:30:35,2020
86,16,True,0,3,0,active,97,True,False,True,2020-08-15 22:30:29+00:00,97,0,2020-08-15 22:30:35,2020
87,12,True,0,11,0,active,98,True,False,True,2020-08-15 22:27:56+00:00,98,0,2020-08-15 22:30:35,2020
88,11,True,0,4,0,active,99,True,False,True,2020-08-15 22:19:13+00:00,99,0,2020-08-15 22:30:35,2020
89,14,True,1,10,0,active,100,True,True,True,2020-08-15 22:18:03+00:00,100,0,2020-08-15 22:30:35,2020
90,4,True,0,11,0,active,101,True,False,True,2020-08-15 22:08:50+00:00,101,0,2020-08-15 22:30:35,2020
91,15,True,0,0,0,active,102,True,False,True,2020-08-15 21:29:59+00:00,102,0,2020-08-15 22:30:35,2020
92,10,True,0,5,0,active,103,True,False,True,2020-08-15 22:18:10+00:00,103,0,2020-08-15 22:30:35,2020
93,18,True,0,1,0,active,104,True,False,True,2020-08-15 22:30:13+00:00,104,0,2020-08-15 22:30:35,2020
94,18,True,1,0,0,active,105,True,False,True,2020-08-15 22:27:35+00:00,105,0,2020-08-15 22:30:35,2020
95,6,True,0,9,0,active,106,True,False,True,2020-08-15 21:51:19+00:00,106,0,2020-08-15 22:30:35,2020
96,6,True,1,12,0,active,107,True,False,True,2020-08-15 22:18:34+00:00,107,0,2020-08-15 22:30:35,2020
97,7,True,1,9,0,active,108,True,False,True,2020-08-15 22:23:42+00:00,108,0,2020-08-15 22:30:35,2020
98,32,True,2,1,0,active,109,True,False,True,2020-08-15 22:00:59+00:00,109,0,2020-08-15 22:30:35,2020
99,4,True,1,10,0,active,110,True,False,True,2020-08-15 22:27:30+00:00,110,0,2020-08-15 22:30:35,2020
100,15,True,0,0,0,active,111,True,False,True,2020-08-15 22:07:23+00:00,111,0,2020-08-15 22:30:35,2020
101,7,True,0,8,0,active,112,True,False,True,2020-08-15 22:08:36+00:00,112,0,2020-08-15 22:30:35,2020
102,11,True,0,4,0,active,113,True,False,True,2020-08-15 22:08:03+00:00,113,0,2020-08-15 22:30:35,2020
103,11,True,0,4,0,active,114,True,False,True,2020-08-15 22:26:23+00:00,114,0,2020-08-15 22:30:35,2020
104,9,True,1,9,0,active,115,True,False,True,2020-08-15 22:22:25+00:00,115,0,2020-08-15 22:30:35,2020
105,19,True,0,4,0,active,116,True,False,True,2020-08-15 22:24:14+00:00,116,0,2020-08-15 22:30:35,2020
106,13,True,0,6,0,active,117,True,False,True,2020-08-15 22:17:05+00:00,117,0,2020-08-15 22:30:35,2020
107,3,True,1,15,0,active,118,True,False,True,2020-08-15 22:28:56+00:00,118,0,2020-08-15 22:30:35,2020
108,2,True,1,12,0,active,119,True,False,True,2020-08-15 22:26:58+00:00,119,0,2020-08-15 22:30:35,2020
109,4,True,0,11,0,active,120,True,False,True,2020-08-15 22:13:43+00:00,120,0,2020-08-15 22:30:35,2020
110,8,True,0,9,0,active,121,True,False,True,2020-08-15 22:05:04+00:00,121,0,2020-08-15 22:30:35,2020
111,0,True,0,15,0,active,122,True,False,True,2020-08-15 22:14:58+00:00,122,0,2020-08-15 22:30:35,2020
112,11,True,0,4,0,active,124,True,False,True,2020-08-15 22:03:19+00:00,124,0,2020-08-15 22:30:35,2020
113,3,True,2,10,0,active,125,True,False,True,2020-08-15 22:29:33+00:00,125,0,2020-08-15 22:30:35,2020
114,12,True,1,2,0,active,126,True,False,True,2020-08-15 21:35:59+00:00,126,0,2020-08-15 22:30:35,2020
115,2,True,0,17,0,active,128,True,False,True,2020-08-15 20:11:03+00:00,128,0,2020-08-15 22:30:35,2020
116,4,True,0,15,0,active,129,True,False,True,2020-08-15 22:23:16+00:00,129,0,2020-08-15 22:30:35,2020
117,2,True,0,13,0,active,130,True,False,True,2020-08-15 20:44:32+00:00,130,0,2020-08-15 22:30:35,2020
118,13,True,1,4,0,active,131,True,False,True,2020-08-15 22:11:21+00:00,131,0,2020-08-15 22:30:35,2020
119,14,True,1,8,0,active,133,True,False,True,2020-08-15 22:21:36+00:00,133,0,2020-08-15 22:30:35,2020
120,17,True,0,0,0,active,135,True,False,True,2020-08-15 21:44:23+00:00,135,0,2020-08-15 22:30:35,2020
121,13,True,0,6,0,active,136,True,False,True,2020-08-15 18:51:10+00:00,136,0,2020-08-15 22:30:35,2020
122,3,True,1,11,0,active,137,True,False,True,2020-08-15 21:32:52+00:00,137,0,2020-08-15 22:30:35,2020
123,9,True,2,4,0,active,138,True,False,True,2020-08-15 22:10:45+00:00,138,0,2020-08-15 22:30:35,2020
124,18,True,1,0,0,active,139,True,False,True,2020-08-15 22:11:02+00:00,139,0,2020-08-15 22:30:35,2020
125,7,True,0,10,0,active,140,True,False,True,2020-08-15 22:24:08+00:00,140,0,2020-08-15 22:30:35,2020
126,12,True,0,3,0,active,141,True,False,True,2020-08-15 21:18:46+00:00,141,0,2020-08-15 22:30:35,2020
127,1,True,0,22,0,active,142,True,False,True,2020-08-15 19:57:45+00:00,142,0,2020-08-15 22:30:35,2020
128,15,True,1,7,0,active,143,True,False,True,2020-08-15 22:28:03+00:00,143,0,2020-08-15 22:30:35,2020
129,6,True,0,13,0,active,144,True,False,True,2020-08-15 22:27:37+00:00,144,0,2020-08-15 22:30:35,2020
130,5,True,1,13,0,active,145,True,False,True,2020-08-15 22:21:07+00:00,145,0,2020-08-15 22:30:35,2020
131,1,True,1,17,0,active,146,True,False,True,2020-08-15 22:08:37+00:00,146,0,2020-08-15 22:30:35,2020
132,3,True,0,15,0,active,149,True,True,True,2020-08-15 22:27:15+00:00,149,0,2020-08-15 22:30:35,2020
133,2,True,1,16,0,active,150,True,False,True,2020-08-15 22:24:50+00:00,150,0,2020-08-15 22:30:35,2020
134,19,True,0,0,0,active,151,True,False,True,2020-08-15 21:19:23+00:00,151,0,2020-08-15 22:30:35,2020
135,9,True,0,6,0,active,152,True,True,True,2020-08-15 22:10:14+00:00,152,0,2020-08-15 22:30:35,2020
136,10,True,0,5,0,active,156,True,False,True,2020-08-15 22:15:39+00:00,156,0,2020-08-15 22:30:35,2020
137,6,True,2,7,0,active,157,True,False,True,2020-08-15 22:28:11+00:00,157,0,2020-08-15 22:30:35,2020
138,6,True,0,9,0,active,159,True,False,True,2020-08-15 22:20:03+00:00,159,0,2020-08-15 22:30:35,2020
139,9,True,0,5,0,active,160,True,True,True,2020-08-15 22:27:46+00:00,160,0,2020-08-15 22:30:35,2020
140,9,True,1,13,0,active,161,True,True,True,2020-08-15 22:04:14+00:00,161,0,2020-08-15 22:30:35,2020
