,num_bikes_available,num_docks_disabled,legacy_id,last_reported,eightd_has_available_keys,station_id,num_docks_available,is_returning,is_installed,station_status,num_ebikes_available,is_renting,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,14,0,3,2020-08-18 16:40:39+00:00,False,3,1,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
1,1,0,4,2020-08-18 17:15:37+00:00,False,4,18,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
2,6,0,5,2020-08-18 17:17:04+00:00,False,5,7,True,True,active,0,True,2,,,2020-08-18 17:21:50,2020
3,8,0,6,2020-08-18 17:19:55+00:00,False,6,6,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
4,3,0,7,2020-08-18 16:51:51+00:00,False,7,11,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
5,1,0,8,2020-08-18 17:18:19+00:00,False,8,14,True,True,active,0,True,4,,,2020-08-18 17:21:50,2020
6,1,0,9,2020-08-18 17:18:13+00:00,False,9,13,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
7,8,0,10,2020-08-18 17:21:17+00:00,False,10,3,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
8,13,0,11,2020-08-18 17:20:27+00:00,False,11,2,True,True,active,0,True,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 50, 'active': True, 'off_dock_count': 61, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 91, 'region': 'BOS', 'dock_blocked_count': 0}",2020-08-18 17:21:50,2020
9,9,0,12,2020-08-18 17:20:43+00:00,True,12,9,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
10,9,0,13,2020-08-18 16:42:38+00:00,False,13,10,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
11,17,0,14,2020-08-18 17:21:34+00:00,False,14,5,True,True,active,0,True,3,,,2020-08-18 17:21:50,2020
12,10,0,15,2020-08-18 16:58:35+00:00,False,15,5,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
