,num_docks_available,station_status,last_reported,num_bikes_disabled,num_docks_disabled,num_bikes_available,num_ebikes_available,is_installed,station_id,legacy_id,is_renting,eightd_has_available_keys,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,2,active,2020-08-18 17:31:54+00:00,0,0,13,0,True,3,3,True,False,True,,,2020-08-18 17:52:50,2020
1,17,active,2020-08-18 17:29:23+00:00,0,0,2,0,True,4,4,True,False,True,,,2020-08-18 17:52:50,2020
2,11,active,2020-08-18 17:52:16+00:00,2,0,2,0,True,5,5,True,False,True,,,2020-08-18 17:52:50,2020
3,5,active,2020-08-18 17:38:42+00:00,1,0,9,0,True,6,6,True,False,True,,,2020-08-18 17:52:50,2020
4,11,active,2020-08-18 16:51:51+00:00,1,0,3,0,True,7,7,True,False,True,,,2020-08-18 17:52:50,2020
5,15,active,2020-08-18 17:42:43+00:00,3,0,1,0,True,8,8,True,False,True,,,2020-08-18 17:52:50,2020
6,11,active,2020-08-18 17:50:32+00:00,1,0,3,0,True,9,9,True,False,True,,,2020-08-18 17:52:50,2020
7,4,active,2020-08-18 17:51:48+00:00,0,0,7,0,True,10,10,True,False,True,,,2020-08-18 17:52:50,2020
8,1,active,2020-08-18 17:46:30+00:00,0,0,14,0,True,11,11,True,False,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 61, 'valet_revision': 91, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'active': True, 'off_dock_capacity': 50, 'dock_blocked_count': 0}",2020-08-18 17:52:50,2020
9,10,active,2020-08-18 17:42:39+00:00,0,0,8,0,True,12,12,True,True,True,,,2020-08-18 17:52:50,2020
10,12,active,2020-08-18 17:47:12+00:00,0,0,7,0,True,13,13,True,False,True,,,2020-08-18 17:52:50,2020
11,3,active,2020-08-18 17:41:41+00:00,3,0,19,0,True,14,14,True,False,True,,,2020-08-18 17:52:50,2020
12,4,active,2020-08-18 17:22:59+00:00,0,0,11,0,True,15,15,True,False,True,,,2020-08-18 17:52:50,2020
13,18,active,2020-08-18 17:41:20+00:00,0,0,1,0,True,16,16,True,True,True,,,2020-08-18 17:52:50,2020
14,14,active,2020-08-18 17:48:45+00:00,0,0,1,0,True,17,17,True,False,True,,,2020-08-18 17:52:50,2020
15,13,active,2020-08-18 17:42:55+00:00,0,0,2,0,True,19,19,True,False,True,,,2020-08-18 17:52:50,2020
16,2,active,2020-08-18 17:46:58+00:00,0,0,21,0,True,20,20,True,True,True,,,2020-08-18 17:52:50,2020
17,7,active,2020-08-18 17:52:26+00:00,0,0,11,0,True,21,21,True,True,True,,,2020-08-18 17:52:50,2020
18,39,active,2020-08-18 17:26:18+00:00,1,0,7,0,True,22,22,True,True,True,,,2020-08-18 17:52:50,2020
19,7,active,2020-08-18 17:49:43+00:00,0,0,14,0,True,23,23,True,False,True,,,2020-08-18 17:52:50,2020
20,7,active,2020-08-18 17:45:23+00:00,1,0,11,0,True,24,24,True,False,True,,,2020-08-18 17:52:50,2020
21,15,active,2020-08-18 17:12:54+00:00,0,0,0,0,True,25,25,True,False,True,,,2020-08-18 17:52:50,2020
22,10,active,2020-08-18 17:27:08+00:00,0,0,5,0,True,26,26,True,False,True,,,2020-08-18 17:52:50,2020
23,6,active,2020-08-18 17:00:39+00:00,3,0,14,0,True,27,27,True,False,True,,,2020-08-18 17:52:50,2020
24,7,active,2020-08-18 14:09:47+00:00,1,0,7,0,True,29,29,True,False,True,,,2020-08-18 17:52:50,2020
25,1,active,2020-08-18 17:36:41+00:00,1,0,13,0,True,30,30,True,False,True,,,2020-08-18 17:52:50,2020
26,15,active,2020-08-18 17:24:17+00:00,0,0,4,0,True,31,31,True,True,True,,,2020-08-18 17:52:50,2020
27,6,active,2020-08-18 17:36:25+00:00,0,0,9,0,True,32,32,True,False,True,,,2020-08-18 17:52:50,2020
28,10,active,2020-08-18 17:47:17+00:00,0,0,17,0,True,33,33,True,False,True,,,2020-08-18 17:52:50,2020
29,3,active,2020-08-18 17:51:29+00:00,0,0,20,0,True,35,35,True,False,True,,,2020-08-18 17:52:50,2020
30,13,active,2020-08-18 17:51:24+00:00,0,0,20,0,True,36,36,True,True,True,,,2020-08-18 17:52:50,2020
31,1,active,2020-08-18 17:41:11+00:00,0,0,14,0,True,37,37,True,True,True,,,2020-08-18 17:52:50,2020
32,15,active,2020-08-18 17:34:25+00:00,1,0,7,0,True,39,39,True,False,True,,,2020-08-18 17:52:50,2020
33,2,active,2020-08-18 17:52:36+00:00,0,0,17,0,True,40,40,True,False,True,,,2020-08-18 17:52:50,2020
34,21,active,2020-08-18 17:49:17+00:00,1,0,5,0,True,41,41,True,True,True,,,2020-08-18 17:52:50,2020
35,11,active,2020-08-18 17:50:16+00:00,1,0,11,0,True,42,42,True,False,True,,,2020-08-18 17:52:50,2020
36,5,active,2020-08-18 16:47:55+00:00,1,0,9,0,True,43,43,True,True,True,,,2020-08-18 17:52:50,2020
37,1,active,2020-08-18 17:07:17+00:00,0,0,22,0,True,44,44,True,False,True,,,2020-08-18 17:52:50,2020
38,17,active,2020-08-18 17:52:28+00:00,0,0,2,0,True,46,46,True,False,True,,,2020-08-18 17:52:50,2020
39,18,active,2020-08-18 17:45:03+00:00,0,0,1,0,True,47,47,True,True,True,,,2020-08-18 17:52:50,2020
40,12,active,2020-08-18 17:42:18+00:00,0,0,7,0,True,48,48,True,False,True,,,2020-08-18 17:52:50,2020
41,12,active,2020-08-18 17:38:43+00:00,0,0,6,0,True,49,49,True,False,True,,,2020-08-18 17:52:50,2020
42,1,active,2020-08-18 17:33:45+00:00,0,0,14,0,True,50,50,True,True,True,,,2020-08-18 17:52:50,2020
43,11,active,2020-08-18 16:12:13+00:00,0,0,4,0,True,51,51,True,False,True,,,2020-08-18 17:52:50,2020
44,20,active,2020-08-18 17:51:56+00:00,1,0,2,0,True,52,52,True,True,True,,,2020-08-18 17:52:50,2020
45,17,active,2020-08-18 17:47:26+00:00,0,0,2,0,True,53,53,True,False,True,,,2020-08-18 17:52:50,2020
46,4,active,2020-08-18 17:49:32+00:00,1,0,10,0,True,54,54,True,False,True,,,2020-08-18 17:52:50,2020
47,14,active,2020-08-18 17:52:27+00:00,0,0,1,0,True,55,55,True,False,True,,,2020-08-18 17:52:50,2020
48,9,active,2020-08-18 17:25:36+00:00,1,0,8,0,True,56,56,True,False,True,,,2020-08-18 17:52:50,2020
49,9,active,2020-08-18 17:14:00+00:00,0,0,5,0,True,57,57,True,True,True,,,2020-08-18 17:52:50,2020
50,16,active,2020-08-18 17:07:35+00:00,2,0,1,0,True,58,58,True,True,True,,,2020-08-18 17:52:50,2020
51,15,active,2020-08-18 17:41:25+00:00,0,0,4,0,True,59,59,True,True,True,,,2020-08-18 17:52:50,2020
52,17,active,2020-08-18 17:48:04+00:00,0,0,2,0,True,60,60,True,False,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 36, 'valet_revision': 81, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'active': True, 'off_dock_capacity': 40, 'dock_blocked_count': 0}",2020-08-18 17:52:50,2020
53,11,active,2020-08-18 17:36:12+00:00,0,0,8,0,True,61,61,True,False,True,,,2020-08-18 17:52:50,2020
54,2,active,2020-08-18 17:10:01+00:00,0,0,13,0,True,63,63,True,False,True,,,2020-08-18 17:52:50,2020
55,5,active,2020-08-18 17:44:51+00:00,0,0,14,0,True,64,64,True,False,True,,,2020-08-18 17:52:50,2020
56,20,active,2020-08-18 14:51:46+00:00,0,0,3,0,True,65,65,True,False,True,,,2020-08-18 17:52:50,2020
57,13,active,2020-08-18 17:18:15+00:00,1,0,1,0,True,66,66,True,False,True,,,2020-08-18 17:52:50,2020
58,1,active,2020-08-18 17:52:19+00:00,1,0,25,0,True,67,67,True,True,True,,,2020-08-18 17:52:50,2020
