,station_status,is_renting,is_returning,last_reported,eightd_has_available_keys,station_id,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_available,num_docks_disabled,num_bikes_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,active,True,True,2020-08-18 17:31:54+00:00,False,3,0,0,3,2,0,13,True,,,2020-08-18 18:03:00,2020
1,active,True,True,2020-08-18 17:29:23+00:00,False,4,0,0,4,17,0,2,True,,,2020-08-18 18:03:00,2020
2,active,True,True,2020-08-18 17:55:33+00:00,False,5,2,0,5,12,0,1,True,,,2020-08-18 18:03:00,2020
3,active,True,True,2020-08-18 17:58:26+00:00,False,6,1,0,6,6,0,8,True,,,2020-08-18 18:03:00,2020
4,active,True,True,2020-08-18 18:02:14+00:00,False,7,1,0,7,9,0,5,True,,,2020-08-18 18:03:00,2020
5,active,True,True,2020-08-18 17:58:52+00:00,False,8,3,0,8,16,0,0,True,,,2020-08-18 18:03:00,2020
6,active,True,True,2020-08-18 17:59:05+00:00,False,9,1,0,9,9,0,5,True,,,2020-08-18 18:03:00,2020
7,active,True,True,2020-08-18 17:57:52+00:00,False,10,0,0,10,1,0,10,True,,,2020-08-18 18:03:00,2020
8,active,True,True,2020-08-18 17:59:45+00:00,False,11,0,0,11,3,0,12,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'region': 'BOS', 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 91, 'off_dock_count': 61, 'off_dock_capacity': 50}",2020-08-18 18:03:00,2020
9,active,True,True,2020-08-18 17:54:14+00:00,True,12,0,0,12,9,0,9,True,,,2020-08-18 18:03:00,2020
10,active,True,True,2020-08-18 18:00:00+00:00,False,13,0,0,13,10,0,9,True,,,2020-08-18 18:03:00,2020
11,active,True,True,2020-08-18 17:41:41+00:00,False,14,3,0,14,3,0,19,True,,,2020-08-18 18:03:00,2020
12,active,True,True,2020-08-18 17:22:59+00:00,False,15,0,0,15,4,0,11,True,,,2020-08-18 18:03:00,2020
13,active,True,True,2020-08-18 17:41:20+00:00,True,16,0,0,16,18,0,1,True,,,2020-08-18 18:03:00,2020
14,active,True,True,2020-08-18 17:48:45+00:00,False,17,0,0,17,14,0,1,True,,,2020-08-18 18:03:00,2020
15,active,True,True,2020-08-18 17:42:55+00:00,False,19,0,0,19,13,0,2,True,,,2020-08-18 18:03:00,2020
16,active,True,True,2020-08-18 18:00:17+00:00,True,20,0,0,20,0,0,23,True,,,2020-08-18 18:03:00,2020
17,active,True,True,2020-08-18 18:02:18+00:00,True,21,0,0,21,9,0,9,True,,,2020-08-18 18:03:00,2020
18,active,True,True,2020-08-18 17:26:18+00:00,True,22,1,0,22,39,0,7,True,,,2020-08-18 18:03:00,2020
19,active,True,True,2020-08-18 18:02:02+00:00,False,23,0,0,23,8,0,13,True,,,2020-08-18 18:03:00,2020
20,active,True,True,2020-08-18 17:56:31+00:00,False,24,1,0,24,8,0,10,True,,,2020-08-18 18:03:00,2020
