,num_bikes_available,num_docks_available,station_id,num_docks_disabled,is_installed,eightd_has_available_keys,legacy_id,last_reported,num_ebikes_available,is_returning,is_renting,num_bikes_disabled,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,15,0,3,0,True,False,3,2020-08-18 18:12:37+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
1,3,16,4,0,True,False,4,2020-08-18 19:39:09+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
2,6,8,5,0,True,False,5,2020-08-18 19:53:20+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
3,6,8,6,0,True,False,6,2020-08-18 20:04:30+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
4,5,9,7,0,True,False,7,2020-08-18 19:57:23+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
5,3,13,8,0,True,False,8,2020-08-18 19:56:34+00:00,0,True,True,3,active,,,2020-08-18 20:05:40,2020
6,2,12,9,0,True,False,9,2020-08-18 20:03:39+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
7,0,11,10,0,True,False,10,2020-08-18 19:21:47+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
8,8,6,11,0,True,False,11,2020-08-18 20:04:39+00:00,0,True,True,1,active,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 53, 'active': True, 'region': 'BOS', 'valet_revision': 92, 'dock_blocked_count': 0}",2020-08-18 20:05:40,2020
9,7,11,12,0,True,False,12,2020-08-18 20:03:38+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
10,7,12,13,0,True,False,13,2020-08-18 19:47:57+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
11,15,9,14,0,True,False,14,2020-08-18 20:00:03+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
12,11,3,15,0,True,False,15,2020-08-18 19:52:06+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
13,2,16,16,0,True,True,16,2020-08-18 19:45:45+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
14,1,14,17,0,True,False,17,2020-08-18 20:04:12+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
15,4,11,19,0,True,False,19,2020-08-18 19:52:37+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
16,18,5,20,0,True,True,20,2020-08-18 20:04:21+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
17,6,12,21,0,True,True,21,2020-08-18 19:36:56+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
18,6,40,22,0,True,True,22,2020-08-18 20:05:20+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
19,11,10,23,0,True,False,23,2020-08-18 19:59:20+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
20,11,7,24,0,True,False,24,2020-08-18 19:58:36+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
21,2,13,25,0,True,False,25,2020-08-18 19:47:19+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
22,6,9,26,0,True,False,26,2020-08-18 20:01:20+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
23,19,4,27,0,True,False,27,2020-08-18 19:58:17+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
24,5,9,29,0,True,False,29,2020-08-18 19:28:32+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
25,6,8,30,0,True,False,30,2020-08-18 19:58:31+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
26,4,15,31,0,True,True,31,2020-08-18 19:08:45+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
27,11,4,32,0,True,False,32,2020-08-18 19:59:45+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
28,21,6,33,0,True,False,33,2020-08-18 19:37:44+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
29,15,8,35,0,True,False,35,2020-08-18 20:00:55+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
30,24,9,36,0,True,True,36,2020-08-18 19:56:02+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
