,is_returning,num_docks_available,is_renting,station_id,num_bikes_available,num_docks_disabled,eightd_has_available_keys,legacy_id,is_installed,station_status,num_bikes_disabled,num_ebikes_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,2,True,3,13,0,False,3,True,active,0,0,2020-08-18 20:32:17+00:00,,,2020-08-18 21:06:55,2020
1,True,14,True,4,5,0,False,4,True,active,0,0,2020-08-18 20:53:07+00:00,,,2020-08-18 21:06:55,2020
2,True,11,True,5,3,0,False,5,True,active,1,0,2020-08-18 21:06:14+00:00,,,2020-08-18 21:06:55,2020
3,True,12,True,6,2,0,False,6,True,active,1,0,2020-08-18 21:05:31+00:00,,,2020-08-18 21:06:55,2020
4,True,11,True,7,3,0,False,7,True,active,1,0,2020-08-18 21:05:47+00:00,,,2020-08-18 21:06:55,2020
5,True,16,True,8,0,0,False,8,True,active,3,0,2020-08-18 20:46:44+00:00,,,2020-08-18 21:06:55,2020
6,True,11,True,9,3,0,False,9,True,active,1,0,2020-08-18 21:03:12+00:00,,,2020-08-18 21:06:55,2020
7,True,9,True,10,2,0,False,10,True,active,0,0,2020-08-18 21:05:32+00:00,,,2020-08-18 21:06:55,2020
8,True,4,True,11,11,0,False,11,True,active,0,0,2020-08-18 21:06:23+00:00,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 92, 'dock_blocked_count': 0, 'off_dock_capacity': 50, 'off_dock_count': 33}",2020-08-18 21:06:55,2020
9,True,10,True,12,8,0,False,12,True,active,0,0,2020-08-18 20:57:39+00:00,,,2020-08-18 21:06:55,2020
10,True,19,True,13,0,0,False,13,True,active,0,0,2020-08-18 21:06:35+00:00,,,2020-08-18 21:06:55,2020
11,True,21,True,14,3,0,False,14,True,active,1,0,2020-08-18 20:55:37+00:00,,,2020-08-18 21:06:55,2020
