,num_docks_available,last_reported,station_id,num_docks_disabled,is_renting,num_ebikes_available,num_bikes_available,station_status,is_installed,eightd_has_available_keys,legacy_id,num_bikes_disabled,is_returning,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,6,2020-08-18 21:19:23+00:00,3,0,True,0,9,active,True,False,3,0,True,,,2020-08-18 21:27:20,2020
1,13,2020-08-18 21:19:04+00:00,4,0,True,0,6,active,True,False,4,0,True,,,2020-08-18 21:27:20,2020
2,9,2020-08-18 21:25:53+00:00,5,0,True,0,5,active,True,False,5,1,True,,,2020-08-18 21:27:20,2020
3,14,2020-08-18 21:23:04+00:00,6,0,True,0,0,active,True,False,6,1,True,,,2020-08-18 21:27:20,2020
4,11,2020-08-18 21:19:39+00:00,7,0,True,0,3,active,True,False,7,1,True,,,2020-08-18 21:27:20,2020
5,15,2020-08-18 21:12:33+00:00,8,0,True,0,0,active,True,False,8,4,True,,,2020-08-18 21:27:20,2020
6,11,2020-08-18 21:20:22+00:00,9,0,True,0,3,active,True,False,9,1,True,,,2020-08-18 21:27:20,2020
7,8,2020-08-18 21:26:15+00:00,10,0,True,0,3,active,True,False,10,0,True,,,2020-08-18 21:27:20,2020
8,3,2020-08-18 21:26:46+00:00,11,0,True,0,12,active,True,False,11,0,True,"{'off_dock_count': 21, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'dock_blocked_count': 0, 'valet_revision': 92, 'active': True, 'region': 'BOS'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-18 21:27:20,2020
9,13,2020-08-18 21:26:08+00:00,12,0,True,0,5,active,True,False,12,0,True,,,2020-08-18 21:27:20,2020
10,18,2020-08-18 21:25:25+00:00,13,0,True,0,0,active,True,False,13,1,True,,,2020-08-18 21:27:20,2020
11,22,2020-08-18 21:18:35+00:00,14,0,True,0,2,active,True,False,14,1,True,,,2020-08-18 21:27:20,2020
12,0,2020-08-18 20:27:32+00:00,15,0,True,0,14,active,True,False,15,1,True,,,2020-08-18 21:27:20,2020
13,6,2020-08-18 21:26:06+00:00,16,0,True,0,12,active,True,True,16,1,True,,,2020-08-18 21:27:20,2020
14,13,2020-08-18 21:15:39+00:00,17,0,True,0,2,active,True,False,17,0,True,,,2020-08-18 21:27:20,2020
15,11,2020-08-18 20:35:13+00:00,19,0,True,0,4,active,True,False,19,0,True,,,2020-08-18 21:27:20,2020
16,10,2020-08-18 21:21:56+00:00,20,0,True,0,13,active,True,True,20,0,True,,,2020-08-18 21:27:20,2020
17,15,2020-08-18 21:26:19+00:00,21,0,True,0,3,active,True,True,21,0,True,,,2020-08-18 21:27:20,2020
18,39,2020-08-18 21:27:03+00:00,22,0,True,0,6,active,True,True,22,2,True,,,2020-08-18 21:27:20,2020
19,15,2020-08-18 21:10:25+00:00,23,0,True,0,6,active,True,False,23,0,True,,,2020-08-18 21:27:20,2020
20,5,2020-08-18 21:07:32+00:00,24,0,True,0,13,active,True,False,24,1,True,,,2020-08-18 21:27:20,2020
21,7,2020-08-18 21:05:23+00:00,25,0,True,0,8,active,True,False,25,0,True,,,2020-08-18 21:27:20,2020
22,10,2020-08-18 21:23:23+00:00,26,0,True,0,5,active,True,False,26,0,True,,,2020-08-18 21:27:20,2020
23,2,2020-08-18 21:20:40+00:00,27,0,True,0,21,active,True,False,27,0,True,,,2020-08-18 21:27:20,2020
24,7,2020-08-18 21:16:36+00:00,29,0,True,0,7,active,True,False,29,1,True,,,2020-08-18 21:27:20,2020
25,11,2020-08-18 21:26:53+00:00,30,0,True,0,3,active,True,False,30,1,True,,,2020-08-18 21:27:20,2020
26,14,2020-08-18 21:21:15+00:00,31,0,True,0,5,active,True,True,31,0,True,,,2020-08-18 21:27:20,2020
27,7,2020-08-18 21:22:31+00:00,32,0,True,0,7,active,True,False,32,1,True,,,2020-08-18 21:27:20,2020
28,11,2020-08-18 21:23:53+00:00,33,0,True,0,16,active,True,False,33,0,True,,,2020-08-18 21:27:20,2020
29,16,2020-08-18 21:27:05+00:00,35,0,True,0,7,active,True,False,35,0,True,,,2020-08-18 21:27:20,2020
30,12,2020-08-18 21:26:39+00:00,36,0,True,0,21,active,True,True,36,0,True,,,2020-08-18 21:27:20,2020
31,0,2020-08-18 19:15:16+00:00,37,0,True,0,15,active,True,True,37,0,True,,,2020-08-18 21:27:20,2020
32,20,2020-08-18 21:24:17+00:00,39,0,True,0,3,active,True,False,39,0,True,,,2020-08-18 21:27:20,2020
33,14,2020-08-18 21:26:07+00:00,40,0,True,0,5,active,True,False,40,0,True,,,2020-08-18 21:27:20,2020
34,14,2020-08-18 21:26:31+00:00,41,0,True,0,12,active,True,True,41,1,True,,,2020-08-18 21:27:20,2020
35,0,2020-08-18 21:13:09+00:00,42,0,True,0,22,active,True,False,42,1,True,,,2020-08-18 21:27:20,2020
36,13,2020-08-18 21:19:18+00:00,43,0,True,0,2,active,True,True,43,0,True,,,2020-08-18 21:27:20,2020
37,4,2020-08-18 21:16:35+00:00,44,0,True,0,19,active,True,False,44,0,True,,,2020-08-18 21:27:20,2020
38,16,2020-08-18 21:27:02+00:00,46,0,True,0,3,active,True,False,46,0,True,,,2020-08-18 21:27:20,2020
39,17,2020-08-18 21:14:56+00:00,47,0,True,0,2,active,True,True,47,0,True,,,2020-08-18 21:27:20,2020
40,6,2020-08-18 21:19:33+00:00,48,0,True,0,12,active,True,False,48,1,True,,,2020-08-18 21:27:20,2020
