,is_returning,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,station_id,last_reported,legacy_id,num_bikes_available,is_installed,is_renting,num_docks_disabled,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,0,active,False,5,3,2020-08-18 21:35:09+00:00,3,10,True,True,0,0,,,2020-08-18 21:37:30,2020
1,True,0,active,False,12,4,2020-08-18 21:30:09+00:00,4,7,True,True,0,0,,,2020-08-18 21:37:30,2020
2,True,0,active,False,7,5,2020-08-18 21:31:49+00:00,5,7,True,True,0,1,,,2020-08-18 21:37:30,2020
3,True,0,active,False,14,6,2020-08-18 21:36:01+00:00,6,0,True,True,0,1,,,2020-08-18 21:37:30,2020
4,True,0,active,False,11,7,2020-08-18 21:19:39+00:00,7,3,True,True,0,1,,,2020-08-18 21:37:30,2020
5,True,0,active,False,15,8,2020-08-18 21:12:33+00:00,8,0,True,True,0,4,,,2020-08-18 21:37:30,2020
6,True,0,active,False,10,9,2020-08-18 21:36:50+00:00,9,4,True,True,0,1,,,2020-08-18 21:37:30,2020
7,True,0,active,False,8,10,2020-08-18 21:26:15+00:00,10,3,True,True,0,0,,,2020-08-18 21:37:30,2020
8,True,0,active,False,3,11,2020-08-18 21:36:24+00:00,11,12,True,True,0,0,"{'valet_revision': 92, 'region': 'BOS', 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'off_dock_count': 18, 'off_dock_capacity': 50}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-18 21:37:30,2020
9,True,0,active,False,13,12,2020-08-18 21:26:08+00:00,12,5,True,True,0,0,,,2020-08-18 21:37:30,2020
10,True,0,active,False,18,13,2020-08-18 21:32:28+00:00,13,0,True,True,0,1,,,2020-08-18 21:37:30,2020
11,True,0,active,False,24,14,2020-08-18 21:33:21+00:00,14,0,True,True,0,1,,,2020-08-18 21:37:30,2020
12,True,0,active,False,0,15,2020-08-18 20:27:32+00:00,15,14,True,True,0,1,,,2020-08-18 21:37:30,2020
13,True,0,active,True,6,16,2020-08-18 21:26:06+00:00,16,12,True,True,0,1,,,2020-08-18 21:37:30,2020
14,True,0,active,False,13,17,2020-08-18 21:15:39+00:00,17,2,True,True,0,0,,,2020-08-18 21:37:30,2020
15,True,0,active,False,11,19,2020-08-18 20:35:13+00:00,19,4,True,True,0,0,,,2020-08-18 21:37:30,2020
16,True,0,active,True,9,20,2020-08-18 21:35:05+00:00,20,14,True,True,0,0,,,2020-08-18 21:37:30,2020
17,True,0,active,True,16,21,2020-08-18 21:37:10+00:00,21,2,True,True,0,0,,,2020-08-18 21:37:30,2020
18,True,0,active,True,40,22,2020-08-18 21:36:57+00:00,22,6,True,True,0,1,,,2020-08-18 21:37:30,2020
19,True,0,active,False,15,23,2020-08-18 21:10:25+00:00,23,6,True,True,0,0,,,2020-08-18 21:37:30,2020
20,True,0,active,False,5,24,2020-08-18 21:07:32+00:00,24,13,True,True,0,1,,,2020-08-18 21:37:30,2020
21,True,0,active,False,6,25,2020-08-18 21:33:12+00:00,25,9,True,True,0,0,,,2020-08-18 21:37:30,2020
22,True,0,active,False,11,26,2020-08-18 21:35:01+00:00,26,4,True,True,0,0,,,2020-08-18 21:37:30,2020
23,True,0,active,False,2,27,2020-08-18 21:37:13+00:00,27,21,True,True,0,0,,,2020-08-18 21:37:30,2020
24,True,0,active,False,7,29,2020-08-18 21:16:36+00:00,29,7,True,True,0,1,,,2020-08-18 21:37:30,2020
25,True,0,active,False,12,30,2020-08-18 21:33:54+00:00,30,2,True,True,0,1,,,2020-08-18 21:37:30,2020
26,True,0,active,True,14,31,2020-08-18 21:21:15+00:00,31,5,True,True,0,0,,,2020-08-18 21:37:30,2020
27,True,0,active,False,7,32,2020-08-18 21:22:31+00:00,32,7,True,True,0,1,,,2020-08-18 21:37:30,2020
28,True,0,active,False,10,33,2020-08-18 21:30:02+00:00,33,17,True,True,0,0,,,2020-08-18 21:37:30,2020
29,True,0,active,False,16,35,2020-08-18 21:36:21+00:00,35,7,True,True,0,0,,,2020-08-18 21:37:30,2020
30,True,0,active,True,12,36,2020-08-18 21:36:21+00:00,36,21,True,True,0,0,,,2020-08-18 21:37:30,2020
31,True,0,active,True,0,37,2020-08-18 19:15:16+00:00,37,15,True,True,0,0,,,2020-08-18 21:37:30,2020
32,True,0,active,False,17,39,2020-08-18 21:35:39+00:00,39,6,True,True,0,0,,,2020-08-18 21:37:30,2020
33,True,0,active,False,13,40,2020-08-18 21:37:08+00:00,40,6,True,True,0,0,,,2020-08-18 21:37:30,2020
34,True,0,active,True,12,41,2020-08-18 21:34:32+00:00,41,14,True,True,0,1,,,2020-08-18 21:37:30,2020
35,True,0,active,False,0,42,2020-08-18 21:13:09+00:00,42,22,True,True,0,1,,,2020-08-18 21:37:30,2020
36,True,0,active,True,13,43,2020-08-18 21:33:57+00:00,43,2,True,True,0,0,,,2020-08-18 21:37:30,2020
37,True,0,active,False,4,44,2020-08-18 21:16:35+00:00,44,19,True,True,0,0,,,2020-08-18 21:37:30,2020
38,True,0,active,False,19,46,2020-08-18 21:32:12+00:00,46,0,True,True,0,0,,,2020-08-18 21:37:30,2020
39,True,0,active,True,16,47,2020-08-18 21:34:43+00:00,47,3,True,True,0,0,,,2020-08-18 21:37:30,2020
40,True,0,active,False,7,48,2020-08-18 21:32:20+00:00,48,11,True,True,0,1,,,2020-08-18 21:37:30,2020
