,is_renting,legacy_id,num_docks_available,eightd_has_available_keys,num_bikes_available,is_returning,station_id,num_bikes_disabled,is_installed,num_docks_disabled,num_ebikes_available,station_status,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,3,12,False,3,True,3,0,True,0,0,active,2020-08-18 22:37:16+00:00,,,2020-08-18 22:38:50,2020
1,True,4,9,False,10,True,4,0,True,0,0,active,2020-08-18 22:34:27+00:00,,,2020-08-18 22:38:50,2020
2,True,5,7,False,7,True,5,1,True,0,0,active,2020-08-18 22:38:37+00:00,,,2020-08-18 22:38:50,2020
3,True,6,12,False,2,True,6,1,True,0,0,active,2020-08-18 22:36:24+00:00,,,2020-08-18 22:38:50,2020
4,True,7,7,False,7,True,7,1,True,0,0,active,2020-08-18 22:36:39+00:00,,,2020-08-18 22:38:50,2020
5,True,8,14,False,1,True,8,4,True,0,0,active,2020-08-18 22:27:17+00:00,,,2020-08-18 22:38:50,2020
6,True,9,11,False,3,True,9,1,True,0,0,active,2020-08-18 22:31:07+00:00,,,2020-08-18 22:38:50,2020
7,True,10,8,False,3,True,10,0,True,0,0,active,2020-08-18 22:32:26+00:00,,,2020-08-18 22:38:50,2020
8,True,11,12,False,3,True,11,0,True,0,0,active,2020-08-18 22:37:12+00:00,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'active': True, 'valet_revision': 92, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'dock_blocked_count': 0, 'off_dock_count': 8}",2020-08-18 22:38:50,2020
9,True,12,15,False,3,True,12,0,True,0,0,active,2020-08-18 22:27:40+00:00,,,2020-08-18 22:38:50,2020
10,True,13,18,False,0,True,13,1,True,0,0,active,2020-08-18 22:14:50+00:00,,,2020-08-18 22:38:50,2020
11,True,14,25,False,0,True,14,0,True,0,0,active,2020-08-18 22:29:39+00:00,,,2020-08-18 22:38:50,2020
12,True,15,1,False,12,True,15,2,True,0,0,active,2020-08-18 22:27:45+00:00,,,2020-08-18 22:38:50,2020
13,True,16,8,True,10,True,16,1,True,0,0,active,2020-08-18 22:22:55+00:00,,,2020-08-18 22:38:50,2020
14,True,17,10,False,4,True,17,1,True,0,0,active,2020-08-18 22:04:38+00:00,,,2020-08-18 22:38:50,2020
15,True,19,9,False,6,True,19,0,True,0,0,active,2020-08-18 22:33:52+00:00,,,2020-08-18 22:38:50,2020
16,True,20,14,True,9,True,20,0,True,0,0,active,2020-08-18 22:23:04+00:00,,,2020-08-18 22:38:50,2020
17,True,21,12,True,6,True,21,0,True,0,0,active,2020-08-18 22:38:28+00:00,,,2020-08-18 22:38:50,2020
18,True,22,35,True,11,True,22,1,True,0,0,active,2020-08-18 22:35:06+00:00,,,2020-08-18 22:38:50,2020
19,True,23,18,False,3,True,23,0,True,0,0,active,2020-08-18 22:37:37+00:00,,,2020-08-18 22:38:50,2020
20,True,24,2,False,16,True,24,1,True,0,0,active,2020-08-18 22:34:52+00:00,,,2020-08-18 22:38:50,2020
21,True,25,4,False,11,True,25,0,True,0,0,active,2020-08-18 22:20:09+00:00,,,2020-08-18 22:38:50,2020
22,True,26,6,False,9,True,26,0,True,0,0,active,2020-08-18 22:28:54+00:00,,,2020-08-18 22:38:50,2020
23,True,27,4,False,19,True,27,0,True,0,0,active,2020-08-18 22:37:27+00:00,,,2020-08-18 22:38:50,2020
24,True,29,8,False,6,True,29,1,True,0,0,active,2020-08-18 22:20:35+00:00,,,2020-08-18 22:38:50,2020
25,True,30,15,False,0,True,30,0,True,0,0,active,2020-08-18 22:22:37+00:00,,,2020-08-18 22:38:50,2020
26,True,31,19,True,0,True,31,0,True,0,0,active,2020-08-18 22:24:00+00:00,,,2020-08-18 22:38:50,2020
27,True,32,2,False,11,True,32,2,True,0,0,active,2020-08-18 22:36:34+00:00,,,2020-08-18 22:38:50,2020
28,True,33,8,False,19,True,33,0,True,0,0,active,2020-08-18 22:22:11+00:00,,,2020-08-18 22:38:50,2020
29,True,35,17,False,6,True,35,0,True,0,0,active,2020-08-18 22:34:53+00:00,,,2020-08-18 22:38:50,2020
30,True,36,15,True,18,True,36,0,True,0,0,active,2020-08-18 22:32:07+00:00,,,2020-08-18 22:38:50,2020
31,True,37,0,True,15,True,37,0,True,0,0,active,2020-08-18 22:28:52+00:00,,,2020-08-18 22:38:50,2020
32,True,39,21,False,2,True,39,0,True,0,0,active,2020-08-18 22:38:28+00:00,,,2020-08-18 22:38:50,2020
33,True,40,10,False,8,True,40,1,True,0,0,active,2020-08-18 22:33:25+00:00,,,2020-08-18 22:38:50,2020
34,True,41,11,True,15,True,41,1,True,0,0,active,2020-08-18 22:33:55+00:00,,,2020-08-18 22:38:50,2020
35,True,42,11,False,11,True,42,1,True,0,0,active,2020-08-18 22:36:19+00:00,,,2020-08-18 22:38:50,2020
36,True,43,15,True,0,True,43,0,True,0,0,active,2020-08-18 22:34:27+00:00,,,2020-08-18 22:38:50,2020
37,True,44,7,False,16,True,44,0,True,0,0,active,2020-08-18 22:37:51+00:00,,,2020-08-18 22:38:50,2020
38,True,46,14,False,5,True,46,0,True,0,0,active,2020-08-18 22:36:18+00:00,,,2020-08-18 22:38:50,2020
39,True,47,2,True,17,True,47,0,True,0,0,active,2020-08-18 22:38:34+00:00,,,2020-08-18 22:38:50,2020
40,True,48,10,False,9,True,48,0,True,0,0,active,2020-08-18 22:30:12+00:00,,,2020-08-18 22:38:50,2020
41,True,49,9,False,9,True,49,0,True,0,0,active,2020-08-18 22:24:44+00:00,,,2020-08-18 22:38:50,2020
42,True,50,3,True,12,True,50,0,True,0,0,active,2020-08-18 22:27:07+00:00,,,2020-08-18 22:38:50,2020
43,True,51,15,False,0,True,51,0,True,0,0,active,2020-08-18 22:00:01+00:00,,,2020-08-18 22:38:50,2020
44,True,52,2,True,18,True,52,3,True,0,0,active,2020-08-18 22:37:13+00:00,,,2020-08-18 22:38:50,2020
45,True,53,15,False,1,True,53,3,True,0,0,active,2020-08-18 22:33:58+00:00,,,2020-08-18 22:38:50,2020
46,True,54,2,False,13,True,54,0,True,0,0,active,2020-08-18 22:33:09+00:00,,,2020-08-18 22:38:50,2020
