,station_id,legacy_id,station_status,last_reported,num_docks_available,is_returning,num_bikes_disabled,num_bikes_available,num_ebikes_available,eightd_has_available_keys,num_docks_disabled,is_renting,is_installed,timestamp_of_data_read_request,year_station_last_reported
0,3,3,active,2020-08-18 23:48:58+00:00,14,True,0,1,0,False,0,True,True,2020-08-18 23:50:20,2020
1,4,4,active,2020-08-18 23:39:57+00:00,5,True,0,14,0,False,0,True,True,2020-08-18 23:50:20,2020
2,5,5,active,2020-08-18 23:38:13+00:00,10,True,2,3,0,False,0,True,True,2020-08-18 23:50:20,2020
3,6,6,active,2020-08-18 23:28:36+00:00,4,True,2,9,0,False,0,True,True,2020-08-18 23:50:20,2020
4,7,7,active,2020-08-18 23:49:58+00:00,9,True,1,5,0,False,0,True,True,2020-08-18 23:50:20,2020
5,8,8,active,2020-08-18 23:46:20+00:00,9,True,4,6,0,False,0,True,True,2020-08-18 23:50:20,2020
6,9,9,active,2020-08-18 23:49:09+00:00,9,True,1,5,0,False,0,True,True,2020-08-18 23:50:20,2020
7,10,10,active,2020-08-18 23:46:27+00:00,11,True,0,0,0,False,0,True,True,2020-08-18 23:50:20,2020
8,11,11,active,2020-08-18 23:33:25+00:00,15,True,0,0,0,False,0,True,True,2020-08-18 23:50:20,2020
9,12,12,active,2020-08-18 23:42:11+00:00,11,True,0,7,0,False,0,True,True,2020-08-18 23:50:20,2020
10,13,13,active,2020-08-18 23:14:03+00:00,18,True,1,0,0,False,0,True,True,2020-08-18 23:50:20,2020
11,14,14,active,2020-08-18 23:38:27+00:00,25,True,0,0,0,False,0,True,True,2020-08-18 23:50:20,2020
12,15,15,active,2020-08-18 23:47:47+00:00,5,True,1,9,0,False,0,True,True,2020-08-18 23:50:20,2020
13,16,16,active,2020-08-18 23:39:30+00:00,7,True,1,11,0,True,0,True,True,2020-08-18 23:50:20,2020
14,17,17,active,2020-08-18 23:32:59+00:00,11,True,1,3,0,False,0,True,True,2020-08-18 23:50:20,2020
15,19,19,active,2020-08-18 23:45:49+00:00,8,True,0,7,0,False,0,True,True,2020-08-18 23:50:20,2020
16,20,20,active,2020-08-18 23:50:03+00:00,8,True,0,15,0,True,0,True,True,2020-08-18 23:50:20,2020
17,21,21,active,2020-08-18 23:41:00+00:00,15,True,0,3,0,True,0,True,True,2020-08-18 23:50:20,2020
18,22,22,active,2020-08-18 23:49:01+00:00,39,True,1,7,0,True,0,True,True,2020-08-18 23:50:20,2020
19,23,23,active,2020-08-18 23:41:48+00:00,19,True,0,2,0,False,0,True,True,2020-08-18 23:50:20,2020
20,24,24,active,2020-08-18 23:49:39+00:00,1,True,1,17,0,False,0,True,True,2020-08-18 23:50:20,2020
21,25,25,active,2020-08-18 23:47:30+00:00,1,True,0,14,0,False,0,True,True,2020-08-18 23:50:20,2020
22,26,26,active,2020-08-18 23:43:18+00:00,6,True,0,9,0,False,0,True,True,2020-08-18 23:50:20,2020
23,27,27,active,2020-08-18 23:31:05+00:00,2,True,0,21,0,False,0,True,True,2020-08-18 23:50:20,2020
24,29,29,active,2020-08-18 23:25:24+00:00,10,True,1,4,0,False,0,True,True,2020-08-18 23:50:20,2020
25,30,30,active,2020-08-18 23:48:29+00:00,15,True,0,0,0,False,0,True,True,2020-08-18 23:50:20,2020
26,31,31,active,2020-08-18 23:03:41+00:00,17,True,0,2,0,True,0,True,True,2020-08-18 23:50:20,2020
27,32,32,active,2020-08-18 23:42:04+00:00,13,True,1,1,0,False,0,True,True,2020-08-18 23:50:20,2020
28,33,33,active,2020-08-18 23:25:57+00:00,1,True,1,25,0,False,0,True,True,2020-08-18 23:50:20,2020
29,35,35,active,2020-08-18 23:23:20+00:00,23,True,0,0,0,False,0,True,True,2020-08-18 23:50:20,2020
30,36,36,active,2020-08-18 23:48:27+00:00,15,True,0,18,0,True,0,True,True,2020-08-18 23:50:20,2020
31,37,37,active,2020-08-18 22:28:52+00:00,0,True,0,15,0,True,0,True,True,2020-08-18 23:50:20,2020
32,39,39,active,2020-08-18 23:47:42+00:00,21,True,0,2,0,False,0,True,True,2020-08-18 23:50:20,2020
33,40,40,active,2020-08-18 23:46:30+00:00,6,True,0,13,0,False,0,True,True,2020-08-18 23:50:20,2020
34,41,41,active,2020-08-18 23:49:56+00:00,11,True,1,15,0,True,0,True,True,2020-08-18 23:50:20,2020
35,42,42,active,2020-08-18 23:28:27+00:00,12,True,0,11,0,False,0,True,True,2020-08-18 23:50:20,2020
36,43,43,active,2020-08-18 23:23:01+00:00,9,True,0,6,0,True,0,True,True,2020-08-18 23:50:20,2020
37,44,44,active,2020-08-18 23:28:03+00:00,12,True,0,11,0,False,0,True,True,2020-08-18 23:50:20,2020
38,46,46,active,2020-08-18 23:49:38+00:00,10,True,0,9,0,False,0,True,True,2020-08-18 23:50:20,2020
39,47,47,active,2020-08-18 23:49:33+00:00,6,True,0,13,0,True,0,True,True,2020-08-18 23:50:20,2020
