,is_returning,num_docks_available,num_docks_disabled,num_bikes_disabled,num_bikes_available,last_reported,legacy_id,num_ebikes_available,is_renting,station_status,is_installed,station_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
0,True,12,0,0,3,2020-08-19 00:36:52+00:00,3,0,True,active,True,3,False,2020-08-19 00:41:25,2020
1,True,2,0,0,17,2020-08-19 00:30:38+00:00,4,0,True,active,True,4,False,2020-08-19 00:41:25,2020
2,True,10,0,3,2,2020-08-19 00:10:51+00:00,5,0,True,active,True,5,False,2020-08-19 00:41:25,2020
3,True,2,0,2,11,2020-08-19 00:24:48+00:00,6,0,True,active,True,6,False,2020-08-19 00:41:25,2020
4,True,5,0,1,9,2020-08-19 00:24:54+00:00,7,0,True,active,True,7,False,2020-08-19 00:41:25,2020
5,True,7,0,4,8,2020-08-19 00:40:36+00:00,8,0,True,active,True,8,False,2020-08-19 00:41:25,2020
6,True,11,0,1,3,2020-08-19 00:36:40+00:00,9,0,True,active,True,9,False,2020-08-19 00:41:25,2020
7,True,11,0,0,0,2020-08-19 00:13:39+00:00,10,0,True,active,True,10,False,2020-08-19 00:41:25,2020
8,True,7,0,0,8,2020-08-19 00:37:57+00:00,11,0,True,active,True,11,False,2020-08-19 00:41:25,2020
9,True,11,0,0,7,2020-08-19 00:24:04+00:00,12,0,True,active,True,12,False,2020-08-19 00:41:25,2020
10,True,17,0,1,1,2020-08-19 00:32:09+00:00,13,0,True,active,True,13,False,2020-08-19 00:41:25,2020
11,True,25,0,0,0,2020-08-19 00:36:24+00:00,14,0,True,active,True,14,False,2020-08-19 00:41:25,2020
12,True,2,0,1,12,2020-08-19 00:16:15+00:00,15,0,True,active,True,15,False,2020-08-19 00:41:25,2020
13,True,7,0,1,11,2020-08-18 23:39:30+00:00,16,0,True,active,True,16,True,2020-08-19 00:41:25,2020
14,True,10,0,1,4,2020-08-19 00:00:03+00:00,17,0,True,active,True,17,False,2020-08-19 00:41:25,2020
15,True,8,0,0,7,2020-08-18 23:45:49+00:00,19,0,True,active,True,19,False,2020-08-19 00:41:25,2020
16,True,12,0,0,11,2020-08-19 00:11:12+00:00,20,0,True,active,True,20,True,2020-08-19 00:41:25,2020
17,True,17,0,0,1,2020-08-19 00:37:18+00:00,21,0,True,active,True,21,True,2020-08-19 00:41:25,2020
18,True,40,0,1,6,2020-08-19 00:33:40+00:00,22,0,True,active,True,22,True,2020-08-19 00:41:25,2020
19,True,16,0,0,5,2020-08-19 00:31:29+00:00,23,0,True,active,True,23,False,2020-08-19 00:41:25,2020
20,True,6,0,1,12,2020-08-19 00:35:55+00:00,24,0,True,active,True,24,False,2020-08-19 00:41:25,2020
21,True,1,0,0,14,2020-08-19 00:39:48+00:00,25,0,True,active,True,25,False,2020-08-19 00:41:25,2020
22,True,3,0,0,12,2020-08-19 00:38:49+00:00,26,0,True,active,True,26,False,2020-08-19 00:41:25,2020
23,True,0,0,0,23,2020-08-19 00:39:31+00:00,27,0,True,active,True,27,False,2020-08-19 00:41:25,2020
24,True,10,0,1,4,2020-08-18 23:25:24+00:00,29,0,True,active,True,29,False,2020-08-19 00:41:25,2020
25,True,15,0,0,0,2020-08-19 00:41:05+00:00,30,0,True,active,True,30,False,2020-08-19 00:41:25,2020
26,True,17,0,0,2,2020-08-18 23:03:41+00:00,31,0,True,active,True,31,True,2020-08-19 00:41:25,2020
27,True,10,0,1,4,2020-08-19 00:31:24+00:00,32,0,True,active,True,32,False,2020-08-19 00:41:25,2020
28,True,3,0,1,23,2020-08-19 00:35:46+00:00,33,0,True,active,True,33,False,2020-08-19 00:41:25,2020
29,True,23,0,0,0,2020-08-18 23:23:20+00:00,35,0,True,active,True,35,False,2020-08-19 00:41:25,2020
30,True,11,0,0,22,2020-08-19 00:38:58+00:00,36,0,True,active,True,36,True,2020-08-19 00:41:25,2020
31,True,0,0,0,15,2020-08-18 22:28:52+00:00,37,0,True,active,True,37,True,2020-08-19 00:41:25,2020
32,True,18,0,0,5,2020-08-19 00:40:35+00:00,39,0,True,active,True,39,False,2020-08-19 00:41:25,2020
33,True,8,0,0,11,2020-08-19 00:35:59+00:00,40,0,True,active,True,40,False,2020-08-19 00:41:25,2020
34,True,4,0,1,22,2020-08-19 00:40:19+00:00,41,0,True,active,True,41,True,2020-08-19 00:41:25,2020
