,is_returning,station_status,num_docks_available,eightd_has_available_keys,num_ebikes_available,is_installed,legacy_id,num_docks_disabled,last_reported,is_renting,station_id,num_bikes_available,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
0,True,active,9,False,0,True,3,0,2020-08-19 04:56:19+00:00,True,3,5,1,2020-08-19 04:56:40,2020
1,True,active,1,False,0,True,4,0,2020-08-19 04:05:31+00:00,True,4,18,0,2020-08-19 04:56:40,2020
2,True,active,13,False,0,True,5,0,2020-08-19 04:37:50+00:00,True,5,0,2,2020-08-19 04:56:40,2020
3,True,active,0,False,0,True,6,0,2020-08-19 04:03:13+00:00,True,6,14,1,2020-08-19 04:56:40,2020
4,True,active,8,False,0,True,7,0,2020-08-19 04:47:32+00:00,True,7,6,1,2020-08-19 04:56:40,2020
5,True,active,0,False,0,True,8,0,2020-08-19 03:03:17+00:00,True,8,15,4,2020-08-19 04:56:40,2020
6,True,active,11,False,0,True,9,0,2020-08-19 02:36:38+00:00,True,9,3,1,2020-08-19 04:56:40,2020
7,True,active,8,False,0,True,10,0,2020-08-19 04:38:02+00:00,True,10,3,0,2020-08-19 04:56:40,2020
8,True,active,14,False,0,True,11,0,2020-08-19 04:48:13+00:00,True,11,1,0,2020-08-19 04:56:40,2020
9,True,active,12,False,0,True,12,0,2020-08-19 02:58:21+00:00,True,12,6,0,2020-08-19 04:56:40,2020
10,True,active,17,False,0,True,13,0,2020-08-19 03:26:40+00:00,True,13,1,1,2020-08-19 04:56:40,2020
11,True,active,25,False,0,True,14,0,2020-08-19 04:53:34+00:00,True,14,0,0,2020-08-19 04:56:40,2020
12,True,active,2,False,0,True,15,0,2020-08-19 01:23:40+00:00,True,15,12,1,2020-08-19 04:56:40,2020
13,True,active,10,True,0,True,16,0,2020-08-19 02:10:52+00:00,True,16,8,1,2020-08-19 04:56:40,2020
14,True,active,11,False,0,True,17,0,2020-08-19 04:12:36+00:00,True,17,3,1,2020-08-19 04:56:40,2020
15,True,active,6,False,0,True,19,0,2020-08-19 02:25:38+00:00,True,19,9,0,2020-08-19 04:56:40,2020
16,True,active,15,True,0,True,20,0,2020-08-19 04:27:16+00:00,True,20,8,0,2020-08-19 04:56:40,2020
17,True,active,14,True,0,True,21,0,2020-08-19 02:46:33+00:00,True,21,4,0,2020-08-19 04:56:40,2020
18,True,active,44,True,0,True,22,0,2020-08-19 04:42:42+00:00,True,22,2,1,2020-08-19 04:56:40,2020
19,True,active,18,False,0,True,23,0,2020-08-19 02:47:38+00:00,True,23,3,0,2020-08-19 04:56:40,2020
20,True,active,11,False,0,True,24,0,2020-08-19 04:37:52+00:00,True,24,7,1,2020-08-19 04:56:40,2020
21,True,active,0,False,0,True,25,0,2020-08-19 02:44:35+00:00,True,25,15,0,2020-08-19 04:56:40,2020
22,True,active,3,False,0,True,26,0,2020-08-19 02:06:30+00:00,True,26,12,0,2020-08-19 04:56:40,2020
23,True,active,0,False,0,True,27,0,2020-08-19 04:05:00+00:00,True,27,23,0,2020-08-19 04:56:40,2020
24,True,active,10,False,0,True,29,0,2020-08-18 23:25:24+00:00,True,29,4,1,2020-08-19 04:56:40,2020
25,True,active,13,False,0,True,30,0,2020-08-19 04:39:00+00:00,True,30,2,0,2020-08-19 04:56:40,2020
26,True,active,19,True,0,True,31,0,2020-08-19 02:03:22+00:00,True,31,0,0,2020-08-19 04:56:40,2020
27,True,active,8,False,0,True,32,0,2020-08-19 04:39:25+00:00,True,32,6,1,2020-08-19 04:56:40,2020
28,True,active,0,False,0,True,33,0,2020-08-19 03:54:26+00:00,True,33,26,1,2020-08-19 04:56:40,2020
29,True,active,22,False,0,True,35,0,2020-08-19 02:01:28+00:00,True,35,1,0,2020-08-19 04:56:40,2020
30,True,active,12,True,0,True,36,0,2020-08-19 03:41:46+00:00,True,36,19,2,2020-08-19 04:56:40,2020
31,True,active,2,True,0,True,37,0,2020-08-19 04:11:53+00:00,True,37,13,0,2020-08-19 04:56:40,2020
32,True,active,16,False,0,True,39,0,2020-08-19 04:55:08+00:00,True,39,7,0,2020-08-19 04:56:40,2020
33,True,active,6,False,0,True,40,0,2020-08-19 04:29:25+00:00,True,40,13,0,2020-08-19 04:56:40,2020
34,True,active,4,True,0,True,41,0,2020-08-19 04:48:06+00:00,True,41,22,1,2020-08-19 04:56:40,2020
35,True,active,18,False,0,True,42,0,2020-08-19 04:53:31+00:00,True,42,4,1,2020-08-19 04:56:40,2020
36,True,active,12,True,0,True,43,0,2020-08-19 00:47:38+00:00,True,43,3,0,2020-08-19 04:56:40,2020
37,True,active,12,False,0,True,44,0,2020-08-19 04:41:55+00:00,True,44,11,0,2020-08-19 04:56:40,2020
38,True,active,7,False,0,True,46,0,2020-08-19 04:56:11+00:00,True,46,12,0,2020-08-19 04:56:40,2020
39,True,active,0,True,0,True,47,0,2020-08-19 04:29:19+00:00,True,47,19,0,2020-08-19 04:56:40,2020
40,True,active,15,False,0,True,48,0,2020-08-19 00:10:07+00:00,True,48,4,0,2020-08-19 04:56:40,2020
41,True,active,3,False,0,True,49,0,2020-08-19 04:23:57+00:00,True,49,15,0,2020-08-19 04:56:40,2020
42,True,active,2,True,0,True,50,0,2020-08-19 02:11:07+00:00,True,50,12,1,2020-08-19 04:56:40,2020
43,True,active,9,False,0,True,51,0,2020-08-19 04:29:20+00:00,True,51,6,0,2020-08-19 04:56:40,2020
44,True,active,13,True,0,True,52,0,2020-08-19 04:35:35+00:00,True,52,8,2,2020-08-19 04:56:40,2020
45,True,active,14,False,0,True,53,0,2020-08-19 04:21:58+00:00,True,53,2,3,2020-08-19 04:56:40,2020
46,True,active,3,False,0,True,54,0,2020-08-19 04:34:37+00:00,True,54,11,1,2020-08-19 04:56:40,2020
47,True,active,8,False,0,True,55,0,2020-08-19 04:12:02+00:00,True,55,7,0,2020-08-19 04:56:40,2020
48,True,active,10,False,0,True,56,0,2020-08-19 01:28:31+00:00,True,56,7,1,2020-08-19 04:56:40,2020
49,True,active,1,True,0,True,57,0,2020-08-19 03:54:35+00:00,True,57,13,0,2020-08-19 04:56:40,2020
50,True,active,5,True,0,True,58,0,2020-08-19 04:49:19+00:00,True,58,12,2,2020-08-19 04:56:40,2020
51,True,active,19,True,0,True,59,0,2020-08-19 01:58:11+00:00,True,59,0,0,2020-08-19 04:56:40,2020
52,True,active,14,False,0,True,60,0,2020-08-19 04:35:13+00:00,True,60,3,2,2020-08-19 04:56:40,2020
53,True,active,18,False,0,True,61,0,2020-08-19 04:47:59+00:00,True,61,1,0,2020-08-19 04:56:40,2020
54,True,active,0,False,0,True,63,0,2020-08-19 00:24:41+00:00,True,63,15,0,2020-08-19 04:56:40,2020
55,True,active,14,False,0,True,64,0,2020-08-19 02:38:19+00:00,True,64,4,1,2020-08-19 04:56:40,2020
56,True,active,22,False,0,True,65,0,2020-08-19 04:10:08+00:00,True,65,1,0,2020-08-19 04:56:40,2020
57,True,active,0,False,0,True,66,0,2020-08-19 01:48:41+00:00,True,66,14,1,2020-08-19 04:56:40,2020
58,True,active,27,True,0,True,67,0,2020-08-19 04:28:36+00:00,True,67,0,0,2020-08-19 04:56:40,2020
59,True,active,1,True,0,True,68,0,2020-08-19 03:35:54+00:00,True,68,18,0,2020-08-19 04:56:40,2020
60,True,active,2,True,0,True,69,0,2020-08-19 03:46:31+00:00,True,69,17,0,2020-08-19 04:56:40,2020
61,True,active,21,False,0,True,70,0,2020-08-19 02:03:27+00:00,True,70,2,0,2020-08-19 04:56:40,2020
