,num_docks_available,eightd_has_available_keys,legacy_id,station_status,station_id,is_installed,num_bikes_disabled,is_renting,last_reported,is_returning,num_bikes_available,num_ebikes_available,num_docks_disabled,timestamp_of_data_read_request,year_station_last_reported
0,5,False,3,active,3,True,1,True,2020-08-19 05:32:13+00:00,True,9,0,0,2020-08-19 07:50:05,2020
1,1,False,4,active,4,True,0,True,2020-08-19 04:05:31+00:00,True,18,0,0,2020-08-19 07:50:05,2020
2,12,False,5,active,5,True,2,True,2020-08-19 05:22:08+00:00,True,1,0,0,2020-08-19 07:50:05,2020
3,1,False,6,active,6,True,1,True,2020-08-19 07:27:04+00:00,True,13,0,0,2020-08-19 07:50:05,2020
4,8,False,7,active,7,True,1,True,2020-08-19 04:47:32+00:00,True,6,0,0,2020-08-19 07:50:05,2020
5,0,False,8,active,8,True,4,True,2020-08-19 03:03:17+00:00,True,15,0,0,2020-08-19 07:50:05,2020
6,13,False,9,active,9,True,1,True,2020-08-19 05:52:38+00:00,True,1,0,0,2020-08-19 07:50:05,2020
7,8,False,10,active,10,True,0,True,2020-08-19 04:38:02+00:00,True,3,0,0,2020-08-19 07:50:05,2020
8,14,False,11,active,11,True,0,True,2020-08-19 04:48:13+00:00,True,1,0,0,2020-08-19 07:50:05,2020
9,12,False,12,active,12,True,0,True,2020-08-19 02:58:21+00:00,True,6,0,0,2020-08-19 07:50:05,2020
10,18,False,13,active,13,True,0,True,2020-08-19 06:55:06+00:00,True,1,0,0,2020-08-19 07:50:05,2020
11,25,False,14,active,14,True,0,True,2020-08-19 04:53:34+00:00,True,0,0,0,2020-08-19 07:50:05,2020
12,2,False,15,active,15,True,1,True,2020-08-19 01:23:40+00:00,True,12,0,0,2020-08-19 07:50:05,2020
13,10,True,16,active,16,True,0,True,2020-08-19 07:17:28+00:00,True,9,0,0,2020-08-19 07:50:05,2020
14,10,False,17,active,17,True,1,True,2020-08-19 05:18:45+00:00,True,4,0,0,2020-08-19 07:50:05,2020
15,3,False,19,active,19,True,0,True,2020-08-19 06:02:08+00:00,True,12,0,0,2020-08-19 07:50:05,2020
16,15,True,20,active,20,True,0,True,2020-08-19 04:27:16+00:00,True,8,0,0,2020-08-19 07:50:05,2020
17,15,True,21,active,21,True,0,True,2020-08-19 06:46:01+00:00,True,3,0,0,2020-08-19 07:50:05,2020
18,44,True,22,active,22,True,1,True,2020-08-19 04:42:42+00:00,True,2,0,0,2020-08-19 07:50:05,2020
19,18,False,23,active,23,True,0,True,2020-08-19 02:47:38+00:00,True,3,0,0,2020-08-19 07:50:05,2020
20,11,False,24,active,24,True,1,True,2020-08-19 04:37:52+00:00,True,7,0,0,2020-08-19 07:50:05,2020
21,0,False,25,active,25,True,0,True,2020-08-19 02:44:35+00:00,True,15,0,0,2020-08-19 07:50:05,2020
22,3,False,26,active,26,True,0,True,2020-08-19 02:06:30+00:00,True,12,0,0,2020-08-19 07:50:05,2020
23,0,False,27,active,27,True,0,True,2020-08-19 04:05:00+00:00,True,23,0,0,2020-08-19 07:50:05,2020
