,num_bikes_available,eightd_has_available_keys,is_installed,station_status,num_docks_disabled,legacy_id,is_returning,num_docks_available,num_bikes_disabled,num_ebikes_available,is_renting,last_reported,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,9,False,True,active,0,3,True,6,0,0,True,2020-08-20 14:53:22+00:00,3,,,2020-08-20 15:02:25,2020
1,6,False,True,active,0,4,True,12,1,0,True,2020-08-20 14:58:34+00:00,4,,,2020-08-20 15:02:25,2020
2,1,False,True,active,0,5,True,13,1,0,True,2020-08-20 15:00:27+00:00,5,,,2020-08-20 15:02:25,2020
3,5,False,True,active,0,6,True,9,1,0,True,2020-08-20 14:51:49+00:00,6,,,2020-08-20 15:02:25,2020
4,9,False,True,active,0,7,True,6,0,0,True,2020-08-20 13:48:45+00:00,7,,,2020-08-20 15:02:25,2020
5,5,False,True,active,0,8,True,13,1,0,True,2020-08-20 14:53:32+00:00,8,,,2020-08-20 15:02:25,2020
6,14,False,True,active,0,9,True,1,0,0,True,2020-08-20 14:43:52+00:00,9,,,2020-08-20 15:02:25,2020
7,11,False,True,active,0,10,True,0,0,0,True,2020-08-20 12:53:06+00:00,10,,,2020-08-20 15:02:25,2020
8,9,False,True,active,0,11,True,6,0,0,True,2020-08-20 14:53:21+00:00,11,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'off_dock_capacity': 50, 'region': 'BOS', 'active': True, 'valet_revision': 96, 'off_dock_count': 51, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",2020-08-20 15:02:25,2020
9,15,True,True,active,0,12,True,2,1,0,True,2020-08-20 15:01:40+00:00,12,,,2020-08-20 15:02:25,2020
10,10,False,True,active,0,13,True,9,0,0,True,2020-08-20 14:56:05+00:00,13,,,2020-08-20 15:02:25,2020
11,23,False,True,active,0,14,True,2,0,0,True,2020-08-20 14:52:29+00:00,14,,,2020-08-20 15:02:25,2020
12,10,False,True,active,0,15,True,5,0,0,True,2020-08-20 14:27:40+00:00,15,,,2020-08-20 15:02:25,2020
13,1,True,True,active,0,16,True,18,0,0,True,2020-08-20 14:47:59+00:00,16,,,2020-08-20 15:02:25,2020
14,7,False,True,active,0,17,True,7,1,0,True,2020-08-20 14:49:49+00:00,17,,,2020-08-20 15:02:25,2020
15,1,False,True,active,0,19,True,14,0,0,True,2020-08-20 14:38:09+00:00,19,,,2020-08-20 15:02:25,2020
16,9,True,True,active,0,20,True,14,0,0,True,2020-08-20 15:01:17+00:00,20,,,2020-08-20 15:02:25,2020
17,9,True,True,active,0,21,True,9,0,0,True,2020-08-20 14:55:59+00:00,21,,,2020-08-20 15:02:25,2020
18,21,True,True,active,0,22,True,25,1,0,True,2020-08-20 14:47:33+00:00,22,,,2020-08-20 15:02:25,2020
19,17,False,True,active,0,23,True,4,0,0,True,2020-08-20 15:01:06+00:00,23,,,2020-08-20 15:02:25,2020
20,10,False,True,active,0,24,True,7,2,0,True,2020-08-20 14:31:08+00:00,24,,,2020-08-20 15:02:25,2020
21,10,False,True,active,0,25,True,5,0,0,True,2020-08-20 15:00:26+00:00,25,,,2020-08-20 15:02:25,2020
22,8,False,True,active,0,26,True,7,0,0,True,2020-08-20 15:01:24+00:00,26,,,2020-08-20 15:02:25,2020
23,15,False,True,active,0,27,True,8,0,0,True,2020-08-20 14:51:05+00:00,27,,,2020-08-20 15:02:25,2020
24,4,False,True,active,0,29,True,10,1,0,True,2020-08-20 13:39:01+00:00,29,,,2020-08-20 15:02:25,2020
25,12,False,True,active,0,30,True,3,0,0,True,2020-08-20 14:58:10+00:00,30,,,2020-08-20 15:02:25,2020
26,2,True,True,active,0,31,True,17,0,0,True,2020-08-20 14:53:54+00:00,31,,,2020-08-20 15:02:25,2020
27,11,False,True,active,0,32,True,3,1,0,True,2020-08-20 15:00:20+00:00,32,,,2020-08-20 15:02:25,2020
28,17,False,True,active,0,33,True,10,0,0,True,2020-08-20 14:21:24+00:00,33,,,2020-08-20 15:02:25,2020
29,15,False,True,active,0,35,True,7,1,0,True,2020-08-20 14:51:24+00:00,35,,,2020-08-20 15:02:25,2020
30,19,True,True,active,0,36,True,12,2,0,True,2020-08-20 14:58:05+00:00,36,,,2020-08-20 15:02:25,2020
31,14,True,True,active,0,37,True,1,0,0,True,2020-08-20 14:59:58+00:00,37,,,2020-08-20 15:02:25,2020
32,8,False,True,active,0,39,True,15,0,0,True,2020-08-20 14:34:58+00:00,39,,,2020-08-20 15:02:25,2020
33,1,False,True,active,0,40,True,18,0,0,True,2020-08-20 14:47:20+00:00,40,,,2020-08-20 15:02:25,2020
34,11,True,True,active,0,41,True,15,1,0,True,2020-08-20 15:00:02+00:00,41,,,2020-08-20 15:02:25,2020
35,14,False,True,active,0,42,True,8,1,0,True,2020-08-20 15:00:03+00:00,42,,,2020-08-20 15:02:25,2020
36,12,True,True,active,0,43,True,3,0,0,True,2020-08-20 14:49:08+00:00,43,,,2020-08-20 15:02:25,2020
37,15,False,True,active,0,44,True,8,0,0,True,2020-08-20 14:27:33+00:00,44,,,2020-08-20 15:02:25,2020
38,1,False,True,active,0,46,True,18,0,0,True,2020-08-20 15:00:44+00:00,46,,,2020-08-20 15:02:25,2020
39,2,True,True,active,0,47,True,17,0,0,True,2020-08-20 15:01:29+00:00,47,,,2020-08-20 15:02:25,2020
40,14,False,True,active,0,48,True,5,0,0,True,2020-08-20 14:03:52+00:00,48,,,2020-08-20 15:02:25,2020
41,14,False,True,active,0,49,True,4,0,0,True,2020-08-20 14:59:22+00:00,49,,,2020-08-20 15:02:25,2020
42,3,True,True,active,0,50,True,11,1,0,True,2020-08-20 14:40:45+00:00,50,,,2020-08-20 15:02:25,2020
43,8,False,True,active,0,51,True,6,1,0,True,2020-08-20 14:27:05+00:00,51,,,2020-08-20 15:02:25,2020
44,2,True,True,active,0,52,True,21,0,0,True,2020-08-20 14:30:16+00:00,52,,,2020-08-20 15:02:25,2020
45,3,False,True,active,0,53,True,15,1,0,True,2020-08-20 14:56:07+00:00,53,,,2020-08-20 15:02:25,2020
46,6,False,True,active,0,54,True,7,2,0,True,2020-08-20 13:58:26+00:00,54,,,2020-08-20 15:02:25,2020
47,6,False,True,active,0,55,True,9,0,0,True,2020-08-20 14:51:55+00:00,55,,,2020-08-20 15:02:25,2020
48,7,False,True,active,0,56,True,11,0,0,True,2020-08-20 10:42:24+00:00,56,,,2020-08-20 15:02:25,2020
49,0,True,True,active,0,57,True,14,0,0,True,2020-08-20 14:59:32+00:00,57,,,2020-08-20 15:02:25,2020
50,1,True,True,active,0,58,True,17,1,0,True,2020-08-20 14:59:22+00:00,58,,,2020-08-20 15:02:25,2020
51,12,True,True,active,0,59,True,7,0,0,True,2020-08-20 14:06:43+00:00,59,,,2020-08-20 15:02:25,2020
52,4,False,True,active,0,60,True,15,0,0,True,2020-08-20 14:58:53+00:00,60,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'off_dock_capacity': 40, 'region': 'BOS', 'active': True, 'valet_revision': 85, 'off_dock_count': 36, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",2020-08-20 15:02:25,2020
53,5,False,True,active,0,61,True,14,0,0,True,2020-08-20 14:46:20+00:00,61,,,2020-08-20 15:02:25,2020
54,5,False,True,active,0,63,True,10,0,0,True,2020-08-20 14:37:31+00:00,63,,,2020-08-20 15:02:25,2020
55,14,False,True,active,0,64,True,5,0,0,True,2020-08-20 15:00:07+00:00,64,,,2020-08-20 15:02:25,2020
56,6,False,True,active,0,65,True,17,0,0,True,2020-08-20 12:51:35+00:00,65,,,2020-08-20 15:02:25,2020
57,10,False,True,active,0,66,True,5,0,0,True,2020-08-20 14:58:37+00:00,66,,,2020-08-20 15:02:25,2020
58,17,True,True,active,0,67,True,10,0,0,True,2020-08-20 15:02:03+00:00,67,,,2020-08-20 15:02:25,2020
59,15,True,True,active,0,68,True,2,2,0,True,2020-08-20 15:01:37+00:00,68,,,2020-08-20 15:02:25,2020
60,9,True,True,active,0,69,True,10,0,0,True,2020-08-20 14:51:08+00:00,69,,,2020-08-20 15:02:25,2020
61,19,False,True,active,0,70,True,4,0,0,True,2020-08-20 13:52:55+00:00,70,,,2020-08-20 15:02:25,2020
62,20,False,True,active,0,71,True,3,0,0,True,2020-08-20 13:15:13+00:00,71,,,2020-08-20 15:02:25,2020
63,15,False,True,active,0,72,True,7,1,0,True,2020-08-20 14:15:56+00:00,72,,,2020-08-20 15:02:25,2020
64,3,False,True,active,0,73,True,12,0,0,True,2020-08-20 14:42:11+00:00,73,,,2020-08-20 15:02:25,2020
65,1,True,True,active,0,74,True,17,1,0,True,2020-08-20 14:52:59+00:00,74,,,2020-08-20 15:02:25,2020
66,5,False,True,active,0,75,True,10,0,0,True,2020-08-20 14:37:20+00:00,75,,,2020-08-20 15:02:25,2020
67,2,False,True,active,0,76,True,13,2,0,True,2020-08-20 14:24:14+00:00,76,,,2020-08-20 15:02:25,2020
68,1,False,True,active,0,77,True,14,0,0,True,2020-08-20 14:47:33+00:00,77,,,2020-08-20 15:02:25,2020
69,14,False,True,active,0,78,True,4,1,0,True,2020-08-20 14:44:54+00:00,78,,,2020-08-20 15:02:25,2020
70,10,False,True,active,0,79,True,8,1,0,True,2020-08-20 14:55:36+00:00,79,,,2020-08-20 15:02:25,2020
71,21,False,True,active,0,80,True,14,0,0,True,2020-08-20 14:57:58+00:00,80,,,2020-08-20 15:02:25,2020
72,9,False,True,active,0,81,True,8,2,0,True,2020-08-20 14:48:59+00:00,81,,,2020-08-20 15:02:25,2020
73,9,False,True,active,0,82,True,6,0,0,True,2020-08-20 13:43:26+00:00,82,,,2020-08-20 15:02:25,2020
74,5,False,True,active,0,84,True,10,0,0,True,2020-08-20 14:52:21+00:00,84,,,2020-08-20 15:02:25,2020
75,15,False,True,active,0,85,True,4,0,0,True,2020-08-20 13:34:52+00:00,85,,,2020-08-20 15:02:25,2020
76,4,False,True,active,0,86,True,15,0,0,True,2020-08-20 14:45:19+00:00,86,,,2020-08-20 15:02:25,2020
77,7,False,True,active,0,87,True,8,0,0,True,2020-08-20 14:55:36+00:00,87,,,2020-08-20 15:02:25,2020
78,11,False,True,active,0,89,True,8,0,0,True,2020-08-20 14:10:31+00:00,89,,,2020-08-20 15:02:25,2020
79,3,False,True,active,0,90,True,16,0,0,True,2020-08-20 14:53:20+00:00,90,,,2020-08-20 15:02:25,2020
80,16,False,True,active,0,91,True,3,0,0,True,2020-08-20 14:55:35+00:00,91,,,2020-08-20 15:02:25,2020
81,10,False,True,active,0,92,True,8,1,0,True,2020-08-20 13:33:55+00:00,92,,,2020-08-20 15:02:25,2020
82,11,False,True,active,0,93,True,3,1,0,True,2020-08-20 13:43:35+00:00,93,,,2020-08-20 15:02:25,2020
83,9,False,True,active,0,94,True,1,1,0,True,2020-08-20 14:18:23+00:00,94,,,2020-08-20 15:02:25,2020
84,7,False,True,active,0,95,True,6,2,0,True,2020-08-20 14:55:53+00:00,95,,,2020-08-20 15:02:25,2020
85,10,False,True,active,0,96,True,8,1,0,True,2020-08-20 14:48:17+00:00,96,,,2020-08-20 15:02:25,2020
86,3,False,True,active,0,97,True,15,1,0,True,2020-08-20 14:44:19+00:00,97,,,2020-08-20 15:02:25,2020
87,0,False,True,active,0,98,True,23,0,0,True,2020-08-20 14:54:51+00:00,98,,,2020-08-20 15:02:25,2020
88,9,False,True,active,0,99,True,4,2,0,True,2020-08-20 13:34:28+00:00,99,,,2020-08-20 15:02:25,2020
89,19,True,True,active,0,100,True,6,0,0,True,2020-08-20 14:51:33+00:00,100,,,2020-08-20 15:02:25,2020
90,7,False,True,active,0,101,True,8,0,0,True,2020-08-20 14:03:46+00:00,101,,,2020-08-20 15:02:25,2020
91,6,False,True,active,0,102,True,9,0,0,True,2020-08-20 14:58:48+00:00,102,,,2020-08-20 15:02:25,2020
92,10,False,True,active,0,103,True,5,0,0,True,2020-08-20 14:43:10+00:00,103,,,2020-08-20 15:02:25,2020
93,3,False,True,active,0,104,True,16,0,0,True,2020-08-20 14:24:15+00:00,104,,,2020-08-20 15:02:25,2020
94,3,False,True,active,0,105,True,13,3,0,True,2020-08-20 14:41:01+00:00,105,,,2020-08-20 15:02:25,2020
95,6,False,True,active,0,106,True,9,0,0,True,2020-08-20 14:58:35+00:00,106,,,2020-08-20 15:02:25,2020
96,16,False,True,active,0,107,True,2,1,0,True,2020-08-20 15:01:38+00:00,107,,,2020-08-20 15:02:25,2020
97,3,False,True,active,0,108,True,14,0,0,True,2020-08-20 14:48:18+00:00,108,,,2020-08-20 15:02:25,2020
98,4,False,True,active,0,109,True,30,1,0,True,2020-08-20 12:45:25+00:00,109,,,2020-08-20 15:02:25,2020
99,5,False,True,active,0,110,True,10,0,0,True,2020-08-20 14:19:00+00:00,110,,,2020-08-20 15:02:25,2020
100,4,False,True,active,0,111,True,11,0,0,True,2020-08-20 13:01:13+00:00,111,,,2020-08-20 15:02:25,2020
101,6,False,True,active,0,112,True,9,0,0,True,2020-08-20 13:42:47+00:00,112,,,2020-08-20 15:02:25,2020
102,9,False,True,active,0,113,True,5,1,0,True,2020-08-20 15:02:04+00:00,113,,,2020-08-20 15:02:25,2020
103,7,False,True,active,0,114,True,8,0,0,True,2020-08-20 13:46:04+00:00,114,,,2020-08-20 15:02:25,2020
104,9,False,True,active,0,115,True,10,0,0,True,2020-08-20 14:45:13+00:00,115,,,2020-08-20 15:02:25,2020
105,3,False,True,active,0,116,True,20,0,0,True,2020-08-20 14:54:34+00:00,116,,,2020-08-20 15:02:25,2020
106,2,False,True,active,0,117,True,17,0,0,True,2020-08-20 14:38:42+00:00,117,,,2020-08-20 15:02:25,2020
107,8,False,True,active,0,118,True,11,0,0,True,2020-08-20 14:45:22+00:00,118,,,2020-08-20 15:02:25,2020
108,3,False,True,active,0,119,True,10,2,0,True,2020-08-20 14:45:33+00:00,119,,,2020-08-20 15:02:25,2020
109,12,False,True,active,0,120,True,3,0,0,True,2020-08-20 14:38:51+00:00,120,,,2020-08-20 15:02:25,2020
110,9,False,True,active,0,121,True,7,1,0,True,2020-08-20 14:44:52+00:00,121,,,2020-08-20 15:02:25,2020
111,9,False,True,active,0,122,True,5,1,0,True,2020-08-20 14:51:43+00:00,122,,,2020-08-20 15:02:25,2020
112,3,False,True,active,0,124,True,12,0,0,True,2020-08-20 14:51:04+00:00,124,,,2020-08-20 15:02:25,2020
113,2,False,True,active,1,125,True,12,0,0,True,2020-08-20 14:57:22+00:00,125,,,2020-08-20 15:02:25,2020
114,10,False,True,active,0,126,True,4,1,0,True,2020-08-20 13:25:50+00:00,126,,,2020-08-20 15:02:25,2020
115,9,False,True,active,0,128,True,10,0,0,True,2020-08-20 14:58:59+00:00,128,,,2020-08-20 15:02:25,2020
116,5,False,True,active,0,129,True,14,0,0,True,2020-08-20 13:35:05+00:00,129,,,2020-08-20 15:02:25,2020
117,14,False,True,active,0,130,True,1,0,0,True,2020-08-20 14:10:36+00:00,130,,,2020-08-20 15:02:25,2020
118,7,False,True,active,0,131,True,11,0,0,True,2020-08-20 14:13:09+00:00,131,,,2020-08-20 15:02:25,2020
119,15,False,True,active,0,133,True,7,1,0,True,2020-08-20 14:25:35+00:00,133,,,2020-08-20 15:02:25,2020
120,5,False,True,active,0,135,True,12,0,0,True,2020-08-20 14:31:07+00:00,135,,,2020-08-20 15:02:25,2020
121,5,False,True,active,0,136,True,14,0,0,True,2020-08-20 14:40:29+00:00,136,,,2020-08-20 15:02:25,2020
122,6,False,True,active,0,137,True,9,0,0,True,2020-08-20 13:35:23+00:00,137,,,2020-08-20 15:02:25,2020
123,12,False,True,active,0,138,True,3,0,0,True,2020-08-20 14:58:41+00:00,138,,,2020-08-20 15:02:25,2020
124,3,False,True,active,0,139,True,16,0,0,True,2020-08-20 14:58:45+00:00,139,,,2020-08-20 15:02:25,2020
