,is_renting,station_id,num_bikes_disabled,is_installed,legacy_id,is_returning,station_status,eightd_has_available_keys,num_docks_available,last_reported,num_bikes_available,num_docks_disabled,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,3,0,True,3,True,active,False,6,2020-08-20 14:53:22+00:00,9,0,0,,,2020-08-20 15:12:40,2020
1,True,4,1,True,4,True,active,False,12,2020-08-20 14:58:34+00:00,6,0,0,,,2020-08-20 15:12:40,2020
2,True,5,1,True,5,True,active,False,12,2020-08-20 15:04:35+00:00,2,0,0,,,2020-08-20 15:12:40,2020
3,True,6,1,True,6,True,active,False,8,2020-08-20 15:08:47+00:00,6,0,0,,,2020-08-20 15:12:40,2020
4,True,7,0,True,7,True,active,False,6,2020-08-20 13:48:45+00:00,9,0,0,,,2020-08-20 15:12:40,2020
5,True,8,1,True,8,True,active,False,12,2020-08-20 15:09:07+00:00,6,0,0,,,2020-08-20 15:12:40,2020
6,True,9,0,True,9,True,active,False,3,2020-08-20 15:05:41+00:00,12,0,0,,,2020-08-20 15:12:40,2020
7,True,10,0,True,10,True,active,False,0,2020-08-20 12:53:06+00:00,11,0,0,,,2020-08-20 15:12:40,2020
8,True,11,0,True,11,True,active,False,2,2020-08-20 15:12:16+00:00,13,0,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'off_dock_capacity': 50, 'region': 'BOS', 'off_dock_count': 51, 'active': True, 'valet_revision': 96, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",2020-08-20 15:12:40,2020
9,True,12,1,True,12,True,active,True,2,2020-08-20 15:01:40+00:00,15,0,0,,,2020-08-20 15:12:40,2020
10,True,13,0,True,13,True,active,False,8,2020-08-20 15:08:53+00:00,11,0,0,,,2020-08-20 15:12:40,2020
11,True,14,0,True,14,True,active,False,2,2020-08-20 14:52:29+00:00,23,0,0,,,2020-08-20 15:12:40,2020
12,True,15,0,True,15,True,active,False,5,2020-08-20 14:27:40+00:00,10,0,0,,,2020-08-20 15:12:40,2020
13,True,16,0,True,16,True,active,True,18,2020-08-20 14:47:59+00:00,1,0,0,,,2020-08-20 15:12:40,2020
14,True,17,1,True,17,True,active,False,7,2020-08-20 14:49:49+00:00,7,0,0,,,2020-08-20 15:12:40,2020
15,True,19,0,True,19,True,active,False,14,2020-08-20 14:38:09+00:00,1,0,0,,,2020-08-20 15:12:40,2020
16,True,20,0,True,20,True,active,True,14,2020-08-20 15:01:17+00:00,9,0,0,,,2020-08-20 15:12:40,2020
17,True,21,0,True,21,True,active,True,9,2020-08-20 14:55:59+00:00,9,0,0,,,2020-08-20 15:12:40,2020
18,True,22,1,True,22,True,active,True,24,2020-08-20 15:03:35+00:00,22,0,0,,,2020-08-20 15:12:40,2020
19,True,23,0,True,23,True,active,False,3,2020-08-20 15:11:06+00:00,18,0,0,,,2020-08-20 15:12:40,2020
20,True,24,2,True,24,True,active,False,7,2020-08-20 14:31:08+00:00,10,0,0,,,2020-08-20 15:12:40,2020
21,True,25,0,True,25,True,active,False,4,2020-08-20 15:08:50+00:00,11,0,0,,,2020-08-20 15:12:40,2020
22,True,26,0,True,26,True,active,False,7,2020-08-20 15:01:24+00:00,8,0,0,,,2020-08-20 15:12:40,2020
23,True,27,0,True,27,True,active,False,8,2020-08-20 14:51:05+00:00,15,0,0,,,2020-08-20 15:12:40,2020
24,True,29,1,True,29,True,active,False,10,2020-08-20 13:39:01+00:00,4,0,0,,,2020-08-20 15:12:40,2020
25,True,30,0,True,30,True,active,False,4,2020-08-20 15:06:45+00:00,11,0,0,,,2020-08-20 15:12:40,2020
26,True,31,0,True,31,True,active,True,17,2020-08-20 14:53:54+00:00,2,0,0,,,2020-08-20 15:12:40,2020
27,True,32,1,True,32,True,active,False,4,2020-08-20 15:11:42+00:00,10,0,0,,,2020-08-20 15:12:40,2020
28,True,33,0,True,33,True,active,False,9,2020-08-20 15:02:24+00:00,18,0,0,,,2020-08-20 15:12:40,2020
29,True,35,1,True,35,True,active,False,7,2020-08-20 14:51:24+00:00,15,0,0,,,2020-08-20 15:12:40,2020
30,True,36,2,True,36,True,active,True,14,2020-08-20 15:12:28+00:00,17,0,0,,,2020-08-20 15:12:40,2020
31,True,37,0,True,37,True,active,True,1,2020-08-20 14:59:58+00:00,14,0,0,,,2020-08-20 15:12:40,2020
32,True,39,0,True,39,True,active,False,15,2020-08-20 14:34:58+00:00,8,0,0,,,2020-08-20 15:12:40,2020
33,True,40,0,True,40,True,active,False,19,2020-08-20 15:04:20+00:00,0,0,0,,,2020-08-20 15:12:40,2020
34,True,41,1,True,41,True,active,True,15,2020-08-20 15:08:55+00:00,11,0,0,,,2020-08-20 15:12:40,2020
35,True,42,1,True,42,True,active,False,8,2020-08-20 15:00:03+00:00,14,0,0,,,2020-08-20 15:12:40,2020
36,True,43,0,True,43,True,active,True,3,2020-08-20 14:49:08+00:00,12,0,0,,,2020-08-20 15:12:40,2020
37,True,44,0,True,44,True,active,False,8,2020-08-20 14:27:33+00:00,15,0,0,,,2020-08-20 15:12:40,2020
38,True,46,0,True,46,True,active,False,18,2020-08-20 15:04:23+00:00,1,0,0,,,2020-08-20 15:12:40,2020
39,True,47,0,True,47,True,active,True,17,2020-08-20 15:12:10+00:00,2,0,0,,,2020-08-20 15:12:40,2020
40,True,48,0,True,48,True,active,False,5,2020-08-20 14:03:52+00:00,14,0,0,,,2020-08-20 15:12:40,2020
41,True,49,0,True,49,True,active,False,4,2020-08-20 14:59:22+00:00,14,0,0,,,2020-08-20 15:12:40,2020
42,True,50,1,True,50,True,active,True,11,2020-08-20 14:40:45+00:00,3,0,0,,,2020-08-20 15:12:40,2020
43,True,51,1,True,51,True,active,False,6,2020-08-20 14:27:05+00:00,8,0,0,,,2020-08-20 15:12:40,2020
44,True,52,0,True,52,True,active,True,21,2020-08-20 14:30:16+00:00,2,0,0,,,2020-08-20 15:12:40,2020
45,True,53,0,True,53,True,active,False,16,2020-08-20 15:05:27+00:00,3,0,0,,,2020-08-20 15:12:40,2020
46,True,54,2,True,54,True,active,False,7,2020-08-20 13:58:26+00:00,6,0,0,,,2020-08-20 15:12:40,2020
47,True,55,0,True,55,True,active,False,9,2020-08-20 14:51:55+00:00,6,0,0,,,2020-08-20 15:12:40,2020
48,True,56,0,True,56,True,active,False,11,2020-08-20 10:42:24+00:00,7,0,0,,,2020-08-20 15:12:40,2020
49,True,57,0,True,57,True,active,True,13,2020-08-20 15:09:14+00:00,1,0,0,,,2020-08-20 15:12:40,2020
50,True,58,1,True,58,True,active,True,17,2020-08-20 14:59:22+00:00,1,0,0,,,2020-08-20 15:12:40,2020
51,True,59,0,True,59,True,active,True,7,2020-08-20 14:06:43+00:00,12,0,0,,,2020-08-20 15:12:40,2020
52,True,60,0,True,60,True,active,False,16,2020-08-20 15:10:21+00:00,3,0,0,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'off_dock_capacity': 40, 'region': 'BOS', 'off_dock_count': 36, 'active': True, 'valet_revision': 85, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",2020-08-20 15:12:40,2020
53,True,61,0,True,61,True,active,False,16,2020-08-20 15:05:35+00:00,3,0,0,,,2020-08-20 15:12:40,2020
54,True,63,0,True,63,True,active,False,10,2020-08-20 14:37:31+00:00,5,0,0,,,2020-08-20 15:12:40,2020
55,True,64,0,True,64,True,active,False,5,2020-08-20 15:00:07+00:00,14,0,0,,,2020-08-20 15:12:40,2020
56,True,65,0,True,65,True,active,False,17,2020-08-20 12:51:35+00:00,6,0,0,,,2020-08-20 15:12:40,2020
57,True,66,0,True,66,True,active,False,5,2020-08-20 14:58:37+00:00,10,0,0,,,2020-08-20 15:12:40,2020
58,True,67,0,True,67,True,active,True,10,2020-08-20 15:02:03+00:00,17,0,0,,,2020-08-20 15:12:40,2020
59,True,68,2,True,68,True,active,True,0,2020-08-20 15:10:12+00:00,17,0,0,,,2020-08-20 15:12:40,2020
60,True,69,0,True,69,True,active,True,10,2020-08-20 14:51:08+00:00,9,0,0,,,2020-08-20 15:12:40,2020
61,True,70,0,True,70,True,active,False,4,2020-08-20 13:52:55+00:00,19,0,0,,,2020-08-20 15:12:40,2020
62,True,71,0,True,71,True,active,False,3,2020-08-20 13:15:13+00:00,20,0,0,,,2020-08-20 15:12:40,2020
63,True,72,1,True,72,True,active,False,7,2020-08-20 14:15:56+00:00,15,0,0,,,2020-08-20 15:12:40,2020
64,True,73,0,True,73,True,active,False,12,2020-08-20 14:42:11+00:00,3,0,0,,,2020-08-20 15:12:40,2020
65,True,74,1,True,74,True,active,True,17,2020-08-20 14:52:59+00:00,1,0,0,,,2020-08-20 15:12:40,2020
66,True,75,0,True,75,True,active,False,10,2020-08-20 14:37:20+00:00,5,0,0,,,2020-08-20 15:12:40,2020
67,True,76,2,True,76,True,active,False,13,2020-08-20 14:24:14+00:00,2,0,0,,,2020-08-20 15:12:40,2020
68,True,77,0,True,77,True,active,False,14,2020-08-20 14:47:33+00:00,1,0,0,,,2020-08-20 15:12:40,2020
69,True,78,1,True,78,True,active,False,4,2020-08-20 14:44:54+00:00,14,0,0,,,2020-08-20 15:12:40,2020
70,True,79,1,True,79,True,active,False,8,2020-08-20 14:55:36+00:00,10,0,0,,,2020-08-20 15:12:40,2020
71,True,80,0,True,80,True,active,False,15,2020-08-20 15:10:11+00:00,20,0,0,,,2020-08-20 15:12:40,2020
72,True,81,2,True,81,True,active,False,8,2020-08-20 15:09:37+00:00,9,0,0,,,2020-08-20 15:12:40,2020
73,True,82,0,True,82,True,active,False,6,2020-08-20 13:43:26+00:00,9,0,0,,,2020-08-20 15:12:40,2020
74,True,84,0,True,84,True,active,False,8,2020-08-20 15:09:05+00:00,7,0,0,,,2020-08-20 15:12:40,2020
75,True,85,0,True,85,True,active,False,4,2020-08-20 13:34:52+00:00,15,0,0,,,2020-08-20 15:12:40,2020
76,True,86,0,True,86,True,active,False,15,2020-08-20 14:45:19+00:00,4,0,0,,,2020-08-20 15:12:40,2020
77,True,87,0,True,87,True,active,False,10,2020-08-20 15:05:13+00:00,5,0,0,,,2020-08-20 15:12:40,2020
78,True,89,0,True,89,True,active,False,9,2020-08-20 15:10:31+00:00,10,0,0,,,2020-08-20 15:12:40,2020
79,True,90,0,True,90,True,active,False,17,2020-08-20 15:05:00+00:00,2,0,0,,,2020-08-20 15:12:40,2020
80,True,91,0,True,91,True,active,False,3,2020-08-20 14:55:35+00:00,16,0,0,,,2020-08-20 15:12:40,2020
81,True,92,1,True,92,True,active,False,8,2020-08-20 13:33:55+00:00,10,0,0,,,2020-08-20 15:12:40,2020
82,True,93,1,True,93,True,active,False,3,2020-08-20 13:43:35+00:00,11,0,0,,,2020-08-20 15:12:40,2020
83,True,94,1,True,94,True,active,False,1,2020-08-20 14:18:23+00:00,9,0,0,,,2020-08-20 15:12:40,2020
84,True,95,2,True,95,True,active,False,6,2020-08-20 15:09:21+00:00,7,0,0,,,2020-08-20 15:12:40,2020
85,True,96,1,True,96,True,active,False,7,2020-08-20 15:07:46+00:00,11,0,0,,,2020-08-20 15:12:40,2020
86,True,97,1,True,97,True,active,False,16,2020-08-20 15:09:54+00:00,2,0,0,,,2020-08-20 15:12:40,2020
87,True,98,0,True,98,True,active,False,23,2020-08-20 14:54:51+00:00,0,0,0,,,2020-08-20 15:12:40,2020
88,True,99,2,True,99,True,active,False,4,2020-08-20 13:34:28+00:00,9,0,0,,,2020-08-20 15:12:40,2020
89,True,100,0,True,100,True,active,True,7,2020-08-20 15:08:21+00:00,18,0,0,,,2020-08-20 15:12:40,2020
90,True,101,0,True,101,True,active,False,8,2020-08-20 14:03:46+00:00,7,0,0,,,2020-08-20 15:12:40,2020
91,True,102,0,True,102,True,active,False,9,2020-08-20 14:58:48+00:00,6,0,0,,,2020-08-20 15:12:40,2020
92,True,103,0,True,103,True,active,False,6,2020-08-20 15:04:16+00:00,9,0,0,,,2020-08-20 15:12:40,2020
93,True,104,0,True,104,True,active,False,16,2020-08-20 14:24:15+00:00,3,0,0,,,2020-08-20 15:12:40,2020
94,True,105,3,True,105,True,active,False,14,2020-08-20 15:12:23+00:00,2,0,0,,,2020-08-20 15:12:40,2020
95,True,106,0,True,106,True,active,False,9,2020-08-20 14:58:35+00:00,6,0,0,,,2020-08-20 15:12:40,2020
96,True,107,1,True,107,True,active,False,1,2020-08-20 15:06:13+00:00,17,0,0,,,2020-08-20 15:12:40,2020
97,True,108,0,True,108,True,active,False,15,2020-08-20 15:07:53+00:00,2,0,0,,,2020-08-20 15:12:40,2020
