,num_bikes_available,is_installed,num_ebikes_available,legacy_id,is_renting,station_status,last_reported,station_id,num_bikes_disabled,is_returning,num_docks_available,eightd_has_available_keys,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,9,True,0,3,True,active,2020-08-20 14:53:22+00:00,3,0,True,6,False,0,,,2020-08-20 15:43:20,2020
1,5,True,0,4,True,active,2020-08-20 15:41:37+00:00,4,0,True,14,False,0,,,2020-08-20 15:43:20,2020
2,3,True,0,5,True,active,2020-08-20 15:36:56+00:00,5,1,True,11,False,0,,,2020-08-20 15:43:20,2020
3,5,True,0,6,True,active,2020-08-20 15:25:20+00:00,6,1,True,9,False,0,,,2020-08-20 15:43:20,2020
4,9,True,0,7,True,active,2020-08-20 13:48:45+00:00,7,0,True,6,False,0,,,2020-08-20 15:43:20,2020
5,6,True,0,8,True,active,2020-08-20 15:09:07+00:00,8,1,True,12,False,0,,,2020-08-20 15:43:20,2020
6,10,True,0,9,True,active,2020-08-20 15:41:33+00:00,9,0,True,5,False,0,,,2020-08-20 15:43:20,2020
7,8,True,0,10,True,active,2020-08-20 15:22:01+00:00,10,0,True,3,False,0,,,2020-08-20 15:43:20,2020
8,15,True,0,11,True,active,2020-08-20 15:19:40+00:00,11,0,True,0,False,0,"{'dock_blocked_count': 0, 'off_dock_count': 51, 'valet_revision': 96, 'active': True, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-20 15:43:20,2020
9,16,True,0,12,True,active,2020-08-20 15:39:54+00:00,12,1,True,1,True,0,,,2020-08-20 15:43:20,2020
10,14,True,0,13,True,active,2020-08-20 15:26:46+00:00,13,0,True,5,False,0,,,2020-08-20 15:43:20,2020
11,19,True,0,14,True,active,2020-08-20 15:28:36+00:00,14,0,True,6,False,0,,,2020-08-20 15:43:20,2020
12,10,True,0,15,True,active,2020-08-20 14:27:40+00:00,15,0,True,5,False,0,,,2020-08-20 15:43:20,2020
13,4,True,0,16,True,active,2020-08-20 15:39:33+00:00,16,0,True,15,True,0,,,2020-08-20 15:43:20,2020
14,6,True,0,17,True,active,2020-08-20 15:16:16+00:00,17,1,True,8,False,0,,,2020-08-20 15:43:20,2020
15,4,True,0,19,True,active,2020-08-20 15:38:02+00:00,19,0,True,11,False,0,,,2020-08-20 15:43:20,2020
16,6,True,0,20,True,active,2020-08-20 15:29:06+00:00,20,0,True,17,True,0,,,2020-08-20 15:43:20,2020
17,8,True,0,21,True,active,2020-08-20 15:32:06+00:00,21,0,True,10,True,0,,,2020-08-20 15:43:20,2020
18,21,True,0,22,True,active,2020-08-20 15:42:52+00:00,22,1,True,25,True,0,,,2020-08-20 15:43:20,2020
19,17,True,0,23,True,active,2020-08-20 15:27:34+00:00,23,0,True,4,False,0,,,2020-08-20 15:43:20,2020
20,11,True,0,24,True,active,2020-08-20 15:32:27+00:00,24,2,True,6,False,0,,,2020-08-20 15:43:20,2020
21,10,True,0,25,True,active,2020-08-20 15:19:24+00:00,25,0,True,5,False,0,,,2020-08-20 15:43:20,2020
22,10,True,0,26,True,active,2020-08-20 15:33:31+00:00,26,1,True,4,False,0,,,2020-08-20 15:43:20,2020
23,15,True,0,27,True,active,2020-08-20 14:51:05+00:00,27,0,True,8,False,0,,,2020-08-20 15:43:20,2020
24,4,True,0,29,True,active,2020-08-20 13:39:01+00:00,29,1,True,10,False,0,,,2020-08-20 15:43:20,2020
25,14,True,0,30,True,active,2020-08-20 15:41:43+00:00,30,0,True,1,False,0,,,2020-08-20 15:43:20,2020
26,0,True,0,31,True,active,2020-08-20 15:22:18+00:00,31,0,True,19,True,0,,,2020-08-20 15:43:20,2020
27,11,True,0,32,True,active,2020-08-20 15:29:14+00:00,32,1,True,3,False,0,,,2020-08-20 15:43:20,2020
28,20,True,0,33,True,active,2020-08-20 15:34:54+00:00,33,0,True,7,False,0,,,2020-08-20 15:43:20,2020
29,15,True,0,35,True,active,2020-08-20 14:51:24+00:00,35,1,True,7,False,0,,,2020-08-20 15:43:20,2020
30,17,True,0,36,True,active,2020-08-20 15:41:47+00:00,36,2,True,14,True,0,,,2020-08-20 15:43:20,2020
31,11,True,0,37,True,active,2020-08-20 15:33:47+00:00,37,0,True,4,True,0,,,2020-08-20 15:43:20,2020
32,8,True,0,39,True,active,2020-08-20 15:41:25+00:00,39,0,True,15,False,0,,,2020-08-20 15:43:20,2020
33,1,True,0,40,True,active,2020-08-20 15:34:52+00:00,40,0,True,18,False,0,,,2020-08-20 15:43:20,2020
34,11,True,0,41,True,active,2020-08-20 15:27:45+00:00,41,1,True,15,True,0,,,2020-08-20 15:43:20,2020
35,14,True,0,42,True,active,2020-08-20 15:25:00+00:00,42,1,True,8,False,0,,,2020-08-20 15:43:20,2020
36,12,True,0,43,True,active,2020-08-20 14:49:08+00:00,43,0,True,3,True,0,,,2020-08-20 15:43:20,2020
37,14,True,0,44,True,active,2020-08-20 15:24:46+00:00,44,0,True,9,False,0,,,2020-08-20 15:43:20,2020
38,4,True,0,46,True,active,2020-08-20 15:29:04+00:00,46,0,True,15,False,0,,,2020-08-20 15:43:20,2020
39,0,True,0,47,True,active,2020-08-20 15:40:47+00:00,47,0,True,19,True,0,,,2020-08-20 15:43:20,2020
40,15,True,0,48,True,active,2020-08-20 15:27:04+00:00,48,0,True,4,False,0,,,2020-08-20 15:43:20,2020
41,16,True,0,49,True,active,2020-08-20 15:40:12+00:00,49,0,True,2,False,0,,,2020-08-20 15:43:20,2020
42,4,True,0,50,True,active,2020-08-20 15:36:36+00:00,50,1,True,10,True,0,,,2020-08-20 15:43:20,2020
43,8,True,0,51,True,active,2020-08-20 14:27:05+00:00,51,1,True,6,False,0,,,2020-08-20 15:43:20,2020
44,6,True,0,52,True,active,2020-08-20 15:40:40+00:00,52,0,True,17,True,0,,,2020-08-20 15:43:20,2020
45,5,True,0,53,True,active,2020-08-20 15:38:53+00:00,53,0,True,14,False,0,,,2020-08-20 15:43:20,2020
46,5,True,0,54,True,active,2020-08-20 15:25:25+00:00,54,2,True,8,False,0,,,2020-08-20 15:43:20,2020
47,0,True,0,55,True,active,2020-08-20 15:40:11+00:00,55,1,True,14,False,0,,,2020-08-20 15:43:20,2020
48,7,True,0,56,True,active,2020-08-20 10:42:24+00:00,56,0,True,11,False,0,,,2020-08-20 15:43:20,2020
49,2,True,0,57,True,active,2020-08-20 15:38:49+00:00,57,0,True,12,True,0,,,2020-08-20 15:43:20,2020
50,2,True,0,58,True,active,2020-08-20 15:39:17+00:00,58,1,True,16,True,0,,,2020-08-20 15:43:20,2020
51,13,True,0,59,True,active,2020-08-20 15:15:39+00:00,59,0,True,6,True,0,,,2020-08-20 15:43:20,2020
52,2,True,0,60,True,active,2020-08-20 15:41:24+00:00,60,0,True,17,False,0,"{'dock_blocked_count': 0, 'off_dock_count': 35, 'valet_revision': 85, 'active': True, 'off_dock_capacity': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS'}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-08-20 15:43:20,2020
53,3,True,0,61,True,active,2020-08-20 15:32:29+00:00,61,0,True,16,False,0,,,2020-08-20 15:43:20,2020
54,5,True,0,63,True,active,2020-08-20 14:37:31+00:00,63,0,True,10,False,0,,,2020-08-20 15:43:20,2020
55,15,True,0,64,True,active,2020-08-20 15:34:51+00:00,64,0,True,4,False,0,,,2020-08-20 15:43:20,2020
56,6,True,0,65,True,active,2020-08-20 12:51:35+00:00,65,0,True,17,False,0,,,2020-08-20 15:43:20,2020
57,8,True,0,66,True,active,2020-08-20 15:25:06+00:00,66,0,True,7,False,0,,,2020-08-20 15:43:20,2020
58,17,True,0,67,True,active,2020-08-20 15:41:56+00:00,67,0,True,10,True,0,,,2020-08-20 15:43:20,2020
59,16,True,0,68,True,active,2020-08-20 15:41:19+00:00,68,1,True,2,True,0,,,2020-08-20 15:43:20,2020
60,11,True,0,69,True,active,2020-08-20 15:36:04+00:00,69,0,True,8,True,0,,,2020-08-20 15:43:20,2020
61,22,True,0,70,True,active,2020-08-20 15:41:21+00:00,70,0,True,1,False,0,,,2020-08-20 15:43:20,2020
62,20,True,0,71,True,active,2020-08-20 13:15:13+00:00,71,0,True,3,False,0,,,2020-08-20 15:43:20,2020
63,16,True,0,72,True,active,2020-08-20 15:39:41+00:00,72,1,True,6,False,0,,,2020-08-20 15:43:20,2020
64,4,True,0,73,True,active,2020-08-20 15:38:00+00:00,73,0,True,11,False,0,,,2020-08-20 15:43:20,2020
65,1,True,0,74,True,active,2020-08-20 14:52:59+00:00,74,1,True,17,True,0,,,2020-08-20 15:43:20,2020
66,6,True,0,75,True,active,2020-08-20 15:33:15+00:00,75,0,True,9,False,0,,,2020-08-20 15:43:20,2020
67,2,True,0,76,True,active,2020-08-20 15:35:14+00:00,76,2,True,13,False,0,,,2020-08-20 15:43:20,2020
68,0,True,0,77,True,active,2020-08-20 15:14:41+00:00,77,0,True,15,False,0,,,2020-08-20 15:43:20,2020
69,12,True,0,78,True,active,2020-08-20 15:37:52+00:00,78,1,True,6,False,0,,,2020-08-20 15:43:20,2020
70,10,True,0,79,True,active,2020-08-20 15:40:53+00:00,79,1,True,8,False,0,,,2020-08-20 15:43:20,2020
71,21,True,0,80,True,active,2020-08-20 15:42:38+00:00,80,0,True,14,False,0,,,2020-08-20 15:43:20,2020
72,9,True,0,81,True,active,2020-08-20 15:32:56+00:00,81,2,True,8,False,0,,,2020-08-20 15:43:20,2020
73,9,True,0,82,True,active,2020-08-20 13:43:26+00:00,82,0,True,6,False,0,,,2020-08-20 15:43:20,2020
74,8,True,0,84,True,active,2020-08-20 15:32:01+00:00,84,0,True,7,False,0,,,2020-08-20 15:43:20,2020
75,16,True,0,85,True,active,2020-08-20 15:27:49+00:00,85,0,True,3,False,0,,,2020-08-20 15:43:20,2020
76,4,True,0,86,True,active,2020-08-20 15:37:26+00:00,86,0,True,15,False,0,,,2020-08-20 15:43:20,2020
77,4,True,0,87,True,active,2020-08-20 15:25:11+00:00,87,0,True,11,False,0,,,2020-08-20 15:43:20,2020
78,8,True,0,89,True,active,2020-08-20 15:28:32+00:00,89,0,True,11,False,0,,,2020-08-20 15:43:20,2020
79,2,True,0,90,True,active,2020-08-20 15:05:00+00:00,90,0,True,17,False,0,,,2020-08-20 15:43:20,2020
80,18,True,0,91,True,active,2020-08-20 15:33:31+00:00,91,0,True,1,False,0,,,2020-08-20 15:43:20,2020
81,10,True,0,92,True,active,2020-08-20 13:33:55+00:00,92,1,True,8,False,0,,,2020-08-20 15:43:20,2020
82,11,True,0,93,True,active,2020-08-20 13:43:35+00:00,93,1,True,3,False,0,,,2020-08-20 15:43:20,2020
83,10,True,0,94,True,active,2020-08-20 15:40:39+00:00,94,1,True,0,False,0,,,2020-08-20 15:43:20,2020
84,6,True,0,95,True,active,2020-08-20 15:13:43+00:00,95,2,True,7,False,0,,,2020-08-20 15:43:20,2020
85,10,True,0,96,True,active,2020-08-20 15:40:06+00:00,96,1,True,8,False,0,,,2020-08-20 15:43:20,2020
86,4,True,0,97,True,active,2020-08-20 15:16:38+00:00,97,1,True,14,False,0,,,2020-08-20 15:43:20,2020
87,0,True,0,98,True,active,2020-08-20 14:54:51+00:00,98,0,True,23,False,0,,,2020-08-20 15:43:20,2020
88,9,True,0,99,True,active,2020-08-20 13:34:28+00:00,99,2,True,4,False,0,,,2020-08-20 15:43:20,2020
89,22,True,0,100,True,active,2020-08-20 15:41:59+00:00,100,0,True,3,True,0,,,2020-08-20 15:43:20,2020
90,7,True,0,101,True,active,2020-08-20 14:03:46+00:00,101,0,True,8,False,0,,,2020-08-20 15:43:20,2020
91,3,True,0,102,True,active,2020-08-20 15:26:25+00:00,102,0,True,12,False,0,,,2020-08-20 15:43:20,2020
92,8,True,0,103,True,active,2020-08-20 15:36:56+00:00,103,0,True,7,False,0,,,2020-08-20 15:43:20,2020
93,3,True,0,104,True,active,2020-08-20 14:24:15+00:00,104,0,True,16,False,0,,,2020-08-20 15:43:20,2020
94,2,True,0,105,True,active,2020-08-20 15:32:43+00:00,105,3,True,14,False,0,,,2020-08-20 15:43:20,2020
95,5,True,0,106,True,active,2020-08-20 15:25:30+00:00,106,0,True,10,False,0,,,2020-08-20 15:43:20,2020
96,16,True,0,107,True,active,2020-08-20 15:42:30+00:00,107,1,True,2,False,0,,,2020-08-20 15:43:20,2020
97,4,True,0,108,True,active,2020-08-20 15:36:35+00:00,108,0,True,13,False,0,,,2020-08-20 15:43:20,2020
98,3,True,0,109,True,active,2020-08-20 15:41:37+00:00,109,1,True,31,False,0,,,2020-08-20 15:43:20,2020
99,5,True,0,110,True,active,2020-08-20 15:36:58+00:00,110,0,True,10,False,0,,,2020-08-20 15:43:20,2020
100,4,True,0,111,True,active,2020-08-20 13:01:13+00:00,111,0,True,11,False,0,,,2020-08-20 15:43:20,2020
101,6,True,0,112,True,active,2020-08-20 13:42:47+00:00,112,0,True,9,False,0,,,2020-08-20 15:43:20,2020
102,10,True,0,113,True,active,2020-08-20 15:36:41+00:00,113,1,True,4,False,0,,,2020-08-20 15:43:20,2020
103,7,True,0,114,True,active,2020-08-20 13:46:04+00:00,114,0,True,8,False,0,,,2020-08-20 15:43:20,2020
104,7,True,0,115,True,active,2020-08-20 15:23:15+00:00,115,0,True,12,False,0,,,2020-08-20 15:43:20,2020
105,4,True,0,116,True,active,2020-08-20 15:35:16+00:00,116,0,True,19,False,0,,,2020-08-20 15:43:20,2020
106,1,True,0,117,True,active,2020-08-20 15:12:29+00:00,117,0,True,18,False,0,,,2020-08-20 15:43:20,2020
107,7,True,0,118,True,active,2020-08-20 15:17:59+00:00,118,0,True,12,False,0,,,2020-08-20 15:43:20,2020
108,5,True,0,119,True,active,2020-08-20 15:40:52+00:00,119,0,True,10,False,0,,,2020-08-20 15:43:20,2020
109,9,True,0,120,True,active,2020-08-20 15:37:47+00:00,120,0,True,6,False,0,,,2020-08-20 15:43:20,2020
110,8,True,0,121,True,active,2020-08-20 15:42:29+00:00,121,1,True,8,False,0,,,2020-08-20 15:43:20,2020
111,9,True,0,122,True,active,2020-08-20 14:51:43+00:00,122,1,True,5,False,0,,,2020-08-20 15:43:20,2020
112,2,True,0,124,True,active,2020-08-20 15:12:18+00:00,124,0,True,13,False,0,,,2020-08-20 15:43:20,2020
113,0,True,0,125,True,active,2020-08-20 15:15:48+00:00,125,1,True,14,False,0,,,2020-08-20 15:43:20,2020
114,10,True,0,126,True,active,2020-08-20 13:25:50+00:00,126,1,True,4,False,0,,,2020-08-20 15:43:20,2020
115,9,True,0,128,True,active,2020-08-20 14:58:59+00:00,128,0,True,10,False,0,,,2020-08-20 15:43:20,2020
116,5,True,0,129,True,active,2020-08-20 13:35:05+00:00,129,0,True,14,False,0,,,2020-08-20 15:43:20,2020
117,14,True,0,130,True,active,2020-08-20 14:10:36+00:00,130,0,True,1,False,0,,,2020-08-20 15:43:20,2020
118,6,True,0,131,True,active,2020-08-20 15:32:23+00:00,131,0,True,12,False,0,,,2020-08-20 15:43:20,2020
119,15,True,0,133,True,active,2020-08-20 14:25:35+00:00,133,1,True,7,False,0,,,2020-08-20 15:43:20,2020
120,5,True,0,135,True,active,2020-08-20 14:31:07+00:00,135,0,True,12,False,0,,,2020-08-20 15:43:20,2020
121,5,True,0,136,True,active,2020-08-20 14:40:29+00:00,136,0,True,14,False,0,,,2020-08-20 15:43:20,2020
