,is_returning,station_status,is_installed,eightd_has_available_keys,num_bikes_available,num_docks_available,last_reported,num_ebikes_available,station_id,is_renting,legacy_id,num_bikes_disabled,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,active,True,False,10,5,2020-08-20 15:55:17+00:00,0,3,True,3,0,0,,,2020-08-20 16:14:00,2020
1,True,active,True,False,5,14,2020-08-20 15:51:11+00:00,0,4,True,4,0,0,,,2020-08-20 16:14:00,2020
2,True,active,True,False,3,12,2020-08-20 16:06:57+00:00,0,5,True,5,0,0,,,2020-08-20 16:14:00,2020
3,True,active,True,False,6,8,2020-08-20 16:12:52+00:00,0,6,True,6,1,0,,,2020-08-20 16:14:00,2020
4,True,active,True,False,9,6,2020-08-20 13:48:45+00:00,0,7,True,7,0,0,,,2020-08-20 16:14:00,2020
5,True,active,True,False,4,13,2020-08-20 16:10:51+00:00,0,8,True,8,2,0,,,2020-08-20 16:14:00,2020
6,True,active,True,False,9,6,2020-08-20 16:05:55+00:00,0,9,True,9,0,0,,,2020-08-20 16:14:00,2020
7,True,active,True,False,8,3,2020-08-20 15:22:01+00:00,0,10,True,10,0,0,,,2020-08-20 16:14:00,2020
8,True,active,True,False,14,1,2020-08-20 16:09:19+00:00,0,11,True,11,0,0,,,2020-08-20 16:14:00,2020
9,True,active,True,True,16,1,2020-08-20 15:39:54+00:00,0,12,True,12,1,0,,,2020-08-20 16:14:00,2020
10,True,active,True,False,14,5,2020-08-20 16:02:35+00:00,0,13,True,13,0,0,,,2020-08-20 16:14:00,2020
11,True,active,True,False,18,7,2020-08-20 16:07:43+00:00,0,14,True,14,0,0,,,2020-08-20 16:14:00,2020
12,True,active,True,False,9,6,2020-08-20 15:56:20+00:00,0,15,True,15,0,0,,,2020-08-20 16:14:00,2020
13,True,active,True,True,5,14,2020-08-20 15:56:21+00:00,0,16,True,16,0,0,,,2020-08-20 16:14:00,2020
14,True,active,True,False,6,8,2020-08-20 15:16:16+00:00,0,17,True,17,1,0,,,2020-08-20 16:14:00,2020
15,True,active,True,False,5,10,2020-08-20 15:44:13+00:00,0,19,True,19,0,0,,,2020-08-20 16:14:00,2020
16,True,active,True,True,7,16,2020-08-20 16:01:37+00:00,0,20,True,20,0,0,,,2020-08-20 16:14:00,2020
17,True,active,True,True,9,9,2020-08-20 16:13:51+00:00,0,21,True,21,0,0,,,2020-08-20 16:14:00,2020
18,True,active,True,True,20,26,2020-08-20 15:44:57+00:00,0,22,True,22,1,0,,,2020-08-20 16:14:00,2020
19,True,active,True,False,18,3,2020-08-20 15:59:55+00:00,0,23,True,23,0,0,,,2020-08-20 16:14:00,2020
20,True,active,True,False,10,7,2020-08-20 15:56:46+00:00,0,24,True,24,2,0,,,2020-08-20 16:14:00,2020
21,True,active,True,False,9,6,2020-08-20 16:13:57+00:00,0,25,True,25,0,0,,,2020-08-20 16:14:00,2020
22,True,active,True,False,9,4,2020-08-20 16:05:17+00:00,0,26,True,26,2,0,,,2020-08-20 16:14:00,2020
23,True,active,True,False,14,9,2020-08-20 16:10:42+00:00,0,27,True,27,0,0,,,2020-08-20 16:14:00,2020
24,True,active,True,False,4,10,2020-08-20 13:39:01+00:00,0,29,True,29,1,0,,,2020-08-20 16:14:00,2020
25,True,active,True,False,15,0,2020-08-20 15:45:11+00:00,0,30,True,30,0,0,,,2020-08-20 16:14:00,2020
26,True,active,True,True,1,18,2020-08-20 15:51:24+00:00,0,31,True,31,0,0,,,2020-08-20 16:14:00,2020
27,True,active,True,False,12,2,2020-08-20 16:03:38+00:00,0,32,True,32,1,0,,,2020-08-20 16:14:00,2020
28,True,active,True,False,21,6,2020-08-20 16:09:13+00:00,0,33,True,33,0,0,,,2020-08-20 16:14:00,2020
29,True,active,True,False,13,9,2020-08-20 16:13:51+00:00,0,35,True,35,1,0,,,2020-08-20 16:14:00,2020
30,True,active,True,True,17,14,2020-08-20 15:41:47+00:00,0,36,True,36,2,0,,,2020-08-20 16:14:00,2020
31,True,active,True,True,11,4,2020-08-20 15:33:47+00:00,0,37,True,37,0,0,,,2020-08-20 16:14:00,2020
32,True,active,True,False,6,17,2020-08-20 16:13:51+00:00,0,39,True,39,0,0,,,2020-08-20 16:14:00,2020
33,True,active,True,False,2,17,2020-08-20 16:11:52+00:00,0,40,True,40,0,0,,,2020-08-20 16:14:00,2020
34,True,active,True,True,9,17,2020-08-20 16:10:56+00:00,0,41,True,41,1,0,,,2020-08-20 16:14:00,2020
35,True,active,True,False,15,7,2020-08-20 15:55:00+00:00,0,42,True,42,1,0,,,2020-08-20 16:14:00,2020
36,True,active,True,True,10,5,2020-08-20 16:12:00+00:00,0,43,True,43,0,0,,,2020-08-20 16:14:00,2020
37,True,active,True,False,14,9,2020-08-20 15:24:46+00:00,0,44,True,44,0,0,,,2020-08-20 16:14:00,2020
38,True,active,True,False,2,17,2020-08-20 16:12:44+00:00,0,46,True,46,0,0,,,2020-08-20 16:14:00,2020
39,True,active,True,True,0,19,2020-08-20 16:06:37+00:00,0,47,True,47,0,0,,,2020-08-20 16:14:00,2020
40,True,active,True,False,15,4,2020-08-20 15:27:04+00:00,0,48,True,48,0,0,,,2020-08-20 16:14:00,2020
41,True,active,True,False,13,4,2020-08-20 16:13:47+00:00,0,49,True,49,1,0,,,2020-08-20 16:14:00,2020
42,True,active,True,True,4,10,2020-08-20 15:36:36+00:00,0,50,True,50,1,0,,,2020-08-20 16:14:00,2020
43,True,active,True,False,9,5,2020-08-20 15:46:26+00:00,0,51,True,51,1,0,,,2020-08-20 16:14:00,2020
44,True,active,True,True,5,18,2020-08-20 16:06:29+00:00,0,52,True,52,0,0,,,2020-08-20 16:14:00,2020
45,True,active,True,False,5,14,2020-08-20 16:06:39+00:00,0,53,True,53,0,0,,,2020-08-20 16:14:00,2020
46,True,active,True,False,6,9,2020-08-20 16:01:48+00:00,0,54,True,54,0,0,,,2020-08-20 16:14:00,2020
47,True,active,True,False,0,14,2020-08-20 15:40:11+00:00,0,55,True,55,1,0,,,2020-08-20 16:14:00,2020
48,True,active,True,False,6,12,2020-08-20 16:02:41+00:00,0,56,True,56,0,0,,,2020-08-20 16:14:00,2020
49,True,active,True,True,3,11,2020-08-20 16:13:44+00:00,0,57,True,57,0,0,,,2020-08-20 16:14:00,2020
50,True,active,True,True,1,17,2020-08-20 16:09:35+00:00,0,58,True,58,1,0,,,2020-08-20 16:14:00,2020
51,True,active,True,True,13,6,2020-08-20 15:15:39+00:00,0,59,True,59,0,0,,,2020-08-20 16:14:00,2020
52,True,active,True,False,3,16,2020-08-20 16:09:03+00:00,0,60,True,60,0,0,"{'off_dock_capacity': 40, 'dock_blocked_count': 0, 'off_dock_count': 33, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'valet_revision': 85, 'active': True}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-08-20 16:14:00,2020
53,True,active,True,False,4,15,2020-08-20 15:51:13+00:00,0,61,True,61,0,0,,,2020-08-20 16:14:00,2020
54,True,active,True,False,6,9,2020-08-20 16:06:26+00:00,0,63,True,63,0,0,,,2020-08-20 16:14:00,2020
55,True,active,True,False,16,3,2020-08-20 15:48:47+00:00,0,64,True,64,0,0,,,2020-08-20 16:14:00,2020
56,True,active,True,False,6,17,2020-08-20 12:51:35+00:00,0,65,True,65,0,0,,,2020-08-20 16:14:00,2020
57,True,active,True,False,7,8,2020-08-20 16:05:05+00:00,0,66,True,66,0,0,,,2020-08-20 16:14:00,2020
58,True,active,True,True,15,12,2020-08-20 16:07:21+00:00,0,67,True,67,0,0,,,2020-08-20 16:14:00,2020
59,True,active,True,True,16,2,2020-08-20 16:08:48+00:00,0,68,True,68,1,0,,,2020-08-20 16:14:00,2020
60,True,active,True,True,9,10,2020-08-20 15:49:18+00:00,0,69,True,69,0,0,,,2020-08-20 16:14:00,2020
61,True,active,True,False,22,1,2020-08-20 15:41:21+00:00,0,70,True,70,0,0,,,2020-08-20 16:14:00,2020
62,True,active,True,False,20,3,2020-08-20 13:15:13+00:00,0,71,True,71,0,0,,,2020-08-20 16:14:00,2020
63,True,active,True,False,17,6,2020-08-20 15:57:11+00:00,0,72,True,72,0,0,,,2020-08-20 16:14:00,2020
64,True,active,True,False,5,10,2020-08-20 16:13:53+00:00,0,73,True,73,0,0,,,2020-08-20 16:14:00,2020
65,True,active,True,True,1,17,2020-08-20 16:05:07+00:00,0,74,True,74,1,0,,,2020-08-20 16:14:00,2020
66,True,active,True,False,4,11,2020-08-20 16:11:14+00:00,0,75,True,75,0,0,,,2020-08-20 16:14:00,2020
67,True,active,True,False,8,8,2020-08-20 16:08:41+00:00,0,76,True,76,1,0,,,2020-08-20 16:14:00,2020
68,True,active,True,False,0,15,2020-08-20 15:14:41+00:00,0,77,True,77,0,0,,,2020-08-20 16:14:00,2020
69,True,active,True,False,12,6,2020-08-20 15:37:52+00:00,0,78,True,78,1,0,,,2020-08-20 16:14:00,2020
70,True,active,True,False,11,7,2020-08-20 16:01:08+00:00,0,79,True,79,1,0,,,2020-08-20 16:14:00,2020
71,True,active,True,False,24,11,2020-08-20 16:10:11+00:00,0,80,True,80,0,0,,,2020-08-20 16:14:00,2020
72,True,active,True,False,7,12,2020-08-20 16:11:29+00:00,0,81,True,81,0,0,,,2020-08-20 16:14:00,2020
73,True,active,True,False,7,8,2020-08-20 15:52:48+00:00,0,82,True,82,0,0,,,2020-08-20 16:14:00,2020
74,True,active,True,False,8,7,2020-08-20 16:10:37+00:00,0,84,True,84,0,0,,,2020-08-20 16:14:00,2020
75,True,active,True,False,12,7,2020-08-20 16:13:59+00:00,0,85,True,85,0,0,,,2020-08-20 16:14:00,2020
76,True,active,True,False,3,16,2020-08-20 15:57:40+00:00,0,86,True,86,0,0,,,2020-08-20 16:14:00,2020
77,True,active,True,False,4,11,2020-08-20 16:13:31+00:00,0,87,True,87,0,0,,,2020-08-20 16:14:00,2020
78,True,active,True,False,9,10,2020-08-20 16:01:20+00:00,0,89,True,89,0,0,,,2020-08-20 16:14:00,2020
79,True,active,True,False,3,16,2020-08-20 16:07:59+00:00,0,90,True,90,0,0,,,2020-08-20 16:14:00,2020
80,True,active,True,False,16,3,2020-08-20 16:06:29+00:00,0,91,True,91,0,0,,,2020-08-20 16:14:00,2020
81,True,active,True,False,10,8,2020-08-20 13:33:55+00:00,0,92,True,92,1,0,,,2020-08-20 16:14:00,2020
82,True,active,True,False,8,7,2020-08-20 15:56:38+00:00,0,93,True,93,0,0,,,2020-08-20 16:14:00,2020
83,True,active,True,False,10,0,2020-08-20 15:40:39+00:00,0,94,True,94,1,0,,,2020-08-20 16:14:00,2020
84,True,active,True,False,7,6,2020-08-20 15:57:54+00:00,0,95,True,95,2,0,,,2020-08-20 16:14:00,2020
85,True,active,True,False,10,8,2020-08-20 16:07:48+00:00,0,96,True,96,1,0,,,2020-08-20 16:14:00,2020
86,True,active,True,False,5,14,2020-08-20 16:02:29+00:00,0,97,True,97,0,0,,,2020-08-20 16:14:00,2020
87,True,active,True,False,2,21,2020-08-20 15:58:18+00:00,0,98,True,98,0,0,,,2020-08-20 16:14:00,2020
88,True,active,True,False,9,4,2020-08-20 13:34:28+00:00,0,99,True,99,2,0,,,2020-08-20 16:14:00,2020
89,True,active,True,True,18,7,2020-08-20 16:04:26+00:00,0,100,True,100,0,0,,,2020-08-20 16:14:00,2020
90,True,active,True,False,6,9,2020-08-20 16:04:48+00:00,0,101,True,101,0,0,,,2020-08-20 16:14:00,2020
91,True,active,True,False,0,15,2020-08-20 15:56:38+00:00,0,102,True,102,0,0,,,2020-08-20 16:14:00,2020
92,True,active,True,False,11,4,2020-08-20 16:13:46+00:00,0,103,True,103,0,0,,,2020-08-20 16:14:00,2020
93,True,active,True,False,3,16,2020-08-20 14:24:15+00:00,0,104,True,104,0,0,,,2020-08-20 16:14:00,2020
94,True,active,True,False,1,16,2020-08-20 16:11:35+00:00,0,105,True,105,2,0,,,2020-08-20 16:14:00,2020
95,True,active,True,False,5,10,2020-08-20 16:03:21+00:00,0,106,True,106,0,0,,,2020-08-20 16:14:00,2020
96,True,active,True,False,12,6,2020-08-20 16:07:50+00:00,0,107,True,107,1,0,,,2020-08-20 16:14:00,2020
97,True,active,True,False,4,13,2020-08-20 15:36:35+00:00,0,108,True,108,0,0,,,2020-08-20 16:14:00,2020
98,True,active,True,False,3,31,2020-08-20 15:41:37+00:00,0,109,True,109,1,0,,,2020-08-20 16:14:00,2020
99,True,active,True,False,4,11,2020-08-20 15:52:11+00:00,0,110,True,110,0,0,,,2020-08-20 16:14:00,2020
100,True,active,True,False,4,11,2020-08-20 13:01:13+00:00,0,111,True,111,0,0,,,2020-08-20 16:14:00,2020
101,True,active,True,False,6,9,2020-08-20 13:42:47+00:00,0,112,True,112,0,0,,,2020-08-20 16:14:00,2020
102,True,active,True,False,12,2,2020-08-20 16:03:15+00:00,0,113,True,113,1,0,,,2020-08-20 16:14:00,2020
103,True,active,True,False,7,8,2020-08-20 13:46:04+00:00,0,114,True,114,0,0,,,2020-08-20 16:14:00,2020
104,True,active,True,False,9,10,2020-08-20 16:00:42+00:00,0,115,True,115,0,0,,,2020-08-20 16:14:00,2020
105,True,active,True,False,2,21,2020-08-20 16:08:13+00:00,0,116,True,116,0,0,,,2020-08-20 16:14:00,2020
106,True,active,True,False,1,18,2020-08-20 16:05:33+00:00,0,117,True,117,0,0,,,2020-08-20 16:14:00,2020
107,True,active,True,False,8,11,2020-08-20 16:13:01+00:00,0,118,True,118,0,0,,,2020-08-20 16:14:00,2020
108,True,active,True,False,4,11,2020-08-20 15:55:30+00:00,0,119,True,119,0,0,,,2020-08-20 16:14:00,2020
109,True,active,True,False,11,4,2020-08-20 16:00:11+00:00,0,120,True,120,0,0,,,2020-08-20 16:14:00,2020
110,True,active,True,False,6,10,2020-08-20 16:09:53+00:00,0,121,True,121,1,0,,,2020-08-20 16:14:00,2020
111,True,active,True,False,9,5,2020-08-20 14:51:43+00:00,0,122,True,122,1,0,,,2020-08-20 16:14:00,2020
112,True,active,True,False,2,13,2020-08-20 15:12:18+00:00,0,124,True,124,0,0,,,2020-08-20 16:14:00,2020
113,True,active,True,False,1,13,2020-08-20 16:12:24+00:00,0,125,True,125,1,0,,,2020-08-20 16:14:00,2020
114,True,active,True,False,10,4,2020-08-20 13:25:50+00:00,0,126,True,126,1,0,,,2020-08-20 16:14:00,2020
115,True,active,True,False,9,10,2020-08-20 14:58:59+00:00,0,128,True,128,0,0,,,2020-08-20 16:14:00,2020
116,True,active,True,False,4,15,2020-08-20 15:51:06+00:00,0,129,True,129,0,0,,,2020-08-20 16:14:00,2020
117,True,active,True,False,14,1,2020-08-20 14:10:36+00:00,0,130,True,130,0,0,,,2020-08-20 16:14:00,2020
118,True,active,True,False,5,13,2020-08-20 16:03:47+00:00,0,131,True,131,0,0,,,2020-08-20 16:14:00,2020
119,True,active,True,False,15,7,2020-08-20 14:25:35+00:00,0,133,True,133,1,0,,,2020-08-20 16:14:00,2020
120,True,active,True,False,4,13,2020-08-20 15:50:31+00:00,0,135,True,135,0,0,,,2020-08-20 16:14:00,2020
121,True,active,True,False,5,14,2020-08-20 14:40:29+00:00,0,136,True,136,0,0,,,2020-08-20 16:14:00,2020
122,True,active,True,False,6,9,2020-08-20 13:35:23+00:00,0,137,True,137,0,0,,,2020-08-20 16:14:00,2020
123,True,active,True,False,15,0,2020-08-20 15:35:04+00:00,0,138,True,138,0,0,,,2020-08-20 16:14:00,2020
124,True,active,True,False,0,19,2020-08-20 15:14:24+00:00,0,139,True,139,0,0,,,2020-08-20 16:14:00,2020
125,True,active,True,False,10,7,2020-08-20 15:39:58+00:00,0,140,True,140,0,0,,,2020-08-20 16:14:00,2020
126,True,active,True,False,7,8,2020-08-20 16:02:43+00:00,0,141,True,141,0,0,,,2020-08-20 16:14:00,2020
127,True,active,True,False,17,6,2020-08-20 15:44:53+00:00,0,142,True,142,0,0,,,2020-08-20 16:14:00,2020
128,True,active,True,False,9,14,2020-08-20 16:12:40+00:00,0,143,True,143,0,0,,,2020-08-20 16:14:00,2020
129,True,active,True,False,11,8,2020-08-20 14:52:53+00:00,0,144,True,144,0,0,,,2020-08-20 16:14:00,2020
130,True,active,True,False,10,9,2020-08-20 16:02:12+00:00,0,145,True,145,0,0,,,2020-08-20 16:14:00,2020
131,True,active,True,False,12,7,2020-08-20 15:51:57+00:00,0,146,True,146,0,0,,,2020-08-20 16:14:00,2020
132,True,active,True,True,6,11,2020-08-20 15:52:28+00:00,0,149,True,149,1,0,,,2020-08-20 16:14:00,2020
133,True,active,True,False,10,8,2020-08-20 16:13:41+00:00,0,150,True,150,1,0,,,2020-08-20 16:14:00,2020
134,True,active,True,False,10,9,2020-08-20 16:08:23+00:00,0,151,True,151,0,0,,,2020-08-20 16:14:00,2020
135,True,active,True,True,10,5,2020-08-20 16:02:11+00:00,0,152,True,152,0,0,,,2020-08-20 16:14:00,2020
136,True,active,True,False,8,6,2020-08-20 15:54:16+00:00,0,156,True,156,1,0,,,2020-08-20 16:14:00,2020
137,True,active,True,False,6,9,2020-08-20 16:13:51+00:00,0,157,True,157,0,0,,,2020-08-20 16:14:00,2020
138,True,active,True,False,1,14,2020-08-20 15:07:33+00:00,0,159,True,159,0,0,,,2020-08-20 16:14:00,2020
139,True,active,True,True,8,6,2020-08-20 15:47:44+00:00,0,160,True,160,0,0,,,2020-08-20 16:14:00,2020
140,True,active,True,True,11,11,2020-08-20 16:11:50+00:00,0,161,True,161,1,0,,,2020-08-20 16:14:00,2020
141,True,active,True,False,7,8,2020-08-20 13:50:21+00:00,0,162,True,162,0,0,,,2020-08-20 16:14:00,2020
142,True,active,True,True,12,7,2020-08-20 16:09:08+00:00,0,163,True,163,0,0,,,2020-08-20 16:14:00,2020
143,True,active,True,False,7,8,2020-08-20 14:10:20+00:00,0,167,True,167,0,0,,,2020-08-20 16:14:00,2020
144,True,active,True,False,6,13,2020-08-20 16:08:43+00:00,0,169,True,169,0,0,,,2020-08-20 16:14:00,2020
145,True,active,True,True,8,6,2020-08-20 16:11:01+00:00,0,170,True,170,0,0,,,2020-08-20 16:14:00,2020
146,True,active,True,True,5,18,2020-08-20 14:32:12+00:00,0,171,True,171,0,0,,,2020-08-20 16:14:00,2020
147,True,active,True,True,4,10,2020-08-20 15:57:50+00:00,0,173,True,173,0,0,,,2020-08-20 16:14:00,2020
148,True,active,True,False,7,7,2020-08-20 15:42:08+00:00,0,174,True,174,1,0,,,2020-08-20 16:14:00,2020
149,True,active,True,True,6,9,2020-08-20 14:11:50+00:00,0,175,True,175,2,0,,,2020-08-20 16:14:00,2020
150,True,active,True,False,9,6,2020-08-20 15:45:44+00:00,0,176,True,176,0,0,,,2020-08-20 16:14:00,2020
151,True,active,True,False,10,8,2020-08-20 16:10:51+00:00,0,177,True,177,1,0,,,2020-08-20 16:14:00,2020
152,True,active,True,False,13,5,2020-08-20 15:49:22+00:00,0,178,True,178,1,0,,,2020-08-20 16:14:00,2020
153,True,active,True,False,14,10,2020-08-20 16:12:01+00:00,0,179,True,179,1,0,,,2020-08-20 16:14:00,2020
154,True,active,True,False,18,1,2020-08-20 15:44:23+00:00,0,180,True,180,0,0,,,2020-08-20 16:14:00,2020
155,True,active,True,False,4,15,2020-08-20 15:25:03+00:00,0,181,True,181,0,0,,,2020-08-20 16:14:00,2020
156,True,active,True,True,2,17,2020-08-20 15:43:22+00:00,0,182,True,182,0,0,,,2020-08-20 16:14:00,2020
157,True,active,True,False,9,10,2020-08-20 16:09:08+00:00,0,183,True,183,0,0,,,2020-08-20 16:14:00,2020
158,True,active,True,False,8,11,2020-08-20 15:18:36+00:00,0,184,True,184,0,0,,,2020-08-20 16:14:00,2020
159,True,active,True,False,3,12,2020-08-20 16:04:34+00:00,0,185,True,185,0,0,,,2020-08-20 16:14:00,2020
160,True,active,True,True,6,9,2020-08-20 14:34:25+00:00,0,186,True,186,0,0,,,2020-08-20 16:14:00,2020
161,True,active,True,False,3,12,2020-08-20 14:55:18+00:00,0,187,True,187,0,0,,,2020-08-20 16:14:00,2020
162,True,active,True,False,12,3,2020-08-20 15:34:58+00:00,0,188,True,188,0,0,,,2020-08-20 16:14:00,2020
163,True,active,True,True,3,20,2020-08-20 16:03:01+00:00,0,189,True,189,0,0,,,2020-08-20 16:14:00,2020
164,True,active,True,True,9,28,2020-08-20 15:56:41+00:00,0,190,True,190,0,0,,,2020-08-20 16:14:00,2020
165,True,active,True,False,0,15,2020-08-20 12:37:05+00:00,0,191,True,191,0,0,,,2020-08-20 16:14:00,2020
166,True,active,True,False,13,6,2020-08-20 16:03:28+00:00,0,192,True,192,0,0,,,2020-08-20 16:14:00,2020
167,True,active,True,True,1,14,2020-08-20 15:28:14+00:00,0,193,True,193,0,0,,,2020-08-20 16:14:00,2020
168,True,active,True,False,5,14,2020-08-20 14:16:46+00:00,0,194,True,194,0,0,,,2020-08-20 16:14:00,2020
169,True,active,True,False,1,22,2020-08-20 16:00:21+00:00,0,195,True,195,0,0,,,2020-08-20 16:14:00,2020
170,True,active,True,False,1,9,2020-08-20 15:41:27+00:00,0,196,True,196,0,0,,,2020-08-20 16:14:00,2020
171,True,active,True,False,7,7,2020-08-20 12:09:36+00:00,0,197,True,197,1,0,,,2020-08-20 16:14:00,2020
172,True,active,True,False,8,7,2020-08-20 14:19:54+00:00,0,199,True,199,0,0,,,2020-08-20 16:14:00,2020
173,True,active,True,False,13,6,2020-08-20 15:34:49+00:00,0,200,True,200,0,0,,,2020-08-20 16:14:00,2020
174,True,active,True,False,4,11,2020-08-20 12:47:08+00:00,0,201,True,201,0,0,,,2020-08-20 16:14:00,2020
175,True,active,True,False,2,13,2020-08-20 14:09:56+00:00,0,202,True,202,0,0,,,2020-08-20 16:14:00,2020
176,True,active,True,False,7,8,2020-08-20 15:47:53+00:00,0,203,True,203,0,0,,,2020-08-20 16:14:00,2020
177,True,active,True,False,6,9,2020-08-20 14:47:14+00:00,0,204,True,204,0,0,,,2020-08-20 16:14:00,2020
178,True,active,True,False,1,14,2020-08-20 11:38:19+00:00,0,205,True,205,0,0,,,2020-08-20 16:14:00,2020
179,True,active,True,True,13,10,2020-08-20 15:24:26+00:00,0,206,True,206,0,0,,,2020-08-20 16:14:00,2020
180,True,active,True,True,12,3,2020-08-20 15:40:21+00:00,0,208,True,208,0,0,,,2020-08-20 16:14:00,2020
181,True,active,True,False,13,1,2020-08-20 14:43:40+00:00,0,209,True,209,1,0,,,2020-08-20 16:14:00,2020
182,True,active,True,False,2,12,2020-08-20 09:06:47+00:00,0,210,True,210,1,0,,,2020-08-20 16:14:00,2020
183,True,active,True,False,9,10,2020-08-20 14:16:42+00:00,0,211,True,211,0,0,,,2020-08-20 16:14:00,2020
184,True,active,True,False,7,26,2020-08-20 16:06:13+00:00,0,212,True,212,0,0,,,2020-08-20 16:14:00,2020
185,True,active,True,True,1,15,2020-08-20 15:02:43+00:00,0,213,True,213,0,0,,,2020-08-20 16:14:00,2020
186,True,active,True,False,6,9,2020-08-20 14:54:18+00:00,0,214,True,214,0,0,,,2020-08-20 16:14:00,2020
187,True,active,True,False,10,3,2020-08-20 13:40:57+00:00,0,215,True,215,2,0,,,2020-08-20 16:14:00,2020
188,True,active,True,False,11,8,2020-08-20 11:05:27+00:00,0,216,True,216,0,0,,,2020-08-20 16:14:00,2020
189,True,active,True,False,4,15,2020-08-20 15:39:55+00:00,0,217,True,217,0,0,,,2020-08-20 16:14:00,2020
190,True,active,True,False,9,6,2020-08-20 16:09:31+00:00,0,218,True,218,0,0,,,2020-08-20 16:14:00,2020
191,True,active,True,False,2,13,2020-08-20 09:16:47+00:00,0,219,True,219,0,0,,,2020-08-20 16:14:00,2020
192,True,active,True,False,6,11,2020-08-20 14:46:19+00:00,0,221,True,221,2,0,,,2020-08-20 16:14:00,2020
193,True,active,True,True,2,11,2020-08-20 15:45:23+00:00,0,222,True,222,1,0,,,2020-08-20 16:14:00,2020
194,True,active,True,False,10,5,2020-08-20 15:42:48+00:00,0,224,True,224,2,0,,,2020-08-20 16:14:00,2020
195,True,active,True,False,7,10,2020-08-20 15:48:24+00:00,0,225,True,225,2,0,,,2020-08-20 16:14:00,2020
196,True,active,True,False,4,11,2020-08-20 16:12:46+00:00,0,226,True,226,0,0,,,2020-08-20 16:14:00,2020
197,True,active,True,False,9,10,2020-08-20 16:00:18+00:00,0,227,True,227,0,0,,,2020-08-20 16:14:00,2020
198,True,active,True,False,2,17,2020-08-20 16:13:43+00:00,0,228,True,228,0,0,,,2020-08-20 16:14:00,2020
199,True,active,True,False,2,9,2020-08-20 08:55:09+00:00,0,232,True,232,0,0,,,2020-08-20 16:14:00,2020
200,True,active,True,False,13,2,2020-08-20 16:11:59+00:00,0,233,True,233,0,0,,,2020-08-20 16:14:00,2020
201,True,active,True,False,4,11,2020-08-20 13:31:47+00:00,0,234,True,234,0,0,,,2020-08-20 16:14:00,2020
202,True,active,True,False,7,8,2020-08-20 15:14:09+00:00,0,235,True,235,0,0,,,2020-08-20 16:14:00,2020
203,True,active,True,False,14,1,2020-08-20 15:26:35+00:00,0,236,True,236,0,0,,,2020-08-20 16:14:00,2020
204,True,active,True,False,4,10,2020-08-20 15:54:50+00:00,0,239,True,239,1,0,,,2020-08-20 16:14:00,2020
205,True,active,True,False,6,9,2020-08-19 14:52:54+00:00,0,255,True,255,0,0,,,2020-08-20 16:14:00,2020
206,True,active,True,False,12,3,2020-08-20 15:16:56+00:00,0,258,True,258,0,0,,,2020-08-20 16:14:00,2020
