,legacy_id,last_reported,is_returning,num_ebikes_available,is_installed,num_docks_disabled,station_id,num_bikes_available,station_status,num_bikes_disabled,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,3,2020-08-20 18:08:26+00:00,True,0,True,0,3,14,active,0,True,False,1,,,2020-08-20 18:37:10,2020
1,4,2020-08-20 18:28:43+00:00,True,0,True,0,4,5,active,0,True,False,14,,,2020-08-20 18:37:10,2020
2,5,2020-08-20 18:33:31+00:00,True,0,True,0,5,1,active,0,True,False,14,,,2020-08-20 18:37:10,2020
3,6,2020-08-20 18:24:51+00:00,True,0,True,0,6,10,active,1,True,False,4,,,2020-08-20 18:37:10,2020
4,7,2020-08-20 18:30:09+00:00,True,0,True,0,7,7,active,0,True,False,8,,,2020-08-20 18:37:10,2020
5,8,2020-08-20 18:29:41+00:00,True,0,True,0,8,9,active,1,True,False,9,,,2020-08-20 18:37:10,2020
6,9,2020-08-20 18:35:43+00:00,True,0,True,0,9,5,active,0,True,False,10,,,2020-08-20 18:37:10,2020
7,10,2020-08-20 18:36:22+00:00,True,0,True,0,10,7,active,0,True,False,4,,,2020-08-20 18:37:10,2020
8,11,2020-08-20 18:35:31+00:00,True,0,True,0,11,11,active,0,True,False,4,,,2020-08-20 18:37:10,2020
9,12,2020-08-20 18:16:44+00:00,True,0,True,0,12,16,active,1,True,True,1,,,2020-08-20 18:37:10,2020
10,13,2020-08-20 18:22:17+00:00,True,0,True,0,13,11,active,0,True,False,8,,,2020-08-20 18:37:10,2020
11,14,2020-08-20 18:34:13+00:00,True,0,True,0,14,23,active,0,True,False,2,,,2020-08-20 18:37:10,2020
12,15,2020-08-20 17:41:19+00:00,True,0,True,0,15,11,active,0,True,False,4,,,2020-08-20 18:37:10,2020
13,16,2020-08-20 18:03:23+00:00,True,0,True,0,16,7,active,0,True,True,12,,,2020-08-20 18:37:10,2020
14,17,2020-08-20 18:19:43+00:00,True,0,True,0,17,3,active,1,True,False,11,,,2020-08-20 18:37:10,2020
15,19,2020-08-20 16:19:04+00:00,True,0,True,0,19,3,active,0,True,False,12,,,2020-08-20 18:37:10,2020
16,20,2020-08-20 18:12:03+00:00,True,0,True,0,20,3,active,0,True,True,20,,,2020-08-20 18:37:10,2020
17,21,2020-08-20 17:49:37+00:00,True,0,True,0,21,3,active,0,True,True,15,,,2020-08-20 18:37:10,2020
18,22,2020-08-20 18:31:43+00:00,True,0,True,0,22,21,active,0,True,True,26,,,2020-08-20 18:37:10,2020
19,23,2020-08-20 18:08:30+00:00,True,0,True,0,23,18,active,0,True,False,3,,,2020-08-20 18:37:10,2020
20,24,2020-08-20 17:24:52+00:00,True,0,True,0,24,15,active,1,True,False,3,,,2020-08-20 18:37:10,2020
21,25,2020-08-20 18:22:52+00:00,True,0,True,0,25,8,active,0,True,False,7,,,2020-08-20 18:37:10,2020
22,26,2020-08-20 18:36:36+00:00,True,0,True,0,26,4,active,2,True,False,9,,,2020-08-20 18:37:10,2020
23,27,2020-08-20 18:34:25+00:00,True,0,True,0,27,15,active,0,True,False,8,,,2020-08-20 18:37:10,2020
