,eightd_has_available_keys,num_ebikes_available,num_docks_disabled,num_bikes_available,station_id,is_returning,num_bikes_disabled,num_docks_available,station_status,legacy_id,is_installed,is_renting,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,False,0,0,12,3,True,0,3,active,3,True,True,2020-08-20 20:56:17+00:00,,,2020-08-20 21:00:20,2020
1,False,0,0,5,4,True,0,14,active,4,True,True,2020-08-20 20:58:41+00:00,,,2020-08-20 21:00:20,2020
2,False,0,0,6,5,True,0,9,active,5,True,True,2020-08-20 20:58:22+00:00,,,2020-08-20 21:00:20,2020
3,False,0,0,12,6,True,0,3,active,6,True,True,2020-08-20 20:57:12+00:00,,,2020-08-20 21:00:20,2020
4,False,0,0,4,7,True,0,11,active,7,True,True,2020-08-20 20:42:00+00:00,,,2020-08-20 21:00:20,2020
5,False,0,0,8,8,True,1,10,active,8,True,True,2020-08-20 20:53:19+00:00,,,2020-08-20 21:00:20,2020
6,False,0,0,8,9,True,0,7,active,9,True,True,2020-08-20 20:59:41+00:00,,,2020-08-20 21:00:20,2020
7,False,0,0,6,10,True,0,5,active,10,True,True,2020-08-20 20:52:23+00:00,,,2020-08-20 21:00:20,2020
8,False,0,0,6,11,True,0,9,active,11,True,True,2020-08-20 20:58:53+00:00,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'active': True, 'dock_blocked_count': 0, 'valet_revision': 98, 'off_dock_count': 30}",2020-08-20 21:00:20,2020
9,True,0,0,16,12,True,2,0,active,12,True,True,2020-08-20 20:18:32+00:00,,,2020-08-20 21:00:20,2020
10,False,0,0,0,13,True,0,19,active,13,True,True,2020-08-20 20:51:58+00:00,,,2020-08-20 21:00:20,2020
11,False,0,0,20,14,True,0,5,active,14,True,True,2020-08-20 20:51:31+00:00,,,2020-08-20 21:00:20,2020
12,False,0,0,13,15,True,0,2,active,15,True,True,2020-08-20 20:30:01+00:00,,,2020-08-20 21:00:20,2020
13,True,0,0,6,16,True,0,13,active,16,True,True,2020-08-20 20:35:43+00:00,,,2020-08-20 21:00:20,2020
14,False,0,0,2,17,True,1,12,active,17,True,True,2020-08-20 20:42:57+00:00,,,2020-08-20 21:00:20,2020
15,False,0,0,0,19,True,0,15,active,19,True,True,2020-08-20 20:47:31+00:00,,,2020-08-20 21:00:20,2020
16,True,0,0,2,20,True,0,21,active,20,True,True,2020-08-20 20:56:06+00:00,,,2020-08-20 21:00:20,2020
17,True,0,0,2,21,True,0,16,active,21,True,True,2020-08-20 20:52:26+00:00,,,2020-08-20 21:00:20,2020
18,True,0,0,16,22,True,0,31,active,22,True,True,2020-08-20 20:59:35+00:00,,,2020-08-20 21:00:20,2020
19,False,0,0,5,23,True,0,16,active,23,True,True,2020-08-20 20:52:49+00:00,,,2020-08-20 21:00:20,2020
20,False,0,0,11,24,True,1,7,active,24,True,True,2020-08-20 20:48:20+00:00,,,2020-08-20 21:00:20,2020
21,False,0,0,3,25,True,1,11,active,25,True,True,2020-08-20 20:54:06+00:00,,,2020-08-20 21:00:20,2020
22,False,0,0,6,26,True,1,8,active,26,True,True,2020-08-20 20:22:08+00:00,,,2020-08-20 21:00:20,2020
23,False,0,0,19,27,True,2,2,active,27,True,True,2020-08-20 20:54:30+00:00,,,2020-08-20 21:00:20,2020
24,False,0,0,0,29,True,1,14,active,29,True,True,2020-08-20 20:55:03+00:00,,,2020-08-20 21:00:20,2020
25,False,0,0,7,30,True,0,8,active,30,True,True,2020-08-20 20:46:54+00:00,,,2020-08-20 21:00:20,2020
26,True,0,0,4,31,True,0,15,active,31,True,True,2020-08-20 20:50:14+00:00,,,2020-08-20 21:00:20,2020
27,False,0,0,11,32,True,0,4,active,32,True,True,2020-08-20 20:59:17+00:00,,,2020-08-20 21:00:20,2020
28,False,0,0,12,33,True,0,15,active,33,True,True,2020-08-20 20:59:42+00:00,,,2020-08-20 21:00:20,2020
29,False,0,0,16,35,True,0,7,active,35,True,True,2020-08-20 20:43:45+00:00,,,2020-08-20 21:00:20,2020
30,True,0,0,28,36,True,0,5,active,36,True,True,2020-08-20 20:53:43+00:00,,,2020-08-20 21:00:20,2020
31,True,0,0,11,37,True,0,4,active,37,True,True,2020-08-20 20:50:29+00:00,,,2020-08-20 21:00:20,2020
32,False,0,0,12,39,True,0,11,active,39,True,True,2020-08-20 20:54:48+00:00,,,2020-08-20 21:00:20,2020
33,False,0,0,8,40,True,0,11,active,40,True,True,2020-08-20 20:56:54+00:00,,,2020-08-20 21:00:20,2020
34,True,0,0,2,41,True,1,24,active,41,True,True,2020-08-20 20:59:34+00:00,,,2020-08-20 21:00:20,2020
35,False,0,0,16,42,True,0,7,active,42,True,True,2020-08-20 20:50:25+00:00,,,2020-08-20 21:00:20,2020
36,True,0,0,7,43,True,0,8,active,43,True,True,2020-08-20 20:58:24+00:00,,,2020-08-20 21:00:20,2020
37,False,0,0,12,44,True,0,11,active,44,True,True,2020-08-20 20:50:35+00:00,,,2020-08-20 21:00:20,2020
38,False,0,0,11,46,True,0,8,active,46,True,True,2020-08-20 20:59:42+00:00,,,2020-08-20 21:00:20,2020
39,True,0,0,4,47,True,0,15,active,47,True,True,2020-08-20 20:57:23+00:00,,,2020-08-20 21:00:20,2020
40,False,0,0,12,48,True,1,6,active,48,True,True,2020-08-20 20:24:21+00:00,,,2020-08-20 21:00:20,2020
41,False,0,0,11,49,True,0,7,active,49,True,True,2020-08-20 20:43:04+00:00,,,2020-08-20 21:00:20,2020
42,True,0,0,9,50,True,1,5,active,50,True,True,2020-08-20 20:58:27+00:00,,,2020-08-20 21:00:20,2020
43,False,0,0,13,51,True,1,1,active,51,True,True,2020-08-20 20:40:20+00:00,,,2020-08-20 21:00:20,2020
44,True,0,0,7,52,True,1,15,active,52,True,True,2020-08-20 20:58:14+00:00,,,2020-08-20 21:00:20,2020
45,False,0,0,2,53,True,1,16,active,53,True,True,2020-08-20 21:00:08+00:00,,,2020-08-20 21:00:20,2020
46,False,0,0,6,54,True,0,9,active,54,True,True,2020-08-20 20:54:34+00:00,,,2020-08-20 21:00:20,2020
47,False,0,0,3,55,True,0,12,active,55,True,True,2020-08-20 20:57:11+00:00,,,2020-08-20 21:00:20,2020
48,False,0,0,7,56,True,0,11,active,56,True,True,2020-08-20 20:34:03+00:00,,,2020-08-20 21:00:20,2020
49,True,0,0,2,57,True,0,12,active,57,True,True,2020-08-20 20:59:26+00:00,,,2020-08-20 21:00:20,2020
50,True,0,0,1,58,True,1,17,active,58,True,True,2020-08-20 20:59:02+00:00,,,2020-08-20 21:00:20,2020
51,True,0,0,16,59,True,0,3,active,59,True,True,2020-08-20 20:31:17+00:00,,,2020-08-20 21:00:20,2020
52,False,0,0,15,60,True,0,4,active,60,True,True,2020-08-20 21:00:08+00:00,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'active': True, 'dock_blocked_count': 0, 'valet_revision': 87, 'off_dock_count': 27}",2020-08-20 21:00:20,2020
53,False,0,0,10,61,True,0,9,active,61,True,True,2020-08-20 20:56:22+00:00,,,2020-08-20 21:00:20,2020
54,False,0,0,5,63,True,0,10,active,63,True,True,2020-08-20 20:30:48+00:00,,,2020-08-20 21:00:20,2020
55,False,0,0,17,64,False,0,2,active,64,True,False,2020-08-20 19:58:42+00:00,,,2020-08-20 21:00:20,2020
56,False,0,0,6,65,True,0,17,active,65,True,True,2020-08-20 20:50:22+00:00,,,2020-08-20 21:00:20,2020
57,False,0,0,3,66,True,0,12,active,66,True,True,2020-08-20 20:54:43+00:00,,,2020-08-20 21:00:20,2020
58,True,0,0,15,67,True,0,12,active,67,True,True,2020-08-20 20:53:57+00:00,,,2020-08-20 21:00:20,2020
59,True,0,0,14,68,True,1,4,active,68,True,True,2020-08-20 20:59:08+00:00,,,2020-08-20 21:00:20,2020
60,True,0,0,12,69,True,0,7,active,69,True,True,2020-08-20 20:58:36+00:00,,,2020-08-20 21:00:20,2020
61,False,0,0,16,70,True,0,7,active,70,True,True,2020-08-20 20:32:32+00:00,,,2020-08-20 21:00:20,2020
62,False,0,0,18,71,True,1,4,active,71,True,True,2020-08-20 20:59:04+00:00,,,2020-08-20 21:00:20,2020
63,False,0,0,14,72,True,0,9,active,72,True,True,2020-08-20 20:56:47+00:00,,,2020-08-20 21:00:20,2020
64,False,0,0,4,73,True,0,11,active,73,True,True,2020-08-20 20:59:25+00:00,,,2020-08-20 21:00:20,2020
65,True,0,0,13,74,True,0,6,active,74,True,True,2020-08-20 20:58:16+00:00,,,2020-08-20 21:00:20,2020
66,False,0,0,1,75,True,0,14,active,75,True,True,2020-08-20 20:44:37+00:00,,,2020-08-20 21:00:20,2020
67,False,0,0,3,76,True,2,12,active,76,True,True,2020-08-20 20:47:37+00:00,,,2020-08-20 21:00:20,2020
68,False,0,0,1,77,True,0,14,active,77,True,True,2020-08-20 20:35:46+00:00,,,2020-08-20 21:00:20,2020
69,False,0,0,14,78,True,0,5,active,78,True,True,2020-08-20 20:37:14+00:00,,,2020-08-20 21:00:20,2020
70,False,0,0,6,79,True,1,12,active,79,True,True,2020-08-20 20:56:10+00:00,,,2020-08-20 21:00:20,2020
71,False,0,0,29,80,True,1,5,active,80,True,True,2020-08-20 20:55:16+00:00,,,2020-08-20 21:00:20,2020
72,False,0,0,1,81,True,0,18,active,81,True,True,2020-08-20 20:52:31+00:00,,,2020-08-20 21:00:20,2020
73,False,0,0,3,82,True,0,12,active,82,True,True,2020-08-20 19:31:29+00:00,,,2020-08-20 21:00:20,2020
74,False,0,0,5,84,True,0,10,active,84,True,True,2020-08-20 20:59:30+00:00,,,2020-08-20 21:00:20,2020
75,False,0,0,9,85,True,0,10,active,85,True,True,2020-08-20 20:43:06+00:00,,,2020-08-20 21:00:20,2020
76,False,0,0,4,86,True,0,15,active,86,True,True,2020-08-20 20:57:36+00:00,,,2020-08-20 21:00:20,2020
77,False,0,0,3,87,True,0,12,active,87,True,True,2020-08-20 20:52:44+00:00,,,2020-08-20 21:00:20,2020
78,False,0,0,8,89,True,0,11,active,89,True,True,2020-08-20 20:22:23+00:00,,,2020-08-20 21:00:20,2020
79,False,0,0,0,90,True,0,19,active,90,True,True,2020-08-20 20:50:15+00:00,,,2020-08-20 21:00:20,2020
80,False,0,0,11,91,True,1,7,active,91,True,True,2020-08-20 20:58:40+00:00,,,2020-08-20 21:00:20,2020
81,False,0,0,10,92,True,1,8,active,92,True,True,2020-08-20 13:33:55+00:00,,,2020-08-20 21:00:20,2020
82,False,0,0,11,93,True,0,4,active,93,True,True,2020-08-20 19:47:44+00:00,,,2020-08-20 21:00:20,2020
83,False,0,0,7,94,True,1,3,active,94,True,True,2020-08-20 20:49:08+00:00,,,2020-08-20 21:00:20,2020
84,False,0,0,10,95,True,1,4,active,95,True,True,2020-08-20 20:55:53+00:00,,,2020-08-20 21:00:20,2020
85,False,0,0,9,96,True,1,9,active,96,True,True,2020-08-20 20:55:11+00:00,,,2020-08-20 21:00:20,2020
