,legacy_id,num_bikes_available,num_bikes_disabled,is_returning,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,station_id,station_status,num_ebikes_available,last_reported,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,3,12,0,True,0,True,True,False,3,active,0,2020-08-20 21:45:57+00:00,3,,,2020-08-20 21:51:25,2020
1,4,10,0,True,0,True,True,False,4,active,0,2020-08-20 21:39:20+00:00,9,,,2020-08-20 21:51:25,2020
2,5,4,0,True,0,True,True,False,5,active,0,2020-08-20 21:37:04+00:00,11,,,2020-08-20 21:51:25,2020
3,6,6,0,True,0,True,True,False,6,active,0,2020-08-20 21:45:29+00:00,9,,,2020-08-20 21:51:25,2020
4,7,4,0,True,0,True,True,False,7,active,0,2020-08-20 21:48:17+00:00,11,,,2020-08-20 21:51:25,2020
5,8,9,1,True,0,True,True,False,8,active,0,2020-08-20 21:50:29+00:00,9,,,2020-08-20 21:51:25,2020
6,9,9,0,True,0,True,True,False,9,active,0,2020-08-20 21:45:45+00:00,6,,,2020-08-20 21:51:25,2020
7,10,3,0,True,0,True,True,False,10,active,0,2020-08-20 21:48:08+00:00,8,,,2020-08-20 21:51:25,2020
8,11,8,0,True,0,True,True,False,11,active,0,2020-08-20 21:50:58+00:00,7,"{'dock_blocked_count': 0, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'active': True, 'off_dock_count': 3, 'valet_revision': 98}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-20 21:51:25,2020
9,12,16,2,True,0,True,True,True,12,active,0,2020-08-20 21:51:18+00:00,0,,,2020-08-20 21:51:25,2020
10,13,0,0,True,0,True,True,False,13,active,0,2020-08-20 21:35:17+00:00,19,,,2020-08-20 21:51:25,2020
11,14,19,0,True,0,True,True,False,14,active,0,2020-08-20 21:51:10+00:00,6,,,2020-08-20 21:51:25,2020
12,15,12,0,True,0,True,True,False,15,active,0,2020-08-20 21:08:01+00:00,3,,,2020-08-20 21:51:25,2020
13,16,8,0,True,0,True,True,True,16,active,0,2020-08-20 21:50:08+00:00,11,,,2020-08-20 21:51:25,2020
14,17,2,1,True,0,True,True,False,17,active,0,2020-08-20 21:51:06+00:00,12,,,2020-08-20 21:51:25,2020
15,19,3,0,True,0,True,True,False,19,active,0,2020-08-20 21:47:41+00:00,12,,,2020-08-20 21:51:25,2020
16,20,5,0,True,0,True,True,True,20,active,0,2020-08-20 21:51:18+00:00,18,,,2020-08-20 21:51:25,2020
17,21,9,0,True,0,True,True,True,21,active,0,2020-08-20 21:50:26+00:00,9,,,2020-08-20 21:51:25,2020
18,22,9,0,True,0,True,True,True,22,active,0,2020-08-20 21:50:34+00:00,38,,,2020-08-20 21:51:25,2020
19,23,0,0,True,0,True,True,False,23,active,0,2020-08-20 21:40:17+00:00,21,,,2020-08-20 21:51:25,2020
20,24,12,1,True,0,True,True,False,24,active,0,2020-08-20 21:44:13+00:00,6,,,2020-08-20 21:51:25,2020
21,25,4,1,True,0,True,True,False,25,active,0,2020-08-20 21:40:24+00:00,10,,,2020-08-20 21:51:25,2020
22,26,8,0,True,0,True,True,False,26,active,0,2020-08-20 21:50:13+00:00,7,,,2020-08-20 21:51:25,2020
23,27,7,3,True,0,True,True,False,27,active,0,2020-08-20 21:47:40+00:00,13,,,2020-08-20 21:51:25,2020
24,29,1,1,True,0,True,True,False,29,active,0,2020-08-20 21:40:08+00:00,13,,,2020-08-20 21:51:25,2020
25,30,1,0,True,0,True,True,False,30,active,0,2020-08-20 21:49:29+00:00,14,,,2020-08-20 21:51:25,2020
26,31,4,0,True,0,True,True,True,31,active,0,2020-08-20 21:42:09+00:00,15,,,2020-08-20 21:51:25,2020
27,32,13,0,True,0,True,True,False,32,active,0,2020-08-20 21:50:23+00:00,2,,,2020-08-20 21:51:25,2020
28,33,12,1,True,0,True,True,False,33,active,0,2020-08-20 21:50:57+00:00,14,,,2020-08-20 21:51:25,2020
29,35,13,0,True,0,True,True,False,35,active,0,2020-08-20 21:49:59+00:00,10,,,2020-08-20 21:51:25,2020
30,36,29,0,True,0,True,True,True,36,active,0,2020-08-20 21:47:26+00:00,4,,,2020-08-20 21:51:25,2020
31,37,11,0,True,0,True,True,True,37,active,0,2020-08-20 20:50:29+00:00,4,,,2020-08-20 21:51:25,2020
32,39,1,0,True,0,True,True,False,39,active,0,2020-08-20 21:51:15+00:00,22,,,2020-08-20 21:51:25,2020
33,40,9,0,True,0,True,True,False,40,active,0,2020-08-20 21:51:10+00:00,10,,,2020-08-20 21:51:25,2020
34,41,6,1,True,0,True,True,True,41,active,0,2020-08-20 21:49:24+00:00,20,,,2020-08-20 21:51:25,2020
35,42,15,0,True,0,True,True,False,42,active,0,2020-08-20 21:40:37+00:00,8,,,2020-08-20 21:51:25,2020
36,43,6,0,True,0,True,True,True,43,active,0,2020-08-20 21:21:55+00:00,9,,,2020-08-20 21:51:25,2020
37,44,6,0,True,0,True,True,False,44,active,0,2020-08-20 21:46:22+00:00,17,,,2020-08-20 21:51:25,2020
38,46,12,0,True,0,True,True,False,46,active,0,2020-08-20 21:48:53+00:00,7,,,2020-08-20 21:51:25,2020
39,47,8,0,True,0,True,True,True,47,active,0,2020-08-20 21:48:17+00:00,11,,,2020-08-20 21:51:25,2020
40,48,9,1,True,0,True,True,False,48,active,0,2020-08-20 21:49:15+00:00,9,,,2020-08-20 21:51:25,2020
41,49,11,0,True,0,True,True,False,49,active,0,2020-08-20 21:48:00+00:00,7,,,2020-08-20 21:51:25,2020
42,50,8,1,True,0,True,True,True,50,active,0,2020-08-20 21:46:07+00:00,6,,,2020-08-20 21:51:25,2020
43,51,10,1,True,0,True,True,False,51,active,0,2020-08-20 21:43:09+00:00,4,,,2020-08-20 21:51:25,2020
44,52,11,0,True,0,True,True,True,52,active,0,2020-08-20 21:50:04+00:00,12,,,2020-08-20 21:51:25,2020
45,53,3,0,True,0,True,True,False,53,active,0,2020-08-20 21:40:46+00:00,16,,,2020-08-20 21:51:25,2020
46,54,9,0,True,0,True,True,False,54,active,0,2020-08-20 21:38:05+00:00,6,,,2020-08-20 21:51:25,2020
47,55,4,0,True,0,True,True,False,55,active,0,2020-08-20 21:51:06+00:00,11,,,2020-08-20 21:51:25,2020
48,56,6,0,True,0,True,True,False,56,active,0,2020-08-20 21:02:34+00:00,12,,,2020-08-20 21:51:25,2020
