,num_bikes_available,is_renting,station_status,num_docks_disabled,num_docks_available,station_id,num_bikes_disabled,last_reported,legacy_id,is_returning,is_installed,num_ebikes_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,9,True,active,0,6,3,0,2020-08-20 23:02:12+00:00,3,True,True,0,False,,,2020-08-20 23:03:00,2020
1,15,True,active,0,4,4,0,2020-08-20 23:01:30+00:00,4,True,True,0,False,,,2020-08-20 23:03:00,2020
2,1,True,active,0,14,5,0,2020-08-20 23:00:39+00:00,5,True,True,0,False,,,2020-08-20 23:03:00,2020
3,0,True,active,0,15,6,0,2020-08-20 22:56:47+00:00,6,True,True,0,False,,,2020-08-20 23:03:00,2020
4,6,True,active,0,9,7,0,2020-08-20 22:45:14+00:00,7,True,True,0,False,,,2020-08-20 23:03:00,2020
5,15,True,active,0,4,8,0,2020-08-20 23:02:25+00:00,8,True,True,0,False,,,2020-08-20 23:03:00,2020
6,10,True,active,0,5,9,0,2020-08-20 22:53:50+00:00,9,True,True,0,False,,,2020-08-20 23:03:00,2020
7,3,True,active,0,8,10,0,2020-08-20 22:59:53+00:00,10,True,True,0,False,,,2020-08-20 23:03:00,2020
8,0,True,active,0,15,11,0,2020-08-20 23:01:25+00:00,11,True,True,0,False,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'active': True, 'valet_revision': 98, 'dock_blocked_count': 0, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'off_dock_count': 3}",2020-08-20 23:03:00,2020
9,12,True,active,0,4,12,2,2020-08-20 22:57:37+00:00,12,True,True,0,True,,,2020-08-20 23:03:00,2020
10,1,True,active,0,18,13,0,2020-08-20 22:54:39+00:00,13,True,True,0,False,,,2020-08-20 23:03:00,2020
11,0,True,active,0,25,14,0,2020-08-20 22:58:47+00:00,14,True,True,0,False,,,2020-08-20 23:03:00,2020
12,11,True,active,0,4,15,0,2020-08-20 23:01:58+00:00,15,True,True,0,False,,,2020-08-20 23:03:00,2020
13,8,True,active,0,11,16,0,2020-08-20 22:48:11+00:00,16,True,True,0,True,,,2020-08-20 23:03:00,2020
14,1,True,active,0,14,17,0,2020-08-20 22:50:41+00:00,17,True,True,0,False,,,2020-08-20 23:03:00,2020
15,3,True,active,0,12,19,0,2020-08-20 22:46:47+00:00,19,True,True,0,False,,,2020-08-20 23:03:00,2020
16,7,True,active,0,16,20,0,2020-08-20 22:57:27+00:00,20,True,True,0,True,,,2020-08-20 23:03:00,2020
