,legacy_id,is_installed,is_returning,station_status,num_bikes_disabled,num_docks_available,num_bikes_available,station_id,eightd_has_available_keys,last_reported,is_renting,num_ebikes_available,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,3,True,True,active,0,7,8,3,False,2020-08-20 23:21:29+00:00,True,0,0,,,2020-08-20 23:33:35,2020
1,4,True,True,active,0,6,13,4,False,2020-08-20 23:21:10+00:00,True,0,0,,,2020-08-20 23:33:35,2020
2,5,True,True,active,0,15,0,5,False,2020-08-20 23:12:21+00:00,True,0,0,,,2020-08-20 23:33:35,2020
3,6,True,True,active,0,14,1,6,False,2020-08-20 23:27:32+00:00,True,0,0,,,2020-08-20 23:33:35,2020
4,7,True,True,active,0,7,8,7,False,2020-08-20 23:16:27+00:00,True,0,0,,,2020-08-20 23:33:35,2020
5,8,True,True,active,1,5,13,8,False,2020-08-20 23:27:00+00:00,True,0,0,,,2020-08-20 23:33:35,2020
6,9,True,True,active,0,3,12,9,False,2020-08-20 23:28:33+00:00,True,0,0,,,2020-08-20 23:33:35,2020
7,10,True,True,active,0,11,0,10,False,2020-08-20 23:27:55+00:00,True,0,0,,,2020-08-20 23:33:35,2020
8,11,True,True,active,0,15,0,11,False,2020-08-20 23:01:25+00:00,True,0,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'active': True, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 98, 'off_dock_capacity': 50, 'off_dock_count': 3, 'dock_blocked_count': 0}",2020-08-20 23:33:35,2020
9,12,True,True,active,2,6,10,12,True,2020-08-20 23:31:40+00:00,True,0,0,,,2020-08-20 23:33:35,2020
10,13,True,True,active,0,19,0,13,False,2020-08-20 23:10:33+00:00,True,0,0,,,2020-08-20 23:33:35,2020
11,14,True,True,active,0,25,0,14,False,2020-08-20 23:17:55+00:00,True,0,0,,,2020-08-20 23:33:35,2020
12,15,True,True,active,0,4,11,15,False,2020-08-20 23:31:50+00:00,True,0,0,,,2020-08-20 23:33:35,2020
13,16,True,True,active,0,11,8,16,True,2020-08-20 23:23:07+00:00,True,0,0,,,2020-08-20 23:33:35,2020
14,17,True,True,active,0,9,6,17,False,2020-08-20 23:31:27+00:00,True,0,0,,,2020-08-20 23:33:35,2020
15,19,True,True,active,0,14,1,19,False,2020-08-20 23:30:34+00:00,True,0,0,,,2020-08-20 23:33:35,2020
16,20,True,True,active,0,14,9,20,True,2020-08-20 23:18:36+00:00,True,0,0,,,2020-08-20 23:33:35,2020
17,21,True,True,active,0,4,14,21,True,2020-08-20 23:30:43+00:00,True,0,0,,,2020-08-20 23:33:35,2020
18,22,True,True,active,0,42,5,22,True,2020-08-20 23:13:45+00:00,True,0,0,,,2020-08-20 23:33:35,2020
19,23,True,True,active,0,19,2,23,False,2020-08-20 23:32:49+00:00,True,0,0,,,2020-08-20 23:33:35,2020
20,24,True,True,active,1,0,18,24,False,2020-08-20 23:25:27+00:00,True,0,0,,,2020-08-20 23:33:35,2020
21,25,True,True,active,1,6,8,25,False,2020-08-20 23:32:34+00:00,True,0,0,,,2020-08-20 23:33:35,2020
22,26,True,True,active,0,4,11,26,False,2020-08-20 23:12:29+00:00,True,0,0,,,2020-08-20 23:33:35,2020
23,27,True,True,active,4,17,2,27,False,2020-08-20 23:33:14+00:00,True,0,0,,,2020-08-20 23:33:35,2020
24,29,True,True,active,1,11,3,29,False,2020-08-20 23:03:32+00:00,True,0,0,,,2020-08-20 23:33:35,2020
25,30,True,True,active,0,12,3,30,False,2020-08-20 23:32:43+00:00,True,0,0,,,2020-08-20 23:33:35,2020
26,31,True,True,active,0,9,10,31,True,2020-08-20 23:29:24+00:00,True,0,0,,,2020-08-20 23:33:35,2020
