,is_installed,is_returning,num_docks_available,legacy_id,num_docks_disabled,last_reported,is_renting,station_status,num_bikes_available,num_bikes_disabled,eightd_has_available_keys,station_id,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,True,6,3,0,2020-08-20 23:41:05+00:00,True,active,9,0,False,3,0,,,2020-08-20 23:43:50,2020
1,True,True,6,4,0,2020-08-20 23:21:10+00:00,True,active,13,0,False,4,0,,,2020-08-20 23:43:50,2020
2,True,True,13,5,0,2020-08-20 23:38:50+00:00,True,active,2,0,False,5,0,,,2020-08-20 23:43:50,2020
3,True,True,13,6,0,2020-08-20 23:38:35+00:00,True,active,2,0,False,6,0,,,2020-08-20 23:43:50,2020
4,True,True,4,7,0,2020-08-20 23:37:28+00:00,True,active,11,0,False,7,0,,,2020-08-20 23:43:50,2020
5,True,True,5,8,0,2020-08-20 23:27:00+00:00,True,active,13,1,False,8,0,,,2020-08-20 23:43:50,2020
6,True,True,2,9,0,2020-08-20 23:34:46+00:00,True,active,13,0,False,9,0,,,2020-08-20 23:43:50,2020
7,True,True,11,10,0,2020-08-20 23:27:55+00:00,True,active,0,0,False,10,0,,,2020-08-20 23:43:50,2020
8,True,True,15,11,0,2020-08-20 23:01:25+00:00,True,active,0,0,False,11,0,"{'dock_blocked_count': 0, 'valet_revision': 98, 'off_dock_count': 3, 'off_dock_capacity': 50, 'region': 'BOS', 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-20 23:43:50,2020
9,True,True,5,12,0,2020-08-20 23:40:40+00:00,True,active,11,2,True,12,0,,,2020-08-20 23:43:50,2020
10,True,True,19,13,0,2020-08-20 23:41:45+00:00,True,active,0,0,False,13,0,,,2020-08-20 23:43:50,2020
11,True,True,25,14,0,2020-08-20 23:36:10+00:00,True,active,0,0,False,14,0,,,2020-08-20 23:43:50,2020
12,True,True,4,15,0,2020-08-20 23:31:50+00:00,True,active,11,0,False,15,0,,,2020-08-20 23:43:50,2020
13,True,True,9,16,0,2020-08-20 23:40:19+00:00,True,active,10,0,True,16,0,,,2020-08-20 23:43:50,2020
14,True,True,9,17,0,2020-08-20 23:31:27+00:00,True,active,6,0,False,17,0,,,2020-08-20 23:43:50,2020
15,True,True,11,19,0,2020-08-20 23:41:11+00:00,True,active,4,0,False,19,0,,,2020-08-20 23:43:50,2020
16,True,True,14,20,0,2020-08-20 23:18:36+00:00,True,active,9,0,True,20,0,,,2020-08-20 23:43:50,2020
17,True,True,5,21,0,2020-08-20 23:36:23+00:00,True,active,13,0,True,21,0,,,2020-08-20 23:43:50,2020
18,True,True,42,22,0,2020-08-20 23:42:13+00:00,True,active,5,0,True,22,0,,,2020-08-20 23:43:50,2020
19,True,True,19,23,0,2020-08-20 23:32:49+00:00,True,active,2,0,False,23,0,,,2020-08-20 23:43:50,2020
20,True,True,0,24,0,2020-08-20 23:25:27+00:00,True,active,18,1,False,24,0,,,2020-08-20 23:43:50,2020
21,True,True,6,25,0,2020-08-20 23:32:34+00:00,True,active,8,1,False,25,0,,,2020-08-20 23:43:50,2020
22,True,True,4,26,0,2020-08-20 23:12:29+00:00,True,active,11,0,False,26,0,,,2020-08-20 23:43:50,2020
23,True,True,14,27,0,2020-08-20 23:36:55+00:00,True,active,5,4,False,27,0,,,2020-08-20 23:43:50,2020
24,True,True,11,29,0,2020-08-20 23:03:32+00:00,True,active,3,1,False,29,0,,,2020-08-20 23:43:50,2020
25,True,True,15,30,0,2020-08-20 23:41:26+00:00,True,active,0,0,False,30,0,,,2020-08-20 23:43:50,2020
26,True,True,9,31,0,2020-08-20 23:29:24+00:00,True,active,10,0,True,31,0,,,2020-08-20 23:43:50,2020
