,is_installed,is_returning,num_docks_available,legacy_id,num_docks_disabled,last_reported,is_renting,station_status,num_bikes_available,num_bikes_disabled,eightd_has_available_keys,station_id,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
0,True,True,14,3,0,2020-08-21 00:23:38+00:00,True,active,1,0,False,3,0,2020-08-21 00:24:40,2020
1,True,True,6,4,0,2020-08-21 00:24:25+00:00,True,active,13,0,False,4,0,2020-08-21 00:24:40,2020
2,True,True,9,5,0,2020-08-21 00:23:06+00:00,True,active,6,0,False,5,0,2020-08-21 00:24:40,2020
3,True,True,14,6,0,2020-08-21 00:07:28+00:00,True,active,1,0,False,6,0,2020-08-21 00:24:40,2020
4,True,True,8,7,0,2020-08-21 00:19:05+00:00,True,active,7,0,False,7,0,2020-08-21 00:24:40,2020
5,True,True,1,8,0,2020-08-21 00:17:40+00:00,True,active,17,1,False,8,0,2020-08-21 00:24:40,2020
6,True,True,1,9,0,2020-08-21 00:17:56+00:00,True,active,14,0,False,9,0,2020-08-21 00:24:40,2020
7,True,True,11,10,0,2020-08-20 23:27:55+00:00,True,active,0,0,False,10,0,2020-08-21 00:24:40,2020
8,True,True,14,11,0,2020-08-21 00:21:25+00:00,True,active,1,0,False,11,0,2020-08-21 00:24:40,2020
9,True,True,6,12,0,2020-08-21 00:22:56+00:00,True,active,10,2,True,12,0,2020-08-21 00:24:40,2020
10,True,True,19,13,0,2020-08-20 23:41:45+00:00,True,active,0,0,False,13,0,2020-08-21 00:24:40,2020
11,True,True,25,14,0,2020-08-20 23:51:37+00:00,True,active,0,0,False,14,0,2020-08-21 00:24:40,2020
12,True,True,2,15,0,2020-08-21 00:22:45+00:00,True,active,13,0,False,15,0,2020-08-21 00:24:40,2020
13,True,True,9,16,0,2020-08-20 23:40:19+00:00,True,active,10,0,True,16,0,2020-08-21 00:24:40,2020
14,True,True,9,17,0,2020-08-21 00:13:33+00:00,True,active,6,0,False,17,0,2020-08-21 00:24:40,2020
15,True,True,13,19,0,2020-08-21 00:18:58+00:00,True,active,2,0,False,19,0,2020-08-21 00:24:40,2020
16,True,True,10,20,0,2020-08-21 00:19:36+00:00,True,active,13,0,True,20,0,2020-08-21 00:24:40,2020
17,True,True,5,21,0,2020-08-21 00:21:39+00:00,True,active,13,0,True,21,0,2020-08-21 00:24:40,2020
18,True,True,43,22,0,2020-08-21 00:00:45+00:00,True,active,4,0,True,22,0,2020-08-21 00:24:40,2020
19,True,True,20,23,0,2020-08-20 23:46:58+00:00,True,active,1,0,False,23,0,2020-08-21 00:24:40,2020
20,True,True,2,24,0,2020-08-21 00:08:08+00:00,True,active,16,1,False,24,0,2020-08-21 00:24:40,2020
21,True,True,7,25,0,2020-08-21 00:11:36+00:00,True,active,7,1,False,25,0,2020-08-21 00:24:40,2020
22,True,True,4,26,0,2020-08-20 23:12:29+00:00,True,active,11,0,False,26,0,2020-08-21 00:24:40,2020
23,True,True,10,27,0,2020-08-21 00:15:09+00:00,True,active,9,4,False,27,0,2020-08-21 00:24:40,2020
24,True,True,11,29,0,2020-08-20 23:03:32+00:00,True,active,3,1,False,29,0,2020-08-21 00:24:40,2020
25,True,True,15,30,0,2020-08-21 00:21:13+00:00,True,active,0,0,False,30,0,2020-08-21 00:24:40,2020
26,True,True,10,31,0,2020-08-21 00:08:52+00:00,True,active,9,0,True,31,0,2020-08-21 00:24:40,2020
27,True,True,13,32,0,2020-08-21 00:19:01+00:00,True,active,2,0,False,32,0,2020-08-21 00:24:40,2020
28,True,True,14,33,0,2020-08-21 00:24:13+00:00,True,active,12,1,False,33,0,2020-08-21 00:24:40,2020
29,True,True,18,35,0,2020-08-21 00:24:32+00:00,True,active,5,0,False,35,0,2020-08-21 00:24:40,2020
30,True,True,22,36,0,2020-08-21 00:21:18+00:00,True,active,11,0,True,36,0,2020-08-21 00:24:40,2020
31,True,True,5,37,0,2020-08-21 00:17:51+00:00,True,active,10,0,True,37,0,2020-08-21 00:24:40,2020
32,True,True,16,39,0,2020-08-21 00:13:49+00:00,True,active,7,0,False,39,0,2020-08-21 00:24:40,2020
33,True,True,13,40,0,2020-08-21 00:22:05+00:00,True,active,6,0,False,40,0,2020-08-21 00:24:40,2020
34,True,True,7,41,0,2020-08-21 00:23:53+00:00,True,active,19,1,True,41,0,2020-08-21 00:24:40,2020
35,True,True,17,42,0,2020-08-21 00:20:43+00:00,True,active,5,1,False,42,0,2020-08-21 00:24:40,2020
36,True,True,9,43,0,2020-08-21 00:04:22+00:00,True,active,6,0,True,43,0,2020-08-21 00:24:40,2020
37,True,True,17,44,0,2020-08-20 23:42:44+00:00,True,active,6,0,False,44,0,2020-08-21 00:24:40,2020
38,True,True,11,46,0,2020-08-21 00:21:48+00:00,True,active,8,0,False,46,0,2020-08-21 00:24:40,2020
39,True,True,0,47,0,2020-08-21 00:11:34+00:00,True,active,19,0,True,47,0,2020-08-21 00:24:40,2020
40,True,True,15,48,0,2020-08-21 00:19:02+00:00,True,active,3,1,False,48,0,2020-08-21 00:24:40,2020
41,True,True,5,49,0,2020-08-21 00:17:36+00:00,True,active,13,0,False,49,0,2020-08-21 00:24:40,2020
42,True,True,7,50,0,2020-08-21 00:17:08+00:00,True,active,7,1,True,50,0,2020-08-21 00:24:40,2020
43,True,True,6,51,0,2020-08-21 00:09:34+00:00,True,active,9,0,False,51,0,2020-08-21 00:24:40,2020
44,True,True,19,52,0,2020-08-21 00:20:51+00:00,True,active,4,0,True,52,0,2020-08-21 00:24:40,2020
45,True,True,6,53,0,2020-08-21 00:20:26+00:00,True,active,13,0,False,53,0,2020-08-21 00:24:40,2020
46,True,True,14,54,0,2020-08-21 00:04:08+00:00,True,active,1,0,False,54,0,2020-08-21 00:24:40,2020
47,True,True,4,55,0,2020-08-21 00:06:45+00:00,True,active,11,0,False,55,0,2020-08-21 00:24:40,2020
48,True,True,11,56,0,2020-08-21 00:23:38+00:00,True,active,7,0,False,56,0,2020-08-21 00:24:40,2020
49,True,True,8,57,0,2020-08-21 00:21:16+00:00,True,active,6,0,True,57,0,2020-08-21 00:24:40,2020
50,True,True,15,58,0,2020-08-21 00:24:22+00:00,True,active,3,1,True,58,0,2020-08-21 00:24:40,2020
51,True,True,13,59,0,2020-08-21 00:22:48+00:00,True,active,6,0,True,59,0,2020-08-21 00:24:40,2020
52,True,True,3,60,0,2020-08-21 00:24:06+00:00,True,active,16,0,False,60,0,2020-08-21 00:24:40,2020
53,True,True,5,61,0,2020-08-21 00:18:18+00:00,True,active,14,0,False,61,0,2020-08-21 00:24:40,2020
54,True,True,10,63,0,2020-08-21 00:23:38+00:00,True,active,5,0,False,63,0,2020-08-21 00:24:40,2020
55,True,False,6,64,0,2020-08-20 23:52:06+00:00,False,active,13,0,False,64,0,2020-08-21 00:24:40,2020
56,True,True,22,65,0,2020-08-20 23:30:18+00:00,True,active,1,0,False,65,0,2020-08-21 00:24:40,2020
57,True,True,2,66,0,2020-08-21 00:11:35+00:00,True,active,13,0,False,66,0,2020-08-21 00:24:40,2020
58,True,True,15,67,0,2020-08-21 00:21:14+00:00,True,active,11,1,True,67,0,2020-08-21 00:24:40,2020
59,True,True,3,68,0,2020-08-21 00:23:54+00:00,True,active,16,0,True,68,0,2020-08-21 00:24:40,2020
60,True,True,6,69,0,2020-08-21 00:18:39+00:00,True,active,13,0,True,69,0,2020-08-21 00:24:40,2020
61,True,True,8,70,0,2020-08-21 00:16:37+00:00,True,active,14,1,False,70,0,2020-08-21 00:24:40,2020
62,True,True,5,71,0,2020-08-21 00:23:54+00:00,True,active,16,2,False,71,0,2020-08-21 00:24:40,2020
63,True,True,23,72,0,2020-08-21 00:12:13+00:00,True,active,0,0,False,72,0,2020-08-21 00:24:40,2020
64,True,True,11,73,0,2020-08-21 00:18:54+00:00,True,active,4,0,False,73,0,2020-08-21 00:24:40,2020
65,True,True,0,74,0,2020-08-21 00:18:58+00:00,True,active,17,2,True,74,0,2020-08-21 00:24:40,2020
66,True,True,8,75,0,2020-08-21 00:20:36+00:00,True,active,6,1,False,75,0,2020-08-21 00:24:40,2020
67,True,True,9,76,0,2020-08-21 00:20:19+00:00,True,active,8,0,False,76,0,2020-08-21 00:24:40,2020
68,True,True,14,77,0,2020-08-21 00:20:15+00:00,True,active,1,0,False,77,0,2020-08-21 00:24:40,2020
69,True,True,8,78,0,2020-08-20 23:50:25+00:00,True,active,11,0,False,78,0,2020-08-21 00:24:40,2020
70,True,True,6,79,0,2020-08-21 00:24:01+00:00,True,active,11,2,False,79,0,2020-08-21 00:24:40,2020
71,True,True,35,80,0,2020-08-20 23:59:55+00:00,True,active,0,0,False,80,0,2020-08-21 00:24:40,2020
72,True,True,2,81,0,2020-08-21 00:18:36+00:00,True,active,17,0,False,81,0,2020-08-21 00:24:40,2020
73,True,True,12,82,0,2020-08-21 00:06:19+00:00,True,active,3,0,False,82,0,2020-08-21 00:24:40,2020
74,True,True,8,84,0,2020-08-20 23:58:40+00:00,True,active,7,0,False,84,0,2020-08-21 00:24:40,2020
75,True,True,19,85,0,2020-08-20 22:29:05+00:00,True,active,0,0,False,85,0,2020-08-21 00:24:40,2020
76,True,True,18,86,0,2020-08-21 00:22:58+00:00,True,active,1,0,False,86,0,2020-08-21 00:24:40,2020
77,True,True,5,87,0,2020-08-21 00:24:31+00:00,True,active,9,1,False,87,0,2020-08-21 00:24:40,2020
78,True,True,8,89,0,2020-08-20 23:41:14+00:00,True,active,11,0,False,89,0,2020-08-21 00:24:40,2020
79,True,True,7,90,0,2020-08-21 00:16:25+00:00,True,active,12,0,False,90,0,2020-08-21 00:24:40,2020
80,True,True,16,91,0,2020-08-21 00:21:11+00:00,True,active,2,1,False,91,0,2020-08-21 00:24:40,2020
81,True,True,10,92,0,2020-08-21 00:18:38+00:00,True,active,8,1,False,92,0,2020-08-21 00:24:40,2020
82,True,True,2,93,0,2020-08-21 00:19:17+00:00,True,active,13,0,False,93,0,2020-08-21 00:24:40,2020
83,True,True,3,94,0,2020-08-20 23:47:12+00:00,True,active,7,1,False,94,0,2020-08-21 00:24:40,2020
84,True,True,6,95,0,2020-08-21 00:24:16+00:00,True,active,8,1,False,95,0,2020-08-21 00:24:40,2020
85,True,True,9,96,0,2020-08-21 00:11:52+00:00,True,active,10,0,False,96,0,2020-08-21 00:24:40,2020
86,True,True,10,97,0,2020-08-21 00:22:44+00:00,True,active,9,0,False,97,0,2020-08-21 00:24:40,2020
87,True,True,6,98,0,2020-08-21 00:20:25+00:00,True,active,17,0,False,98,0,2020-08-21 00:24:40,2020
88,True,True,1,99,0,2020-08-21 00:04:39+00:00,True,active,12,2,False,99,0,2020-08-21 00:24:40,2020
89,True,True,10,100,0,2020-08-21 00:14:26+00:00,True,active,14,1,True,100,0,2020-08-21 00:24:40,2020
90,True,True,7,101,0,2020-08-21 00:23:19+00:00,True,active,8,0,False,101,0,2020-08-21 00:24:40,2020
91,True,True,12,102,0,2020-08-21 00:16:40+00:00,True,active,3,0,False,102,0,2020-08-21 00:24:40,2020
92,True,True,1,103,0,2020-08-21 00:22:09+00:00,True,active,14,0,False,103,0,2020-08-21 00:24:40,2020
93,True,True,17,104,0,2020-08-20 23:47:17+00:00,True,active,2,0,False,104,0,2020-08-21 00:24:40,2020
94,True,True,11,105,0,2020-08-21 00:17:16+00:00,True,active,8,0,False,105,0,2020-08-21 00:24:40,2020
95,True,True,8,106,0,2020-08-20 22:38:04+00:00,True,active,7,0,False,106,0,2020-08-21 00:24:40,2020
96,True,True,19,107,0,2020-08-21 00:14:35+00:00,True,active,0,0,False,107,0,2020-08-21 00:24:40,2020
97,True,True,17,108,0,2020-08-21 00:13:23+00:00,True,active,0,0,False,108,0,2020-08-21 00:24:40,2020
98,True,True,33,109,0,2020-08-21 00:21:29+00:00,True,active,2,0,False,109,0,2020-08-21 00:24:40,2020
99,True,True,15,110,0,2020-08-21 00:03:41+00:00,True,active,0,0,False,110,0,2020-08-21 00:24:40,2020
100,True,True,9,111,0,2020-08-20 22:33:35+00:00,True,active,6,0,False,111,0,2020-08-21 00:24:40,2020
101,True,True,10,112,0,2020-08-21 00:00:06+00:00,True,active,5,0,False,112,0,2020-08-21 00:24:40,2020
102,True,True,13,113,0,2020-08-21 00:20:43+00:00,True,active,1,1,False,113,0,2020-08-21 00:24:40,2020
103,True,True,12,114,0,2020-08-20 23:59:45+00:00,True,active,3,0,False,114,0,2020-08-21 00:24:40,2020
104,True,True,7,115,0,2020-08-21 00:23:06+00:00,True,active,12,0,False,115,0,2020-08-21 00:24:40,2020
105,True,True,22,116,0,2020-08-21 00:19:10+00:00,True,active,1,0,False,116,0,2020-08-21 00:24:40,2020
106,True,True,17,117,0,2020-08-21 00:03:47+00:00,True,active,2,0,False,117,0,2020-08-21 00:24:40,2020
107,True,True,6,118,0,2020-08-21 00:20:48+00:00,True,active,11,2,False,118,0,2020-08-21 00:24:40,2020
108,True,True,13,119,0,2020-08-21 00:12:01+00:00,True,active,2,0,False,119,0,2020-08-21 00:24:40,2020
109,True,True,8,120,0,2020-08-21 00:24:07+00:00,True,active,6,1,False,120,0,2020-08-21 00:24:40,2020
110,True,True,2,121,0,2020-08-21 00:03:10+00:00,True,active,15,0,False,121,0,2020-08-21 00:24:40,2020
111,True,True,3,122,0,2020-08-21 00:07:49+00:00,True,active,11,1,False,122,0,2020-08-21 00:24:40,2020
112,True,True,14,124,0,2020-08-20 23:59:51+00:00,True,active,1,0,False,124,0,2020-08-21 00:24:40,2020
113,True,True,7,125,0,2020-08-21 00:16:54+00:00,True,active,7,1,False,125,0,2020-08-21 00:24:40,2020
114,True,True,1,126,0,2020-08-20 22:46:02+00:00,True,active,13,1,False,126,0,2020-08-21 00:24:40,2020
115,True,True,14,128,0,2020-08-20 23:59:48+00:00,True,active,5,0,False,128,0,2020-08-21 00:24:40,2020
116,True,True,15,129,0,2020-08-20 23:06:19+00:00,True,active,4,0,False,129,0,2020-08-21 00:24:40,2020
117,True,True,5,130,0,2020-08-20 23:16:03+00:00,True,active,10,0,False,130,0,2020-08-21 00:24:40,2020
118,True,True,10,131,0,2020-08-21 00:05:41+00:00,True,active,8,0,False,131,0,2020-08-21 00:24:40,2020
119,True,True,12,133,0,2020-08-21 00:04:30+00:00,True,active,10,1,False,133,0,2020-08-21 00:24:40,2020
120,True,True,17,135,0,2020-08-21 00:18:40+00:00,True,active,0,0,False,135,0,2020-08-21 00:24:40,2020
121,True,True,19,136,0,2020-08-20 21:34:48+00:00,True,active,0,0,False,136,0,2020-08-21 00:24:40,2020
122,True,True,9,137,0,2020-08-21 00:04:36+00:00,True,active,6,0,False,137,0,2020-08-21 00:24:40,2020
123,True,True,7,138,0,2020-08-20 23:37:51+00:00,True,active,6,2,False,138,0,2020-08-21 00:24:40,2020
124,True,True,9,139,0,2020-08-21 00:11:39+00:00,True,active,10,0,False,139,0,2020-08-21 00:24:40,2020
125,True,True,4,140,0,2020-08-21 00:12:27+00:00,True,active,13,0,False,140,0,2020-08-21 00:24:40,2020
126,True,True,12,141,0,2020-08-20 23:43:26+00:00,True,active,3,0,False,141,0,2020-08-21 00:24:40,2020
127,True,True,5,142,0,2020-08-21 00:03:59+00:00,True,active,18,0,False,142,0,2020-08-21 00:24:40,2020
128,True,True,11,143,0,2020-08-20 23:22:27+00:00,True,active,12,0,False,143,0,2020-08-21 00:24:40,2020
129,True,True,1,144,0,2020-08-21 00:23:51+00:00,True,active,18,0,False,144,0,2020-08-21 00:24:40,2020
130,True,True,6,145,0,2020-08-21 00:17:13+00:00,True,active,13,0,False,145,0,2020-08-21 00:24:40,2020
131,True,True,11,146,0,2020-08-21 00:21:19+00:00,True,active,8,0,False,146,0,2020-08-21 00:24:40,2020
132,True,True,12,149,0,2020-08-21 00:18:44+00:00,True,active,4,2,True,149,0,2020-08-21 00:24:40,2020
133,True,True,13,150,0,2020-08-21 00:07:25+00:00,True,active,6,0,False,150,0,2020-08-21 00:24:40,2020
134,True,True,13,151,0,2020-08-20 23:50:44+00:00,True,active,5,1,False,151,0,2020-08-21 00:24:40,2020
135,True,True,10,152,0,2020-08-21 00:23:52+00:00,True,active,4,1,True,152,0,2020-08-21 00:24:40,2020
136,True,True,8,156,0,2020-08-21 00:01:16+00:00,True,active,6,1,False,156,0,2020-08-21 00:24:40,2020
137,True,True,5,157,0,2020-08-21 00:19:21+00:00,True,active,9,1,False,157,0,2020-08-21 00:24:40,2020
138,True,True,11,159,0,2020-08-21 00:15:17+00:00,True,active,4,0,False,159,0,2020-08-21 00:24:40,2020
139,True,True,14,160,0,2020-08-20 23:58:00+00:00,True,active,0,0,True,160,0,2020-08-21 00:24:40,2020
140,True,True,2,161,0,2020-08-21 00:17:27+00:00,True,active,21,0,True,161,0,2020-08-21 00:24:40,2020
141,True,True,9,162,0,2020-08-20 19:32:17+00:00,True,active,6,0,False,162,0,2020-08-21 00:24:40,2020
142,True,True,6,163,0,2020-08-21 00:24:28+00:00,True,active,13,0,True,163,0,2020-08-21 00:24:40,2020
143,True,True,12,167,0,2020-08-21 00:13:50+00:00,True,active,3,0,False,167,0,2020-08-21 00:24:40,2020
144,True,True,11,169,0,2020-08-20 23:56:41+00:00,True,active,8,0,False,169,0,2020-08-21 00:24:40,2020
145,True,True,7,170,0,2020-08-20 23:12:03+00:00,True,active,7,0,True,170,0,2020-08-21 00:24:40,2020
146,True,True,12,171,0,2020-08-21 00:16:26+00:00,True,active,11,0,True,171,0,2020-08-21 00:24:40,2020
147,True,True,6,173,0,2020-08-20 23:37:36+00:00,True,active,8,0,True,173,0,2020-08-21 00:24:40,2020
148,True,True,10,174,0,2020-08-20 23:39:24+00:00,True,active,5,0,False,174,0,2020-08-21 00:24:40,2020
149,True,True,9,175,0,2020-08-21 00:12:27+00:00,True,active,6,2,True,175,0,2020-08-21 00:24:40,2020
150,True,True,3,176,0,2020-08-20 23:45:22+00:00,True,active,12,0,False,176,0,2020-08-21 00:24:40,2020
151,True,True,11,177,0,2020-08-21 00:03:43+00:00,True,active,7,1,False,177,0,2020-08-21 00:24:40,2020
152,True,True,13,178,0,2020-08-21 00:24:30+00:00,True,active,6,0,False,178,0,2020-08-21 00:24:40,2020
153,True,True,11,179,0,2020-08-21 00:13:15+00:00,True,active,14,0,False,179,0,2020-08-21 00:24:40,2020
154,True,True,3,180,0,2020-08-20 23:41:43+00:00,True,active,16,0,False,180,0,2020-08-21 00:24:40,2020
155,True,True,14,181,0,2020-08-21 00:03:53+00:00,True,active,5,0,False,181,0,2020-08-21 00:24:40,2020
156,True,True,16,182,0,2020-08-20 23:08:19+00:00,True,active,3,0,True,182,0,2020-08-21 00:24:40,2020
157,True,True,16,183,0,2020-08-20 23:54:45+00:00,True,active,3,0,False,183,0,2020-08-21 00:24:40,2020
158,True,True,16,184,0,2020-08-21 00:15:57+00:00,True,active,3,0,False,184,0,2020-08-21 00:24:40,2020
159,True,True,13,185,0,2020-08-20 23:52:46+00:00,True,active,2,0,False,185,0,2020-08-21 00:24:40,2020
160,True,True,14,186,0,2020-08-20 23:59:25+00:00,True,active,1,0,True,186,0,2020-08-21 00:24:40,2020
161,True,True,14,187,0,2020-08-20 23:49:25+00:00,True,active,1,0,False,187,0,2020-08-21 00:24:40,2020
162,True,True,1,188,0,2020-08-21 00:06:17+00:00,True,active,14,0,False,188,0,2020-08-21 00:24:40,2020
163,True,True,19,189,0,2020-08-21 00:14:06+00:00,True,active,3,1,True,189,0,2020-08-21 00:24:40,2020
164,True,True,36,190,0,2020-08-21 00:18:12+00:00,True,active,1,0,True,190,0,2020-08-21 00:24:40,2020
165,True,True,14,191,0,2020-08-21 00:07:21+00:00,True,active,1,0,False,191,0,2020-08-21 00:24:40,2020
166,True,True,12,192,0,2020-08-21 00:09:34+00:00,True,active,7,0,False,192,0,2020-08-21 00:24:40,2020
167,True,True,13,193,0,2020-08-21 00:12:23+00:00,True,active,2,0,True,193,0,2020-08-21 00:24:40,2020
168,True,True,17,194,0,2020-08-20 23:40:13+00:00,True,active,2,0,False,194,0,2020-08-21 00:24:40,2020
169,True,True,15,195,0,2020-08-21 00:02:40+00:00,True,active,8,0,False,195,0,2020-08-21 00:24:40,2020
170,True,True,8,196,0,2020-08-20 21:12:36+00:00,True,active,2,0,False,196,0,2020-08-21 00:24:40,2020
171,True,True,7,197,0,2020-08-21 00:07:51+00:00,True,active,7,1,False,197,0,2020-08-21 00:24:40,2020
172,True,True,6,199,0,2020-08-20 23:26:19+00:00,True,active,9,0,False,199,0,2020-08-21 00:24:40,2020
173,True,True,1,200,0,2020-08-20 23:55:16+00:00,True,active,18,0,False,200,0,2020-08-21 00:24:40,2020
174,True,True,12,201,0,2020-08-20 22:30:26+00:00,True,active,3,0,False,201,0,2020-08-21 00:24:40,2020
175,True,True,12,202,0,2020-08-20 22:22:54+00:00,True,active,3,0,False,202,0,2020-08-21 00:24:40,2020
176,True,True,9,203,0,2020-08-20 16:40:31+00:00,True,active,6,0,False,203,0,2020-08-21 00:24:40,2020
177,True,True,11,204,0,2020-08-20 23:52:23+00:00,True,active,3,1,False,204,0,2020-08-21 00:24:40,2020
178,True,True,11,205,0,2020-08-20 23:26:54+00:00,True,active,4,0,False,205,0,2020-08-21 00:24:40,2020
179,True,True,20,206,0,2020-08-20 23:59:10+00:00,True,active,3,0,True,206,0,2020-08-21 00:24:40,2020
180,True,True,4,208,0,2020-08-20 22:55:27+00:00,True,active,10,1,True,208,0,2020-08-21 00:24:40,2020
181,True,True,6,209,0,2020-08-21 00:02:31+00:00,True,active,8,1,False,209,0,2020-08-21 00:24:40,2020
182,True,True,14,210,0,2020-08-20 18:49:02+00:00,True,active,0,1,False,210,0,2020-08-21 00:24:40,2020
183,True,True,10,211,0,2020-08-21 00:03:31+00:00,True,active,9,0,False,211,0,2020-08-21 00:24:40,2020
184,True,True,30,212,0,2020-08-21 00:12:01+00:00,True,active,2,1,False,212,0,2020-08-21 00:24:40,2020
185,True,True,15,213,0,2020-08-20 23:52:59+00:00,True,active,1,0,True,213,0,2020-08-21 00:24:40,2020
186,True,True,14,214,0,2020-08-21 00:06:31+00:00,True,active,1,0,False,214,0,2020-08-21 00:24:40,2020
187,True,True,2,215,0,2020-08-20 23:54:59+00:00,True,active,10,3,False,215,0,2020-08-21 00:24:40,2020
188,True,True,8,216,0,2020-08-20 21:35:16+00:00,True,active,11,0,False,216,0,2020-08-21 00:24:40,2020
189,True,True,17,217,0,2020-08-21 00:21:56+00:00,True,active,1,1,False,217,0,2020-08-21 00:24:40,2020
190,True,True,5,218,0,2020-08-21 00:20:08+00:00,True,active,10,0,False,218,0,2020-08-21 00:24:40,2020
191,True,True,10,219,0,2020-08-20 21:16:00+00:00,True,active,5,0,False,219,0,2020-08-21 00:24:40,2020
192,True,True,9,221,0,2020-08-21 00:23:41+00:00,True,active,9,1,False,221,0,2020-08-21 00:24:40,2020
193,True,True,10,222,0,2020-08-20 23:47:37+00:00,True,active,4,0,True,222,0,2020-08-21 00:24:40,2020
194,True,True,5,224,0,2020-08-20 23:45:00+00:00,True,active,10,2,False,224,0,2020-08-21 00:24:40,2020
195,True,True,9,225,0,2020-08-21 00:24:28+00:00,True,active,10,0,False,225,0,2020-08-21 00:24:40,2020
196,True,True,0,226,0,2020-08-21 00:19:22+00:00,True,active,15,0,False,226,0,2020-08-21 00:24:40,2020
197,True,True,13,227,0,2020-08-21 00:19:43+00:00,True,active,6,0,False,227,0,2020-08-21 00:24:40,2020
198,True,True,10,228,0,2020-08-21 00:15:21+00:00,True,active,9,0,False,228,0,2020-08-21 00:24:40,2020
199,True,True,10,232,0,2020-08-20 22:50:01+00:00,True,active,1,0,False,232,0,2020-08-21 00:24:40,2020
200,True,True,0,233,0,2020-08-21 00:09:32+00:00,True,active,15,0,False,233,0,2020-08-21 00:24:40,2020
201,True,True,10,234,0,2020-08-20 22:55:09+00:00,True,active,5,0,False,234,0,2020-08-21 00:24:40,2020
202,True,True,10,235,0,2020-08-21 00:22:01+00:00,True,active,5,0,False,235,0,2020-08-21 00:24:40,2020
203,True,True,2,236,0,2020-08-21 00:21:51+00:00,True,active,13,0,False,236,0,2020-08-21 00:24:40,2020
204,True,True,8,239,0,2020-08-21 00:05:51+00:00,True,active,6,1,False,239,0,2020-08-21 00:24:40,2020
205,True,True,9,255,0,2020-08-19 14:52:54+00:00,True,active,6,0,False,255,0,2020-08-21 00:24:40,2020
206,True,True,4,258,0,2020-08-21 00:18:57+00:00,True,active,11,0,False,258,0,2020-08-21 00:24:40,2020
207,True,True,6,259,0,2020-08-20 08:49:49+00:00,True,active,9,0,False,259,0,2020-08-21 00:24:40,2020
208,True,True,10,260,0,2020-08-20 21:42:06+00:00,True,active,5,0,False,260,0,2020-08-21 00:24:40,2020
209,True,True,5,271,0,2020-08-20 22:50:38+00:00,True,active,10,0,False,271,0,2020-08-21 00:24:40,2020
210,True,True,11,272,0,2020-08-20 23:54:34+00:00,True,active,8,0,False,272,0,2020-08-21 00:24:40,2020
211,True,True,9,273,0,2020-08-21 00:20:21+00:00,True,active,31,0,False,273,0,2020-08-21 00:24:40,2020
212,True,True,0,279,0,2020-08-20 23:20:52+00:00,True,active,19,0,False,279,0,2020-08-21 00:24:40,2020
213,True,True,2,280,0,2020-08-20 22:45:17+00:00,True,active,17,0,False,280,0,2020-08-21 00:24:40,2020
214,True,True,3,282,0,2020-08-20 23:48:50+00:00,True,active,11,1,False,282,0,2020-08-21 00:24:40,2020
215,True,True,17,296,0,2020-08-20 23:59:52+00:00,True,active,5,1,False,296,0,2020-08-21 00:24:40,2020
