,is_installed,station_status,last_reported,legacy_id,num_ebikes_available,is_returning,num_bikes_available,num_docks_available,num_bikes_disabled,eightd_has_available_keys,num_docks_disabled,is_renting,station_id,timestamp_of_data_read_request,year_station_last_reported
0,True,active,2020-08-21 03:06:42+00:00,3,0,True,3,12,0,False,0,True,3,2020-08-21 03:31:00,2020
1,True,active,2020-08-21 03:10:35+00:00,4,0,True,15,4,0,False,0,True,4,2020-08-21 03:31:00,2020
2,True,active,2020-08-21 03:22:23+00:00,5,0,True,7,8,0,False,0,True,5,2020-08-21 03:31:00,2020
3,True,active,2020-08-21 03:20:30+00:00,6,0,True,6,9,0,False,0,True,6,2020-08-21 03:31:00,2020
4,True,active,2020-08-21 03:27:33+00:00,7,0,True,2,13,0,False,0,True,7,2020-08-21 03:31:00,2020
5,True,active,2020-08-21 03:13:39+00:00,8,0,True,18,0,1,False,0,True,8,2020-08-21 03:31:00,2020
6,True,active,2020-08-21 03:27:01+00:00,9,0,True,14,1,0,False,0,True,9,2020-08-21 03:31:00,2020
7,True,active,2020-08-20 23:27:55+00:00,10,0,True,0,11,0,False,0,True,10,2020-08-21 03:31:00,2020
8,True,active,2020-08-21 03:19:12+00:00,11,0,True,0,15,0,False,0,True,11,2020-08-21 03:31:00,2020
9,True,active,2020-08-21 03:07:44+00:00,12,0,True,9,9,0,True,0,True,12,2020-08-21 03:31:00,2020
10,True,active,2020-08-21 02:41:00+00:00,13,0,True,2,17,0,False,0,True,13,2020-08-21 03:31:00,2020
11,True,active,2020-08-21 03:28:31+00:00,14,0,True,4,21,0,False,0,True,14,2020-08-21 03:31:00,2020
12,True,active,2020-08-21 02:28:13+00:00,15,0,True,14,1,0,False,0,True,15,2020-08-21 03:31:00,2020
13,True,active,2020-08-21 02:49:28+00:00,16,0,True,5,14,0,True,0,True,16,2020-08-21 03:31:00,2020
14,True,active,2020-08-21 02:22:16+00:00,17,0,True,3,12,0,False,0,True,17,2020-08-21 03:31:00,2020
15,True,active,2020-08-21 02:10:18+00:00,19,0,True,3,12,0,False,0,True,19,2020-08-21 03:31:00,2020
16,True,active,2020-08-21 03:29:55+00:00,20,0,True,13,10,0,True,0,True,20,2020-08-21 03:31:00,2020
17,True,active,2020-08-21 02:45:57+00:00,21,0,True,15,3,0,True,0,True,21,2020-08-21 03:31:00,2020
18,True,active,2020-08-21 03:18:40+00:00,22,0,True,1,46,0,True,0,True,22,2020-08-21 03:31:00,2020
19,True,active,2020-08-21 03:16:49+00:00,23,0,True,0,21,0,False,0,True,23,2020-08-21 03:31:00,2020
20,True,active,2020-08-21 03:24:45+00:00,24,0,True,4,14,1,False,0,True,24,2020-08-21 03:31:00,2020
21,True,active,2020-08-21 03:19:00+00:00,25,0,True,10,5,0,False,0,True,25,2020-08-21 03:31:00,2020
22,True,active,2020-08-21 02:37:38+00:00,26,0,True,14,1,0,False,0,True,26,2020-08-21 03:31:00,2020
23,True,active,2020-08-21 03:12:32+00:00,27,0,True,16,3,4,False,0,True,27,2020-08-21 03:31:00,2020
24,True,active,2020-08-21 02:26:18+00:00,29,0,True,2,12,1,False,0,True,29,2020-08-21 03:31:00,2020
25,True,active,2020-08-21 02:43:37+00:00,30,0,True,12,3,0,False,0,True,30,2020-08-21 03:31:00,2020
26,True,active,2020-08-21 03:11:44+00:00,31,0,True,2,17,0,True,0,True,31,2020-08-21 03:31:00,2020
27,True,active,2020-08-21 03:18:43+00:00,32,0,True,1,14,0,False,0,True,32,2020-08-21 03:31:00,2020
28,True,active,2020-08-21 03:10:48+00:00,33,0,True,13,13,1,False,0,True,33,2020-08-21 03:31:00,2020
29,True,active,2020-08-21 03:12:00+00:00,35,0,True,6,17,0,False,0,True,35,2020-08-21 03:31:00,2020
30,True,active,2020-08-21 02:17:38+00:00,36,0,True,13,20,0,True,0,True,36,2020-08-21 03:31:00,2020
31,True,active,2020-08-21 02:25:48+00:00,37,0,True,8,7,0,True,0,True,37,2020-08-21 03:31:00,2020
32,True,active,2020-08-21 03:00:41+00:00,39,0,True,11,12,0,False,0,True,39,2020-08-21 03:31:00,2020
33,True,active,2020-08-21 03:18:46+00:00,40,0,True,19,0,0,False,0,True,40,2020-08-21 03:31:00,2020
34,True,active,2020-08-21 03:27:07+00:00,41,0,True,19,7,1,True,0,True,41,2020-08-21 03:31:00,2020
35,True,active,2020-08-21 01:27:58+00:00,42,0,True,5,17,1,False,0,True,42,2020-08-21 03:31:00,2020
36,True,active,2020-08-21 02:20:14+00:00,43,0,True,1,14,0,True,0,True,43,2020-08-21 03:31:00,2020
37,True,active,2020-08-21 02:47:24+00:00,44,0,True,7,16,0,False,0,True,44,2020-08-21 03:31:00,2020
38,True,active,2020-08-21 03:26:53+00:00,46,0,True,14,5,0,False,0,True,46,2020-08-21 03:31:00,2020
39,True,active,2020-08-21 03:03:22+00:00,47,0,True,10,9,0,True,0,True,47,2020-08-21 03:31:00,2020
40,True,active,2020-08-21 01:44:26+00:00,48,0,True,6,12,1,False,0,True,48,2020-08-21 03:31:00,2020
41,True,active,2020-08-21 02:33:31+00:00,49,0,True,15,3,0,False,0,True,49,2020-08-21 03:31:00,2020
42,True,active,2020-08-21 02:53:04+00:00,50,0,True,7,7,1,True,0,True,50,2020-08-21 03:31:00,2020
43,True,active,2020-08-21 02:36:54+00:00,51,0,True,12,3,0,False,0,True,51,2020-08-21 03:31:00,2020
44,True,active,2020-08-21 03:25:30+00:00,52,0,True,5,18,0,True,0,True,52,2020-08-21 03:31:00,2020
45,True,active,2020-08-21 03:24:57+00:00,53,0,True,17,2,0,False,0,True,53,2020-08-21 03:31:00,2020
46,True,active,2020-08-21 02:50:32+00:00,54,0,True,4,11,0,False,0,True,54,2020-08-21 03:31:00,2020
47,True,active,2020-08-21 02:46:35+00:00,55,0,True,12,3,0,False,0,True,55,2020-08-21 03:31:00,2020
48,True,active,2020-08-21 02:04:59+00:00,56,0,True,6,12,0,False,0,True,56,2020-08-21 03:31:00,2020
49,True,active,2020-08-21 01:58:38+00:00,57,0,True,8,6,0,True,0,True,57,2020-08-21 03:31:00,2020
50,True,active,2020-08-21 03:12:40+00:00,58,0,True,2,16,1,True,0,True,58,2020-08-21 03:31:00,2020
51,True,active,2020-08-21 02:26:22+00:00,59,0,True,8,11,0,True,0,True,59,2020-08-21 03:31:00,2020
52,True,active,2020-08-21 03:29:25+00:00,60,0,True,9,10,0,False,0,True,60,2020-08-21 03:31:00,2020
53,True,active,2020-08-21 03:19:29+00:00,61,0,True,13,6,0,False,0,True,61,2020-08-21 03:31:00,2020
54,True,active,2020-08-21 02:19:42+00:00,63,0,True,8,7,0,False,0,True,63,2020-08-21 03:31:00,2020
55,True,active,2020-08-20 23:52:06+00:00,64,0,False,13,6,0,False,0,False,64,2020-08-21 03:31:00,2020
56,True,active,2020-08-21 02:12:12+00:00,65,0,True,0,23,0,False,0,True,65,2020-08-21 03:31:00,2020
57,True,active,2020-08-21 02:36:08+00:00,66,0,True,15,0,0,False,0,True,66,2020-08-21 03:31:00,2020
58,True,active,2020-08-21 03:24:05+00:00,67,0,True,2,24,1,True,0,True,67,2020-08-21 03:31:00,2020
59,True,active,2020-08-21 03:18:22+00:00,68,0,True,5,14,0,True,0,True,68,2020-08-21 03:31:00,2020
60,True,active,2020-08-21 02:02:11+00:00,69,0,True,19,0,0,True,0,True,69,2020-08-21 03:31:00,2020
61,True,active,2020-08-21 03:18:48+00:00,70,0,True,7,15,1,False,0,True,70,2020-08-21 03:31:00,2020
62,True,active,2020-08-21 03:28:25+00:00,71,0,True,16,6,1,False,0,True,71,2020-08-21 03:31:00,2020
63,True,active,2020-08-21 00:12:13+00:00,72,0,True,0,23,0,False,0,True,72,2020-08-21 03:31:00,2020
64,True,active,2020-08-21 02:18:18+00:00,73,0,True,2,13,0,False,0,True,73,2020-08-21 03:31:00,2020
65,True,active,2020-08-21 03:09:56+00:00,74,0,True,11,7,1,True,0,True,74,2020-08-21 03:31:00,2020
66,True,active,2020-08-21 03:04:46+00:00,75,0,True,4,11,0,False,0,True,75,2020-08-21 03:31:00,2020
67,True,active,2020-08-21 03:27:29+00:00,76,0,True,13,3,1,False,0,True,76,2020-08-21 03:31:00,2020
68,True,active,2020-08-21 02:22:01+00:00,77,0,True,4,11,0,False,0,True,77,2020-08-21 03:31:00,2020
69,True,active,2020-08-21 03:13:45+00:00,78,0,True,11,7,1,False,0,True,78,2020-08-21 03:31:00,2020
70,True,active,2020-08-21 03:22:43+00:00,79,0,True,17,1,1,False,0,True,79,2020-08-21 03:31:00,2020
71,True,active,2020-08-21 03:25:00+00:00,80,0,True,0,35,0,False,0,True,80,2020-08-21 03:31:00,2020
72,True,active,2020-08-21 03:03:13+00:00,81,0,True,16,2,1,False,0,True,81,2020-08-21 03:31:00,2020
73,True,active,2020-08-21 02:10:00+00:00,82,0,True,1,14,0,False,0,True,82,2020-08-21 03:31:00,2020
74,True,active,2020-08-21 02:28:52+00:00,84,0,True,9,6,0,False,0,True,84,2020-08-21 03:31:00,2020
75,True,active,2020-08-21 02:21:56+00:00,85,0,True,1,18,0,False,0,True,85,2020-08-21 03:31:00,2020
76,True,active,2020-08-21 02:48:42+00:00,86,0,True,1,18,0,False,0,True,86,2020-08-21 03:31:00,2020
77,True,active,2020-08-21 03:15:43+00:00,87,0,True,9,5,1,False,0,True,87,2020-08-21 03:31:00,2020
78,True,active,2020-08-21 02:38:22+00:00,89,0,True,14,5,0,False,0,True,89,2020-08-21 03:31:00,2020
79,True,active,2020-08-21 02:55:35+00:00,90,0,True,9,10,0,False,0,True,90,2020-08-21 03:31:00,2020
80,True,active,2020-08-21 02:59:47+00:00,91,0,True,0,19,0,False,0,True,91,2020-08-21 03:31:00,2020
81,True,active,2020-08-21 00:18:38+00:00,92,0,True,8,10,1,False,0,True,92,2020-08-21 03:31:00,2020
82,True,active,2020-08-21 01:06:28+00:00,93,0,True,7,8,0,False,0,True,93,2020-08-21 03:31:00,2020
83,True,active,2020-08-21 02:01:19+00:00,94,0,True,10,0,1,False,0,True,94,2020-08-21 03:31:00,2020
84,True,active,2020-08-21 03:06:25+00:00,95,0,True,8,7,0,False,0,True,95,2020-08-21 03:31:00,2020
85,True,active,2020-08-21 02:42:21+00:00,96,0,True,12,7,0,False,0,True,96,2020-08-21 03:31:00,2020
86,True,active,2020-08-21 02:37:01+00:00,97,0,True,14,5,0,False,0,True,97,2020-08-21 03:31:00,2020
87,True,active,2020-08-21 02:53:34+00:00,98,0,True,15,8,0,False,0,True,98,2020-08-21 03:31:00,2020
88,True,active,2020-08-21 03:22:20+00:00,99,0,True,13,2,0,False,0,True,99,2020-08-21 03:31:00,2020
89,True,active,2020-08-21 02:41:07+00:00,100,0,True,14,10,1,True,0,True,100,2020-08-21 03:31:00,2020
90,True,active,2020-08-21 00:23:19+00:00,101,0,True,8,7,0,False,0,True,101,2020-08-21 03:31:00,2020
91,True,active,2020-08-21 02:18:26+00:00,102,0,True,4,11,0,False,0,True,102,2020-08-21 03:31:00,2020
92,True,active,2020-08-21 01:01:01+00:00,103,0,True,15,0,0,False,0,True,103,2020-08-21 03:31:00,2020
93,True,active,2020-08-21 02:50:06+00:00,104,0,True,11,8,0,False,0,True,104,2020-08-21 03:31:00,2020
94,True,active,2020-08-21 02:58:51+00:00,105,0,True,0,19,0,False,0,True,105,2020-08-21 03:31:00,2020
95,True,active,2020-08-20 22:38:04+00:00,106,0,True,7,8,0,False,0,True,106,2020-08-21 03:31:00,2020
96,True,active,2020-08-21 03:10:42+00:00,107,0,True,2,17,0,False,0,True,107,2020-08-21 03:31:00,2020
97,True,active,2020-08-21 01:52:56+00:00,108,0,True,1,16,0,False,0,True,108,2020-08-21 03:31:00,2020
98,True,active,2020-08-21 02:08:03+00:00,109,0,True,2,33,0,False,0,True,109,2020-08-21 03:31:00,2020
99,True,active,2020-08-21 02:56:01+00:00,110,0,True,2,12,1,False,0,True,110,2020-08-21 03:31:00,2020
100,True,active,2020-08-21 02:30:42+00:00,111,0,True,4,11,0,False,0,True,111,2020-08-21 03:31:00,2020
101,True,active,2020-08-21 00:43:43+00:00,112,0,True,4,11,0,False,0,True,112,2020-08-21 03:31:00,2020
102,True,active,2020-08-21 03:09:04+00:00,113,0,True,8,6,1,False,0,True,113,2020-08-21 03:31:00,2020
