,is_renting,last_reported,station_status,legacy_id,num_bikes_disabled,station_id,num_bikes_available,num_ebikes_available,is_installed,num_docks_disabled,is_returning,num_docks_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,2020-08-21 17:29:57+00:00,active,3,0,3,12,0,True,0,True,3,False,,,2020-08-21 17:43:55,2020
1,True,2020-08-21 17:28:40+00:00,active,4,0,4,12,0,True,0,True,7,False,,,2020-08-21 17:43:55,2020
2,True,2020-08-21 17:28:28+00:00,active,5,0,5,2,0,True,0,True,13,False,,,2020-08-21 17:43:55,2020
3,True,2020-08-21 17:16:04+00:00,active,6,2,6,5,0,True,0,True,8,False,,,2020-08-21 17:43:55,2020
4,True,2020-08-21 17:22:36+00:00,active,7,0,7,1,0,True,0,True,14,False,,,2020-08-21 17:43:55,2020
5,True,2020-08-21 17:38:50+00:00,active,8,1,8,4,0,True,0,True,14,False,,,2020-08-21 17:43:55,2020
6,True,2020-08-21 17:36:37+00:00,active,9,0,9,7,0,True,0,True,8,False,,,2020-08-21 17:43:55,2020
7,True,2020-08-21 17:04:49+00:00,active,10,0,10,5,0,True,0,True,6,False,,,2020-08-21 17:43:55,2020
8,True,2020-08-21 17:42:43+00:00,active,11,0,11,12,0,True,0,True,3,False,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 100, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'off_dock_count': 71, 'region': 'BOS', 'active': True, 'dock_blocked_count': 0}",2020-08-21 17:43:55,2020
9,True,2020-08-21 17:16:46+00:00,active,12,0,12,18,0,True,0,True,0,True,,,2020-08-21 17:43:55,2020
10,True,2020-08-21 17:32:11+00:00,active,13,0,13,13,0,True,0,True,6,False,,,2020-08-21 17:43:55,2020
11,True,2020-08-21 16:53:21+00:00,active,14,1,14,24,0,True,0,True,0,False,,,2020-08-21 17:43:55,2020
12,True,2020-08-21 16:35:09+00:00,active,15,0,15,14,0,True,0,True,1,False,,,2020-08-21 17:43:55,2020
13,True,2020-08-21 17:14:17+00:00,active,16,0,16,3,0,True,0,True,16,True,,,2020-08-21 17:43:55,2020
14,True,2020-08-21 17:36:42+00:00,active,17,0,17,2,0,True,0,True,13,False,,,2020-08-21 17:43:55,2020
15,True,2020-08-21 16:32:14+00:00,active,19,0,19,0,0,True,0,True,15,False,,,2020-08-21 17:43:55,2020
