,is_returning,station_status,station_id,num_docks_disabled,num_ebikes_available,num_docks_available,is_installed,last_reported,eightd_has_available_keys,num_bikes_disabled,num_bikes_available,legacy_id,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,active,3,0,0,0,True,2020-08-21 19:39:14+00:00,False,0,15,3,True,,,2020-08-21 19:56:40,2020
1,True,active,4,0,0,8,True,2020-08-21 18:32:18+00:00,False,0,11,4,True,,,2020-08-21 19:56:40,2020
2,True,active,5,0,0,8,True,2020-08-21 19:50:45+00:00,False,0,7,5,True,,,2020-08-21 19:56:40,2020
3,True,active,6,0,0,7,True,2020-08-21 19:54:51+00:00,False,2,6,6,True,,,2020-08-21 19:56:40,2020
4,True,active,7,0,0,14,True,2020-08-21 19:23:17+00:00,False,0,1,7,True,,,2020-08-21 19:56:40,2020
5,True,active,8,0,0,13,True,2020-08-21 19:40:46+00:00,False,2,4,8,True,,,2020-08-21 19:56:40,2020
6,True,active,9,0,0,14,True,2020-08-21 19:39:00+00:00,False,1,0,9,True,,,2020-08-21 19:56:40,2020
7,True,active,10,0,0,9,True,2020-08-21 19:22:26+00:00,False,0,2,10,True,,,2020-08-21 19:56:40,2020
8,True,active,11,0,0,6,True,2020-08-21 19:56:13+00:00,False,0,9,11,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'valet_revision': 100, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'off_dock_capacity': 50, 'off_dock_count': 65, 'dock_blocked_count': 0}",2020-08-21 19:56:40,2020
9,True,active,12,0,0,5,True,2020-08-21 19:43:59+00:00,True,1,12,12,True,,,2020-08-21 19:56:40,2020
10,True,active,13,0,0,8,True,2020-08-21 19:44:28+00:00,False,0,11,13,True,,,2020-08-21 19:56:40,2020
11,True,active,14,0,0,5,True,2020-08-21 19:52:49+00:00,False,2,18,14,True,,,2020-08-21 19:56:40,2020
12,True,active,15,0,0,4,True,2020-08-21 19:25:42+00:00,False,0,11,15,True,,,2020-08-21 19:56:40,2020
13,True,active,16,0,0,10,True,2020-08-21 19:31:58+00:00,True,0,9,16,True,,,2020-08-21 19:56:40,2020
14,True,active,17,0,0,14,True,2020-08-21 19:48:04+00:00,False,0,1,17,True,,,2020-08-21 19:56:40,2020
15,True,active,19,0,0,14,True,2020-08-21 19:52:52+00:00,False,0,1,19,True,,,2020-08-21 19:56:40,2020
16,True,active,20,0,0,0,True,2020-08-21 19:50:44+00:00,True,0,23,20,True,,,2020-08-21 19:56:40,2020
17,True,active,21,0,0,9,True,2020-08-21 19:18:19+00:00,True,0,9,21,True,,,2020-08-21 19:56:40,2020
18,True,active,22,0,0,33,True,2020-08-21 19:48:18+00:00,True,1,13,22,True,,,2020-08-21 19:56:40,2020
19,True,active,23,0,0,2,True,2020-08-21 19:55:18+00:00,False,0,19,23,True,,,2020-08-21 19:56:40,2020
20,True,active,24,0,0,10,True,2020-08-21 19:52:50+00:00,False,1,8,24,True,,,2020-08-21 19:56:40,2020
21,True,active,25,0,0,11,True,2020-08-21 19:40:19+00:00,False,0,4,25,True,,,2020-08-21 19:56:40,2020
22,True,active,26,0,0,5,True,2020-08-21 19:51:36+00:00,False,0,10,26,True,,,2020-08-21 19:56:40,2020
23,True,active,27,0,0,14,True,2020-08-21 19:55:23+00:00,False,0,9,27,True,,,2020-08-21 19:56:40,2020
24,True,active,29,0,0,11,True,2020-08-21 18:41:14+00:00,False,0,4,29,True,,,2020-08-21 19:56:40,2020
25,True,active,30,0,0,1,True,2020-08-21 19:24:41+00:00,False,0,14,30,True,,,2020-08-21 19:56:40,2020
26,True,active,31,0,0,19,True,2020-08-21 19:41:29+00:00,True,0,0,31,True,,,2020-08-21 19:56:40,2020
27,True,active,32,0,0,9,True,2020-08-21 19:42:07+00:00,False,1,5,32,True,,,2020-08-21 19:56:40,2020
28,True,active,33,0,0,15,True,2020-08-21 19:53:18+00:00,True,0,12,33,True,,,2020-08-21 19:56:40,2020
29,True,active,35,0,0,12,True,2020-08-21 19:55:15+00:00,False,0,11,35,True,,,2020-08-21 19:56:40,2020
30,True,active,36,0,0,12,True,2020-08-21 19:55:58+00:00,True,0,21,36,True,,,2020-08-21 19:56:40,2020
31,True,active,37,0,0,9,True,2020-08-21 19:30:31+00:00,True,0,6,37,True,,,2020-08-21 19:56:40,2020
32,True,active,39,0,0,17,True,2020-08-21 19:55:31+00:00,False,0,6,39,True,,,2020-08-21 19:56:40,2020
33,True,active,40,0,0,11,True,2020-08-21 19:43:46+00:00,False,2,6,40,True,,,2020-08-21 19:56:40,2020
34,True,active,41,0,0,16,True,2020-08-21 19:37:13+00:00,True,1,10,41,True,,,2020-08-21 19:56:40,2020
35,True,active,42,0,0,14,True,2020-08-21 19:47:27+00:00,False,0,9,42,True,,,2020-08-21 19:56:40,2020
36,True,active,43,0,0,12,True,2020-08-21 19:30:02+00:00,True,0,3,43,True,,,2020-08-21 19:56:40,2020
37,True,active,44,0,0,10,True,2020-08-21 19:56:28+00:00,False,0,13,44,True,,,2020-08-21 19:56:40,2020
38,True,active,46,0,0,2,True,2020-08-21 19:54:24+00:00,False,0,17,46,True,,,2020-08-21 19:56:40,2020
39,True,active,47,0,0,14,True,2020-08-21 19:50:34+00:00,True,0,5,47,True,,,2020-08-21 19:56:40,2020
40,True,active,48,0,0,5,True,2020-08-21 19:50:20+00:00,False,0,14,48,True,,,2020-08-21 19:56:40,2020
41,True,active,49,0,0,1,True,2020-08-21 19:51:41+00:00,False,1,16,49,True,,,2020-08-21 19:56:40,2020
42,True,active,50,0,0,1,True,2020-08-21 19:48:26+00:00,True,1,13,50,True,,,2020-08-21 19:56:40,2020
43,True,active,51,0,0,10,True,2020-08-21 19:53:34+00:00,False,1,4,51,True,,,2020-08-21 19:56:40,2020
44,True,active,52,0,0,15,True,2020-08-21 19:47:07+00:00,True,1,7,52,True,,,2020-08-21 19:56:40,2020
45,True,active,53,0,0,9,True,2020-08-21 19:48:44+00:00,False,0,10,53,True,,,2020-08-21 19:56:40,2020
46,True,active,54,0,0,9,True,2020-08-21 19:43:46+00:00,False,0,6,54,True,,,2020-08-21 19:56:40,2020
47,True,active,55,0,0,4,True,2020-08-21 19:56:20+00:00,False,0,11,55,True,,,2020-08-21 19:56:40,2020
48,True,active,56,0,0,10,True,2020-08-21 19:17:24+00:00,True,0,8,56,True,,,2020-08-21 19:56:40,2020
49,True,active,57,0,0,6,True,2020-08-21 19:52:36+00:00,True,1,7,57,True,,,2020-08-21 19:56:40,2020
50,True,active,58,0,0,15,True,2020-08-21 19:55:53+00:00,True,1,3,58,True,,,2020-08-21 19:56:40,2020
51,True,active,59,0,0,18,True,2020-08-21 19:40:46+00:00,True,0,1,59,True,,,2020-08-21 19:56:40,2020
52,True,active,60,0,0,18,True,2020-08-21 19:56:07+00:00,False,0,1,60,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'valet_revision': 89, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'off_dock_capacity': 40, 'off_dock_count': 31, 'dock_blocked_count': 0}",2020-08-21 19:56:40,2020
53,True,active,61,0,0,6,True,2020-08-21 19:56:22+00:00,False,0,13,61,True,,,2020-08-21 19:56:40,2020
54,True,active,63,0,0,13,True,2020-08-21 19:27:57+00:00,False,0,2,63,True,,,2020-08-21 19:56:40,2020
55,False,active,64,0,0,4,True,2020-08-21 18:59:24+00:00,False,0,15,64,False,,,2020-08-21 19:56:40,2020
56,True,active,65,0,0,12,True,2020-08-21 19:56:01+00:00,False,0,11,65,True,,,2020-08-21 19:56:40,2020
57,True,active,66,0,0,15,True,2020-08-21 19:33:46+00:00,False,0,0,66,True,,,2020-08-21 19:56:40,2020
58,True,active,67,0,0,20,True,2020-08-21 19:55:33+00:00,True,0,7,67,True,,,2020-08-21 19:56:40,2020
59,True,active,68,0,0,5,True,2020-08-21 19:53:35+00:00,True,1,13,68,True,,,2020-08-21 19:56:40,2020
60,True,active,69,0,0,5,True,2020-08-21 19:55:49+00:00,True,0,14,69,True,,,2020-08-21 19:56:40,2020
61,True,active,70,0,0,3,True,2020-08-21 19:40:43+00:00,False,0,20,70,True,,,2020-08-21 19:56:40,2020
62,True,active,71,0,0,7,True,2020-08-21 19:41:36+00:00,False,1,15,71,True,,,2020-08-21 19:56:40,2020
63,True,active,72,0,0,21,True,2020-08-21 19:42:20+00:00,False,0,2,72,True,,,2020-08-21 19:56:40,2020
64,True,active,73,0,0,0,True,2020-08-21 19:38:23+00:00,False,0,15,73,True,,,2020-08-21 19:56:40,2020
65,True,active,74,0,0,3,True,2020-08-21 19:55:03+00:00,True,0,16,74,True,,,2020-08-21 19:56:40,2020
66,True,active,75,0,0,11,True,2020-08-21 19:48:57+00:00,False,0,4,75,True,,,2020-08-21 19:56:40,2020
67,True,active,76,0,0,15,True,2020-08-21 19:48:21+00:00,False,0,2,76,True,,,2020-08-21 19:56:40,2020
68,True,active,77,0,0,15,True,2020-08-21 19:15:05+00:00,False,0,0,77,True,,,2020-08-21 19:56:40,2020
69,True,active,78,0,0,1,True,2020-08-21 19:52:42+00:00,False,0,18,78,True,,,2020-08-21 19:56:40,2020
70,True,active,79,0,0,16,True,2020-08-21 19:53:12+00:00,False,1,2,79,True,,,2020-08-21 19:56:40,2020
71,True,active,80,0,0,2,True,2020-08-21 19:54:43+00:00,False,2,31,80,True,,,2020-08-21 19:56:40,2020
72,True,active,81,0,0,9,True,2020-08-21 19:54:34+00:00,False,0,10,81,True,,,2020-08-21 19:56:40,2020
73,True,active,82,0,0,15,True,2020-08-21 18:08:31+00:00,False,0,0,82,True,,,2020-08-21 19:56:40,2020
74,True,active,84,0,0,3,True,2020-08-21 19:45:39+00:00,False,0,12,84,True,,,2020-08-21 19:56:40,2020
75,True,active,85,0,0,4,True,2020-08-21 18:12:15+00:00,False,1,14,85,True,,,2020-08-21 19:56:40,2020
76,True,active,86,0,0,3,True,2020-08-21 19:41:47+00:00,False,0,16,86,True,,,2020-08-21 19:56:40,2020
77,True,active,87,0,0,11,True,2020-08-21 19:42:53+00:00,False,0,4,87,True,,,2020-08-21 19:56:40,2020
78,True,active,89,0,0,12,True,2020-08-21 19:32:37+00:00,False,0,7,89,True,,,2020-08-21 19:56:40,2020
79,True,active,90,0,0,13,True,2020-08-21 19:56:16+00:00,False,0,6,90,True,,,2020-08-21 19:56:40,2020
80,True,active,91,0,0,4,True,2020-08-21 19:39:05+00:00,False,1,14,91,True,,,2020-08-21 19:56:40,2020
81,True,active,92,0,0,9,True,2020-08-21 17:30:03+00:00,False,1,9,92,True,,,2020-08-21 19:56:40,2020
82,True,active,93,0,0,12,True,2020-08-21 18:38:32+00:00,False,0,3,93,True,,,2020-08-21 19:56:40,2020
83,True,active,94,0,0,2,True,2020-08-21 19:53:46+00:00,False,1,8,94,True,,,2020-08-21 19:56:40,2020
84,True,active,95,0,0,7,True,2020-08-21 19:36:07+00:00,False,1,7,95,True,,,2020-08-21 19:56:40,2020
85,True,active,96,0,0,14,True,2020-08-21 19:51:45+00:00,False,0,5,96,True,,,2020-08-21 19:56:40,2020
86,True,active,97,0,0,16,True,2020-08-21 19:55:14+00:00,False,0,3,97,True,,,2020-08-21 19:56:40,2020
87,True,active,98,0,0,16,True,2020-08-21 19:50:32+00:00,False,2,5,98,True,,,2020-08-21 19:56:40,2020
88,True,active,99,0,0,3,True,2020-08-21 19:19:32+00:00,False,0,12,99,True,,,2020-08-21 19:56:40,2020
89,True,active,100,0,0,14,True,2020-08-21 19:55:52+00:00,True,1,10,100,True,,,2020-08-21 19:56:40,2020
90,True,active,101,0,0,12,True,2020-08-21 19:23:40+00:00,False,0,3,101,True,,,2020-08-21 19:56:40,2020
91,True,active,102,0,0,14,True,2020-08-21 19:52:40+00:00,False,0,1,102,True,,,2020-08-21 19:56:40,2020
92,True,active,103,0,0,8,True,2020-08-21 19:55:05+00:00,False,0,7,103,True,,,2020-08-21 19:56:40,2020
93,True,active,104,0,0,7,True,2020-08-21 19:29:44+00:00,False,0,12,104,True,,,2020-08-21 19:56:40,2020
94,True,active,105,0,0,18,True,2020-08-21 19:55:21+00:00,False,0,1,105,True,,,2020-08-21 19:56:40,2020
95,True,active,106,0,0,12,True,2020-08-21 18:56:53+00:00,False,0,3,106,True,,,2020-08-21 19:56:40,2020
96,True,active,107,0,0,1,True,2020-08-21 19:55:56+00:00,False,0,18,107,True,,,2020-08-21 19:56:40,2020
97,True,active,108,0,0,7,True,2020-08-21 19:50:26+00:00,False,1,9,108,True,,,2020-08-21 19:56:40,2020
98,True,active,109,0,0,33,True,2020-08-21 08:55:46+00:00,False,0,2,109,True,,,2020-08-21 19:56:40,2020
99,True,active,110,0,0,6,True,2020-08-21 19:06:26+00:00,False,0,9,110,True,,,2020-08-21 19:56:40,2020
100,True,active,111,0,0,8,True,2020-08-21 19:36:14+00:00,False,0,7,111,True,,,2020-08-21 19:56:40,2020
101,True,active,112,0,0,9,True,2020-08-21 19:24:45+00:00,False,0,6,112,True,,,2020-08-21 19:56:40,2020
102,True,active,113,0,0,10,True,2020-08-21 19:36:02+00:00,False,2,3,113,True,,,2020-08-21 19:56:40,2020
103,True,active,114,0,0,13,True,2020-08-21 16:38:16+00:00,False,0,2,114,True,,,2020-08-21 19:56:40,2020
104,True,active,115,0,0,10,True,2020-08-21 19:56:15+00:00,False,0,9,115,True,,,2020-08-21 19:56:40,2020
105,True,active,116,0,0,14,True,2020-08-21 19:52:10+00:00,False,0,9,116,True,,,2020-08-21 19:56:40,2020
106,True,active,117,0,0,12,True,2020-08-21 19:48:25+00:00,False,0,7,117,True,,,2020-08-21 19:56:40,2020
107,True,active,118,0,0,5,True,2020-08-21 19:43:46+00:00,False,2,12,118,True,,,2020-08-21 19:56:40,2020
108,True,active,119,0,0,4,True,2020-08-21 19:52:51+00:00,False,0,11,119,True,,,2020-08-21 19:56:40,2020
109,True,active,120,0,0,7,True,2020-08-21 19:44:59+00:00,False,0,8,120,True,,,2020-08-21 19:56:40,2020
110,True,active,121,0,0,13,True,2020-08-21 19:45:04+00:00,False,1,3,121,True,,,2020-08-21 19:56:40,2020
111,True,active,122,0,0,9,True,2020-08-21 19:08:03+00:00,False,0,6,122,True,,,2020-08-21 19:56:40,2020
112,True,active,124,0,0,13,True,2020-08-21 19:08:31+00:00,False,0,2,124,True,,,2020-08-21 19:56:40,2020
113,True,active,125,0,0,11,True,2020-08-21 19:38:46+00:00,False,1,3,125,True,,,2020-08-21 19:56:40,2020
114,True,active,126,0,0,4,True,2020-08-21 19:54:04+00:00,False,1,10,126,True,,,2020-08-21 19:56:40,2020
115,True,active,128,0,0,18,True,2020-08-21 19:18:14+00:00,False,0,1,128,True,,,2020-08-21 19:56:40,2020
116,True,active,129,0,0,16,True,2020-08-21 19:27:54+00:00,False,0,3,129,True,,,2020-08-21 19:56:40,2020
117,True,active,130,0,0,6,True,2020-08-21 18:43:42+00:00,False,0,9,130,True,,,2020-08-21 19:56:40,2020
118,True,active,131,0,0,8,True,2020-08-21 19:41:06+00:00,False,1,9,131,True,,,2020-08-21 19:56:40,2020
119,True,active,133,0,0,18,True,2020-08-21 19:09:39+00:00,False,1,4,133,True,,,2020-08-21 19:56:40,2020
120,True,active,135,0,0,15,True,2020-08-21 19:37:27+00:00,False,0,2,135,True,,,2020-08-21 19:56:40,2020
121,True,active,136,0,0,15,True,2020-08-21 19:37:04+00:00,False,0,4,136,True,,,2020-08-21 19:56:40,2020
122,True,active,137,0,0,8,True,2020-08-21 19:48:11+00:00,False,0,7,137,True,,,2020-08-21 19:56:40,2020
