,num_bikes_disabled,eightd_has_available_keys,is_installed,num_docks_available,is_renting,num_bikes_available,legacy_id,station_status,is_returning,last_reported,num_docks_disabled,station_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,False,True,5,True,10,3,active,True,2020-08-21 21:00:58+00:00,0,3,0,,,2020-08-21 21:08:05,2020
1,0,False,True,3,True,16,4,active,True,2020-08-21 21:06:32+00:00,0,4,0,,,2020-08-21 21:08:05,2020
2,0,False,True,5,True,10,5,active,True,2020-08-21 21:05:58+00:00,0,5,0,,,2020-08-21 21:08:05,2020
3,1,False,True,14,True,0,6,active,True,2020-08-21 21:06:15+00:00,0,6,0,,,2020-08-21 21:08:05,2020
4,0,False,True,10,True,5,7,active,True,2020-08-21 20:56:59+00:00,0,7,0,,,2020-08-21 21:08:05,2020
5,2,False,True,6,True,11,8,active,True,2020-08-21 20:42:39+00:00,0,8,0,,,2020-08-21 21:08:05,2020
6,0,False,True,13,True,2,9,active,True,2020-08-21 21:07:09+00:00,0,9,0,,,2020-08-21 21:08:05,2020
7,0,False,True,10,True,1,10,active,True,2020-08-21 21:07:39+00:00,0,10,0,,,2020-08-21 21:08:05,2020
8,1,False,True,7,True,7,11,active,True,2020-08-21 21:06:56+00:00,0,11,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'dock_blocked_count': 0, 'off_dock_count': 49, 'valet_revision': 100, 'active': True, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",2020-08-21 21:08:05,2020
9,0,True,True,15,True,3,12,active,True,2020-08-21 20:59:54+00:00,0,12,0,,,2020-08-21 21:08:05,2020
10,0,False,True,19,True,0,13,active,True,2020-08-21 20:49:45+00:00,0,13,0,,,2020-08-21 21:08:05,2020
11,2,False,True,11,True,12,14,active,True,2020-08-21 21:07:12+00:00,0,14,0,,,2020-08-21 21:08:05,2020
12,1,False,True,2,True,12,15,active,True,2020-08-21 21:03:35+00:00,0,15,0,,,2020-08-21 21:08:05,2020
13,0,True,True,11,True,8,16,active,True,2020-08-21 21:06:36+00:00,0,16,0,,,2020-08-21 21:08:05,2020
14,0,False,True,12,True,3,17,active,True,2020-08-21 20:43:38+00:00,0,17,0,,,2020-08-21 21:08:05,2020
15,0,False,True,9,True,6,19,active,True,2020-08-21 20:59:43+00:00,0,19,0,,,2020-08-21 21:08:05,2020
16,0,True,True,2,True,21,20,active,True,2020-08-21 21:05:12+00:00,0,20,0,,,2020-08-21 21:08:05,2020
17,1,True,True,8,True,9,21,active,True,2020-08-21 21:05:18+00:00,0,21,0,,,2020-08-21 21:08:05,2020
18,1,True,True,35,True,11,22,active,True,2020-08-21 21:06:44+00:00,0,22,0,,,2020-08-21 21:08:05,2020
19,0,False,True,8,True,13,23,active,True,2020-08-21 21:02:30+00:00,0,23,0,,,2020-08-21 21:08:05,2020
20,1,False,True,10,True,8,24,active,True,2020-08-21 21:07:48+00:00,0,24,0,,,2020-08-21 21:08:05,2020
21,0,False,True,11,True,4,25,active,True,2020-08-21 20:56:49+00:00,0,25,0,,,2020-08-21 21:08:05,2020
22,0,False,True,8,True,7,26,active,True,2020-08-21 21:04:16+00:00,0,26,0,,,2020-08-21 21:08:05,2020
23,0,False,True,11,True,12,27,active,True,2020-08-21 21:06:38+00:00,0,27,0,,,2020-08-21 21:08:05,2020
24,0,False,True,12,True,3,29,active,True,2020-08-21 20:50:55+00:00,0,29,0,,,2020-08-21 21:08:05,2020
25,1,False,True,3,True,11,30,active,True,2020-08-21 21:08:00+00:00,0,30,0,,,2020-08-21 21:08:05,2020
26,0,True,True,18,True,1,31,active,True,2020-08-21 20:33:40+00:00,0,31,0,,,2020-08-21 21:08:05,2020
27,1,False,True,1,True,13,32,active,True,2020-08-21 21:07:58+00:00,0,32,0,,,2020-08-21 21:08:05,2020
28,0,True,True,17,True,10,33,active,True,2020-08-21 20:57:35+00:00,0,33,0,,,2020-08-21 21:08:05,2020
29,0,False,True,16,True,7,35,active,True,2020-08-21 21:02:35+00:00,0,35,0,,,2020-08-21 21:08:05,2020
30,1,True,True,11,True,21,36,active,True,2020-08-21 21:07:55+00:00,0,36,0,,,2020-08-21 21:08:05,2020
31,0,True,True,10,True,5,37,active,True,2020-08-21 20:38:19+00:00,0,37,0,,,2020-08-21 21:08:05,2020
32,0,False,True,14,True,9,39,active,True,2020-08-21 21:06:32+00:00,0,39,0,,,2020-08-21 21:08:05,2020
33,2,False,True,8,True,9,40,active,True,2020-08-21 21:00:29+00:00,0,40,0,,,2020-08-21 21:08:05,2020
34,1,True,True,16,True,10,41,active,True,2020-08-21 21:03:21+00:00,0,41,0,,,2020-08-21 21:08:05,2020
35,1,False,True,12,True,10,42,active,True,2020-08-21 20:49:53+00:00,0,42,0,,,2020-08-21 21:08:05,2020
36,0,True,True,15,True,0,43,active,True,2020-08-21 20:38:33+00:00,0,43,0,,,2020-08-21 21:08:05,2020
37,0,False,True,11,True,12,44,active,True,2020-08-21 21:00:21+00:00,0,44,0,,,2020-08-21 21:08:05,2020
38,1,False,True,10,True,8,46,active,True,2020-08-21 21:07:38+00:00,0,46,0,,,2020-08-21 21:08:05,2020
39,0,True,True,8,True,11,47,active,True,2020-08-21 21:06:44+00:00,0,47,0,,,2020-08-21 21:08:05,2020
40,0,False,True,3,True,16,48,active,True,2020-08-21 21:03:24+00:00,0,48,0,,,2020-08-21 21:08:05,2020
41,1,False,True,0,True,17,49,active,True,2020-08-21 20:57:28+00:00,0,49,0,,,2020-08-21 21:08:05,2020
42,1,True,True,2,True,12,50,active,True,2020-08-21 20:08:59+00:00,0,50,0,,,2020-08-21 21:08:05,2020
43,1,False,True,8,True,6,51,active,True,2020-08-21 21:06:14+00:00,0,51,0,,,2020-08-21 21:08:05,2020
44,1,True,True,15,True,7,52,active,True,2020-08-21 20:52:23+00:00,0,52,0,,,2020-08-21 21:08:05,2020
45,0,False,True,8,True,11,53,active,True,2020-08-21 21:05:12+00:00,0,53,0,,,2020-08-21 21:08:05,2020
46,0,False,True,12,True,3,54,active,True,2020-08-21 21:02:37+00:00,0,54,0,,,2020-08-21 21:08:05,2020
47,1,False,True,3,True,11,55,active,True,2020-08-21 21:07:17+00:00,0,55,0,,,2020-08-21 21:08:05,2020
48,0,True,True,9,True,9,56,active,True,2020-08-21 20:51:56+00:00,0,56,0,,,2020-08-21 21:08:05,2020
49,0,True,True,10,True,4,57,active,True,2020-08-21 20:52:48+00:00,0,57,0,,,2020-08-21 21:08:05,2020
50,1,True,True,18,True,0,58,active,True,2020-08-21 21:03:09+00:00,0,58,0,,,2020-08-21 21:08:05,2020
51,0,True,True,17,True,2,59,active,True,2020-08-21 21:00:27+00:00,0,59,0,,,2020-08-21 21:08:05,2020
52,0,False,True,5,True,14,60,active,True,2020-08-21 21:06:43+00:00,0,60,0,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'dock_blocked_count': 0, 'off_dock_count': 12, 'valet_revision': 89, 'active': True, 'off_dock_capacity': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",2020-08-21 21:08:05,2020
53,1,False,True,10,True,8,61,active,True,2020-08-21 21:06:41+00:00,0,61,0,,,2020-08-21 21:08:05,2020
54,0,False,True,12,True,3,63,active,True,2020-08-21 20:37:13+00:00,0,63,0,,,2020-08-21 21:08:05,2020
55,0,False,True,4,False,15,64,active,False,2020-08-21 18:59:24+00:00,0,64,0,,,2020-08-21 21:08:05,2020
56,0,False,True,11,True,12,65,active,True,2020-08-21 20:29:47+00:00,0,65,0,,,2020-08-21 21:08:05,2020
57,0,False,True,15,True,0,66,active,True,2020-08-21 20:40:36+00:00,0,66,0,,,2020-08-21 21:08:05,2020
58,1,True,True,16,True,10,67,active,True,2020-08-21 21:02:38+00:00,0,67,0,,,2020-08-21 21:08:05,2020
59,1,True,True,1,True,17,68,active,True,2020-08-21 21:06:33+00:00,0,68,0,,,2020-08-21 21:08:05,2020
60,0,True,True,10,True,9,69,active,True,2020-08-21 21:02:00+00:00,0,69,0,,,2020-08-21 21:08:05,2020
61,0,False,True,8,True,15,70,active,True,2020-08-21 21:06:55+00:00,0,70,0,,,2020-08-21 21:08:05,2020
62,1,False,True,7,True,15,71,active,True,2020-08-21 20:44:31+00:00,0,71,0,,,2020-08-21 21:08:05,2020
63,0,False,True,18,True,5,72,active,True,2020-08-21 20:40:12+00:00,0,72,0,,,2020-08-21 21:08:05,2020
64,0,False,True,3,True,12,73,active,True,2020-08-21 20:54:07+00:00,0,73,0,,,2020-08-21 21:08:05,2020
65,0,True,True,2,True,17,74,active,True,2020-08-21 21:03:53+00:00,0,74,0,,,2020-08-21 21:08:05,2020
66,0,False,True,10,True,5,75,active,True,2020-08-21 21:01:24+00:00,0,75,0,,,2020-08-21 21:08:05,2020
67,0,False,True,14,True,3,76,active,True,2020-08-21 21:03:44+00:00,0,76,0,,,2020-08-21 21:08:05,2020
68,0,False,True,13,True,2,77,active,True,2020-08-21 20:58:28+00:00,0,77,0,,,2020-08-21 21:08:05,2020
69,1,False,True,2,True,16,78,active,True,2020-08-21 20:54:16+00:00,0,78,0,,,2020-08-21 21:08:05,2020
70,1,False,True,15,True,3,79,active,True,2020-08-21 21:01:48+00:00,0,79,0,,,2020-08-21 21:08:05,2020
71,1,False,True,10,True,24,80,active,True,2020-08-21 21:03:30+00:00,0,80,0,,,2020-08-21 21:08:05,2020
72,1,False,True,14,True,4,81,active,True,2020-08-21 21:04:04+00:00,0,81,0,,,2020-08-21 21:08:05,2020
73,0,False,True,15,True,0,82,active,True,2020-08-21 18:08:31+00:00,0,82,0,,,2020-08-21 21:08:05,2020
74,0,False,True,2,True,13,84,active,True,2020-08-21 20:54:12+00:00,0,84,0,,,2020-08-21 21:08:05,2020
75,0,False,True,10,True,9,85,active,True,2020-08-21 20:59:58+00:00,0,85,0,,,2020-08-21 21:08:05,2020
76,0,False,True,3,True,16,86,active,True,2020-08-21 21:07:55+00:00,0,86,0,,,2020-08-21 21:08:05,2020
77,0,False,True,11,True,4,87,active,True,2020-08-21 21:05:01+00:00,0,87,0,,,2020-08-21 21:08:05,2020
78,0,False,True,16,True,3,89,active,True,2020-08-21 21:07:05+00:00,0,89,0,,,2020-08-21 21:08:05,2020
79,0,False,True,15,True,4,90,active,True,2020-08-21 20:39:20+00:00,0,90,0,,,2020-08-21 21:08:05,2020
80,1,False,True,2,True,16,91,active,True,2020-08-21 21:07:14+00:00,0,91,0,,,2020-08-21 21:08:05,2020
81,1,False,True,11,True,7,92,active,True,2020-08-21 21:04:11+00:00,0,92,0,,,2020-08-21 21:08:05,2020
82,0,False,True,11,True,4,93,active,True,2020-08-21 20:10:59+00:00,0,93,0,,,2020-08-21 21:08:05,2020
83,1,False,True,0,True,10,94,active,True,2020-08-21 20:31:38+00:00,0,94,0,,,2020-08-21 21:08:05,2020
84,2,False,True,8,True,5,95,active,True,2020-08-21 20:59:49+00:00,0,95,0,,,2020-08-21 21:08:05,2020
85,1,False,True,13,True,5,96,active,True,2020-08-21 21:00:42+00:00,0,96,0,,,2020-08-21 21:08:05,2020
86,0,False,True,17,True,2,97,active,True,2020-08-21 21:07:06+00:00,0,97,0,,,2020-08-21 21:08:05,2020
87,2,False,True,12,True,9,98,active,True,2020-08-21 20:55:50+00:00,0,98,0,,,2020-08-21 21:08:05,2020
88,0,False,True,3,True,12,99,active,True,2020-08-21 19:19:32+00:00,0,99,0,,,2020-08-21 21:08:05,2020
89,1,True,True,14,True,10,100,active,True,2020-08-21 21:02:29+00:00,0,100,0,,,2020-08-21 21:08:05,2020
90,0,False,True,13,True,2,101,active,True,2020-08-21 20:51:21+00:00,0,101,0,,,2020-08-21 21:08:05,2020
91,0,False,True,15,True,0,102,active,True,2020-08-21 20:07:27+00:00,0,102,0,,,2020-08-21 21:08:05,2020
92,0,False,True,8,True,7,103,active,True,2020-08-21 20:21:08+00:00,0,103,0,,,2020-08-21 21:08:05,2020
