,station_status,legacy_id,num_docks_available,num_bikes_disabled,station_id,num_docks_disabled,is_returning,is_renting,num_bikes_available,is_installed,eightd_has_available_keys,last_reported,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,active,3,6,0,3,0,True,True,9,True,False,2020-08-21 21:11:16+00:00,0,,,2020-08-21 21:18:25,2020
1,active,4,4,0,4,0,True,True,15,True,False,2020-08-21 21:15:13+00:00,0,,,2020-08-21 21:18:25,2020
2,active,5,6,0,5,0,True,True,9,True,False,2020-08-21 21:17:41+00:00,0,,,2020-08-21 21:18:25,2020
3,active,6,13,1,6,0,True,True,1,True,False,2020-08-21 21:18:04+00:00,0,,,2020-08-21 21:18:25,2020
4,active,7,7,0,7,0,True,True,8,True,False,2020-08-21 21:13:58+00:00,0,,,2020-08-21 21:18:25,2020
5,active,8,6,2,8,0,True,True,11,True,False,2020-08-21 20:42:39+00:00,0,,,2020-08-21 21:18:25,2020
6,active,9,14,0,9,0,True,True,1,True,False,2020-08-21 21:10:51+00:00,0,,,2020-08-21 21:18:25,2020
7,active,10,10,0,10,0,True,True,1,True,False,2020-08-21 21:07:39+00:00,0,,,2020-08-21 21:18:25,2020
8,active,11,3,0,11,0,True,True,12,True,False,2020-08-21 21:18:18+00:00,0,"{'off_dock_count': 41, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'region': 'BOS', 'valet_revision': 100, 'dock_blocked_count': 0, 'off_dock_capacity': 50}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-21 21:18:25,2020
9,active,12,15,0,12,0,True,True,3,True,True,2020-08-21 21:18:08+00:00,0,,,2020-08-21 21:18:25,2020
10,active,13,18,0,13,0,True,True,1,True,False,2020-08-21 21:17:36+00:00,0,,,2020-08-21 21:18:25,2020
11,active,14,11,2,14,0,True,True,12,True,False,2020-08-21 21:14:56+00:00,0,,,2020-08-21 21:18:25,2020
12,active,15,2,1,15,0,True,True,12,True,False,2020-08-21 21:03:35+00:00,0,,,2020-08-21 21:18:25,2020
13,active,16,11,0,16,0,True,True,8,True,True,2020-08-21 21:06:36+00:00,0,,,2020-08-21 21:18:25,2020
14,active,17,11,0,17,0,True,True,4,True,False,2020-08-21 21:11:59+00:00,0,,,2020-08-21 21:18:25,2020
15,active,19,13,0,19,0,True,True,2,True,False,2020-08-21 21:15:54+00:00,0,,,2020-08-21 21:18:25,2020
16,active,20,1,0,20,0,True,True,22,True,True,2020-08-21 21:09:43+00:00,0,,,2020-08-21 21:18:25,2020
17,active,21,7,0,21,0,True,True,11,True,True,2020-08-21 21:10:07+00:00,0,,,2020-08-21 21:18:25,2020
18,active,22,36,1,22,0,True,True,10,True,True,2020-08-21 21:11:52+00:00,0,,,2020-08-21 21:18:25,2020
19,active,23,10,0,23,0,True,True,11,True,False,2020-08-21 21:11:55+00:00,0,,,2020-08-21 21:18:25,2020
20,active,24,17,2,24,0,True,True,0,True,False,2020-08-21 21:17:11+00:00,0,,,2020-08-21 21:18:25,2020
21,active,25,11,0,25,0,True,True,4,True,False,2020-08-21 21:11:31+00:00,0,,,2020-08-21 21:18:25,2020
22,active,26,7,0,26,0,True,True,8,True,False,2020-08-21 21:12:34+00:00,0,,,2020-08-21 21:18:25,2020
23,active,27,16,0,27,0,True,True,7,True,False,2020-08-21 21:17:26+00:00,0,,,2020-08-21 21:18:25,2020
24,active,29,12,0,29,0,True,True,3,True,False,2020-08-21 20:50:55+00:00,0,,,2020-08-21 21:18:25,2020
25,active,30,8,1,30,0,True,True,6,True,False,2020-08-21 21:17:58+00:00,0,,,2020-08-21 21:18:25,2020
26,active,31,17,0,31,0,True,True,2,True,True,2020-08-21 21:14:55+00:00,0,,,2020-08-21 21:18:25,2020
27,active,32,1,0,32,0,True,True,14,True,False,2020-08-21 21:15:48+00:00,0,,,2020-08-21 21:18:25,2020
28,active,33,17,0,33,0,True,True,10,True,True,2020-08-21 21:13:42+00:00,0,,,2020-08-21 21:18:25,2020
29,active,35,17,0,35,0,True,True,6,True,False,2020-08-21 21:16:16+00:00,0,,,2020-08-21 21:18:25,2020
30,active,36,13,1,36,0,True,True,19,True,True,2020-08-21 21:08:48+00:00,0,,,2020-08-21 21:18:25,2020
