,station_id,num_docks_available,last_reported,num_ebikes_available,num_docks_disabled,is_renting,eightd_has_available_keys,num_bikes_disabled,station_status,legacy_id,is_installed,is_returning,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,3,7,2020-08-21 23:09:52+00:00,0,0,True,False,1,active,3,True,True,7,,,2020-08-21 23:10:35,2020
1,4,0,2020-08-21 23:08:52+00:00,0,0,True,False,2,active,4,True,True,17,,,2020-08-21 23:10:35,2020
2,5,14,2020-08-21 23:09:46+00:00,0,0,True,False,0,active,5,True,True,1,,,2020-08-21 23:10:35,2020
3,6,7,2020-08-21 23:09:11+00:00,0,0,True,False,0,active,6,True,True,8,,,2020-08-21 23:10:35,2020
4,7,7,2020-08-21 23:08:54+00:00,0,0,True,False,0,active,7,True,True,8,,,2020-08-21 23:10:35,2020
5,8,2,2020-08-21 23:05:48+00:00,0,0,True,False,1,active,8,True,True,16,,,2020-08-21 23:10:35,2020
6,9,7,2020-08-21 22:54:22+00:00,0,0,True,False,1,active,9,True,True,7,,,2020-08-21 23:10:35,2020
7,10,10,2020-08-21 22:51:30+00:00,0,0,True,False,0,active,10,True,True,1,,,2020-08-21 23:10:35,2020
8,11,14,2020-08-21 23:10:26+00:00,0,0,True,False,0,active,11,True,True,1,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 100, 'off_dock_count': 3, 'off_dock_capacity': 50, 'active': True, 'region': 'BOS', 'dock_blocked_count': 0}",2020-08-21 23:10:35,2020
9,12,16,2020-08-21 22:51:00+00:00,0,0,True,True,0,active,12,True,True,2,,,2020-08-21 23:10:35,2020
10,13,18,2020-08-21 23:06:40+00:00,0,0,True,False,0,active,13,True,True,1,,,2020-08-21 23:10:35,2020
11,14,23,2020-08-21 22:51:14+00:00,0,0,True,False,2,active,14,True,True,0,,,2020-08-21 23:10:35,2020
12,15,4,2020-08-21 22:56:08+00:00,0,0,True,False,0,active,15,True,True,11,,,2020-08-21 23:10:35,2020
13,16,5,2020-08-21 23:03:20+00:00,0,0,True,True,1,active,16,True,True,13,,,2020-08-21 23:10:35,2020
14,17,11,2020-08-21 23:04:30+00:00,0,0,True,False,0,active,17,True,True,4,,,2020-08-21 23:10:35,2020
15,19,14,2020-08-21 22:57:20+00:00,0,0,True,False,0,active,19,True,True,1,,,2020-08-21 23:10:35,2020
16,20,5,2020-08-21 23:08:56+00:00,0,0,True,True,0,active,20,True,True,18,,,2020-08-21 23:10:35,2020
17,21,3,2020-08-21 23:05:20+00:00,0,0,True,True,1,active,21,True,True,14,,,2020-08-21 23:10:35,2020
18,22,37,2020-08-21 22:31:30+00:00,0,0,True,True,1,active,22,True,True,9,,,2020-08-21 23:10:35,2020
19,23,4,2020-08-21 23:08:04+00:00,0,0,True,False,0,active,23,True,True,17,,,2020-08-21 23:10:35,2020
20,24,8,2020-08-21 23:05:28+00:00,0,0,True,False,1,active,24,True,True,10,,,2020-08-21 23:10:35,2020
21,25,12,2020-08-21 22:51:52+00:00,0,0,True,False,0,active,25,True,True,3,,,2020-08-21 23:10:35,2020
22,26,3,2020-08-21 23:09:32+00:00,0,0,True,False,0,active,26,True,True,12,,,2020-08-21 23:10:35,2020
23,27,18,2020-08-21 23:06:44+00:00,0,0,True,False,0,active,27,True,True,5,,,2020-08-21 23:10:35,2020
24,29,10,2020-08-21 22:46:39+00:00,0,0,True,False,0,active,29,True,True,5,,,2020-08-21 23:10:35,2020
25,30,13,2020-08-21 23:09:17+00:00,0,0,True,False,1,active,30,True,True,1,,,2020-08-21 23:10:35,2020
