,station_id,is_renting,is_returning,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,num_docks_available,last_reported,legacy_id,num_docks_disabled,station_status,is_installed,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
0,3,True,True,False,0,1,7,2020-08-21 23:09:52+00:00,3,0,active,True,7,2020-08-21 23:20:50,2020
1,4,True,True,False,0,2,1,2020-08-21 23:19:16+00:00,4,0,active,True,16,2020-08-21 23:20:50,2020
2,5,True,True,False,0,0,11,2020-08-21 23:20:44+00:00,5,0,active,True,4,2020-08-21 23:20:50,2020
3,6,True,True,False,0,0,11,2020-08-21 23:15:20+00:00,6,0,active,True,4,2020-08-21 23:20:50,2020
4,7,True,True,False,0,0,6,2020-08-21 23:13:57+00:00,7,0,active,True,9,2020-08-21 23:20:50,2020
5,8,True,True,False,0,1,1,2020-08-21 23:12:19+00:00,8,0,active,True,17,2020-08-21 23:20:50,2020
6,9,True,True,False,0,1,6,2020-08-21 23:14:16+00:00,9,0,active,True,8,2020-08-21 23:20:50,2020
7,10,True,True,False,0,0,11,2020-08-21 23:12:29+00:00,10,0,active,True,0,2020-08-21 23:20:50,2020
8,11,True,True,False,0,0,15,2020-08-21 23:12:43+00:00,11,0,active,True,0,2020-08-21 23:20:50,2020
9,12,True,True,True,0,0,16,2020-08-21 22:51:00+00:00,12,0,active,True,2,2020-08-21 23:20:50,2020
10,13,True,True,False,0,0,18,2020-08-21 23:17:23+00:00,13,0,active,True,1,2020-08-21 23:20:50,2020
11,14,True,True,False,0,2,23,2020-08-21 22:51:14+00:00,14,0,active,True,0,2020-08-21 23:20:50,2020
12,15,True,True,False,0,0,4,2020-08-21 22:56:08+00:00,15,0,active,True,11,2020-08-21 23:20:50,2020
13,16,True,True,True,0,1,4,2020-08-21 23:18:54+00:00,16,0,active,True,14,2020-08-21 23:20:50,2020
14,17,True,True,False,0,0,12,2020-08-21 23:19:56+00:00,17,0,active,True,3,2020-08-21 23:20:50,2020
15,19,True,True,False,0,0,12,2020-08-21 23:17:36+00:00,19,0,active,True,3,2020-08-21 23:20:50,2020
16,20,True,True,True,0,0,5,2020-08-21 23:08:56+00:00,20,0,active,True,18,2020-08-21 23:20:50,2020
17,21,True,True,True,0,1,3,2020-08-21 23:05:20+00:00,21,0,active,True,14,2020-08-21 23:20:50,2020
18,22,True,True,True,0,1,35,2020-08-21 23:19:51+00:00,22,0,active,True,11,2020-08-21 23:20:50,2020
19,23,True,True,False,0,0,4,2020-08-21 23:08:04+00:00,23,0,active,True,17,2020-08-21 23:20:50,2020
20,24,True,True,False,0,1,9,2020-08-21 23:11:51+00:00,24,0,active,True,9,2020-08-21 23:20:50,2020
21,25,True,True,False,0,0,10,2020-08-21 23:14:10+00:00,25,0,active,True,5,2020-08-21 23:20:50,2020
22,26,True,True,False,0,0,2,2020-08-21 23:19:59+00:00,26,0,active,True,13,2020-08-21 23:20:50,2020
23,27,True,True,False,0,0,16,2020-08-21 23:14:57+00:00,27,0,active,True,7,2020-08-21 23:20:50,2020
24,29,True,True,False,0,0,10,2020-08-21 22:46:39+00:00,29,0,active,True,5,2020-08-21 23:20:50,2020
25,30,True,True,False,0,1,13,2020-08-21 23:19:16+00:00,30,0,active,True,1,2020-08-21 23:20:50,2020
26,31,True,True,True,0,0,8,2020-08-21 23:16:47+00:00,31,0,active,True,11,2020-08-21 23:20:50,2020
27,32,True,True,False,0,1,8,2020-08-21 23:19:46+00:00,32,0,active,True,6,2020-08-21 23:20:50,2020
28,33,True,True,True,0,0,16,2020-08-21 23:17:13+00:00,33,0,active,True,11,2020-08-21 23:20:50,2020
29,35,True,True,False,0,0,23,2020-08-21 22:57:24+00:00,35,0,active,True,0,2020-08-21 23:20:50,2020
30,36,True,True,True,0,1,12,2020-08-21 23:20:22+00:00,36,0,active,True,20,2020-08-21 23:20:50,2020
31,37,True,True,True,0,0,10,2020-08-21 20:38:19+00:00,37,0,active,True,5,2020-08-21 23:20:50,2020
32,39,True,True,False,0,0,22,2020-08-21 23:16:51+00:00,39,0,active,True,1,2020-08-21 23:20:50,2020
33,40,True,True,False,0,0,7,2020-08-21 23:19:25+00:00,40,0,active,True,12,2020-08-21 23:20:50,2020
34,41,True,True,True,0,1,14,2020-08-21 23:19:11+00:00,41,0,active,True,12,2020-08-21 23:20:50,2020
35,42,True,True,False,0,0,7,2020-08-21 23:12:32+00:00,42,0,active,True,16,2020-08-21 23:20:50,2020
36,43,True,True,True,0,0,8,2020-08-21 23:05:25+00:00,43,0,active,True,7,2020-08-21 23:20:50,2020
37,44,True,True,False,0,0,11,2020-08-21 23:01:59+00:00,44,0,active,True,12,2020-08-21 23:20:50,2020
38,46,True,True,False,0,0,15,2020-08-21 23:16:35+00:00,46,0,active,True,4,2020-08-21 23:20:50,2020
39,47,True,True,True,0,0,6,2020-08-21 23:07:31+00:00,47,0,active,True,13,2020-08-21 23:20:50,2020
40,48,True,True,False,0,0,11,2020-08-21 22:46:58+00:00,48,0,active,True,8,2020-08-21 23:20:50,2020
41,49,True,True,False,0,1,2,2020-08-21 23:13:42+00:00,49,0,active,True,15,2020-08-21 23:20:50,2020
42,50,True,True,True,0,0,8,2020-08-21 23:19:19+00:00,50,0,active,True,7,2020-08-21 23:20:50,2020
43,51,True,True,False,0,1,12,2020-08-21 23:14:39+00:00,51,0,active,True,2,2020-08-21 23:20:50,2020
44,52,True,True,True,0,1,7,2020-08-21 23:19:46+00:00,52,0,active,True,15,2020-08-21 23:20:50,2020
45,53,True,True,False,0,0,0,2020-08-21 23:18:49+00:00,53,0,active,True,19,2020-08-21 23:20:50,2020
46,54,True,True,False,0,0,15,2020-08-21 23:06:54+00:00,54,0,active,True,0,2020-08-21 23:20:50,2020
47,55,True,True,False,0,0,6,2020-08-21 23:10:27+00:00,55,0,active,True,9,2020-08-21 23:20:50,2020
48,56,True,True,True,0,0,12,2020-08-21 22:53:48+00:00,56,0,active,True,6,2020-08-21 23:20:50,2020
49,57,True,True,True,0,0,11,2020-08-21 23:18:48+00:00,57,0,active,True,3,2020-08-21 23:20:50,2020
50,58,True,True,True,0,1,0,2020-08-21 23:19:50+00:00,58,0,active,True,18,2020-08-21 23:20:50,2020
51,59,True,True,True,0,0,18,2020-08-21 23:06:56+00:00,59,0,active,True,1,2020-08-21 23:20:50,2020
52,60,True,True,False,0,0,3,2020-08-21 23:19:58+00:00,60,0,active,True,16,2020-08-21 23:20:50,2020
