,station_id,num_bikes_disabled,eightd_has_available_keys,is_renting,station_status,legacy_id,last_reported,is_installed,num_ebikes_available,num_docks_disabled,num_docks_available,num_bikes_available,is_returning,timestamp_of_data_read_request,year_station_last_reported
0,3,1,False,True,active,3,2020-08-22 00:17:51+00:00,True,0,0,8,6,True,2020-08-22 00:22:00,2020
1,4,0,False,True,active,4,2020-08-22 00:15:48+00:00,True,0,0,1,18,True,2020-08-22 00:22:00,2020
2,5,0,False,True,active,5,2020-08-22 00:11:31+00:00,True,0,0,9,6,True,2020-08-22 00:22:00,2020
3,6,0,False,True,active,6,2020-08-22 00:11:36+00:00,True,0,0,14,1,True,2020-08-22 00:22:00,2020
4,7,0,False,True,active,7,2020-08-22 00:19:12+00:00,True,0,0,2,13,True,2020-08-22 00:22:00,2020
5,8,1,False,True,active,8,2020-08-22 00:20:26+00:00,True,0,0,5,13,True,2020-08-22 00:22:00,2020
6,9,0,False,True,active,9,2020-08-22 00:20:15+00:00,True,0,0,7,8,True,2020-08-22 00:22:00,2020
7,10,0,False,True,active,10,2020-08-22 00:17:04+00:00,True,0,0,8,3,True,2020-08-22 00:22:00,2020
8,11,0,False,True,active,11,2020-08-22 00:09:54+00:00,True,0,0,15,0,True,2020-08-22 00:22:00,2020
9,12,0,True,True,active,12,2020-08-22 00:08:48+00:00,True,0,0,16,2,True,2020-08-22 00:22:00,2020
10,13,0,False,True,active,13,2020-08-21 23:21:00+00:00,True,0,0,19,0,True,2020-08-22 00:22:00,2020
11,14,2,False,True,active,14,2020-08-21 23:58:20+00:00,True,0,0,23,0,True,2020-08-22 00:22:00,2020
12,15,0,False,True,active,15,2020-08-21 23:53:01+00:00,True,0,0,3,12,True,2020-08-22 00:22:00,2020
13,16,1,True,True,active,16,2020-08-22 00:03:45+00:00,True,0,0,4,14,True,2020-08-22 00:22:00,2020
14,17,0,False,True,active,17,2020-08-22 00:00:49+00:00,True,0,0,12,3,True,2020-08-22 00:22:00,2020
15,19,0,False,True,active,19,2020-08-22 00:18:30+00:00,True,0,0,7,8,True,2020-08-22 00:22:00,2020
16,20,0,True,True,active,20,2020-08-22 00:20:31+00:00,True,0,0,14,9,True,2020-08-22 00:22:00,2020
17,21,1,True,True,active,21,2020-08-22 00:17:53+00:00,True,0,0,7,10,True,2020-08-22 00:22:00,2020
18,22,1,True,True,active,22,2020-08-22 00:10:38+00:00,True,0,0,41,5,True,2020-08-22 00:22:00,2020
19,23,0,False,True,active,23,2020-08-22 00:21:05+00:00,True,0,0,8,13,True,2020-08-22 00:22:00,2020
20,24,1,False,True,active,24,2020-08-22 00:02:30+00:00,True,0,0,0,18,True,2020-08-22 00:22:00,2020
21,25,0,False,True,active,25,2020-08-22 00:20:49+00:00,True,0,0,3,12,True,2020-08-22 00:22:00,2020
22,26,0,False,True,active,26,2020-08-22 00:16:01+00:00,True,0,0,2,13,True,2020-08-22 00:22:00,2020
