,station_id,num_docks_available,num_docks_disabled,station_status,is_installed,legacy_id,num_bikes_disabled,is_renting,num_ebikes_available,is_returning,last_reported,eightd_has_available_keys,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
0,3,8,0,active,True,3,1,True,0,True,2020-08-22 00:48:38+00:00,False,6,2020-08-22 01:13:00,2020
1,4,2,0,active,True,4,0,True,0,True,2020-08-22 00:24:14+00:00,False,17,2020-08-22 01:13:00,2020
2,5,11,0,active,True,5,0,True,0,True,2020-08-22 01:07:31+00:00,False,4,2020-08-22 01:13:00,2020
3,6,12,0,active,True,6,0,True,0,True,2020-08-22 01:06:10+00:00,False,3,2020-08-22 01:13:00,2020
4,7,1,0,active,True,7,0,True,0,True,2020-08-22 01:06:45+00:00,False,14,2020-08-22 01:13:00,2020
5,8,3,0,active,True,8,1,True,0,True,2020-08-22 01:01:19+00:00,False,15,2020-08-22 01:13:00,2020
6,9,5,0,active,True,9,0,True,0,True,2020-08-22 00:57:34+00:00,False,10,2020-08-22 01:13:00,2020
7,10,8,0,active,True,10,0,True,0,True,2020-08-22 00:51:45+00:00,False,3,2020-08-22 01:13:00,2020
8,11,15,0,active,True,11,0,True,0,True,2020-08-22 00:09:54+00:00,False,0,2020-08-22 01:13:00,2020
9,12,15,0,active,True,12,0,True,0,True,2020-08-22 01:07:26+00:00,True,3,2020-08-22 01:13:00,2020
10,13,14,0,active,True,13,0,True,0,True,2020-08-22 01:11:56+00:00,False,5,2020-08-22 01:13:00,2020
11,14,23,0,active,True,14,2,True,0,True,2020-08-22 00:57:50+00:00,False,0,2020-08-22 01:13:00,2020
12,15,3,0,active,True,15,0,True,0,True,2020-08-21 23:53:01+00:00,False,12,2020-08-22 01:13:00,2020
13,16,4,0,active,True,16,1,True,0,True,2020-08-22 00:03:45+00:00,True,14,2020-08-22 01:13:00,2020
14,17,12,0,active,True,17,0,True,0,True,2020-08-22 00:00:49+00:00,False,3,2020-08-22 01:13:00,2020
15,19,6,0,active,True,19,0,True,0,True,2020-08-22 01:08:02+00:00,False,9,2020-08-22 01:13:00,2020
16,20,14,0,active,True,20,0,True,0,True,2020-08-22 00:35:14+00:00,True,9,2020-08-22 01:13:00,2020
17,21,13,0,active,True,21,1,True,0,True,2020-08-22 01:04:20+00:00,True,4,2020-08-22 01:13:00,2020
18,22,41,0,active,True,22,1,True,0,True,2020-08-22 01:01:39+00:00,True,5,2020-08-22 01:13:00,2020
19,23,14,0,active,True,23,0,True,0,True,2020-08-22 01:10:13+00:00,False,7,2020-08-22 01:13:00,2020
20,24,0,0,active,True,24,1,True,0,True,2020-08-22 00:02:30+00:00,False,18,2020-08-22 01:13:00,2020
21,25,2,0,active,True,25,0,True,0,True,2020-08-22 00:54:07+00:00,False,13,2020-08-22 01:13:00,2020
22,26,3,0,active,True,26,0,True,0,True,2020-08-22 01:08:52+00:00,False,12,2020-08-22 01:13:00,2020
23,27,7,0,active,True,27,0,True,0,True,2020-08-22 00:48:48+00:00,False,16,2020-08-22 01:13:00,2020
24,29,11,0,active,True,29,0,True,0,True,2020-08-21 23:24:12+00:00,False,4,2020-08-22 01:13:00,2020
