,is_returning,num_bikes_available,last_reported,num_docks_available,num_ebikes_available,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,station_status,num_bikes_disabled,legacy_id,station_id,timestamp_of_data_read_request,year_station_last_reported
0,True,7,2020-08-22 01:25:08+00:00,7,0,0,True,True,False,active,1,3,3,2020-08-22 01:33:30,2020
1,True,18,2020-08-22 01:32:00+00:00,1,0,0,True,True,False,active,0,4,4,2020-08-22 01:33:30,2020
2,True,4,2020-08-22 01:18:07+00:00,11,0,0,True,True,False,active,0,5,5,2020-08-22 01:33:30,2020
3,True,1,2020-08-22 01:31:11+00:00,14,0,0,True,True,False,active,0,6,6,2020-08-22 01:33:30,2020
4,True,13,2020-08-22 01:31:20+00:00,2,0,0,True,True,False,active,0,7,7,2020-08-22 01:33:30,2020
5,True,11,2020-08-22 01:33:20+00:00,6,0,0,True,True,False,active,2,8,8,2020-08-22 01:33:30,2020
6,True,11,2020-08-22 01:18:41+00:00,4,0,0,True,True,False,active,0,9,9,2020-08-22 01:33:30,2020
7,True,3,2020-08-22 00:51:45+00:00,8,0,0,True,True,False,active,0,10,10,2020-08-22 01:33:30,2020
8,True,0,2020-08-22 00:09:54+00:00,15,0,0,True,True,False,active,0,11,11,2020-08-22 01:33:30,2020
9,True,6,2020-08-22 01:32:34+00:00,12,0,0,True,True,True,active,0,12,12,2020-08-22 01:33:30,2020
10,True,5,2020-08-22 01:11:56+00:00,14,0,0,True,True,False,active,0,13,13,2020-08-22 01:33:30,2020
11,True,0,2020-08-22 00:57:50+00:00,23,0,0,True,True,False,active,2,14,14,2020-08-22 01:33:30,2020
12,True,12,2020-08-21 23:53:01+00:00,3,0,0,True,True,False,active,0,15,15,2020-08-22 01:33:30,2020
13,True,14,2020-08-22 00:03:45+00:00,4,0,0,True,True,True,active,1,16,16,2020-08-22 01:33:30,2020
14,True,4,2020-08-22 01:17:54+00:00,11,0,0,True,True,False,active,0,17,17,2020-08-22 01:33:30,2020
15,True,11,2020-08-22 01:30:52+00:00,4,0,0,True,True,False,active,0,19,19,2020-08-22 01:33:30,2020
16,True,9,2020-08-22 00:35:14+00:00,14,0,0,True,True,True,active,0,20,20,2020-08-22 01:33:30,2020
17,True,4,2020-08-22 01:04:20+00:00,13,0,0,True,True,True,active,1,21,21,2020-08-22 01:33:30,2020
18,True,6,2020-08-22 01:14:27+00:00,40,0,0,True,True,True,active,1,22,22,2020-08-22 01:33:30,2020
19,True,3,2020-08-22 01:29:41+00:00,18,0,0,True,True,False,active,0,23,23,2020-08-22 01:33:30,2020
20,True,18,2020-08-22 01:31:38+00:00,0,0,0,True,True,False,active,1,24,24,2020-08-22 01:33:30,2020
21,True,12,2020-08-22 01:22:14+00:00,3,0,0,True,True,False,active,0,25,25,2020-08-22 01:33:30,2020
22,True,15,2020-08-22 01:26:56+00:00,0,0,0,True,True,False,active,0,26,26,2020-08-22 01:33:30,2020
23,True,17,2020-08-22 01:32:19+00:00,6,0,0,True,True,False,active,0,27,27,2020-08-22 01:33:30,2020
24,True,4,2020-08-21 23:24:12+00:00,11,0,0,True,True,False,active,0,29,29,2020-08-22 01:33:30,2020
25,True,0,2020-08-22 01:19:38+00:00,14,0,0,True,True,False,active,1,30,30,2020-08-22 01:33:30,2020
26,True,11,2020-08-22 01:31:13+00:00,8,0,0,True,True,True,active,0,31,31,2020-08-22 01:33:30,2020
27,True,7,2020-08-22 01:27:00+00:00,6,0,0,True,True,False,active,2,32,32,2020-08-22 01:33:30,2020
28,True,12,2020-08-22 01:17:13+00:00,15,0,0,True,True,True,active,0,33,33,2020-08-22 01:33:30,2020
29,True,5,2020-08-22 01:14:12+00:00,18,0,0,True,True,False,active,0,35,35,2020-08-22 01:33:30,2020
30,True,22,2020-08-22 01:26:00+00:00,10,0,0,True,True,True,active,1,36,36,2020-08-22 01:33:30,2020
31,True,6,2020-08-22 01:11:03+00:00,9,0,0,True,True,True,active,0,37,37,2020-08-22 01:33:30,2020
32,True,1,2020-08-22 01:30:43+00:00,22,0,0,True,True,False,active,0,39,39,2020-08-22 01:33:30,2020
33,True,3,2020-08-22 01:09:07+00:00,16,0,0,True,True,False,active,0,40,40,2020-08-22 01:33:30,2020
34,True,25,2020-08-22 01:30:50+00:00,0,0,0,True,True,True,active,2,41,41,2020-08-22 01:33:30,2020
35,True,16,2020-08-22 01:23:51+00:00,7,0,0,True,True,False,active,0,42,42,2020-08-22 01:33:30,2020
36,True,9,2020-08-22 01:20:39+00:00,6,0,0,True,True,True,active,0,43,43,2020-08-22 01:33:30,2020
37,True,3,2020-08-22 01:16:12+00:00,20,0,0,True,True,False,active,0,44,44,2020-08-22 01:33:30,2020
38,True,10,2020-08-22 01:27:02+00:00,9,0,0,True,True,False,active,0,46,46,2020-08-22 01:33:30,2020
39,True,15,2020-08-22 01:31:43+00:00,4,0,0,True,True,True,active,0,47,47,2020-08-22 01:33:30,2020
40,True,10,2020-08-22 01:15:19+00:00,9,0,0,True,True,False,active,0,48,48,2020-08-22 01:33:30,2020
41,True,16,2020-08-22 00:54:13+00:00,1,0,0,True,True,False,active,1,49,49,2020-08-22 01:33:30,2020
42,True,9,2020-08-22 01:30:18+00:00,6,0,0,True,True,True,active,0,50,50,2020-08-22 01:33:30,2020
43,True,10,2020-08-22 00:33:13+00:00,5,0,0,True,True,False,active,0,51,51,2020-08-22 01:33:30,2020
44,True,14,2020-08-22 01:32:37+00:00,8,0,0,True,True,True,active,1,52,52,2020-08-22 01:33:30,2020
45,True,10,2020-08-22 01:00:43+00:00,9,0,0,True,True,False,active,0,53,53,2020-08-22 01:33:30,2020
46,True,2,2020-08-22 01:18:26+00:00,13,0,0,True,True,False,active,0,54,54,2020-08-22 01:33:30,2020
47,True,15,2020-08-22 00:52:45+00:00,0,0,0,True,True,False,active,0,55,55,2020-08-22 01:33:30,2020
48,True,6,2020-08-22 01:30:29+00:00,12,0,0,True,True,True,active,0,56,56,2020-08-22 01:33:30,2020
49,True,2,2020-08-22 01:11:18+00:00,12,0,0,True,True,True,active,0,57,57,2020-08-22 01:33:30,2020
50,True,17,2020-08-22 01:30:14+00:00,1,0,0,True,True,True,active,1,58,58,2020-08-22 01:33:30,2020
51,True,5,2020-08-22 01:32:07+00:00,14,0,0,True,True,True,active,0,59,59,2020-08-22 01:33:30,2020
52,True,8,2020-08-22 01:28:10+00:00,11,0,0,True,True,False,active,0,60,60,2020-08-22 01:33:30,2020
53,True,7,2020-08-22 01:28:21+00:00,12,0,0,True,True,False,active,0,61,61,2020-08-22 01:33:30,2020
54,True,11,2020-08-22 01:20:12+00:00,4,0,0,True,True,False,active,0,63,63,2020-08-22 01:33:30,2020
55,True,10,2020-08-22 01:32:52+00:00,9,0,0,True,True,False,active,0,64,64,2020-08-22 01:33:30,2020
56,True,9,2020-08-22 01:30:45+00:00,14,0,0,True,True,False,active,0,65,65,2020-08-22 01:33:30,2020
