,num_docks_available,is_installed,eightd_has_available_keys,is_returning,num_ebikes_available,num_docks_disabled,last_reported,station_status,legacy_id,is_renting,num_bikes_available,num_bikes_disabled,station_id,timestamp_of_data_read_request,year_station_last_reported
0,12,True,False,True,0,0,2020-08-22 03:56:03+00:00,active,3,True,2,1,3,2020-08-22 04:16:55,2020
1,3,True,False,True,0,0,2020-08-22 03:50:41+00:00,active,4,True,16,0,4,2020-08-22 04:16:55,2020
2,10,True,False,True,0,0,2020-08-22 04:12:32+00:00,active,5,True,5,0,5,2020-08-22 04:16:55,2020
3,13,True,False,True,0,0,2020-08-22 04:14:43+00:00,active,6,True,2,0,6,2020-08-22 04:16:55,2020
4,7,True,False,True,0,0,2020-08-22 03:26:34+00:00,active,7,True,8,0,7,2020-08-22 04:16:55,2020
5,0,True,False,True,0,0,2020-08-22 04:02:13+00:00,active,8,True,17,2,8,2020-08-22 04:16:55,2020
6,5,True,False,True,0,0,2020-08-22 03:41:14+00:00,active,9,True,10,0,9,2020-08-22 04:16:55,2020
7,0,True,False,True,0,0,2020-08-22 03:37:08+00:00,active,10,True,11,0,10,2020-08-22 04:16:55,2020
8,15,True,False,True,0,0,2020-08-22 00:09:54+00:00,active,11,True,0,0,11,2020-08-22 04:16:55,2020
9,14,True,True,True,0,0,2020-08-22 04:09:46+00:00,active,12,True,4,0,12,2020-08-22 04:16:55,2020
10,14,True,False,True,0,0,2020-08-22 04:12:20+00:00,active,13,True,5,0,13,2020-08-22 04:16:55,2020
11,23,True,False,True,0,0,2020-08-22 02:45:51+00:00,active,14,True,0,2,14,2020-08-22 04:16:55,2020
12,4,True,False,True,0,0,2020-08-22 04:01:15+00:00,active,15,True,11,0,15,2020-08-22 04:16:55,2020
13,3,True,True,True,0,0,2020-08-22 02:41:27+00:00,active,16,True,15,1,16,2020-08-22 04:16:55,2020
14,14,True,False,True,0,0,2020-08-22 02:34:57+00:00,active,17,True,0,1,17,2020-08-22 04:16:55,2020
15,0,True,False,True,0,0,2020-08-22 03:55:48+00:00,active,19,True,15,0,19,2020-08-22 04:16:55,2020
16,20,True,True,True,0,0,2020-08-22 03:53:49+00:00,active,20,True,3,0,20,2020-08-22 04:16:55,2020
17,16,True,True,True,0,0,2020-08-22 02:11:27+00:00,active,21,True,1,1,21,2020-08-22 04:16:55,2020
18,44,True,True,True,0,0,2020-08-22 03:39:44+00:00,active,22,True,2,1,22,2020-08-22 04:16:55,2020
19,19,True,False,True,0,0,2020-08-22 03:48:35+00:00,active,23,True,2,0,23,2020-08-22 04:16:55,2020
20,6,True,False,True,0,0,2020-08-22 04:14:45+00:00,active,24,True,12,1,24,2020-08-22 04:16:55,2020
