timestamps,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,latitude,longitude
2020-07-01 04:00:00+00:00,1593576000,Mostly Cloudy,partly-cloudy-night,0.0011,0.09,rain,65.21,65.87,63.58,0.94,1013.1,1.79,3.53,182,0.77,0,10.0,342.8,42.363796,-71.1087861286
2020-07-01 05:00:00+00:00,1593579600,Mostly Cloudy,partly-cloudy-night,0.001,0.07,rain,65.05,65.71,63.47,0.95,1012.8,1.46,2.58,216,0.77,0,10.0,342.4,42.363796,-71.1087861286
2020-07-01 06:00:00+00:00,1593583200,Mostly Cloudy,partly-cloudy-night,0.0019,0.05,rain,65.35,66.0,63.58,0.94,1012.5,1.01,2.32,219,0.84,0,10.0,340.4,42.363796,-71.1087861286
2020-07-01 07:00:00+00:00,1593586800,Mostly Cloudy,partly-cloudy-night,0.0035,0.07,rain,65.14,65.8,63.55,0.95,1012.2,1.03,2.72,273,0.8,0,8.583,340.0,42.363796,-71.1087861286
2020-07-01 08:00:00+00:00,1593590400,Mostly Cloudy,partly-cloudy-night,0.004,0.08,rain,65.18,65.86,63.69,0.95,1012.0,1.37,2.77,195,0.78,0,9.487,340.0,42.363796,-71.1087861286
2020-07-01 09:00:00+00:00,1593594000,Mostly Cloudy,partly-cloudy-night,0.0054,0.12,rain,65.17,65.84,63.63,0.95,1012.0,1.56,3.05,202,0.78,0,9.943,340.2,42.363796,-71.1087861286
2020-07-01 10:00:00+00:00,1593597600,Overcast,cloudy,0.0056,0.19,rain,65.32,66.01,63.8,0.95,1012.1,2.22,4.19,198,0.88,0,8.931,340.7,42.363796,-71.1087861286
2020-07-01 11:00:00+00:00,1593601200,Mostly Cloudy,partly-cloudy-day,0.0039,0.1,rain,66.14,66.88,64.4,0.94,1012.4,2.04,4.35,216,0.85,1,9.634,341.5,42.363796,-71.1087861286
2020-07-01 12:00:00+00:00,1593604800,Mostly Cloudy,partly-cloudy-day,0.0039,0.11,rain,67.46,68.3,65.56,0.94,1012.4,2.05,4.29,241,0.86,1,9.555,344.3,42.363796,-71.1087861286
2020-07-01 13:00:00+00:00,1593608400,Overcast,cloudy,0.0034,0.06,rain,69.15,69.92,65.55,0.88,1012.5,2.25,4.52,312,0.9,2,9.754,344.0,42.363796,-71.1087861286
2020-07-01 14:00:00+00:00,1593612000,Overcast,cloudy,0.0043,0.13,rain,70.4,71.19,66.08,0.86,1012.5,2.6,4.96,346,0.94,3,9.499,343.0,42.363796,-71.1087861286
