timestamps,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType,latitude,longitude
2020-08-01 04:00:00+00:00,1596254400,Clear,clear-night,0.0,0.0,71.47,72.16,65.63,0.82,1011.5,1.38,3.27,182,0.01,0,10.0,303.5,,42.363796,-71.1087861286
2020-08-01 05:00:00+00:00,1596258000,Clear,clear-night,0.0005,0.01,71.1,71.81,65.67,0.83,1011.7,1.37,2.96,261,0.02,0,10.0,303.7,rain,42.363796,-71.1087861286
2020-08-01 06:00:00+00:00,1596261600,Clear,clear-night,0.0006,0.01,70.95,71.58,65.02,0.82,1011.7,1.6,3.01,271,0.02,0,10.0,303.9,rain,42.363796,-71.1087861286
2020-08-01 07:00:00+00:00,1596265200,Clear,clear-night,0.0,0.0,70.28,70.88,64.63,0.82,1012.0,2.87,4.52,293,0.01,0,10.0,304.4,,42.363796,-71.1087861286
2020-08-01 08:00:00+00:00,1596268800,Clear,clear-night,0.0,0.0,69.47,70.05,64.26,0.84,1012.0,2.89,6.55,330,0.07,0,10.0,304.9,,42.363796,-71.1087861286
2020-08-01 09:00:00+00:00,1596272400,Clear,clear-night,0.0011,0.01,68.98,69.53,63.94,0.84,1011.9,3.16,6.49,323,0.07,0,9.929,305.3,rain,42.363796,-71.1087861286
2020-08-01 10:00:00+00:00,1596276000,Clear,clear-day,0.0008,0.01,68.86,69.33,63.42,0.83,1012.5,3.49,7.4,329,0.02,0,10.0,305.3,rain,42.363796,-71.1087861286
2020-08-01 11:00:00+00:00,1596279600,Clear,clear-day,0.0,0.0,70.51,71.03,64.09,0.8,1012.6,3.86,7.69,349,0.02,0,10.0,305.1,,42.363796,-71.1087861286
2020-08-01 12:00:00+00:00,1596283200,Clear,clear-day,0.0,0.0,73.64,74.23,65.23,0.75,1013.2,3.16,6.01,351,0.01,1,10.0,305.0,,42.363796,-71.1087861286
2020-08-01 13:00:00+00:00,1596286800,Clear,clear-day,0.001,0.01,77.19,77.78,65.55,0.67,1014.0,3.14,5.65,24,0.01,3,10.0,305.3,rain,42.363796,-71.1087861286
2020-08-01 14:00:00+00:00,1596290400,Clear,clear-day,0.0,0.0,80.12,82.06,65.42,0.61,1013.7,4.17,6.72,21,0.01,5,10.0,305.3,,42.363796,-71.1087861286
2020-08-01 15:00:00+00:00,1596294000,Clear,clear-day,0.0,0.0,82.01,83.99,65.53,0.58,1013.8,5.65,7.73,23,0.01,7,10.0,305.3,,42.363796,-71.1087861286
2020-08-01 16:00:00+00:00,1596297600,Clear,clear-day,0.0,0.0,82.08,84.01,65.37,0.57,1014.2,3.91,8.06,65,0.03,9,10.0,305.3,,42.363796,-71.1087861286
2020-08-01 17:00:00+00:00,1596301200,Clear,clear-day,0.0,0.0,83.36,85.13,64.98,0.54,1014.1,5.67,8.35,42,0.05,9,10.0,305.4,,42.363796,-71.1087861286
2020-08-01 18:00:00+00:00,1596304800,Clear,clear-day,0.0,0.0,83.15,84.73,64.47,0.53,1014.0,7.0,10.98,54,0.07,8,10.0,305.1,,42.363796,-71.1087861286
2020-08-01 19:00:00+00:00,1596308400,Clear,clear-day,0.0,0.0,83.66,85.21,64.45,0.52,1014.0,5.8,10.05,72,0.07,7,10.0,303.0,,42.363796,-71.1087861286
2020-08-01 20:00:00+00:00,1596312000,Clear,clear-day,0.0012,0.01,83.17,84.76,64.48,0.53,1013.8,7.3,10.23,65,0.08,5,10.0,302.3,rain,42.363796,-71.1087861286
2020-08-01 21:00:00+00:00,1596315600,Clear,clear-day,0.0018,0.01,82.55,84.16,64.49,0.54,1013.7,6.37,11.1,95,0.09,3,10.0,301.7,rain,42.363796,-71.1087861286
2020-08-01 22:00:00+00:00,1596319200,Clear,clear-day,0.0,0.0,82.35,84.28,65.37,0.57,1013.9,7.17,11.1,96,0.1,1,10.0,301.6,,42.363796,-71.1087861286
2020-08-01 23:00:00+00:00,1596322800,Clear,clear-day,0.008,0.01,80.64,82.57,65.39,0.6,1014.1,6.34,11.16,121,0.13,0,10.0,301.6,rain,42.363796,-71.1087861286
