timestamps,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipAccumulation,latitude,longitude
2020-10-01 04:00:00+00:00,1601524800,Clear,clear-night,0.0004,0.01,rain,59.33,59.33,49.68,0.7,1011.3,5.65,14.78,213,0.0,0,10.0,272.7,,42.363796,-71.1087861286
2020-10-01 05:00:00+00:00,1601528400,Clear,clear-night,0.0,0.0,,58.12,58.12,49.99,0.74,1011.1,7.47,15.48,193,0.0,0,10.0,271.4,,42.363796,-71.1087861286
2020-10-01 06:00:00+00:00,1601532000,Clear,clear-night,0.0,0.0,,57.86,57.86,50.69,0.77,1011.6,7.03,14.86,210,0.0,0,10.0,271.4,,42.363796,-71.1087861286
2020-10-01 07:00:00+00:00,1601535600,Clear,clear-night,0.0,0.0,,58.01,58.01,51.97,0.8,1011.1,6.41,15.37,195,0.0,0,10.0,270.9,,42.363796,-71.1087861286
2020-10-01 08:00:00+00:00,1601539200,Clear,clear-night,0.0002,0.01,rain,58.73,58.73,52.55,0.8,1011.3,6.38,15.42,215,0.0,0,10.0,270.7,,42.363796,-71.1087861286
2020-10-01 09:00:00+00:00,1601542800,Clear,clear-night,0.0005,0.01,rain,58.51,58.51,52.4,0.8,1011.4,6.85,15.35,215,0.0,0,10.0,270.2,,42.363796,-71.1087861286
2020-10-01 10:00:00+00:00,1601546400,Clear,clear-night,0.0007,0.01,rain,58.3,58.3,52.32,0.8,1011.5,6.02,14.89,211,0.0,0,10.0,269.4,,42.363796,-71.1087861286
2020-10-01 11:00:00+00:00,1601550000,Clear,clear-day,0.0004,0.01,rain,58.29,58.29,52.3,0.8,1011.9,5.0,13.62,212,0.0,0,10.0,268.4,,42.363796,-71.1087861286
2020-10-01 12:00:00+00:00,1601553600,Clear,clear-day,0.0,0.0,,59.98,59.98,53.37,0.79,1012.2,6.48,15.41,204,0.0,0,10.0,267.9,,42.363796,-71.1087861286
2020-10-01 13:00:00+00:00,1601557200,Clear,clear-day,0.0,0.0,,63.75,63.75,55.09,0.73,1011.9,5.96,17.14,203,0.01,1,10.0,268.3,,42.363796,-71.1087861286
2020-10-01 14:00:00+00:00,1601560800,Clear,clear-day,0.0,0.0,,68.3,68.3,55.62,0.64,1012.0,6.89,15.87,214,0.01,3,10.0,270.2,,42.363796,-71.1087861286
2020-10-01 15:00:00+00:00,1601564400,Clear,clear-day,0.0006,0.01,rain,71.21,71.21,55.94,0.59,1012.0,7.84,15.62,206,0.01,4,10.0,270.9,,42.363796,-71.1087861286
2020-10-01 16:00:00+00:00,1601568000,Clear,clear-day,0.0002,0.01,rain,73.03,73.03,55.71,0.55,1012.0,7.88,17.36,218,0.06,5,10.0,271.4,,42.363796,-71.1087861286
2020-10-01 17:00:00+00:00,1601571600,Clear,clear-day,0.0,0.0,,74.78,74.78,55.43,0.51,1011.1,7.16,17.48,220,0.19,5,10.0,271.9,,42.363796,-71.1087861286
2020-10-01 18:00:00+00:00,1601575200,Clear,clear-day,0.0,0.0,,75.1,75.1,55.86,0.51,1010.8,9.3,19.41,218,0.12,4,10.0,272.4,,42.363796,-71.1087861286
2020-10-01 19:00:00+00:00,1601578800,Clear,clear-day,0.0,0.0,,75.45,75.45,56.47,0.52,1010.7,6.6,17.51,208,0.2,3,10.0,274.5,,42.363796,-71.1087861286
2020-10-01 20:00:00+00:00,1601582400,Clear,clear-day,0.0007,0.01,rain,74.67,74.67,57.25,0.55,1011.0,8.61,16.59,199,0.25,2,10.0,275.6,,42.363796,-71.1087861286
2020-10-01 21:00:00+00:00,1601586000,Clear,clear-day,0.0,0.0,,72.79,72.79,57.31,0.58,1010.9,7.96,15.9,201,0.29,0,10.0,276.4,,42.363796,-71.1087861286
2020-10-01 22:00:00+00:00,1601589600,Clear,clear-day,0.0,0.0,,70.84,70.84,56.96,0.61,1011.5,8.0,15.92,211,0.31,0,10.0,276.5,,42.363796,-71.1087861286
2020-10-01 23:00:00+00:00,1601593200,Clear,clear-night,0.0,0.0,,68.25,68.25,56.48,0.66,1012.3,5.7,13.18,214,0.3,0,10.0,276.3,,42.363796,-71.1087861286
2020-10-02 00:00:00+00:00,1601596800,Clear,clear-night,0.0005,0.01,rain,66.19,66.19,56.0,0.7,1013.5,5.67,10.9,199,0.25,0,10.0,276.1,,42.363796,-71.1087861286
2020-10-02 01:00:00+00:00,1601600400,Clear,clear-night,0.0008,0.01,rain,64.47,64.47,56.24,0.75,1014.1,4.23,9.25,224,0.25,0,10.0,276.0,,42.363796,-71.1087861286
2020-10-02 02:00:00+00:00,1601604000,Clear,clear-night,0.0008,0.01,rain,63.21,63.21,56.36,0.78,1014.4,4.03,8.83,234,0.24,0,10.0,275.8,,42.363796,-71.1087861286
2020-10-02 03:00:00+00:00,1601607600,Clear,clear-night,0.0,0.0,,61.97,61.97,56.09,0.81,1014.4,3.95,7.49,223,0.3,0,10.0,275.6,,42.363796,-71.1087861286
2020-10-02 04:00:00+00:00,1601611200,Clear,clear-night,0.0,0.0,,61.12,61.12,55.92,0.83,1014.3,3.76,7.02,221,0.31,0,10.0,275.3,,42.363796,-71.1087861286
